0:0:0 | [CMD] HastasyzBaba(16) => /sarkilar
2:22:23 | [KAMYONCU] Reader, San Fierro Port'den Area 69'e Elektronik Esya tasidi. Kazanc: 10157$, 2 Skor ve 5 EXP Sure: 395 Saniye
2:22:25 | Reader(6): o deil de buranýn ortamý baya sýcakmýþ ha
2:22:33 | sezzer(7): camlarý falan açalým mý
2:22:37 | Reader(6): freeroamda falan böyle deðil direk küfür yiyosun
2:22:37 | sezzer(7): bunaldýysan
2:22:38 | sezzer(7): kjasghdjghasd
2:22:38 | Reader(6): al iþte
2:22:40 | [CMD] sezzer(7) => /kemer
2:22:43 | [CMD] Freezer3543(8) => /pm 7 Ahýr vakti geldi mi
2:22:51 | Reader(6): :(
2:22:52 | tavsanpaladin55(11): böyle gereksizlerde var
2:22:54 | [CMD] sezzer(7) => /pm 8 kim için
2:22:55 | tavsanpaladin55(11): yapcak birþey yok
2:22:58 | Reader(6): ewqeqw
2:23:2 | [CMD] Freezer3543(8) => /pm 7 Reader alskdmklasmdla
2:23:2 | [CMD] Reader(6) => /cevir
2:23:2 | sezzer(7): aaaa kikikikikiki aaaaaa
2:23:7 | tavsanpaladin55(11): qweqwe
2:23:17 | tavsanpaladin55(11): feride ablam benim kýzma canýný yirim
2:23:17 | Reader(6): siz o kadar skoru nasýl kastýnýz ya
2:23:26 | Freezer3543(8): 1 ay oldu
2:23:27 | [CMD] sezzer(7) => /pm 8 knk adamý sv den soðutma yeni daha asgdajgsd
2:23:29 | [CMD] Reader(6) => /rescue
2:23:33 | [CMD] Freezer3543(8) => /pm 7 Tamam aga salkdmlasmdklasmdlkasdmö
2:23:34 | [CMD] Reader(6) => /rescue
2:23:34 | tavsanpaladin55(11): ilk baþta baþarýmlarla
2:23:36 | tavsanpaladin55(11): sonra kargocuyla
2:23:53 | [CMD] sezzer(7) => /pm 8 yada acýma mk
2:23:53 | Reader(6): beler zaten 3 tane mesleðe girebiliyorum sizce hangisine girmeliyim
2:23:55 | Freezer3543(8): Ben bi öliyim de can res olsun
2:23:56 | [CMD] sezzer(7) => /pm 8 hasgdhgads
2:24:0 | [CMD] Freezer3543(8) => /pm 7 askjdmasjkmdaklsmd
2:24:4 | [CMD] Freezer3543(8) => /araba
2:24:5 | Reader(6): siz daha iyi bilirsiniz hangisine gireyim
2:24:10 | [CMD] Freezer3543(8) => /rescue
2:24:14 | tavsanpaladin55(11): týrcýlýk yap 10 göreve
2:24:18 | tavsanpaladin55(11): tamamla 100 skoru al sonra deðiþ
2:24:22 | tavsanpaladin55(11): bay /rescue yap
2:24:26 | [CMD] Reader(6) => /rescue
2:24:28 | tavsanpaladin55(11): Quaryy Lv den 
2:24:34 | tavsanpaladin55(11): çimento aracýna bin
2:24:37 | tavsanpaladin55(11): onla yap
2:24:44 | tavsanpaladin55(11): ilk görev yerini hep quary lv veriyo
2:24:52 | [CMD] Reader(6) => /rescue
2:25:0 | tavsanpaladin55(11): sen hep teslim e gidiyosun 2 ayrý yere gitmene gerek yok
2:25:5 | tavsanpaladin55(11): öyle seri 10 görev e tamamlarsýn
2:25:16 | Reader(6): çimentoya mý binim
2:25:23 | tavsanpaladin55(11): aynen 
2:25:26 | [CMD] Reader(6) => /kemer
2:25:26 | [CMD] tavsanpaladin55(11) => /meslek
2:25:29 | {FFCC00}tavsanpaladin55(11) {FFFFFF}Kamyoncu olarak spawn oldu.
2:25:33 | [CMD] tavsanpaladin55(11) => /rescue
2:25:39 | sezzer(7): tavþan
2:25:40 | tavsanpaladin55(11): quaryy lv ye gitdinmi
2:25:43 | Reader(6): evet
2:25:47 | sezzer(7): tavþan
2:25:49 | tavsanpaladin55(11): ey
2:25:53 | tavsanpaladin55(11): heh o araçla 
2:25:55 | tavsanpaladin55(11):  /work yaz
2:25:57 | sezzer(7): bu manuþ baba senin köpeðe benziyo la
2:25:58 | [CMD] Reader(6) => /work
2:26:2 | tavsanpaladin55(11): qweqewqe
2:26:4 | sezzer(7): asdasd
2:26:5 | tavsanpaladin55(11): aa:DGA:FA:DSA:DASdas
2:26:7 | Reader(6): FKDLJSLKGAJÞSDGSD
2:26:13 | Freezer3543(8) Mafya olarak spawn oldu.
2:26:14 | tavsanpaladin55(11): Aldýnmý görevi babuþ
2:26:16 | [CMD] Freezer3543(8) => /rescue
2:26:17 | Reader(6): evt
2:26:21 | tavsanpaladin55(11): tm götür :D
2:26:30 | [CMD] Freezer3543(8) => /kemer
2:26:33 | tavsanpaladin55(11): bunu tamamlayýnca
2:26:40 | tavsanpaladin55(11):  /rescue Quarry Lv 
2:26:45 | tavsanpaladin55(11): yine cimento aracýný kap yap
2:26:57 | Reader(6): az daha uzaða koysalarmýþ keþke varýþ noktasýný marsa falan gideydik
2:27:5 | [CMD] Freezer3543(8) => /pm 11 Býrak asýrý alsýn aq laksdöklasdö
2:27:14 | tavsanpaladin55(11): freezer de aðlasýn :D
2:27:18 | tavsanpaladin55(11): cimento aracýný çalamaz
2:27:18 | Freezer3543(8): Yav asþdçþiaçd
2:27:19 | sezzer(7): sadasd
2:27:21 | Reader(6): qewwqeqw
2:27:22 | tavsanpaladin55(11): qwewqeq
2:27:24 | sezzer(7): ashgdas
2:27:31 | [CMD] sezzer(7) => /meslek
2:27:34 | sezzer(7) Bankaci olarak spawn oldu.
2:27:39 | tavsanpaladin55(11): baþarýmdan 100 skor gelicek ya 
2:27:40 | Freezer3543(8): Sezzer yapma
2:27:43 | tavsanpaladin55(11): reader mafya açýlýcak
2:27:48 | Freezer3543(8): Kanka istemiyorum yapma
2:27:52 | [CMD] sezzer(7) => /modifiye
2:27:52 | Freezer3543(8): Yapma sezzer
2:27:53 | tavsanpaladin55(11): 5 görev yapýnca baþarýmý veriyo
2:27:57 | sezzer(7): neyi la
2:27:59 | [CMD] sezzer(7) => /work
2:28:1 | Freezer3543(8): Banka
2:28:6 | Reader(6): mafyadan nasý para çýkarýrým
2:28:7 | [CMD] Freezer3543(8) => /tamir
2:28:7 | tavsanpaladin55(11): sonra 200 skor olucaksýn pilotdada 5 görev yap
2:28:12 | sezzer(7): aa mafya çalýyodu bunu dimi
2:28:15 | Freezer3543(8): Evet
2:28:21 | sezzer(7): iyi iþte aksiyon olur
2:28:25 | [CMD] Reader(6) => /cevir
2:28:28 | Freezer3543(8): Yav yapma
2:28:37 | Freezer3543(8): Kankamsýn yapmak istemiyorum
2:28:51 | sezzer(7): yap knk 
2:28:54 | sezzer(7): para için yapmýyom
2:28:57 | sezzer(7): sýkýntýdan
2:28:59 | tavsanpaladin55(11): Gündüz Freezer: Konvoydamýsýn Sezer ?
2:29:1 | Freezer3543(8): Darýlma sonra ama 
2:29:5 | Freezer3543(8): alskdölkasdö
2:29:8 | sezzer(7): yok la ne darýlcam
2:29:8 | Reader(6): mafyadan nasýl para kazanacaðým
2:29:15 | sezzer(7): almak istediðim herþeyi aldým
2:29:21 | Freezer3543(8): Kacak esya ve dorse
2:29:21 | sezzer(7): paraya ihtiyaç yok
2:29:25 | [CMD] tavsanpaladin55(11) => /otur
2:29:26 | [CMD] tavsanpaladin55(11) => /otur
2:29:49 | [CMD] tavsanpaladin55(11) => /meslek
2:29:56 | tavsanpaladin55(11) Oduncu olarak spawn oldu.
2:29:59 | Reader(6): bu haritada beyaz nickli biri var tren sürüyo kim bu
2:30:3 | Freezer3543(8): asldöaslþdöaþlsdö
2:30:3 | tavsanpaladin55(11): Bot
2:30:4 | sezzer(7): bot o
2:30:4 | Freezer3543(8): aslþdöalþsödaþlsdö
2:30:5 | Freezer3543(8): þasldölþasödþlasdö
2:30:6 | Freezer3543(8): þalsdöþlasdö
2:30:26 | sezzer(7): ne gülüyon olm
2:30:29 | Freezer3543(8) Mafya olarak spawn oldu.
2:30:33 | [KAMYONCU] Reader, Quarry Top'den SF Construction Site'e Cimento tasidi. Kazanc: 6353$, 2 Skor ve 5 EXP Sure: 203 Saniye
2:30:42 | Reader(6): olm ben de sabah admine report ettim tren sürmek ban sebebiydi hani diye
2:30:43 | Freezer3543(8): Aga ilk defa birisi boyle bise sordu komigime gitti
2:30:45 | Reader(6): dalga geçiyo aq
2:30:51 | tavsanpaladin55(11): aahasdhahdsahdsad
2:30:52 | tavsanpaladin55(11): :DASD:SA
2:30:59 | sezzer(7): ortama bak mk ajsghdasd
2:31:3 | Reader(6): harbiden buna gülünür bak
2:31:6 | [CMD] Freezer3543(8) => /rescue
2:31:19 | [CMD] Reader(6) => /rescue
2:31:26 | tavsanpaladin55(11): bugün a6 huseyine güldüm ya
2:31:33 | tavsanpaladin55(11): sporcu skinini almýþ yolun ortasýnda koþuyor
2:31:34 | Reader(6): olm ben oyuna kaçak giriyom
2:31:36 | tavsanpaladin55(11): ulan qw.EWQ:EWQ
2:31:37 | sezzer(7): hüseyin 7 olm
2:31:37 | Freezer3543(8): :D
2:31:40 | Reader(6): hüseyin banlýyo beni
2:31:40 | tavsanpaladin55(11): 7 mi
2:31:43 | sezzer(7): evt
2:31:46 | Reader(6): bi kere hileden ban yedim açýk unutmuþum
2:31:50 | tavsanpaladin55(11): masallah
2:31:57 | Reader(6): (free sunucularda trollüyorum)
2:32:4 | tavsanpaladin55(11): oyuna kaçak mý giriyon
2:32:8 | Reader(6): hee
2:32:10 | tavsanpaladin55(11): o nasýl
2:32:11 | Reader(6): 2 gün boyunca böle gircem
2:32:16 | Reader(6): admin yokken giriyorum
2:32:24 | sezzer(7): asýl nickin ne
2:32:29 | CagatayBro(9) oyuna girdi [IP: 178.233.46.143]
2:32:32 | Reader(6): Lycrish.
2:32:40 | 
2:32:42 | Reader(6): sabah kayýt olmuþtum ama gine baya kasýlmýþtým
2:32:43 | {FFCC00}CagatayBro(9) {FFFFFF}Kamyoncu olarak spawn oldu.
2:32:44 | tavsanpaladin55(11): yakalamasýn seni
2:32:46 | tavsanpaladin55(11): :D
2:32:48 | sezzer(7): asjdghajghsd
2:32:48 | CagatayBro(9): yaw reis çalýþmýyor bu meret
2:32:58 | Reader(6): zaten 5dk da bir /admins e bakýyorum
2:33:5 | sezzer(7): cagatay 
2:33:12 | sezzer(7): olm bi face aç 2 dk
2:33:14 | Reader(6): o lyrcish hesabýyla hile açmadan
2:33:18 | Reader(6): 5 saat oyunda durdum
2:33:22 | Reader(6): ama eski hesap banlý diye
2:33:24 | Reader(6): onu da banladý
2:33:27 | Reader(6): hileden
2:33:27 | CagatayBro(9): sezer sen versiyonunu söylesene
2:33:27 | Freezer3543(8): :D
2:33:30 | [CMD] Reader(6) => /work
2:33:31 | VIPTRUCKS(10) oyuna girdi [IP: 92.45.79.244]
2:33:33 | tavsanpaladin55(11): Çaðatay Araç spawner la ilgili video çok var youtube da
2:33:37 | CagatayBro(9): ne yaptýysam olmadý
2:33:40 | CagatayBro(9): hepsi bi boka yaramadý
2:33:43 | tavsanpaladin55(11): onlardan bakarak yapabilirisn
2:33:45 | CagatayBro(9): hepsine baktým
2:33:51 | CagatayBro(9): bütün sürümleri denedim
2:33:55 | sezzer(7): çok güzel bi bug buldum
2:33:57 | CagatayBro(9): þu menü açýlmýyor
2:34:13 | VIPTRUCKS(10) oyundan cIktI (Hata/Crash) (IP: 92.45.79.244)
2:34:24 | sezzer(7): ben þu bug ý bildirip geliyim
2:34:28 | tavsanpaladin55(11): ne bugu la
2:34:35 | [CMD] sezzer(7) => /karakol
2:34:39 | [CMD] sezzer(7) => /goreviptal
2:34:41 | [CMD] sezzer(7) => /karakol
2:34:43 | [CMD] sezzer(7) => /cezaode
2:34:45 | Reader(6): Yapma
2:34:49 | Freezer3543(8): :D
2:34:50 | Reader(6): YAPMAA
2:34:54 | [CMD] sezzer(7) => /afk
2:35:6 | CagatayBro(9) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
2:35:57 | Reader(6): BÝ 8 GÖREV YAPAYDIM
2:36:7 | tavsanpaladin55(11): Çimento aracýný mý
2:36:10 | tavsanpaladin55(11): çaldýn freezer
2:36:11 | Reader(6): HEE
2:36:14 | Reader(6): hayýr çalmadý
2:36:17 | tavsanpaladin55(11): ee
2:36:17 | Reader(6): kovalýyo
2:36:24 | tavsanpaladin55(11): freezer çalamazsýn
2:36:29 | tavsanpaladin55(11): çalýnçak birþey yok çimento görevinde çünkü
2:36:33 | tavsanpaladin55(11): mafyanýn ilgisini çekmez
2:36:39 | [CMD] sezzer(7) => /geldim
2:36:47 | [CMD] sezzer(7) => /meslek
2:36:48 | {FFCC00}sezzer(7) {FFFFFF}Kamyoncu olarak spawn oldu.
2:36:51 | [CMD] sezzer(7) => /rescue
2:37:1 | [CMD] tavsanpaladin55(11) => /pm 6 çalmaya kalkarsa ss al foruma at
2:37:6 | [CMD] tavsanpaladin55(11) => /pm 6 ceza yer
2:37:16 | tavsanpaladin55(11): sezer
2:37:19 | tavsanpaladin55(11): ne bugunu bildirdin knk
2:37:20 | sezzer(7): he
2:37:28 | sezzer(7): bildirmedim daha knk þirketin adýna bakmam lazým
2:37:28 | [CMD] tavsanpaladin55(11) => /araba
2:37:33 | sezzer(7): yazýnca okursun forumd
2:37:41 | tavsanpaladin55(11): tm 
2:37:45 | Reader(6): freezer yaptýðýn yasak ama ha
2:37:47 | [CMD] Freezer3543(8) => /tamir
2:37:50 | tavsanpaladin55(11): freezer
2:37:57 | tavsanpaladin55(11): ceza yersin 
2:38:5 | Freezer3543(8): iyi aman
2:38:6 | sezzer(7): napýyo ki
2:38:9 | tavsanpaladin55(11): cimento görevini mafyalar calamaz
2:38:10 | Freezer3543(8): Cimentonun :D
2:38:16 | [CMD] Freezer3543(8) => /tamir
2:38:17 | tavsanpaladin55(11): bokunu çýkarma 
2:38:29 | [CMD] sezzer(7) => /karakol
2:38:32 | [CMD] sezzer(7) => /cezaode
2:38:36 | [CMD] sezzer(7) => /afk
2:38:41 | [KAMYONCU] Reader, Quarry Top'den Emkatu Constructions'e Cimento tasidi. Kazanc: 8826$, 1 Skor ve 5 EXP Sure: 235 Saniye
2:38:47 | Reader(6): ss aldým
2:38:55 | Reader(6): aracým gitti laan
2:39:8 | Reader(6): daha görevim vardý benim iptal oldu
2:39:12 | Freezer3543(8): asþdiçasidçadw
2:39:16 | tavsanpaladin55(11): Neden iptal oldu
2:39:26 | Freezer3543(8): Yok la tamamlandý uyarýsý geldi
2:39:26 | Reader(6): aracýmý caldý o da aracýmdan inince araç yok oldu
2:39:34 | tavsanpaladin55(11): ss in varmý
2:39:37 | Freezer3543(8): Yok la tamamlandý uyarýsý geldi
2:39:44 | [CMD] Freezer3543(8) => /rescue
2:39:44 | Reader(6): bana neden gelmedi
2:39:46 | Reader(6): skor veya para
2:39:52 | Freezer3543(8): Lag
2:39:55 | tavsanpaladin55(11): yapmýssýn 
2:39:57 | tavsanpaladin55(11): ya
2:40:5 | Reader(6): hani aq bana gelmedi bi bildirim la
2:40:13 | tavsanpaladin55(11): chatte yazýyor bak
2:40:20 | Reader(6): amnyskim gördüm
2:40:41 | Reader(6): ne kör adamým la
2:40:45 | [CMD] Reader(6) => /rescue
2:40:50 | tavsanpaladin55(11): :D
2:40:59 | Freezer3543(8): Ama polis olucam hadi bakim
2:41:1 | tavsanpaladin55(11) Oduncu olarak spawn oldu.
2:41:2 | [CMD] Freezer3543(8) => /meslek
2:41:4 | {FFCC00}Freezer3543(8) {FFFFFF}Polis olarak spawn oldu.
2:41:6 | Reader(6): yavaþ giderim
2:41:12 | Freezer3543(8): Giit
2:41:18 | Freezer3543(8): O senin sorunun artýk
2:41:19 | tavsanpaladin55(11): iþin gücün fitne fesat he
2:41:23 | Freezer3543(8): :D :D D: 
2:41:29 | [CMD] Reader(6) => /cevir
2:41:29 | [CMD] Freezer3543(8) => /kemer
2:41:35 | [CMD] Reader(6) => /cevir
2:41:39 | [CMD] Reader(6) => /work
2:41:48 | Reader(6): durduk yere ceza kesebiliyo mu la polis
2:41:52 | tavsanpaladin55(11): hayýr
2:41:54 | Freezer3543(8): Yok la :Das 
2:41:57 | tavsanpaladin55(11): radara yakalanýrsan
2:41:58 | [CMD] Freezer3543(8) => /keemr
2:42:0 | [CMD] Freezer3543(8) => /kemer
2:42:2 | tavsanpaladin55(11): veya aþýrý yük alýrsan
2:42:11 | Reader(6): aþýrý yükde mi yasak
2:42:15 | tavsanpaladin55(11): yasak deðil
2:42:20 | [CMD] Freezer3543(8) => /tamir
2:42:22 | tavsanpaladin55(11): sadece polis ceza kesiyor
2:42:37 | tavsanpaladin55(11): bazen görev oto veriyor ozaman 2 yýldýz
2:42:40 | Reader(6): çimentoda aþýrý yük vermiyo iyiki
2:42:40 | tavsanpaladin55(11): komut ile alýnca 4 yýldýz
2:42:44 | tavsanpaladin55(11): ayn 
2:42:49 | [CMD] Freezer3543(8) => /kemer
2:43:4 | Reader(6): 1 saat oynama baþarýmým geldi
2:43:9 | [CMD] Freezer3543(8) => /tamir
2:43:14 | [CMD] tavsanpaladin55(11) => /basarimlar
2:43:15 | [CMD] Freezer3543(8) => /stats
2:43:20 | tavsanpaladin55(11): ben 121 saat oynamýþým
2:43:25 | Reader(6): yuf
2:43:27 | [CMD] tavsanpaladin55(11) => /modifiye
2:43:47 | [CMD] tavsanpaladin55(11) => /cevir
2:43:56 | Reader(6): lan 1 km daha hýzlý gitseydim radara yakalanýyodum
2:44:2 | Freezer3543(8): alksdömklasödþlasdö
2:44:17 | tavsanpaladin55(11): Freezer sadlerdan memnunmusun
2:44:20 | Freezer3543(8): Cok
2:44:36 | CagatayBro(9) oyuna girdi [IP: 178.233.46.143]
2:44:38 | sezzer(7): bildirdim knk okuyabilirsin
2:44:40 | [CMD] sezzer(7) => /geldim
2:44:40 | VIPTRUCKS(10) oyuna girdi [IP: 92.45.79.244]
2:44:44 | 
2:44:46 | {FFCC00}CagatayBro(9) {FFFFFF}Kamyoncu olarak spawn oldu.
2:44:47 | tavsanpaladin55(11): tm knk bakayým bi
2:44:47 | [CMD] Reader(6) => /cevir
2:44:55 | [CMD] sezzer(7) => /meslek
2:44:59 | [CMD] CagatayBro(9) => /pm 7 Cetosla Saylear
2:44:59 | VIPTRUCKS(10) oyundan cIktI (Hata/Crash) (IP: 92.45.79.244)
2:45:3 | sezzer(7) Itfaiyeci olarak spawn oldu.
2:45:11 | [CMD] sezzer(7) => /pm 9 o ne la
2:45:16 | [CMD] CagatayBro(9) => /pm 7 face 
2:45:26 | [CMD] CagatayBro(9) => /pm 7 þu modun agzýna sýcacagým
2:45:27 | [CMD] sezzer(7) => /pm 9 pp de ne var
2:45:27 | [CMD] Reader(6) => /cevir
2:45:30 | [CMD] Reader(6) => /cevir
2:45:31 | [CMD] CagatayBro(9) => /pm 7 o dereceye geldim
2:45:35 | [CMD] CagatayBro(9) => /pm 7 yok bir þey 
2:45:37 | VIPTRUCKS(12) oyuna girdi [IP: 92.45.79.244]
2:45:52 | [CMD] sezzer(7) => /pm 9 tmm 
2:45:59 | VIPTRUCKS(12) oyundan cIktI (Hata/Crash) (IP: 92.45.79.244)
2:46:3 | Reader(6): forumla envanterin ne ilgisi var
2:46:14 | Freezer3543(8): Ben yasadým
2:46:17 | CagatayBro(9): vip filan aldýgýn zaman
2:46:26 | [CMD] Reader(6) => /tamir
2:46:27 | [CMD] Reader(6) => /cevir
2:46:31 | Freezer3543(8): Eski hesap çalýndý kayýt oldugumda bu adla kayýt oldum veriler aktarýldý
2:46:31 | CagatayBro(9): he pardon
2:46:34 | tavsanpaladin55(11): Readar
2:46:40 | tavsanpaladin55(11): çarýn sýfýrlanabiliyo
2:46:44 | [CMD] sezzer(7) => /pm 9 çýkmýyo la
2:46:48 | [CMD] CagatayBro(9) => /pm 7 sen ver
2:46:54 | tavsanpaladin55(11): eðer ss in olup foruma atarsan geri alýrsýn skor envanterini
2:47:6 | sezzer(7): ya olm adama face aç diyoz
2:47:9 | sezzer(7): gidiyo
2:47:9 | Reader(6): 2 gün sonra kayýt olucam ben de
2:47:14 | sezzer(7): cetosla saylear diye açýyo
2:47:18 | sezzer(7): insan gibi biþe açsana
2:47:19 | [KAMYONCU] Reader, Quarry Top'den LS Construction Site'e Cimento tasidi. Kazanc: 6616$, 2 Skor ve 5 EXP Sure: 247 Saniye
2:47:20 | sezzer(7): nasý bulcam mk
2:47:22 | Reader(6): hüseyin adminden kaçýcam ama olsun
2:47:36 | [CMD] Freezer3543(8) => /rescue
2:47:49 | [CMD] sezzer(7) => /pm 9 sezer kadiroðlu pp de pizzacýdaki zayýf adamýn fotosu var
2:47:52 | [CMD] Freezer3543(8) => /kemer
2:47:54 | [CMD] Freezer3543(8) => /modifiye
2:48:15 | [CMD] sezzer(7) => /hayatziplamasi
2:48:15 | Reader(6): hangi komutla ýþýnlanýyodum
2:48:15 | [CMD] Freezer3543(8) => /tamir
2:48:17 | [CMD] sezzer(7) => /hayatziplamasi
2:48:19 | tavsanpaladin55(11):  /rescue
2:48:22 | [CMD] Reader(6) => /rascue
2:48:22 | sezzer(7): ben bi relog
2:48:23 | sezzer(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
2:48:25 | [CMD] CagatayBro(9) => /pm 7 kabul et
2:48:25 | [CMD] Reader(6) => /rescue
2:48:46 | [CMD] Reader(6) => /rescue
2:48:50 | sezzer(7) oyuna girdi [IP: 88.237.52.158]
2:49:1 | 
2:49:3 | [CMD] Reader(6) => /afk
2:49:5 | {FFCC00}sezzer(7) {FFFFFF}Kamyoncu olarak spawn oldu.
2:49:8 | [CMD] sezzer(7) => /meslek
2:49:11 | sezzer(7) Itfaiyeci olarak spawn oldu.
2:49:13 | [CMD] sezzer(7) => /sa
2:49:15 | [CMD] Freezer3543(8) => /as
2:49:30 | [CMD] tavsanpaladin55(11) => /as
2:49:53 | [CMD] tavsanpaladin55(11) => /rescue
2:49:53 | [CMD] CagatayBro(9) => /pm 7 kabul et
2:50:22 | Reader(6): ben çkym
2:50:25 | [CMD] Reader(6) => /geldim
2:50:26 | Freezer3543(8): ßß
2:50:28 | tavsanpaladin55(11): bb
2:50:36 | Reader(6): yarýn inþ adminler oyunda olmaz
2:50:44 | Reader(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
2:50:53 | [CMD] Freezer3543(8) => /tamir
2:51:8 | tavsanpaladin55(11): nabýyýn orda mk 
2:51:9 | tavsanpaladin55(11): q:WEQ:EWQ
2:51:35 | [CMD] Freezer3543(8) => /tamir
2:51:38 | [CMD] tavsanpaladin55(11) => /akilitle
2:51:41 | [CMD] tavsanpaladin55(11) => /modifiye
2:51:43 | [CMD] Freezer3543(8) => /tamir
2:51:48 | [CMD] tavsanpaladin55(11) => /tamir
2:52:8 | [CMD] Freezer3543(8) => /tamir
2:52:20 | [CMD] tavsanpaladin55(11) => /ise
2:52:38 | [CMD] Freezer3543(8) => /tamir
2:52:50 | [CMD] Freezer3543(8) => /tamirw
2:52:52 | [CMD] Freezer3543(8) => /tamirw
2:52:54 | [CMD] Freezer3543(8) => /tamir
2:53:16 | Freezer3543(8): Polisken turismo ile hýz yaparsýn radar sýkýntýsý yok cok guzel :D
2:53:36 | tavsanpaladin55(11): Ýtfaiyecidede
2:53:40 | tavsanpaladin55(11): yakalanmazsýn
2:53:43 | Freezer3543(8): Aynen
2:54:2 | Freezer3543(8): Arabam kaldý la :D
2:54:9 | Freezer3543(8): Aha :D
2:54:16 | [CMD] Freezer3543(8) => /rescue
2:54:17 | tavsanpaladin55(11): gel bakalým :D
2:54:26 | [CMD] Freezer3543(8) => /kemer
2:54:40 | [CMD] Freezer3543(8) => /modifiye
2:54:48 | tavsanpaladin55(11): týr yakalýyosun bakalým tavþan da yakalayabilicekmisin
2:54:54 | Freezer3543(8): aslkdöasldöaslkdö
2:55:5 | Freezer3543(8): Oraya kadar gitmisin
2:55:9 | Freezer3543(8): Bir de bullet
2:55:19 | tavsanpaladin55(11): :D
2:55:50 | CagatayBro(9) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
2:56:0 | [CMD] Freezer3543(8) => /tamir
2:56:23 | (BANKA) sezzer(7) 2025 nolu banka hesabindan 10000000$ cekti.
2:56:34 | [CMD] sezzer(7) => /gobus
2:56:36 | [CMD] Freezer3543(8) => /rescue
2:56:36 | [CMD] tavsanpaladin55(11) => /cevir
2:56:37 | [CMD] sezzer(7) => /icerigir
2:56:38 | [CMD] tavsanpaladin55(11) => /tamir
2:56:40 | [CMD] sezzer(7) => /isyerimenu
2:56:41 | [CMD] sezzer(7) => /isyerimenu
2:56:42 | [CMD] Freezer3543(8) => /kemer
2:56:48 | [CMD] sezzer(7) => /icerigir
2:56:49 | tavsanpaladin55(11): iyi numara he
2:56:49 | [CMD] sezzer(7) => /isyerimenu
2:56:51 | [CMD] sezzer(7) => /isyerimenu
2:56:57 | [CMD] sezzer(7) => /icerigir
2:56:58 | [CMD] sezzer(7) => /isyerimenu
2:56:59 | [CMD] sezzer(7) => /isyerimenu
2:57:1 | [CMD] sezzer(7) => /isyerimenu
2:57:15 | [CMD] sezzer(7) => /rescue
2:57:20 | [CMD] sezzer(7) => /rescue
2:57:26 | [CMD] sezzer(7) => /meslek
2:57:28 | {FFCC00}sezzer(7) {FFFFFF}Kamyoncu olarak spawn oldu.
2:57:31 | [CMD] sezzer(7) => /rescue
2:58:27 | [CMD] sezzer(7) => /cevir
2:59:2 | [CMD] sezzer(7) => /galeri
2:59:13 | [CMD] tavsanpaladin55(11) => /kemer
2:59:17 | [CMD] Freezer3543(8) => /rescue
2:59:24 | [CMD] Freezer3543(8) => /kemer
3:0:23 | sezzer(7): þu araç slotu artýrýlda bee
3:0:28 | sezzer(7): huntley alcam alamýyom
3:1:0 | tavsanpaladin55(11): Mutant geliyor
3:1:57 | sezzer(7): mutant kim
3:2:0 | tavsanpaladin55(11): free
3:2:8 | sezzer(7): free sex
3:2:11 | Freezer3543(8): :D
3:2:19 | [CMD] tavsanpaladin55(11) => /cevir
3:2:23 | tavsanpaladin55(11): qwewqewqqw
3:4:5 | [CMD] Freezer3543(8) => /pm 7 Aga senin turismo alayým mý 
3:4:10 | [CMD] Freezer3543(8) => /pm 7 Daha kolay
3:4:23 | [CMD] tavsanpaladin55(11) => /tamir
3:4:31 | tavsanpaladin55(11): :QWEW:QEq
3:4:31 | Freezer3543(8): hehehehe
3:4:46 | tavsanpaladin55(11): tamir ettim calýstýrdým
3:4:49 | tavsanpaladin55(11): gene kapandý motor
3:4:53 | Freezer3543(8): Biliyorum :D
3:5:21 | tavsanpaladin55(11): yedigim ilk hapis
3:5:32 | sezzer(7): geldim
3:5:35 | Freezer3543(8): Siftah olsun
3:5:37 | [CMD] sezzer(7) => /pm 8 afk dým knk pardon
3:5:39 | tavsanpaladin55(11): sezer
3:5:41 | sezzer(7): he
3:5:42 | tavsanpaladin55(11): beni kaçýr
3:5:42 | [CMD] Freezer3543(8) => /pm 7 Nope knk
3:5:52 | [CMD] Freezer3543(8) => /tamir
3:6:0 | sezzer(7): suriyelilerle seviþmiyorum üzgünüm
3:6:3 | Freezer3543(8): Oyyyy
3:6:5 | tavsanpaladin55(11): hapisden kaçýr
3:6:8 | tavsanpaladin55(11): aq
3:6:10 | [CMD] sezzer(7) => /araba
3:6:22 | [CMD] Freezer3543(8) => /pm 7 Adamsýn knk
3:6:27 | [CMD] sezzer(7) => /pm 8 np knk
3:6:31 | [CMD] Freezer3543(8) => /kemer
3:6:33 | [CMD] Freezer3543(8) => /modifiye
3:6:34 | sezzer(7): nasý kaçýrýyým mk
3:6:40 | tavsanpaladin55(11): suri del te alhabiak émsu haa
3:6:49 | sezzer(7): büyü günah knk yapma
3:7:5 | [CMD] Freezer3543(8) => /cevir
3:7:5 | tavsanpaladin55(11) Oduncu olarak spawn oldu.
3:7:6 | [CMD] Freezer3543(8) => /tamir
3:7:11 | [CMD] Freezer3543(8) => /tamir
