0:0:1 | nik0tin(9): kenidiniz bulmanýz grekiyor 
17:50:24 | [CMD] Konyali42(31) => /etkgit
17:50:24 | [CMD] huseyin(12) => /goto  12 
17:50:25 | [CMD] huseyin(12) => /goto  12 
17:50:25 | [CMD] huseyin(12) => /goto  12 
17:50:25 | [CMD] testere151(25) => /a ben yukarda beklicem
17:50:27 | [CMD] huseyin(12) => /goto  12 
17:50:27 | Beyto(21): yanlýþ yere doðru açtýn etkinliði admin
17:50:27 | [CMD] huseyin(12) => /goto  12 
17:50:28 | [CMD] huseyin(12) => /goto  12 
17:50:28 | [CMD] BLuuFs(29) => /etkgit
17:50:29 | [CMD] huseyin(12) => /goto  12 
17:50:29 | [CMD] DangerTr07(16) => /Etk baslat Kýrmýzý Bina'ya Çýk Nrg 500 
17:50:30 | [ANTIHACK] Þüpheli huseyin(12) => Airbreak-hack
17:50:31 | TheS1LKENAdam(26): Oktay
17:50:31 | [CMD] huseyin(12) => /vtamir
17:50:31 | GravLaunch(23): aynen
17:50:32 | 
17:50:32 | [CMD] [A.s.i]KraL(19) => /etkgit
17:50:33 | Beyto(21): millet yerin içinde :d
17:50:34 | [LOCAL]nik0tin(27): tek oluyon karý laf ediyo ay sapýk yok þu bu :D 
17:50:34 | [CMD] nik0tin(27) => /l tek oluyon karý laf ediyo ay sapýk yok þu bu :D 
17:50:34 | [CMD] DangerTr07(16) => /etks
17:50:34 | GravLaunch(23): çevir lütfen
17:50:36 | [LOCAL]huseyin(12): .d
17:50:36 | [CMD] huseyin(12) => /l .d
17:50:36 | [CMD] DangerTr07(16) => /Etk baslat Kýrmýzý Bina'ya Çýk Nrg 500 
17:50:37 | {FFCC00}kral0(9) {FFFFFF}Kamyoncu olarak spawn oldu.
17:50:38 | [CMD] DangerTr07(16) => /etk sirala
17:50:39 | [CMD] GravLaunch(23) => /etkgit
17:50:40 | [CMD] berat7345(34) => /etkgit
17:50:40 | [CMD] qaqash(24) => /etkgit
17:50:40 | [CMD] BLuuFs(29) => /pm 30 15 skor yok :D
17:50:40 | [CMD] DangerTr07(16) => /etk sirala
17:50:40 | [CMD] HeRquL(6) => /etkgit
17:50:42 | [CMD] nik0tin(27) => /animkapat 
17:50:43 | [CMD] Sttder(32) => /etkgit
17:50:43 | [CMD] DangerTr07(16) => /etk sirala
17:50:44 | [CMD] qaqash(24) => /etkgit
17:50:45 | [CMD] kral0(9) => /etkgir
17:50:45 | TheS1LKENAdam(26): Evet S1lken demiþtin seni dinliyorum?
17:50:45 | KorkusuzKorkak(10) oyuna girdi [IP: 94.120.199.121]
17:50:47 | GravLaunch(23): öbür tarafa hizala
17:50:47 | [CMD] kral0(9) => /etkgit
17:50:48 | 
17:50:49 | [CMD] DangerTr07(16) => /etk sirala
17:50:50 | qaqash(24): skstm ben
17:50:50 | [CMD] nik0tin(27) => /god 
17:50:50 | [CMD] [A.s.i]KraL(19) => /etkayril
17:50:50 | [CMD] Baskan[01](28) => /tamir
17:50:50 | [CMD] HeRquL(6) => /dondur 6 6 d
17:50:51 | [LOCAL]Jodor(35): geldim sudayým
17:50:51 | [CMD] Jodor(35) => /l geldim sudayým
17:50:52 | qaqash(24): kaldm burda
17:50:54 | {FFCC00}oktayacar(8) {FFFFFF}Kamyoncu olarak spawn oldu.
17:50:55 | BLuuFs(29): admin bey 10 skor evrsene :D
17:50:55 | [CMD] DangerTr07(16) => /etk sirala
17:50:55 | [CMD] [A.s.i]KraL(19) => /etkcik
17:50:56 | [CMD] oktayacar(8) => /etkgit
17:50:57 | Sttder(32): buga girdim?
17:50:59 | [CMD] ASLANBEY(13) => /ise
17:50:59 | [ARAC] TIRCI(7), 316 ID'li @Sentinel model araci 13000000$'a satin aldi.
17:50:59 | {FFCC00}[A.s.i]KraL(19) {FFFFFF}Pilot olarak spawn oldu.
17:51:0 | [CMD] [A.s.i]KraL(19) => /etkgit
17:51:1 | [CMD] DangerTr07(16) => /etk sirala
17:51:2 | [ANTIHACK] Þüpheli iYasinBey(14) => Airbreak-hack
17:51:2 | [CMD] qaqash(24) => /etkgit
17:51:2 | [LOCAL]Jodor(35): nbr niko
17:51:2 | [CMD] Jodor(35) => /l nbr niko
17:51:2 | [A.s.i]KraL(19): adm,n
17:51:3 | [CMD] ASLANBEY(13) => /ise
17:51:4 | Gezegen(17): çaktýrma:d
17:51:4 | [CMD] kral0(9) => /sac
17:51:4 | [CMD] qaqash(24) => /etkcik
17:51:4 | huseyin(12) oyundan cIktI (Hata/Crash) (IP: 88.232.175.32)
17:51:6 | TheS1LKENAdam(26): Evet
17:51:6 | 
17:51:6 | [A.s.i]KraL(19): beni de alll
17:51:6 | [CMD] ASLANBEY(13) => /ise
17:51:6 | [CMD] TIRCI(7) => /araba
17:51:6 | [CMD] HeRquL(6) => /car nrg 1 2
17:51:6 | [CMD] qaqash(24) => /etkgit
17:51:7 | [CMD] HeRquL(6) => /car nrg 1 2
17:51:8 | [A.s.i]KraL(19): :D
17:51:8 | [CMD] HeRquL(6) => /car nrg 1 2
17:51:8 | [CMD] ASLANBEY(13) => /ise
17:51:8 | qaqash(24) Mafya olarak spawn oldu.
17:51:8 | Gezegen(17): çaktýrma:d
17:51:9 | [CMD] HeRquL(6) => /car nrg 1 2
17:51:10 | [CMD] qaqash(24) => /etkgit
17:51:11 | oktayacar(8): tekrar
17:51:11 | [CMD] HeRquL(6) => /car nrg 1 2
17:51:11 | [CMD] DangerTr07(16) => /a lan adamlar çekilmiyor
17:51:12 | TheS1LKENAdam(26):  /etkgit
17:51:12 | [CMD] ASLANBEY(13) => /31
17:51:12 | [CMD] HeRquL(6) => /car nrg 1 2
17:51:13 | Konyali42(31): herqul
17:51:13 | [LOCAL]nik0tin(27): valla yaþamay açalýþýyom 
17:51:13 | [CMD] nik0tin(27) => /l valla yaþamay açalýþýyom 
17:51:13 | TheS1LKENAdam(26):  /etkgit
17:51:13 | [CMD] HeRquL(6) => /car nrg 1 2
17:51:14 | [CMD] HeRquL(6) => /car nrg 1 2
17:51:14 | {FFCC00}KorkusuzKorkak(10) {FFFFFF}Kamyoncu olarak spawn oldu.
17:51:15 | [CMD] qaqash(24) => /etkgit
17:51:15 | [CMD] HeRquL(6) => /car nrg 1 2
17:51:16 | [CMD] Sttder(32) => /etkgit
17:51:16 | [CMD] HeRquL(6) => /car nrg 1 2
17:51:16 | [CMD] [A.s.i]KraL(19) => /etkgit
17:51:17 | [CMD] DangerTr07(16) => /etk sirala
17:51:17 | [CMD] Konyali42(31) => /d selcuk
17:51:18 | [CMD] DangerTr07(16) => /etk sirala 1
17:51:18 | [CMD] BLuuFs(29) => /etkgit
17:51:19 | huseyin(12) oyuna girdi [IP: 88.232.175.32]
17:51:19 | [CMD] ASLANBEY(13) => /31,
17:51:19 | [CMD] HeRquL(6) => /car nrg 1 2
17:51:19 | qaqash(24): gelmiyoki
17:51:21 | [CMD] berat7345(34) => /sac
17:51:21 | qaqash(24): gelmiyoki
17:51:22 | [CMD] HeRquL(6) => /car nrg 1 2
17:51:22 | [LOCAL]Jodor(35): gidip biraz görev yapayým
17:51:22 | [CMD] Jodor(35) => /l gidip biraz görev yapayým
17:51:22 | [LOCAL]nik0tin(27): istanbul minibüslerinden 
17:51:22 | [CMD] nik0tin(27) => /l istanbul minibüslerinden 
17:51:22 | Sttder(32): sýkýþtým yerin içinde
17:51:22 | [CMD] CCezaaa(18) => /rtkgit
17:51:23 | [A.s.i]KraL(19): gitmiyo 
17:51:23 | [CMD] HeRquL(6) => /car nrg 1 2
17:51:25 | [CMD] qaqash(24) => /etkgit
17:51:26 | [CMD] ASLANBEY(13) => /animkapat
17:51:26 | [CMD] KorkusuzKorkak(10) => /etkgit
17:51:27 | [CMD] DangerTr07(16) => /etk sirala 1
17:51:28 | [CMD] ASLANBEY(13) => /animkapat
17:51:28 | TheS1LKENAdam(26): Hmm
17:51:28 | [CMD] HeRquL(6) => /d evet
17:51:29 | 
17:51:30 | [CMD] DangerTr07(16) => /etk sirala 1
17:51:31 | [ANTIHACK] Þüpheli testere151(25) => Airbreak-hack
17:51:31 | huseyin(12) Mafya olarak spawn oldu.
17:51:31 | [CMD] HeRquL(6) => /d evet
17:51:32 | [LOCAL]Jodor(35): rezillik ya trafik
17:51:32 | [CMD] Jodor(35) => /l rezillik ya trafik
17:51:32 | [LOCAL]nik0tin(27): dolmuþlar varya 
17:51:32 | [CMD] nik0tin(27) => /l dolmuþlar varya 
17:51:32 | [OTOBUSCU] Baskan[01], Duzce Otogar'den Las Venturas Otogar'e Yolcu tasidi. Kazanc: 23429$ ve 3 Skor Sure: 651 Saniye
17:51:32 | [CMD] qaqash(24) => /etkgit
17:51:33 | [CMD] HeRquL(6) => /car nrg 1 2
17:51:34 | [CMD] HeRquL(6) => /car nrg 1 2
17:51:35 | [CMD] HeRquL(6) => /car nrg 1 2
17:51:35 | [CMD] huseyin(12) => /goto nik0tin
17:51:35 | [CMD] huseyin(12) => /goto nik0tin
17:51:36 | [CMD] HeRquL(6) => /car nrg 1 2
17:51:36 | [CMD] DangerTr07(16) => /etk sirala 1
17:51:36 | [CMD] Konyali42(31) => /d ts de dj perm ver :D
17:51:36 | [CMD] huseyin(12) => /goto nik0tin
17:51:36 | [CMD] berat7345(34) => /d ?
17:51:37 | [CMD] DangerTr07(16) => /etk sirala 
17:51:37 | KorkusuzKorkak(10) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
17:51:37 | [CMD] huseyin(12) => /goto :D
17:51:38 | [CMD] [A.s.i]KraL(19) => /pm 16 aç gelim
17:51:38 | [LOCAL]nik0tin(27): bi dolu bi dolu 
17:51:38 | [CMD] nik0tin(27) => /l bi dolu bi dolu 
17:51:38 | BaRan_ReiS(11): mola
17:51:39 | [LOCAL]Jodor(35): biliyorum
17:51:39 | [CMD] Jodor(35) => /l biliyorum
17:51:39 | ASLANBEY(13): danger animkapanmýyor
17:51:39 | [CMD] huseyin(12) => /admgiris
17:51:40 | oktayacar(8) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
17:51:40 | [CMD] [eN]Overlord(20) => /geldim
17:51:40 | [CMD] DangerTr07(16) => /A lan çekilmyior
17:51:41 | [CMD] [eN]Overlord(20) => /skapat
17:51:43 | [CMD] [A.s.i]KraL(19) => /etkgit
17:51:44 | [LOCAL]nik0tin(27): baðdat cd bilirsin 
17:51:44 | [CMD] nik0tin(27) => /l baðdat cd bilirsin 
17:51:44 | qaqash(24): yaniniza cekin
17:51:44 | [CMD] [A.s.i]KraL(19) => /etkgit
17:51:44 | [CMD] huseyin(12) => /goto nik 
17:51:45 | [CMD] [A.s.i]KraL(19) => /etkgit
17:51:45 | DangerTr07(16): Düþenler id versin 
17:51:45 | [CMD] [A.s.i]KraL(19) => /etkgit
17:51:46 | [CMD] [eN]Overlord(20) => /D herqul
17:51:46 | [CMD] [A.s.i]KraL(19) => /etkgit
17:51:46 | [CMD] ASLANBEY(13) => /animkapat
17:51:46 | [CMD] HeRquL(6) => /d verdim gitti
17:51:47 | [CMD] [A.s.i]KraL(19) => /etkgit
17:51:47 | berat7345(34): la ben yerdeyim
17:51:47 | [CMD] DangerTr07(16) => /Get 24 
17:51:48 | [CMD] huseyin(12) => /dtemizle 
17:51:48 | [CMD] huseyin(12) => /asay2 s  
17:51:49 | [LOCAL]Jodor(35): her türlü rezillik
17:51:49 | [CMD] Jodor(35) => /l her türlü rezillik
17:51:49 | [CMD] HeRquL(6) => /d evet
17:51:50 | [CMD] [eN]Overlord(20) => /d çeker misin 
17:51:51 | [CMD] DangerTr07(16) => /Get 21
17:51:52 | [LOCAL]huseyin(12): ne
17:51:52 | [CMD] huseyin(12) => /l ne
17:51:53 | [CMD] ASLANBEY(13) => /dans 2
17:51:54 | [CMD] huseyin(12) => /cantazele
17:51:54 | [CMD] DangerTr07(16) => /Get 19
17:51:56 | [CMD] HeRquL(6) => /ger over
17:51:56 | [CMD] DangerTr07(16) => /Etk dondur
17:51:57 | Sttder(32): ben
17:51:57 | [CMD] huseyin(12) => /myskin 181
17:51:58 | [LOCAL]nik0tin(27): istanbul :D 
17:51:58 | [CMD] nik0tin(27) => /l istanbul :D 
17:51:59 | [CMD] HeRquL(6) => /d nereye
17:52:0 | [CMD] DangerTr07(16) => /Get 34
17:52:0 | qaqash(24): dondurma
17:52:0 | [LOCAL]Jodor(35): istanbul trafiði :)
17:52:0 | [CMD] Jodor(35) => /l istanbul trafiði :)
17:52:1 | qaqash(24): danger
17:52:2 | [CMD] [eN]Overlord(20) => /d yanýna
17:52:3 | [LOCAL]huseyin(12): .d
17:52:3 | [CMD] huseyin(12) => /l .d
17:52:4 | [CMD] DangerTr07(16) => /Etk dondur
17:52:4 | qaqash(24): doverim bak wqewqeqdq
17:52:7 | [CMD] DangerTr07(16) => /Get 31
17:52:8 | [CMD] DangerTr07(16) => /Etk dondur
17:52:9 | [CMD] ASLANBEY(13) => /animkapat
17:52:9 | TheS1LKENAdam(26): Jonny sins in türk abur cuburlarýný tattýgý video Türkiye de
17:52:11 | [CMD] HeRquL(6) => /get over
17:52:12 | DangerTr07(16): baþka
17:52:13 | [ANTIHACK] Þüpheli iYasinBey(14) => Airbreak-hack
17:52:14 | Gezegen(17): :D
17:52:15 | [CMD] DangerTr07(16) => /Get 32
17:52:16 | [CMD] TIRCI(7) => /rescue
17:52:16 | [CMD] iYasinBey(14) => /cevir
17:52:16 | [CMD] iYasinBey(14) => /cevir
17:52:17 | [CMD] DangerTr07(16) => /Etk dondur
17:52:18 | [CMD] HeRquL(6) => /get 20
17:52:18 | [CMD] iYasinBey(14) => /atamir
17:52:18 | BaRan_ReiS(11): sýlken izledim :D
17:52:18 | TheS1LKENAdam(26): Trendlere girmiþ
17:52:19 | Sttder(32): eyvallah
17:52:19 | [A.s.i]KraL(19): baþlat :Dw
17:52:19 | [CMD] DangerTr07(16) => /Get 9 
17:52:21 | [CMD] DangerTr07(16) => /Etk dondur
17:52:22 | [CMD] huseyin(12) => /silahizni 12 
17:52:22 | [CMD] Jodor(35) => /sigara2
17:52:23 | BaRan_ReiS(11): sýlken izledim :D  1 . trend
17:52:24 | sunyear55(8) oyuna girdi [IP: 176.33.227.28]
17:52:25 | iYasinBey(14): trend 1 de la
17:52:25 | [CMD] huseyin(12) => /giveweapon 12 dildo 1 
17:52:25 | bilal7345(15): aslat
17:52:26 | [CMD] DangerTr07(16) => /Etk coz 
17:52:27 | TheS1LKENAdam(26): aynen
17:52:27 | [CMD] HeRquL(6) => /dondur 6 . 1
17:52:28 | [CMD] iYasinBey(14) => /afk
17:52:29 | bilal7345(15): baslat
17:52:30 | GravLaunch(23): aynent
17:52:30 | [CMD] iYasinBey(14) => /geldim
17:52:30 | [eN]Overlord(20): d etkinlikteymiþiz la
17:52:30 | [CMD] DangerTr07(16) => /Fly
17:52:31 | GravLaunch(23): izledim
17:52:33 | [CMD] DangerTr07(16) => /Etk coz 
17:52:33 | ASLANBEY(13): danger
17:52:34 | [CMD] nik0tin(27) => /sigara 2
17:52:34 | [CMD] DangerTr07(16) => /Etk coz 
17:52:34 | [CMD] HeRquL(6) => /car nrg 1 2
17:52:35 | [CMD] HeRquL(6) => /car nrg 1 2
17:52:36 | [CMD] nik0tin(27) => /sigara2
17:52:36 | [CMD] [eN]Overlord(20) => /pcc
17:52:36 | [CMD] HeRquL(6) => /car nrg 1 2
17:52:37 | ASLANBEY(13): çöz
17:52:37 | [CMD] DangerTr07(16) => /Etk coz 
17:52:38 | TheS1LKENAdam(26): Kral zaten bizi ekranlara kilitliyor
17:52:38 | [CMD] DangerTr07(16) => /Etk coz 
17:52:39 | GravLaunch(23): motor yok
17:52:39 | 
17:52:40 | BaRan_ReiS(11): tutku hariç hiçbiþeyi beðenmedi :D
17:52:41 | Gezegen(17): 1 ben
17:52:42 | [CMD] [eN]Overlord(20) => /D etkinlikteymiþiz 
17:52:42 | [CMD] DangerTr07(16) => /Car nrg 0 0 
17:52:42 | TheS1LKENAdam(26): Bu video yu attý
17:52:42 | [CMD] DangerTr07(16) => /Car nrg 0 0 
17:52:43 | [ANTIHACK] Þüpheli testere151(25) => Airbreak-hack
17:52:43 | [CMD] DangerTr07(16) => /Car nrg 0 0 
17:52:45 | [CMD] HeRquL(6) => /respawn 687
17:52:45 | BoykoXD(10) oyuna girdi [IP: 88.237.99.45]
17:52:45 | BaRan_ReiS(11): tutku hariç hiçbiþeyi beðenmedi :D silken 
17:52:46 | Jodor(35): hüseyin tokatlýyor
17:52:46 | [LOCAL]Gezegen(17): 1. ben :D
17:52:46 | [CMD] Gezegen(17) => /l 1. ben :D
17:52:48 | GravLaunch(23): he tamam
17:52:50 | [LOCAL]testere151(25): :QWE
17:52:50 | [CMD] testere151(25) => /l :QWE
17:52:50 | [CMD] HeRquL(6) => /car nrg 1 2
17:52:52 | [LOCAL]Baskan[01](28): ls deyim
17:52:52 | [CMD] Baskan[01](28) => /l ls deyim
17:52:52 | [CMD] HeRquL(6) => /car nrg 1 2
17:52:52 | [ANTIHACK] Þüpheli Sttder(32) => Airbreak-hack
17:52:52 | [ANTIHACK] Þüpheli Konyali42(31) => Airbreak-hack
17:52:53 | TheS1LKENAdam(26): Kesin Kanal D De çýkar haberlere
17:52:55 | GravLaunch(23): lavivayý çok sevdi adam .d
17:52:55 | [CMD] [eN]Overlord(20) => /kemer
17:52:55 | [LOCAL]DangerTr07(16): gezegen won 
17:52:55 | [CMD] DangerTr07(16) => /l gezegen won 
17:52:56 | KorkusuzKorkak(33) oyuna girdi [IP: 94.120.199.121]
17:52:56 | [CMD] Baskan[01](28) => /rescue
17:52:56 | [LOCAL]Gezegen(17): :d BU iþi biliyom
17:52:56 | [CMD] Gezegen(17) => /L :d BU iþi biliyom
17:52:58 | 
17:52:59 | [CMD] Konyali42(31) => /kemer
17:53:0 | {FFCC00}BoykoXD(10) {FFFFFF}Kamyoncu olarak spawn oldu.
17:53:0 | [CMD] HeRquL(6) => /car nrg 1 2
17:53:0 | BaRan_ReiS(11): tutku hariç hiçbiþeyi beðenmedi :D 
17:53:1 | [CMD] HeRquL(6) => /car nrg 1 2
17:53:1 | ASLANBEY(13): kýrmýzý bina idi deðil mi
17:53:1 | DangerTr07(16): 1'rinci Gezegen 
17:53:2 | Sttder(32): amaç ne?
17:53:2 | [CMD] HeRquL(6) => /car nrg 1 2
17:53:2 | oktayacar[EGM(36) oyuna girdi [IP: 94.120.199.121]
17:53:3 | [CMD] GravLaunch(23) => /d istek varmý
17:53:3 | [CMD] HeRquL(6) => /car nrg 1 2
17:53:4 | DangerTr07(16): 2 kim olcak 
17:53:4 | [CMD] BoykoXD(10) => /admgiris
17:53:4 | [CMD] HeRquL(6) => /car nrg 1 2
17:53:5 | [LOCAL]Gezegen(17): la sezer
17:53:5 | [CMD] Gezegen(17) => /l la sezer
17:53:5 | [CMD] HeRquL(6) => /car nrg 1 2
17:53:8 | DangerTr07(16): tamadmir
17:53:8 | GravLaunch(23): lavivayý beðendi
17:53:8 | [CMD] HeRquL(6) => /animkapat
17:53:9 | [CMD] iYasinBey(14) => /a aha biyko geldi...
17:53:10 | [CMD] huseyin(12) => /cantazele
17:53:10 | DangerTr07(16): 2 asi kral 
17:53:11 | [CMD] BoykoXD(10) => /sa
17:53:12 | [CMD] iYasinBey(14) => /a aha biyko geldi...
17:53:13 | [CMD] iYasinBey(14) => /as
17:53:14 | [CMD] BaRan_ReiS(11) => /as
17:53:14 | [CMD] TIRCI(7) => /as
17:53:14 | [CMD] Konyali42(31) => /as
17:53:15 | [CMD] berat7345(34) => /as
17:53:16 | [CMD] huseyin(12) => /goto 6 
17:53:17 | [CMD] GravLaunch(23) => /d istek varmý
17:53:17 | [CMD] HeRquL(6) => /fly
17:53:17 | [CMD] GravLaunch(23) => /d istek varmý
17:53:19 | [CMD] Baskan[01](28) => /work
17:53:20 | [CMD] DangerTr07(16) => /odul
17:53:20 | [CMD] berat7345(34) => /d yok
17:53:20 | [CMD] TheS1LKENAdam(26) => /as
17:53:21 | [CMD] Gezegen(17) => /pm 25 :D
17:53:21 | [CMD] BoykoXD(10) => /a nasýlsýnýz
17:53:21 | ASLANBEY(13): baþla demedn ki
17:53:23 | [SirketCHT] Jodor(35): ! konyalý hayýrlý olsun
17:53:23 | [CMD] DangerTr07(16) => /odul 17
17:53:23 | [CMD] BLuuFs(29) => /motor
17:53:23 | 
17:53:23 | [A.s.i]KraL(19): siraya dizilin :d
17:53:24 | [CMD] DangerTr07(16) => /odul 17
17:53:24 | [CMD] huseyin(12) => /giveweapon 12 satch 5000 
17:53:25 | [CMD] DangerTr07(16) => /odul 17
17:53:25 | [CMD] testere151(25) => /pm 17 :D
17:53:26 | [CMD] DangerTr07(16) => /odul 17
17:53:26 | ASLANBEY(13): danger
17:53:26 | [CMD] iYasinBey(14) => /a iyiyik
17:53:28 | [CMD] TIRCI(7) => /araba
17:53:29 | qaqash(24): noldu ki
17:53:30 | [CMD] BoykoXD(10) => /dtemizle
17:53:30 | [CMD] Konyali42(31) => /d aga as den sonra . nasil koyuyorsunuz
17:53:31 | [CMD] Gezegen(17) => /pm 25 kaçýncý çýkýþým bea
17:53:31 | [CMD] DangerTr07(16) => /odul 19
17:53:31 | ASLANBEY(13): böyle etk mi olur
17:53:31 | [CMD] iYasinBey(14) => /a ne etk siydi bu
17:53:32 | qaqash(24): >
17:53:33 | [CMD] BoykoXD(10) => /admins
17:53:35 | [CMD] HeRquL(6) => /a 2. ye 3 odul 3.2 odul
17:53:35 | qaqash(24): aynen
17:53:36 | [CMD] GravLaunch(23) => /asay Istek þarký olmadýðý için DJ kendi seçtiði bir þarkýyý açtý. 
17:53:36 | [CMD] DangerTr07(16) => /Etk spawn 
17:53:36 | {FFCC00}[A.s.i]KraL(19) {FFFFFF}Pilot olarak spawn oldu.
17:53:36 | {FFCC00}Gezegen(17) {FFFFFF}Kamyoncu olarak spawn oldu.
17:53:36 | 
17:53:36 | {FFCC00}Sttder(32) {FFFFFF}Pilot olarak spawn oldu.
17:53:36 | {FFCC00}testere151(25) {FFFFFF}Kamyoncu olarak spawn oldu.
17:53:37 | [eN]Overlord(20): Týrcý
17:53:38 | AnLBurAk(30): lan map altýnda kaldým
17:53:38 | [CMD] huseyin(12) => /sac
17:53:38 | berat7345(34): dur la bi çýkmayý deneyim X
17:53:39 | TIRCI(7): nasýl
17:53:39 | [CMD] AnLBurAk(30) => /rescue
17:53:40 | [CMD] DangerTr07(16) => /Etk spawn 
17:53:40 | [CMD] testere151(25) => /a püð
17:53:40 | [eN]Overlord(20): ne yaptýn týrcý
17:53:41 | [CMD] HeRquL(6) => /goto dang
17:53:41 | [CMD] Gezegen(17) => /rescue
17:53:41 | berat7345(34): XD
17:53:41 | [CMD] DangerTr07(16) => /Etk spawn 
17:53:41 | 
17:53:42 | [A.s.i]KraL(19): 1tane mý :D
17:53:43 | [CMD] HeRquL(6) => /goto dang
17:53:43 | ASLANBEY(13): çözdün baþla demedin
17:53:45 | [CMD] DangerTr07(16) => /A 1 ve 2 dedim 
17:53:45 | [CMD] TheS1LKENAdam(26) => /adminol
17:53:45 | [CMD] Gezegen(17) => /araba
17:53:46 | [CMD] TheS1LKENAdam(26) => /adminol
17:53:48 | TheS1LKENAdam(26) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
17:53:48 | TIRCI(7): arabamý cektým sen geldýn 
17:53:49 | [LOCAL][eN]Overlord(20): ?
17:53:49 | [CMD] [eN]Overlord(20) => /L ?
17:53:49 | 
17:53:49 | DangerTr07(16): 1 4 ödül 2 1 ödül dedik :D 
17:53:50 | [CMD] HeRquL(6) => /goto dang
17:53:51 | ASLANBEY(13): ben öylece bekliyordum
17:53:51 | [CMD] AnLBurAk(30) => /pm 18 sf deyým 
17:53:51 | [CMD] BoykoXD(10) => /a yunus sen neden a1 oldun
17:53:51 | [CMD] nik0tin(27) => /isteksarki 1386 
17:53:52 | Beyto(21): çýktým
17:53:52 | [CMD] Jodor(35) => /sirket 
17:53:52 | [CMD] DangerTr07(16) => /Etk spawn 
17:53:53 | {FFCC00}bilal7345(15) {FFFFFF}Kamyoncu olarak spawn oldu.
17:53:53 | huseyin(12) Mafya olarak spawn oldu.
17:53:55 | [CMD] berat7345(34) => /asay Ýsteðiniz Sýraya Alýnmýþtýr. 
17:53:55 | [CMD] GravLaunch(23) => /asay Istek þarkýnýz sýraya alýnmýþtýr. 
17:53:55 | [CMD] nik0tin(27) => /sac 
17:53:56 | [CMD] DangerTr07(16) => /cleanupcars
17:53:56 | qaqash(24): damger
17:53:57 | [CMD] huseyin(12) => /goto danger 
17:53:58 | [LOCAL][eN]Overlord(20): iyide bu etkinlik arabasý
17:53:58 | [CMD] [eN]Overlord(20) => /l iyide bu etkinlik arabasý
17:53:58 | qaqash(24): danger
17:53:58 | [CMD] BoykoXD(10) => /djler
17:53:59 | [CMD] TIRCI(7) => /araba
17:54:1 | [CMD] DangerTr07(16) => /cleanupcars
17:54:2 | qaqash(24): baska etk yap
17:54:2 | ASLANBEY(13): çözdün baþla demedin
17:54:2 | [CMD] Konyali42(31) => /d aga
17:54:3 | [CMD] DangerTr07(16) => /cleanupcars
17:54:3 | [CMD] huseyin(12) => /giveewapon 12 satchel 5000 
17:54:4 | [A.s.i]KraL(19): :D
17:54:5 | ASLANBEY(13): ben öylece bekliyordum
17:54:5 | [CMD] DangerTr07(16) => /Cleanupcars
17:54:5 | [ANTIHACK] Þüpheli Konyali42(31) => Airbreak-hack
17:54:6 | [CMD] Sttder(32) => /meslek
17:54:7 | [CMD] BoykoXD(10) => /a h.o beyler
17:54:7 | [CMD] huseyin(12) => /giveweapon 12 satch 5000 
17:54:8 | Beyto(21): geç mi kaldým :D
17:54:10 | [CMD] Konyali42(31) => /d kim aliyor bi dagitim yapalim
17:54:11 | [CMD] BoykoXD(10) => /a pardon
17:54:13 | {FFCC00}sunyear55(8) {FFFFFF}Kamyoncu olarak spawn oldu.
17:54:14 | [CMD] Gezegen(17) => /pm 16 knk sana ne dedim 1. ben olcam dedin bak :D
17:54:15 | oktayacar[EGM(36) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
17:54:15 | [CMD] BoykoXD(10) => /d h.o beyler
17:54:16 | Beyto(21): johny nin videosuna bakýyordum :d
17:54:17 | [CMD] iYasinBey(14) => /atamir
17:54:17 | [LOCAL]TIRCI(7): aracýmý cektým sne geldýn nasýl lo
17:54:17 | [CMD] TIRCI(7) => /l aracýmý cektým sne geldýn nasýl lo
17:54:18 | [CMD] DangerTr07(16) => /Etk spawn
17:54:18 | {FFCC00}BLuuFs(29) {FFFFFF}Kamyoncu olarak spawn oldu.
17:54:18 | [CMD] testere151(25) => /isteksarki 1617
17:54:19 | KorkusuzKorkak(33) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
17:54:20 | ASLANBEY(13): danger baþla demedin ki
17:54:20 | [CMD] [eN]Overlord(20) => /D TeamViewer'dan benim Keybinder'i ayarlayacak var moý
17:54:20 | [CMD] Konyali42(31) => /etkcik
17:54:21 | [CMD] testere151(25) => /isteksarki 1610
17:54:21 | [CMD] BoykoXD(10) => /rescue
17:54:22 | {FFCC00}iYasinBey(14) {FFFFFF}Kamyoncu olarak spawn oldu.
17:54:23 | [LOCAL][eN]Overlord(20): bende anlamadým
17:54:23 | [CMD] [eN]Overlord(20) => /l bende anlamadým
17:54:24 | iYasinBey(14): ya kim vuruyor aracýma
17:54:25 | [CMD] testere151(25) => /isteksarki 1600
17:54:25 | {FFCC00}Konyali42(31) {FFFFFF}Kamyoncu olarak spawn oldu.
17:54:25 | [CMD] nik0tin(27) => /d h.o konyalý 
17:54:26 | {FFCC00}Sttder(32) {FFFFFF}Kamyoncu olarak spawn oldu.
