0:0:3 | [CMD] Jodor(16) => /vtamir
18:56:16 | [SirketCHT] DarkFlow(27): ! ok 
18:56:18 | [CMD] Moskova_Kurdu(12) => /a bende ikinizin :D
18:56:18 | [CMD] sezzer(32) => /animkapat
18:56:18 | [CMD] iYasinBey(19) => /a off
18:56:21 | [CMD] gorkemu24(15) => /pm 12 ne çabuk yanýna dans etmeye geldý
18:56:21 | Muya(31): bam :D
18:56:22 | {FFCC00}Muya(31) {FFFFFF}Pilot olarak spawn oldu.
18:56:25 | [CMD] Muya(31) => /rescue
18:56:25 | _EmiiR(7) oyuna girdi [IP: 159.146.14.37]
18:56:27 | [CMD] Moskova_Kurdu(12) => /pm 15 bilmem 
18:56:28 | Jodor(28) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
18:56:29 | [CMD] testere151(8) => /a banlarým düzgün dur
18:56:32 | {FFCC00}iYasinBey(19) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
18:56:32 | iYasinBey(19): kendimi öldürdüm la
18:56:35 | [CMD] TIRCI(13) => /kemer
18:56:35 | [CMD] iYasinBey(19) => /a sende dur
18:56:35 | Dark_Alone_(18): :d
18:56:37 | [CMD] TEXAST5(6) => /bangor EmiiR
18:56:37 | Muya(31): shamal kalmamýs lvde :D
18:56:39 | [CMD] oktayacar(17) => /work
18:56:40 | [CMD] iYasinBey(19) => /a durduk yere vuruyon
18:56:43 | [CMD] iYasinBey(19) => /goto 8
18:56:43 | 
18:56:43 | [CMD] sezzer(32) => /rescue
18:56:45 | [CMD] Moskova_Kurdu(12) => /a Yasin tamam
18:56:46 | {FFCC00}_EmiiR(7) Otobus Soforu olarak spawn oldu.
18:56:47 | [CMD] Moskova_Kurdu(12) => /a Uzatma
18:56:49 | [CMD] sezzer(32) => /araba
18:56:50 | [CMD] iYasinBey(19) => /goto 12
18:56:52 | [CMD] iYasinBey(19) => /a o uzatýyor
18:56:53 | [CMD] emre_cool(14) => /meslek
18:56:53 | Jodor(16) oyuna girdi [IP: 88.226.208.152]
18:56:53 | [CMD] Moskova_Kurdu(12) => /a Karþýndaki A 
18:56:55 | TEXAST5(6): emre_cool 
18:56:55 | [CMD] Moskova_Kurdu(12) => /a Karþýndaki A6 
18:56:56 | [CMD] emre_cool(14) => /adminol
18:56:57 | Muya(31): lvde tank kaldý :D
18:56:57 | [CMD] iYasinBey(19) => /a ben neyim
18:56:59 | _EmiiR(7): beyler konvoy sistemi vardý daha hýzlý skor kasýyoduk ne oldu ona
18:57:1 | [CMD] _EmiiR(7) => /ceteler
18:57:1 | ScrappeR(25) oyuna girdi [IP: 178.246.216.205]
18:57:2 | [CMD] Moskova_Kurdu(12) => /a A2 ? 
18:57:2 | [CMD] testere151(8) => /a benmi uzatýyom
18:57:3 | [CMD] _EmiiR(7) => /ekipler
18:57:4 | [CMD] Hisko(23) => /tamir
18:57:4 | TEXAST5(6):  /convoy 
18:57:4 | [CMD] _EmiiR(7) => /yardim
18:57:5 | [CMD] iYasinBey(19) => /a :D
18:57:8 | TEXAST5(6): emre 
18:57:8 | [CMD] gorkemu24(15) => /convoy
18:57:11 | 
18:57:12 | [SirketCHT] gorkemu24(15): !katýl 
18:57:13 | [CMD] iYasinBey(19) => /a kimse uzatmadý konuyu kapat tm
18:57:15 | emre_cool(14): efendim
18:57:16 | 
18:57:16 | [CMD] HeRquL(10) => /goto 12
18:57:17 | [CMD] Dark_Alone_(18) => /c ben ymk yýcem
18:57:18 | [CMD] testere151(8) => /a admininle düzgün konuþ
18:57:18 | {FFCC00}ScrappeR(25) {FFFFFF}Kamyoncu olarak spawn oldu.
18:57:19 | _EmiiR(7): f16 süren bir meslek varmý
18:57:19 | emre_cool(14) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
18:57:20 | [CMD] Dark_Alone_(18) => /c burda kal 
18:57:21 | [CMD] .canskld.(0) => /c ok
18:57:22 | [CMD] gorkemu24(15) => /work
18:57:23 | bilal7345(30): yok
18:57:24 | [CMD] Dark_Alone_(18) => /c gitme bi yere
18:57:25 | [CMD] iYasinBey(19) => /a yav naptým testere
18:57:27 | [SirketCHT] gorkemu24(15): !katýl yapalým
18:57:28 | [CMD] .canskld.(0) => /c okk
18:57:28 | [CMD] ScrappeR(25) => /sa
18:57:29 | [CMD] oktayacar(17) => /t 9
18:57:30 | [CMD] iYasinBey(19) => /as
18:57:31 | bilal7345(30): 7as
18:57:31 | _EmiiR(7): ozel kuvvetci yokmu
18:57:32 | [CMD] bilal7345(30) => /as
18:57:33 | [CMD] BeylerBeyi(11) => /as
18:57:33 | TEXAST5(6): sen map i sancaga atcan 
18:57:33 | [CMD] TIRCI(13) => /as
18:57:34 | Muya(31): testere pesmi ettiniz :D
18:57:34 | [CMD] ScrappeR(25) => /sirket
18:57:35 | [CMD] testere151(8) => /meslek
18:57:35 | [CMD] _EmiiR(7) => /concoy
18:57:36 | [CMD] HeRquL(10) => /a nabünüz olum sakin olun aykünüz mü
18:57:36 | [SirketCHT] .canskld.(0): !görev yaptým beyler :DQWE
18:57:37 | [CMD] BeylerBeyi(11) => /basarimla
18:57:37 | [CMD] _EmiiR(7) => /convo
18:57:37 | [CMD] oktayacar(17) => /t 9
18:57:37 | [CMD] BeylerBeyi(11) => /basarimlar
18:57:38 | [CMD] _EmiiR(7) => /convy
18:57:39 | bilal7345(30): ozel  kuvvet mesleði yok
18:57:39 | [CMD] _EmiiR(7) => /convoy
18:57:42 | [CMD] KorkusuzKorkak(9) => /work
18:57:43 | [SirketCHT] gorkemu24(15): !katýl yapalým
18:57:43 | [CMD] Moskova_Kurdu(12) => /a Sen sus köylü
18:57:45 | {FFCC00}testere151(8) {FFFFFF}Pilot olarak spawn oldu.
18:57:45 | [CMD] _EmiiR(7) => /c s
18:57:47 | [CMD] iYasinBey(19) => /a :ASD
18:57:49 | [CMD] testere151(8) => /rescue
18:57:49 | [CMD] _EmiiR(7) => /c baylaarr
18:57:50 | [CMD] .canskld.(0) => /c hg
18:57:50 | [CMD] oktayacar(17) => /t deneme deneme bir
18:57:51 | [CMD] BeylerBeyi(11) => /cevapla
18:57:51 | TEXAST5(6): @30 bey çevik kuvvet meslegi mevcuttur 
18:57:51 | [CMD] HeRquL(10) => /a ula ne diyisen la sen mq
18:57:51 | [CMD] Dark_Alone_(18) => /c ymk yýcem
18:57:52 | Jodor(16) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
18:57:52 | [CMD] ScrappeR(25) => /convoy
18:57:55 | [CMD] DarkFlow(27) => /rescue
18:57:55 | _EmiiR(7): pilotluk nasý birþey
18:57:56 | [CMD] .canskld.(0) => /c adam yemek yiyor
18:57:57 | [CMD] Dark_Alone_(18) => /pm 27 sa enes reyuz
18:58:0 | [LOCAL]oktayacar(17): las venturas iniþ yapýypom
18:58:0 | [CMD] oktayacar(17) => /l las venturas iniþ yapýypom
18:58:1 | [CMD] ScrappeR(25) => /meslek
18:58:2 | TEXAST5(6):  /yardim >> pilot 
18:58:2 | [SirketCHT] Muya(31): ! meydey (yalan)
18:58:3 | [CMD] Moskova_Kurdu(12) => /a hayat diyom nasýl diyom 
18:58:4 | [CMD] Dark_Alone_(18) => /pm 27 yanlýs pm sory
18:58:4 | emre_cool(14) oyuna girdi [IP: 91.93.48.171]
18:58:5 | bilal7345(30): ozel kuvvet tank fln d iyor
18:58:5 | [CMD] BOZKURT545(36) => /work
18:58:6 | [CMD] _EmiiR(7) => /yardim pilot
18:58:6 | [SirketCHT] Moskova_Kurdu(12): ! Meydey meydey 
18:58:8 | [CMD] gorkemu24(15) => /meslek
18:58:8 | [CMD] BOZKURT545(36) => /goreviptal
18:58:10 | [CMD] BOZKURT545(36) => /work
18:58:10 | [CMD] HeRquL(10) => /a sanane lo cenebet
18:58:10 | [CMD] DarkFlow(27) => /rescue
18:58:10 | TEXAST5(6): hem 
18:58:14 | [CMD] Dark_Alone_(18) => /pm 24 sa enes reyuz
18:58:15 | [CMD] ScrappeR(25) => /basarimlar
18:58:16 | [CMD] ahmet55(20) => /meslek
18:58:17 | 
18:58:17 | _EmiiR(7): ucak surmeye bayýlýrým
18:58:17 | [CMD] Dark_Alone_(18) => /afk
18:58:18 | [SirketCHT] Muya(31): ! pesmi ettiniz la
18:58:21 | [SirketCHT] Moskova_Kurdu(12): ! Uçak düþerken mayday demelerini anlamýyom aqü 
18:58:21 | [CMD] gorkemu24(15) => /meslek
18:58:24 | {FFCC00}gorkemu24(15) {FFFFFF}Kamyoncu olarak spawn oldu.
18:58:25 | [SirketCHT] Muya(31): ! lvde tank unuttunuz :D
18:58:25 | [CMD] BeylerBeyi(11) => /asay Ýstek Þarký Olmadýðý Ýçin Rastgele Açýlmýþtýr...
18:58:25 | [CMD] sezzer(32) => /araba
18:58:26 | [CMD] BeylerBeyi(11) => /asay Ýstek Þarký Ýçin " /isteksarki <id>" Komutu Ýle Bize Bildirebilirsiniz...
18:58:27 | {FFCC00}ahmet55(20) Otobus Soforu olarak spawn oldu.
18:58:27 | {FFCC00}emre_cool(14) {FFFFFF}Kamyoncu olarak spawn oldu.
18:58:27 | [LOCAL]TIRCI(13): sen para ne ýcn býrktýrýyon arabamý alcan 
18:58:27 | [CMD] TIRCI(13) => /l sen para ne ýcn býrktýrýyon arabamý alcan 
18:58:27 | [CMD] gorkemu24(15) => /meslek
18:58:28 | [SirketCHT] Moskova_Kurdu(12): ! Ölcen zaten daha ne meydey meydey 
18:58:29 | [CMD] oktayacar(17) => /rescue
18:58:29 | [CMD] ScrappeR(25) => /meslekskor
18:58:29 | [CMD] emre_cool(14) => /sa
18:58:31 | {FFCC00}gorkemu24(15) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
18:58:31 | [CMD] bilal7345(30) => /pm 6 ben berat texas 
18:58:31 | [CMD] TEXAST5(6) => /as 
18:58:31 | [CMD] .canskld.(0) => /as
18:58:32 | [CMD] DeltaTask123(35) => /as
18:58:32 | [CMD] ScrappeR(25) => /meslek
18:58:32 | [CMD] BeylerBeyi(11) => /as
18:58:33 | [CMD] _EmiiR(7) => /c ben acayýmmý yeni konvoy
18:58:33 | [CMD] TIRCI(13) => /as
18:58:33 | [CMD] Moskova_Kurdu(12) => /goto 31
18:58:35 | [SirketCHT] Muya(31): ! lvde tank unuttunuz :D
18:58:36 | [CMD] gorkemu24(15) => /rescue
18:58:37 | oktayacar(17): arac res pls
18:58:37 | [CMD] _EmiiR(7) => /motor
18:58:39 | [CMD] Moskova_Kurdu(12) => /goto 31
18:58:40 | [CMD] bilal7345(30) => /pm 6 akraba oynuyor da
18:58:41 | [LOCAL]BOZKURT545(36): kumarheneleri bascmw
18:58:41 | [CMD] BOZKURT545(36) => /l kumarheneleri bascmw
18:58:41 | [CMD] DeltaTask123(35) => /convoy
18:58:42 | [CMD] HeRquL(10) => /etk skin 245
18:58:43 | [CMD] .canskld.(0) => /c yok
18:58:45 | [SirketCHT] Moskova_Kurdu(12): ! testo burda ya la 
18:58:47 | [CMD] ScrappeR(25) => /basarimlar
18:58:48 | iYasinBey(19): herqul
18:58:48 | [CMD] Enes_Reyuz(24) => /tamir
18:58:48 | [CMD] .canskld.(0) => /kemer
18:58:49 | [LOCAL]HeRquL(10): D:A:Das.Da 
18:58:49 | [CMD] HeRquL(10) => /l D:A:Das.Da 
18:58:50 | [CMD] TEXAST5(6) => /pm 30 dj aktif degil dimi 
18:58:50 | [CMD] oktayacar(17) => /work
18:58:51 | Muya(31): testere
18:58:51 | [CMD] Hisko(23) => /tamir
18:58:51 | HeRquL(10): ?
18:58:52 | [CMD] TEXAST5(6) => /djler 
18:58:53 | [CMD] iYasinBey(19) => /a duzelt þunu
18:58:56 | Muya(31): hydraylamý tanklamý vurcaksýnýz :D
18:58:58 | [CMD] bilal7345(30) => /pm 6 nasý dj
18:58:58 | _EmiiR(7): otobuscu konvoyuna gelin skor kasýyoz /convoy
18:58:59 | iYasinBey(19): düzelt þunu
18:59:0 | testere151(8): tank QW:E
18:59:2 | [LOCAL]TIRCI(13): ok ben hepsýný 5 uyaptým gunde 2m garantý 
18:59:2 | [CMD] TIRCI(13) => /l ok ben hepsýný 5 uyaptým gunde 2m garantý 
18:59:3 | [CMD] bilal7345(30) => /pm 6 diðer hesapmý
18:59:3 | [CMD] Moskova_Kurdu(12) => /giveweapon 12 heat 50000
18:59:5 | Muya(31): gelom kafana
18:59:8 | [CMD] Moskova_Kurdu(12) => /Fly
18:59:9 | [CMD] HeRquL(10) => /etk skin 246
18:59:9 | emre_cool(14): beyler bende ki lagý nasýl çözebilirim
18:59:10 | iYasinBey(19): düzelt þunu
18:59:11 | [CMD] TEXAST5(6) => /pm 30 berat7325 
18:59:12 | [CMD] ScrappeR(25) => /gobus
18:59:12 | HeRquL(10): al
18:59:12 | iYasinBey(19): düzelt þunu
18:59:13 | [CMD] BeylerBeyi(11) => /tamir
18:59:14 | Mertaran(26): bu iyi
18:59:15 | [CMD] TEXAST5(6) => /pm 30 anladýn sen 
18:59:16 | ahmet55(20) oyundan cIktI (Hata/Crash) (IP: 85.107.56.188)
18:59:16 | _EmiiR(7): mafya meslegi iyimi
18:59:21 | [LOCAL]BOZKURT545(36): uh bende 1-2 levl var
18:59:21 | [CMD] BOZKURT545(36) => /l uh bende 1-2 levl var
18:59:23 | [CMD] bilal7345(30) => /pm 6 o benimmki bu akraba o oynuyor da
18:59:23 | [CMD] ScrappeR(25) => /icerigir
18:59:24 | testere151 Moskova_Kurdu'i öldürdü. Oldurme Sekli: 51
18:59:24 | Mertaran(26): ama böyle kaldým
18:59:25 | HeRquL(10): rescue çek geçer
18:59:25 | [CMD] iYasinBey(19) => /gibewapon 19 35 50000
18:59:26 | [CMD] Moskova_Kurdu(12) => /a :QWEQ 
18:59:26 | TEXAST5(6): týr vb çalýyorsunuz 
18:59:27 | Mertaran(26): ben
18:59:28 | {FFCC00}Moskova_Kurdu(12) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
18:59:29 | [CMD] iYasinBey(19) => /givewapon 19 35 50000
18:59:30 | emre_cool(14) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
18:59:30 | [CMD] testere151(8) => /a sýkma sýkarým
18:59:31 | [CMD] Mertaran(26) => /rescue
18:59:31 | [CMD] ScrappeR(25) => /isyerimenu
18:59:33 | [CMD] Moskova_Kurdu(12) => /a .d 
18:59:33 | [CMD] TEXAST5(6) => /goto 26 
18:59:34 | [CMD] iYasinBey(19) => /giveweapon 19 35 50000
18:59:39 | [CMD] iYasinBey(19) => /d ne egoistsin la 
18:59:40 | [CMD] TEXAST5(6) => /goto 26 
18:59:40 | _EmiiR(7): mafyadamý iyi skor kasýlýyor otobuscudemi
18:59:45 | [CMD] BeylerBeyi(11) => /d niye la .d
18:59:45 | [CMD] ScrappeR(25) => /isyerimenu
18:59:46 | bilal7345(30): otobus
18:59:46 | [CMD] Muya(31) => /tamir
18:59:47 | TEXAST5(6): otobüscü 
18:59:48 | [CMD] iYasinBey(19) => /goto 10
18:59:48 | gorkemu24(15): otobus
18:59:52 | BOZKURT545(36): mafya bnce
18:59:53 | [CMD] ScrappeR(25) => /meslek
18:59:54 | _EmiiR(7): ne fark var aralarýnda
18:59:55 | TEXAST5(6): moskova kafana roket atcam bak 
18:59:57 | [CMD] iYasinBey(19) => /d þarkýda beylerbeyid iyo
18:59:57 | ahmet55(14) oyuna girdi [IP: 85.107.56.188]
18:59:58 | {FFCC00}ScrappeR(25) Otobus Soforu olarak spawn oldu.
19:0:1 | [CMD] DarkFlow(27) => /uzan
19:0:1 | Mertaran(26): atla moskova
19:0:2 | [CMD] iYasinBey(19) => /goto 10
19:0:3 | [CMD] BeylerBeyi(11) => /d evet 
19:0:3 | TEXAST5(6): mafya biraz daha taktik istiyor 
19:0:3 | [CMD] DarkFlow(27) => /uzan
19:0:3 | [CMD] Muya(31) => /tamir
19:0:4 | [CMD] ScrappeR(25) => /rescue
19:0:6 | Muya(31): oha
19:0:9 | testere151(8): :D
19:0:9 | [CMD] gorkemu24(15) => /tamir
19:0:9 | 
19:0:11 | TEXAST5(6): dorse çalmak felan 
19:0:11 | Mertaran(26): moskova atla
19:0:13 | {FFCC00}ahmet55(14) Otobus Soforu olarak spawn oldu.
19:0:14 | [CMD] DarkFlow(27) => /sirket
19:0:14 | ScrappeR(25): sf lv otobus konvoyu varmý
19:0:16 | [CMD] iYasinBey(19) => /cantazele
19:0:16 | [CMD] ScrappeR(25) => /convoy
19:0:18 | .canskld.(0):  @6 tam senlik demi WQ:EQ
19:0:18 | [CMD] TEXAST5(6) => /asilah 
19:0:19 | [CMD] HeRquL(10) => /etk skin 33
19:0:20 | [CMD] ahmet55(14) => /rescue
19:0:20 | [CMD] Mertaran(26) => /tamir
19:0:21 | TEXAST5(6): moskova 
19:0:22 | Muya(31): pü
19:0:23 | iYasinBey(19): la yapma
19:0:23 | {FFCC00}Muya(31) {FFFFFF}Pilot olarak spawn oldu.
19:0:23 | testere151(8): gg :WQE
19:0:27 | [CMD] Muya(31) => /rescue
19:0:28 | [CMD] ScrappeR(25) => /pm 18 nerdesiniz?
19:0:28 | [CMD] gorkemu24(15) => /tamir
19:0:29 | [CMD] _EmiiR(7) => /afk
19:0:33 | [CMD] _EmiiR(7) => /geldim
19:0:33 | Muya(31): hdyra olsa düsüremezsinde
19:0:33 | HeRquL(10): ana gafam yani
19:0:34 | [CMD] _EmiiR(7) => /ayril
19:0:35 | [CMD] TEXAST5(6) => /wanted 6 0 
19:0:35 | [CMD] Moskova_Kurdu(12) => /a :D 
19:0:36 | [CMD] Moskova_Kurdu(12) => /rescue
19:0:38 | [CMD] BeylerBeyi(11) => /asay Ýstek Þarký Olmadýðý Ýçin Rastgele Açýlmýþtýr...
19:0:38 | [CMD] Moskova_Kurdu(12) => /rescue
19:0:38 | Muya(31): tank vurdumu düsürüyo :D
19:0:39 | [CMD] BeylerBeyi(11) => /asay Ýstek Þarký Ýçin " /isteksarki <id>" Komutu Ýle Bize Bildirebilirsiniz...
19:0:40 | [CMD] TEXAST5(6) => /wanted 6 0 
19:0:42 | ScrappeR(25): SF LV otobus konvoyu katýlmak isteyen /rescue sf
19:0:43 | [CMD] BOZKURT545(36) => /SAC
19:0:44 | (BANKA) .canskld.(0) 2190 nolu banka hesabina 105505$ yatirdi.
19:0:44 | [CMD] iYasinBey(19) => /d aha aog
19:0:44 | [CMD] KorkusuzKorkak(9) => /mytime 1
19:0:45 | BeylerBeyi(11): aog aog aog /sac
19:0:46 | iYasinBey(19): aog
19:0:47 | [CMD] HeRquL(10) => /veh
19:0:49 | testere151(8): WQ:E
19:0:52 | BeylerBeyi(11): :D
19:0:52 | _EmiiR(7): ben gorevimi yaptým cýkýyorum mesajýný kýsa yolla yazabiliyormuyuz
19:0:53 | [CMD] selviyiseviyorum(21) => /sac
19:0:54 | TEXAST5 Moskova_Kurdu'i öldürdü. Oldurme Sekli: 27
19:0:56 | [CMD] ScrappeR(25) => /convoy
19:0:56 | [CMD] Moskova_Kurdu(12) => /a Q:WEQ 
19:0:58 | {FFCC00}Moskova_Kurdu(12) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
19:1:0 | [CMD] iYasinBey(19) => /kemer
19:1:0 | [CMD] Moskova_Kurdu(12) => /sAC
19:1:1 | {FFCC00}Muya(31) {FFFFFF}Pilot olarak spawn oldu.
19:1:3 | Muya(31): ölümsüzlük kapa nin
19:1:3 | ScrappeR(25): SF LV otobus konvoyu katýlmak isteyen /rescue sf
19:1:4 | TEXAST5(6):  /adminol 
19:1:4 | Konyali42(16) oyuna girdi [IP: 77.178.134.20]
19:1:5 | [CMD] iYasinBey(19) => /atamir
19:1:6 | [CMD] Muya(31) => /rescue
19:1:7 | BeylerBeyi(11): @7 /adminol
19:1:8 | testere151(8): qw:E
19:1:11 | [CMD] Moskova_Kurdu(12) => /FLY
19:1:11 | [CMD] oktayacar(17) => /rescue
19:1:11 | [ANTIHACK] Þüpheli HeRquL(10) => Airbreak-hack
19:1:11 | [CMD] BOZKURT545(36) => /skpat
19:1:12 | [CMD] ScrappeR(25) => /kemer
19:1:12 | Muya(31): kemer ölümsüzlük kapa :D
19:1:13 | [CMD] .canskld.(0) => /adminol
19:1:14 | [CMD] gorkemu24(15) => /tamir
19:1:15 | [CMD] Hisko(23) => /goreviptal
19:1:15 | [CMD] ScrappeR(25) => /modifiye
19:1:16 | [CMD] BeylerBeyi(11) => /kemer
19:1:16 | [CMD] iYasinBey(19) => /goto 10
19:1:17 | [CMD] BOZKURT545(36) => /skapat
19:1:19 | [CMD] .canskld.(0) => /rehberol
19:1:19 | [CMD] _EmiiR(7) => /adminol
19:1:19 | [CMD] Hisko(23) => /rescue
19:1:19 | 
19:1:21 | [CMD] .canskld.(0) => /vipol
19:1:21 | BeylerBeyi(11): ßß
19:1:22 | [CMD] selviyiseviyorum(21) => /adminol
19:1:23 | {FFCC00}Konyali42(16) {FFFFFF}Kamyoncu olarak spawn oldu.
19:1:25 | [CMD] .canskld.(0) => /djol
19:1:25 | [CMD] Konyali42(16) => /sa
19:1:25 | [CMD] _EmiiR(7) => /adminol
19:1:26 | iYasinBey(19): dur
19:1:27 | [CMD] _EmiiR(7) => /adminol
19:1:27 | [CMD] BeylerBeyi(11) => /as
19:1:28 | [CMD] _EmiiR(7) => /adminol
19:1:28 | [CMD] Moskova_Kurdu(12) => /GET
19:1:28 | [CMD] .canskld.(0) => /as
19:1:28 | [CMD] _EmiiR(7) => /adminol
19:1:29 | [CMD] _EmiiR(7) => /adminol
19:1:29 | [CMD] _EmiiR(7) => /adminol
19:1:29 | [CMD] _EmiiR(7) => /adminolt
19:1:30 | [CMD] Moskova_Kurdu(12) => /GET
19:1:31 | [CMD] Hisko(23) => /convoyiptal
19:1:31 | BeylerBeyi(11): durun
19:1:32 | Konyali42(16): hayirli cumalar
19:1:34 | [CMD] Moskova_Kurdu(12) => /get
19:1:35 | iYasinBey(19): :D
19:1:35 | TEXAST5(6) Mafya olarak spawn oldu.
19:1:36 | .canskld.(0): sanda
19:1:36 | [CMD] iYasinBey(19) => /cantazele
19:1:36 | oktayacar(17): arac res pls ucak kalmadý gorevimi yapamýyom
19:1:37 | TIRCI(13): flodu gorcen 
19:1:37 | Muya(31): öh
19:1:37 | {FFCC00}Muya(31) {FFFFFF}Pilot olarak spawn oldu.
19:1:37 | {FFCC00}HeRquL(10) {FFFFFF}Kamyoncu olarak spawn oldu.
19:1:37 | [CMD] bilal7345(30) => /tamir
19:1:38 | .canskld.(0): sanada
19:1:38 | [CMD] TEXAST5(6) => /myskin 280 
19:1:39 | .canskld.(0): bb
19:1:39 | [CMD] ScrappeR(25) => /convoy
19:1:40 | [CMD] Muya(31) => /rescue
19:1:41 | BeylerBeyi(11): @16 Eyw sanada
19:1:41 | {FFCC00}testere151(8) {FFFFFF}Pilot olarak spawn oldu.
19:1:41 | [CMD] DarkFlow(27) => /as
19:1:41 | oktayacar(17): arac res pls ucak kalmadý gorevimi yapamýyom
19:1:42 | testere151(8): püð
19:1:43 | [CMD] Hisko(23) => /work
19:1:45 | [CMD] HeRquL(10) => /gof
19:1:45 | [CMD] _EmiiR(7) => /kurallar
19:1:45 | [CMD] TEXAST5(6) => /uyar 7 flood 
19:1:46 | [CMD] iYasinBey(19) => /cantazele
19:1:46 | [CMD] Enes_Reyuz(24) => /rescue
19:1:46 | [CMD] testere151(8) => /cleanupcars
19:1:46 | [CMD] HeRquL(10) => /god
19:1:47 | ScrappeR(25): sf lv otobus konvoyu gelcek varmý
19:1:47 | [CMD] HeRquL(10) => /god
19:1:48 | gorkemu24(15): iyi bayramlar beyler
19:1:50 | [CMD] Hisko(23) => /kemer
19:1:50 | [CMD] iYasinBey(19) => /atamir
19:1:50 | [CMD] ScrappeR(25) => /work
19:1:52 | [CMD] TIRCI(13) => /kemer
19:1:53 | [CMD] HeRquL(10) => /veh
19:1:53 | _EmiiR(7): skor atma þansýmýz varmý
19:1:53 | TEXAST5(6): yasin 
19:1:54 | [CMD] selviyiseviyorum(21) => /donator
19:1:54 | [CMD] _EmiiR(7) => /kurallar
19:1:55 | [CMD] TEXAST5(6) => /asilah 
19:1:57 | [CMD] iYasinBey(19) => /atamir
19:1:58 | TEXAST5(6): skor atýlamýyor @7 bey 
19:1:59 | iYasinBey(19): efm
19:2:0 | BeylerBeyi(11): testere baný kaldýr
19:2:1 | BeylerBeyi(11): testere baný kaldýr
19:2:1 | [CMD] Moskova_Kurdu(12) => /giveweapon 12 heat 5555
19:2:2 | BeylerBeyi(11): :AS:DAS
19:2:3 | oktayacar(17): arac res pls ucak kalmadý gorevimi yapamýyom
19:2:6 | oktayacar(17): arac res pls ucak kalmadý gorevimi yapamýyom
19:2:6 | TEXAST5(6): senin kafana mini sýksam 
19:2:8 | [CMD] ScrappeR(25) => /saat 22
19:2:9 | iYasinBey(19): :D
19:2:11 | [CMD] ScrappeR(25) => /hava 10
19:2:11 | [CMD] HeRquL(10) => /veh
19:2:12 | selviyiseviyorum(21): sado baný kaldýr
19:2:12 | [CMD] KorkusuzKorkak(9) => /meslek
19:2:13 | oktayacar(17): arac resssss
19:2:13 | [CMD] Konyali42(16) => /pm 32 pooliiis beey :D
19:2:13 | TEXAST5(6): araç res geliyor 
19:2:14 | Muya(31): korkusuz
19:2:17 | Muya(31): senmiydin o
19:2:18 | [CMD] TEXAST5(6) => /uayr 17 harf uzatma 
19:2:20 | [CMD] iYasinBey(19) => /goto 6
19:2:20 | oktayacar(17): adminler uyuyuo
19:2:23 | [CMD] TEXAST5(6) => /uyar 17 harf uzatma 
19:2:25 | [CMD] _EmiiR(7) => /convoy
19:2:27 | [CMD] Hisko(23) => /convoy
19:2:28 | {FFCC00}KorkusuzKorkak(9) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
19:2:30 | [CMD] TEXAST5(6) => /respawncars 
19:2:34 | [CMD] KorkusuzKorkak(9) => /mytime 12
19:2:34 | [CMD] TEXAST5(6) => /cantazele 
19:2:35 | [CMD] HeRquL(10) => /admins
19:2:37 | [CMD] HeRquL(10) => /admins
19:2:37 | [CMD] KorkusuzKorkak(9) => /rescue
19:2:38 | [CMD] oktayacar(17) => /work
19:2:38 | [CMD] Muya(31) => /pm 9 sanamý denk geldi ucak gene :D
19:2:40 | _EmiiR(7): convoydan nasýl ayrýlýyoz
19:2:44 | [CMD] HeRquL(10) => /ver
19:2:45 | bilal7345(30):  /convoyayril 
19:2:47 | [CMD] HeRquL(10) => /veh
19:2:48 | [CMD] .canskld.(0) => /pm 7 ./convoyayril
19:2:48 | TEXAST5(6):  /convoyayril 
19:2:49 | Moskova_Kurdu(12): aug aug au
19:2:49 | [CMD] _EmiiR(7) => /convoyayril
19:2:50 | Muya(31): testere nere ucdunuz :D
19:2:50 | [CMD] _EmiiR(7) => /convoy
19:2:51 | [CMD] KorkusuzKorkak(9) => /pm 31 evet :d
19:2:51 | iYasinBey(19): gaç
19:2:51 | TEXAST5 iYasinBey'i öldürdü. Oldurme Sekli: 38
19:2:52 | [CMD] testere151(8) => /d ne baný la
19:2:53 | iYasinBey(19): ya
19:2:53 | [CMD] _EmiiR(7) => /convoyayril
19:2:54 | [CMD] _EmiiR(7) => /convoy
19:2:55 | BOZKURT545(36): amg
19:2:56 | {FFCC00}iYasinBey(19) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
19:2:56 | [KAMYONCU] selviyiseviyorum, Harbour Island Warehouse'den Longway Warehouse'e Degerli Esyalar tasidi. Kazanc: 169754$, 1 Skor ve 5 EXP Sure: 529 Saniye
19:2:57 | [CMD] ScrappeR(25) => /sa
19:2:58 | [CMD] Moskova_Kurdu(12) => /d diz layk ded 
19:2:59 | [CMD] bilal7345(30) => /as
