0:0:0 | [CMD] HeRquL(14) => /work
15:27:59 | [CMD] HeRquL(20) => /a herkese diyorum
15:28:0 | [CMD] Hic(31) => /asay Yeni gelen arkadaþlar /kurallar yazýp kabul ettikten sonra 30.000$ ve 5 skor kazanabilir...
15:28:0 | RemixAdam(R.A)(12): polis whestone ye gel
15:28:0 | DangerTr07(30):  /convoy DangerTr07 Katilin. 
15:28:0 | [CMD] TheS1LKENAdam(10) => /araba
15:28:1 | [CMD] VIPTRUCKS(8) => /r geliyorum dikkat edin
15:28:1 | CagatayBro(18) Konyali42(14)'a 500000$ para gönderdi
15:28:1 | [CMD] CagatayBro(18) => /paragonder 14 500000
15:28:4 | [CMD] VIPTRUCKS(8) => /goto 30
15:28:4 | [eN]Overlord(23): hani otobüs konvoyu
15:28:5 | [CMD] CagatayBro(18) => /paragonder 14 500000
15:28:6 | [CMD] DarkFlow(40) => /convoy
15:28:7 | [CMD] cCc.Bayram.cCC(37) => /T/GELDÝM
15:28:7 | [CMD] DangerTr07(30) => /A boþver boþver týr ile dorse al gel
15:28:8 | [CMD] ArdaBey(32) => /convoyayril
15:28:8 | [CMD] GSLIMERT(26) => /pm 30 nereye gelek
15:28:9 | [CMD] HeRquL(20) => /a illaki sende res atcan
15:28:9 | Gazapizm_(42): bekle
15:28:9 | [CMD] ArdaBey(32) => /convoy
15:28:12 | VIPTRUCKS(8): ad
15:28:13 | [CMD] Hic(31) => /r açýlýn yoldan bir bela geliyor :D
15:28:13 | VIPTRUCKS(8): asdas
15:28:14 | [CMD] sezzer(7) => /rescue
15:28:14 | [CMD] Sparta298(9) => /atamir
15:28:14 | DangerTr07(30): la 
15:28:15 | [CMD] GSLIMERT(26) => /pm 30 harbourmu
15:28:15 | [CMD] HeRquL(20) => /rescue
15:28:16 | RemixAdam(R.A)(12): 7 yýldýz var
15:28:16 | [CMD] cCc.Bayram.cCC(37) => /geldim
15:28:17 | [CMD] TheS1LKENAdam(10) => /ehliyetyeri
15:28:18 | [CMD] HeRquL(20) => /convoy
15:28:19 | [CMD] DangerTr07(30) => /pm 26 evt
15:28:20 | [CMD] [eN]Overlord(23) => /convoy
15:28:20 | [SirketCHT] ArdaBey(32): ! danger tost oldun xxd
15:28:20 | [CMD] nik0tin(11) => /respawn 72 
15:28:22 | TIRCI(6) oyuna girdi [IP: 95.10.21.100]
15:28:23 | [CMD] TheS1LKENAdam(10) => /balon
15:28:23 | [CMD] HeRquL(20) => /convoyayril
15:28:24 | [CMD] HeRquL(20) => /convoy
15:28:25 | [CMD] Gazapizm_(42) => /goreviptal
15:28:26 | [CMD] GSLIMERT(26) => /pm 30 dorse getirebliyonmu sen
15:28:27 | [CMD] [eN]Overlord(23) => /kemer
15:28:27 | VIPTRUCKS(8): týrým nerde
15:28:27 | [CMD] RemixAdam(R.A)(12) => /keme
15:28:29 | [CMD] Sparta298(9) => /a ben 10 saniye bekliyorum saten
15:28:29 | [CMD] ordulukral523152(15) => /tamir
15:28:30 | [CMD] RemixAdam(R.A)(12) => /kemer
15:28:31 | [CMD] Gazapizm_(42) => /rescue
15:28:31 | [CMD] DangerTr07(30) => /pm 26 no 
15:28:32 | [CMD] RingoBamBam(34) => /sa
15:28:32 | Hic(31): Gidenin arkasýna nokta koyki gelen büyük harfle baþlasýn...
15:28:34 | [CMD] ubeydo(29) => /convoy
15:28:34 | [CMD] VIPTRUCKS(8) => /as
15:28:35 | [CMD] eren1616(16) => /as
15:28:35 | [CMD] ArdaBey(32) => /as
15:28:38 | VIPTRUCKS(8): týrým nerde
15:28:38 | RingoBamBam(34): s
15:28:38 | [CMD] ordulukral523152(15) => /c sýraya geçek
15:28:39 | Sparta298(9): Aleyküm Selam.
15:28:41 | [CMD] RingoBamBam(34) => /relog
15:28:42 | [CMD] Sparta298(9) => /atamir
15:28:42 | Gazapizm_(42): konvoy var gelin lv-sf arasý seri otobus
15:28:42 | [CMD] ubeydo(29) => /convoyayril
15:28:43 | [CMD] Hic(31) => /as
15:28:43 | [CMD] eren1616(16) => /admcikis
15:28:43 | [CMD] BeylerBeyi(27) => /c BEYLER HERKEZ SIRAYA GEÇSÝN
15:28:44 | RingoBamBam(34) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
15:28:44 | [CMD] BeylerBeyi(27) => /c BEYLER HERKEZ SIRAYA GEÇSÝN
15:28:44 | [CMD] Sparta298(9) => /admins
15:28:45 | [CMD] ArdaBey(32) => /akilitle
15:28:45 | [CMD] BeylerBeyi(27) => /c BEYLER HERKEZ SIRAYA GEÇSÝN
15:28:46 | [CMD] BeylerBeyi(27) => /c BEYLER HERKEZ SIRAYA GEÇSÝN
15:28:46 | [CMD] ubeydo(29) => /convoy
15:28:47 | Gazapizm_(42): sf gelin
15:28:49 | [CMD] VIPTRUCKS(8) => /c TIR VER DANGER
15:28:49 | Gazapizm_(42): konvoy var gelin lv-sf arasý seri otobus
15:28:49 | 
15:28:50 | [CMD] TheS1LKENAdam(10) => /galeri
15:28:50 | [CMD] HeRquL(20) => /goto 30
15:28:50 | Hic(31): Gidenin arkasýna nokta koyki gelen büyük harfle baþlasýn...
15:28:51 | [CMD] VIPTRUCKS(8) => /c TIR VER DANGER
15:28:51 | [CMD] HeRquL(20) => /goto 30
15:28:52 | DangerTr07(30): geç sýray a
15:28:53 | [eN]Overlord(23): Seri LV-SF Arasý Otobüs Konvoyu /convoy !!
15:28:54 | [CMD] GSLIMERT(26) => /pm 30 harbourda kapalý kasa yok nasýl gelcem
15:28:55 | [CMD] eren1616(16) => /spec 18
15:28:55 | [CMD] Sparta298(9) => /a ringo adminmi oldu
15:28:56 | [CMD] VIPTRUCKS(8) => /rescue
15:28:56 | [CMD] [eN]Overlord(23) => /convoy
15:28:58 | [ARAC] TheS1LKENAdam(10), 104 ID'li 
15:28:59 | [CMD] HeRquL(20) => /akilitle
15:28:59 | [CMD] BeylerBeyi(27) => /c BEYLER HERKEZ SIRAYA GEÇSÝN
15:29:0 | [CMD] BeylerBeyi(27) => /c BEYLER HERKEZ SIRAYA GEÇSÝN
15:29:0 | [CMD] BeylerBeyi(27) => /c BEYLER HERKEZ SIRAYA GEÇSÝN
15:29:0 | [CMD] DangerTr07(30) => /C yetki yok .s
15:29:1 | [CMD] BeylerBeyi(27) => /c BEYLER HERKEZ SIRAYA GEÇSÝN
15:29:1 | [CMD] Gazapizm_(42) => /convoy
15:29:1 | [CMD] BeylerBeyi(27) => /c BEYLER HERKEZ SIRAYA GEÇSÝN
15:29:2 | [CMD] BeylerBeyi(27) => /c BEYLER HERKEZ SIRAYA GEÇSÝN
15:29:2 | [CMD] eren1616(16) => /spec 28
15:29:4 | [eN]Overlord(23): Seri LV-SF Arasý Otobüs Konvoyu /convoy !!
15:29:4 | [CMD] VIPTRUCKS(8) => /rescue
15:29:4 | [CMD] DangerTr07(30) => /c floodla
15:29:5 | [CMD] DangerTr07(30) => /c floodlama
15:29:6 | [CMD] GSLIMERT(26) => /convoy
15:29:6 | [CMD] TheS1LKENAdam(10) => /araba
15:29:7 | [CMD] HeRquL(20) => /caroption
15:29:7 | Sparta298(9): ringo
15:29:8 | [CMD] eren1616(16) => /spec 35
15:29:8 | thunder(13) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
15:29:10 | [CMD] Hic(31) => /tiryazi CONVOY TIRI
15:29:11 | DangerTr07(30): herqul 
15:29:12 | [CMD] RemixAdam(R.A)(12) => /cevir
15:29:12 | [CMD] TheS1LKENAdam(10) => /araba
15:29:12 | [CMD] ArdaBey(32) => /c baþla
15:29:14 | [CMD] HeRquL(20) => /kemer
15:29:15 | [CMD] VIPTRUCKS(8) => /asay Hile kullananlarý bildirmek için /rapor <id> <sebep> komutunu kullanabilirsiniz. 
15:29:15 | DangerTr07(30): kocaman sw'de dorse kalmadi
15:29:15 | [CMD] VIPTRUCKS(8) => /asay Sürekli ayný iþi yapmaktan sýkýldýnýzýmý? /meslek komutu ile mesleðinizi deðiþtirebilirsiniz. 
15:29:16 | [CMD] eren1616(16) => /specoff
15:29:16 | eren1616(16) Itfaiyeci olarak spawn oldu.
15:29:16 | [SirketCHT] GSLIMERT(26): ! dangerr
15:29:17 | [CMD] HeRquL(20) => /vipneon
15:29:18 | [CMD] TheS1LKENAdam(10) => /MESLEK
15:29:19 | [CMD] Gazapizm_(42) => /c nerdesin ozenti
15:29:20 | [CMD] Hic(31) => /asay Eðer bir oyuncudan þikayetçi iseniz /sikayet <id> <mesaj> þeklinde gönderebilirsiniz...
15:29:20 | {FFCC00}TheS1LKENAdam(10) Otobus Soforu olarak spawn oldu.
15:29:23 | [CMD] TheS1LKENAdam(10) => /rescue
15:29:23 | [CMD] Hic(31) => /asay Animasyonlara bakmak için /animlist yazmanýz yeterlidir...
15:29:23 | [CMD] nik0tin(11) => /d la beylerbeyi hiç mi araba sürmedin sen :D 
15:29:24 | [CMD] [AsLt]Cicek.Abbas.(38) => /convoyayril
15:29:24 | Sparta298(9): Ringo
15:29:25 | [CMD] CagatayBro(18) => /basarimlar
15:29:25 | [CMD] [AsLt]Cicek.Abbas.(38) => /convoy
15:29:30 | DangerTr07(30): vip longhway'dan katilirsiniz
15:29:30 | [CMD] CagatayBro(18) => /bilgilerim
15:29:31 | ordulukral523152(15): beyler beyi yavaþþþþþþþþþ
15:29:33 | [CMD] [AsLt]Cicek.Abbas.(38) => /vtamir
15:29:33 | RingoBamBam(13) oyuna girdi [IP: 95.12.127.13]
15:29:34 | TheS1LKENAdam(10): ,
15:29:34 | [CMD] ordulukral523152(15) => /tamir
15:29:35 | [CMD] BeylerBeyi(27) => /d onlar geçiyor bende geçerim :D
15:29:36 | [CMD] ArdaBey(32) => /c hacý kusura bakmayýnn ben sýraya geçemem arkadan itiriyorlar dorse tost oluyor
15:29:36 | [CMD] Sparta298(9) => /d furkan neden tofaþ aldýn
15:29:36 | [CMD] Eray00(28) => /tamir
15:29:37 | [eN]Overlord(23): Seri LV-SF Arasý Otobüs Konvoyu /convoy !! 15.35 saatinde kalkacaðýz.
15:29:38 | VIPTRUCKS(8): bekle gelirim
15:29:38 | [CMD] DangerTr07(30) => /uyar 15 harf uzatma 
15:29:40 | [CMD] eren1616(16) => /basarimlar
15:29:41 | [CMD] sezzer(7) => /c dorse bulamayan /rescue lv den alsýn
15:29:43 | [CMD] HeRquL(20) => /a dorse yok amk
15:29:43 | [eN]Overlord(23): Silken
15:29:44 | [CMD] GSLIMERT(26) => /rescue
15:29:44 | 
15:29:44 | [CMD] sezzer(7) => /c dorse bulamayan /rescue lv den alsýn
15:29:45 | [CMD] Gazapizm_(42) => /rescue
15:29:46 | TheS1LKENAdam(10): Evet
15:29:46 | {FFCC00}RingoBamBam(13) {FFFFFF}Kamyoncu olarak spawn oldu.
15:29:48 | [CMD] Sparta298(9) => /a sultan bende tofaþ
15:29:49 | [eN]Overlord(23): adam konvoy sohbetten bana hakaret etti
15:29:49 | [CMD] RingoBamBam(13) => /sa
15:29:50 | [CMD] DangerTr07(30) => /convoykontrol
15:29:50 | [CMD] Sparta298(9) => /dtemizle
15:29:51 | Sparta298(9): Aleyküm Selam.
15:29:51 | RingoBamBam(13): s
15:29:52 | [CMD] ArdaBey(32) => /as
15:29:52 | [CMD] TheS1LKENAdam(10) => /convoy
15:29:52 | [CMD] Younapo.(21) => /pcc
15:29:52 | [CMD] HeRquL(20) => /a dorse yok 
15:29:53 | [CMD] Sparta298(9) => /admins
15:29:53 | [CMD] DangerTr07(30) => /work
15:29:54 | [CMD] VIPTRUCKS(8) => /c danger
15:29:56 | [CMD] BeylerBeyi(27) => /c GÝÞELERDEN ÜCRETSÝZ GEÇMEK YASAKTIR
15:29:57 | [CMD] Hic(31) => /as
15:29:58 | [CMD] [eN]Overlord(23) => /ss im var
15:30:0 | [CMD] Hic(31) => /tamir
15:30:0 | Sparta298(9): Ringo
15:30:1 | [CMD] VIPTRUCKS(8) => /c boþ bir alana geçebilirmisin hocam
15:30:1 | RingoBamBam(13): admin giris nasýl olcak
15:30:1 | [CMD] HDmete(35) => /as
15:30:1 | [CMD] [eN]Overlord(23) => /convoyat 42
15:30:1 | kiral(17) oyuna girdi [IP: 85.103.120.111]
15:30:2 | [CMD] ubeydo(29) => /tiryazi Giþelerden beleþ geçmek yasak !
15:30:2 | [CMD] TheS1LKENAdam(10) => /kemer
15:30:5 | [CMD] GSLIMERT(26) => /convoy
15:30:6 | [CMD] RingoBamBam(13) => /admingiris
15:30:8 | [CMD] [eN]Overlord(23) => /akilitle
15:30:8 | [CMD] DangerTr07(30) => /Asiriyuk
15:30:9 | [CMD] Sparta298(9) => /pm 13 /admigirs
15:30:10 | 
15:30:10 | [eN]Overlord(23): ss'Ým var
15:30:11 | [CMD] Gazapizm_(42) => /convoy
15:30:13 | [CMD] eren1616(16) => /atamir
15:30:13 | {FFCC00}kiral(17) {FFFFFF}Kamyoncu olarak spawn oldu.
15:30:15 | [CMD] RingoBamBam(13) => /adminsgirs
15:30:15 | DangerTr07(30): alan cýksýn hadi 
15:30:15 | [SirketCHT] GSLIMERT(26): ! danger araç res harbourda kapal ýkasa yok
15:30:15 | [CMD] Younapo.(21) => /c hay hbeylerbeyi sus bi kardeþim
15:30:16 | [CMD] kiral(17) => /sac
15:30:16 | {FFCC00}Sparta298(9) {FFFFFF}Pilot olarak spawn oldu.
15:30:17 | [CMD] Hic(31) => /sac
15:30:17 | [CMD] HeRquL(20) => /pm 13 /admgiris
15:30:17 | TheS1LKENAdam(10): At bana faceden
15:30:18 | [CMD] VIPTRUCKS(8) => /adminol
15:30:19 | [CMD] HeRquL(20) => /pm 13 /admgiris
15:30:19 | [CMD] nik0tin(11) => /a gelmeyenleri at gitsin 
15:30:19 | [CMD] Sparta298(9) => /a ringo adminmi oldu
15:30:20 | [CMD] VIPTRUCKS(8) => /afk
15:30:21 | [CMD] Sparta298(9) => /rescue
15:30:22 | [CMD] DangerTr07(30) => /convoykontrol
15:30:24 | BeylerBeyi(27): Baþlamadýki görev
15:30:24 | [CMD] RingoBamBam(13) => /admgiris
15:30:25 | [CMD] TheS1LKENAdam(10) => /modifiye
15:30:27 | [eN]Overlord(23): Ýsim ne?
15:30:31 | DangerTr07(30): bir cýk alýrsam baþlicak 
15:30:31 | RingoBamBam(13): tamam
15:30:32 | [CMD] HeRquL(20) => /c dorse verin la
15:30:33 | [CMD] HeRquL(20) => /c dorse verin la
15:30:34 | [CMD] Younapo.(21) => /c ALMAYAN var
15:30:37 | [CMD] kiral(17) => /rescue
15:30:39 | [CMD] DangerTr07(30) => /Asiriyuk
15:30:39 | [CMD] BeylerBeyi(27) => /c görev baþlamadý danger
15:30:39 | [CMD] TheS1LKENAdam(10) => /pm 23 Yunus Emre Koc
15:30:42 | [CMD] ArdaBey(32) => /convoyuye
15:30:42 | [CMD] HeRquL(20) => /c dorse verin la
15:30:42 | [CMD] DangerTr07(30) => /C bekleyin 
15:30:42 | [CMD] Sparta298(9) => /a hayýrlý olsun
15:30:42 | [CMD] HeRquL(20) => /c dorse verin la
15:30:43 | [CMD] HeRquL(20) => /c dorse verin la
15:30:43 | [CMD] nik0tin(11) => /eject 15
15:30:43 | [SirketCHT] Hic(31): ! Ýttirme ordulu
15:30:44 | [CMD] [eN]Overlord(23) => /pm 10 pp?
15:30:45 | [CMD] Sparta298(9) => /kemer
15:30:46 | [CMD] ordulukral523152(15) => /tam,r
15:30:46 | [CMD] kiral(17) => /convoy
15:30:46 | [CMD] DangerTr07(30) => /C dorse alan baþlatir 
15:30:47 | [CMD] RingoBamBam(13) => /a beyler 3:45 monster kac
15:30:48 | [CMD] [AsLt]Cicek.Abbas.(38) => /vtamir,
15:30:49 | Gazapizm_(42): nerdesin özenti yazdým
15:30:51 | [CMD] [AsLt]Cicek.Abbas.(38) => /vtamir
15:30:51 | [CMD] GSLIMERT(26) => /convoy
15:30:52 | Gazapizm_(42): admin
15:30:54 | [CMD] nik0tin(11) => /c senin o týrýný 
15:30:54 | [CMD] HeRquL(20) => /a no
15:30:55 | [CMD] VIPTRUCKS(8) => /convoyayril
15:30:56 | [CMD] Hic(31) => /c Ýttirme ordulu
15:30:57 | kiral(17): danger
15:30:58 | [CMD] TheS1LKENAdam(10) => /pm 23 Yada foruma at QW:Qwe
15:30:59 | [CMD] nik0tin(11) => /c ordulu
15:30:59 | [CMD] Younapo.(21) => /c 662 idsi dorsenin
15:30:59 | [CMD] Hic(31) => /asay Yeni gelen arkadaþlar /kurallar yazýp kabul ettikten sonra 30.000$ ve 5 skor kazanabilir...
15:31:0 | [CMD] [eN]Overlord(23) => /pm 10 yada ben foruma þikayet açayým ya hiç uðraþmayalým
15:31:1 | [CMD] Sparta298(9) => /a a3 etk yapabilir
15:31:2 | [CMD] [AsLt]Cicek.Abbas.(38) => /c baslat ?
15:31:2 | [CMD] Hic(31) => /asay Eðer bir oyuncudan þikayetçi iseniz /sikayet <id> <mesaj> þeklinde gönderebilirsiniz...
15:31:2 | [SirketCHT] GSLIMERT(26): ! la harbourda kapalý kasa yok nasýl gelcem konvoya
15:31:3 | [CMD] RingoBamBam(13) => /a ama hergul abi
15:31:3 | DangerTr07(30): beylerbeyi
15:31:5 | DangerTr07(30): geri ckta 
15:31:6 | Gazapizm_(42): ben ne yazsam aynýsýný yazýo
15:31:8 | DangerTr07(30): geçiyim bi :D
15:31:10 | [CMD] Eray00(28) => /tamir
15:31:10 | [CMD] Hic(31) => /convoy
15:31:11 | [CMD] TheS1LKENAdam(10) => /c baþlatýn
15:31:11 | [CMD] HeRquL(20) => /a aynen sen yapamazsýn a1 sin daha nereye etk
15:31:13 | kiral(17): danger
15:31:14 | [CMD] TheS1LKENAdam(10) => /c hadi bea
15:31:15 | [CMD] cCc.Bayram.cCC(37) => /convoy
15:31:16 | [CMD] [eN]Overlord(23) => /work
15:31:16 | [CMD] CagatayBro(18) => /bilgilerim
15:31:16 | Berkay08(24) oyuna girdi [IP: 188.120.40.224]
15:31:17 | Gazapizm_(42): admin haksýzmýyým
15:31:18 | [CMD] RingoBamBam(13) => /a abi sen hazýrla ben monster surem
15:31:20 | [CMD] [AsLt]Cicek.Abbas.(38) => /c konyali burdamý
15:31:20 | [CMD] CagatayBro(18) => /paragonder 14 500000
15:31:20 | [CMD] Hic(31) => /c iyi para kalkar inþ
15:31:20 | [CMD] HeRquL(20) => /a öönce bi res atmayý falan öðrencen
15:31:23 | [CMD] GSLIMERT(26) => /pm 30 danger araç res hemen gelin harboura
15:31:25 | [CMD] BeylerBeyi(27) => /vtamir
15:31:27 | [CMD] [eN]Overlord(23) => /convoyat 42
15:31:31 | [CMD] HeRquL(20) => /a hermen etk olma
15:31:32 | [CMD] CagatayBro(18) => /paragonder 14 500000
15:31:38 | [CMD] RingoBamBam(13) => /a tamam hergul abi
15:31:38 | [CMD] [AsLt]Cicek.Abbas.(38) => /c 5 kiþi kalcak ümitlenme
15:31:39 | [CMD] BeylerBeyi(27) => /asay Ýstek þarkýnýz çalýnýyor iyi oyunlar dileriz... 
15:31:40 | 
15:31:40 | [CMD] DangerTr07(30) => /arac Arac Res Geliyor 1
15:31:42 | kiral(17): nerede konvoy yapýyonuz danger gelecem
15:31:43 | {FFCC00}Berkay08(24) {FFFFFF}Kamyoncu olarak spawn oldu.
15:31:43 | [LOCAL]cCc.Bayram.cCC(37): killit aç yana bincem niko
15:31:43 | [CMD] cCc.Bayram.cCC(37) => /l killit aç yana bincem niko
15:31:43 | [CMD] ubeydo(29) => /c hadi laa
15:31:45 | [CMD] HeRquL(20) => /admins
15:31:46 | [CMD] ordulukral523152(15) => /chic  ben seni geçirim giþeden 
15:31:46 | [CMD] DangerTr07(30) => /asay Arac Res Geliyor 1
15:31:47 | [CMD] RemixAdam(R.A)(12) => /sac
15:31:49 | [CMD] DangerTr07(30) => /asay Arac Res Geliyor 2
15:31:49 | Gazapizm_(42): admin
15:31:49 | [CMD] nik0tin(11) => /atamir 
15:31:51 | [CMD] BeylerBeyi(27) => /akilitle
15:31:52 | [LOCAL]cCc.Bayram.cCC(37): killit aç yana bincem niko
15:31:52 | [CMD] cCc.Bayram.cCC(37) => /l killit aç yana bincem niko
15:31:53 | [CMD] BeylerBeyi(27) => /akilitle
15:31:53 | [CMD] DangerTr07(30) => /asay Arac Res Geliyor 3
15:31:53 | TheS1LKENAdam(10): Evet
15:31:54 | [LOCAL]nik0tin(11): zorlama 
15:31:54 | [CMD] nik0tin(11) => /l zorlama 
15:31:57 | [CMD] ordulukral523152(15) => /c ben seni giþe geçirecem hic
15:31:57 | DangerTr07(30): Atiyorum ? 
15:31:58 | [CMD] ArdaBey(32) => /c hocam 8 kiþiyiz þuan burda
15:31:58 | [CMD] kiral(17) => /rescue
15:31:59 | [LOCAL]BeylerBeyi(27): :D
15:31:59 | [CMD] BeylerBeyi(27) => /l :D
15:32:0 | [CMD] sezzer(7) => /c baþlat adaþ
15:32:0 | [CMD] DangerTr07(30) => /respawncars
15:32:1 | [CMD] ArdaBey(32) => /c hocam 8 kiþiyiz þuan burda
15:32:2 | [CMD] eren1616(16) => /cantazele 
15:32:2 | [CMD] DangerTr07(30) => /Cantazele
15:32:3 | [CMD] RingoBamBam(13) => /convoy
15:32:3 | Gazapizm_(42): ozenti yazmak hakaretmi
15:32:4 | [CMD] Younapo.(21) => /c 662 idsi kapalý dorsenin
15:32:6 | [CMD] GSLIMERT(26) => /convoy
15:32:7 | [CMD] cCc.Bayram.cCC(37) => /rescue
15:32:8 | RingoBamBam(13): danger nrd
15:32:10 | Reamo(22) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
15:32:13 | DangerTr07(30): harbour 
15:32:14 | [CMD] Sparta298(9) => /isteksarki 1537
15:32:16 | [CMD] DangerTr07(30) => /Convoy
15:32:17 | [CMD] BeylerBeyi(27) => /asay Ýstek þarkýnýz sýraya alýnmýþtýr... 
15:32:18 | [CMD] RingoBamBam(13) => /rescue
15:32:22 | [CMD] VIPTRUCKS(8) => /geldim
15:32:23 | [CMD] eren1616(16) => /atamir
15:32:24 | [CMD] Hic(31) => /c ordulu ittirme !
15:32:25 | [CMD] VIPTRUCKS(8) => /sa
15:32:25 | [CMD] nik0tin(11) => /a la danger baþlat þunu 
15:32:26 | Sparta298(9): Aleyküm Selam.
15:32:27 | [CMD] VIPTRUCKS(8) => /geldim
15:32:27 | [CMD] Hic(31) => /as
15:32:28 | [CMD] eren1616(16) => /as
15:32:29 | [CMD] ArdaBey(32) => /as
15:32:30 | CAKIR34(22) oyuna girdi [IP: 88.231.134.80]
15:32:32 | [CMD] DangerTr07(30) => /A baþlatim dorse almayanlar var
15:32:33 | [CMD] Sparta298(9) => /d Syn yaz çýkar
15:32:34 | [CMD] BeylerBeyi(27) => /as
15:32:35 | [CMD] DangerTr07(30) => /convoykontrol
15:32:36 | [ANTIHACK] Þüpheli Sparta298(9) => Airbreak-hack
15:32:37 | [CMD] VIPTRUCKS(8) => /asay Ýstek þarkýlarýnýz için /isteksarki <id> komutunu kullanabilirsiniz
15:32:37 | [CMD] VIPTRUCKS(8) => /asay Sürekli ayný iþi yapmaktan sýkýldýnýzýmý? /meslek komutu ile mesleðinizi deðiþtirebilirsiniz. 
15:32:37 | [CMD] [AsLt]Cicek.Abbas.(38) => /convoyuye
15:32:38 | [CMD] HeRquL(20) => /duyuru ~w~ts3.trucksamp.com
15:32:38 | [CMD] sezzer(7) => /c görev baþlamadý
15:32:38 | [CMD] nik0tin(11) => /a millet týr çalýyor gelip 
15:32:41 | GSLIMERT(26): hay ben bugun
15:32:41 | 
15:32:41 | [CMD] TheS1LKENAdam(10) => /vtamir
15:32:42 | [CMD] RemixAdam(R.A)(12) => /tamir
15:32:42 | [CMD] Hic(31) => /asay Eðer bir oyuncudan þikayetçi iseniz /sikayet <id> <mesaj> þeklinde gönderebilirsiniz...
15:32:42 | [CMD] Sparta298(9) => /a Püü :d
15:32:42 | [CMD] Hic(31) => /asay eðer oyunda bir bug bulduysanýz /bugreport <açýklama> þeklinde gönderebilirsiniz...
15:32:43 | Gazapizm_(42): Ozenti yazmak hakaretmi arkadaþýn biri beni þikayet etmiþ
15:32:43 | [CMD] ordulukral523152(15) => /tamir
15:32:45 | [CMD] DangerTr07(30) => /C dorse alamayanlar /convoyayril
15:32:45 | [CMD] DangerTr07(30) => /C dorse alamayanlar /convoyayril
15:32:46 | [CMD] DangerTr07(30) => /C dorse alamayanlar /convoyayril
15:32:47 | TIRCI(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
15:32:47 | [CMD] CagatayBro(18) => /meslek
15:32:47 | cCc.Bayram.cCC(37): arac res
15:32:48 | {FFCC00}CAKIR34(22) {FFFFFF}Kamyoncu olarak spawn oldu.
15:32:50 | [CMD] mami6034(25) => /meslek
15:32:50 | [CMD] GSLIMERT(26) => /convoy
15:32:50 | [CMD] [AsLt]Cicek.Abbas.(38) => /convoy
15:32:51 | [CMD] RingoBamBam(13) => /rescue
15:32:52 | Sparta298(9): Araç res geliyor!!
15:32:52 | [CMD] Younapo.(21) => /c herqul aldýn mý
15:32:52 | [CMD] BeylerBeyi(27) => /d tm eyw <3
15:32:52 | [CMD] DangerTr07(30) => /C longhway'dan katilirsiniz
15:32:53 | Sparta298(9): Araç res geliyor!!
15:32:54 | [CMD] DangerTr07(30) => /C dorse alamayanlar /convoyayril
15:32:55 | [CMD] mami6034(25) => /meslek
15:32:56 | [CMD] cCc.Bayram.cCC(37) => /vipneon
15:32:56 | [CMD] VIPTRUCKS(8) => /meslek
15:32:57 | [CMD] Konyali42(14) => /meslek
15:32:57 | ordulukral523152(15): çiçek sende ubeydonun yanýna geç ikili 
15:32:59 | 
15:32:59 | [AsLt]Cicek.Abbas.(38): konyali convoy gel
15:33:0 | VIPTRUCKS(8): hic
15:33:1 | {FFCC00}mami6034(25) Otobus Soforu olarak spawn oldu.
15:33:2 | [CMD] BeylerBeyi(27) => /akillitle
15:33:2 | [CMD] Sparta298(9) => /respawcars
15:33:2 | 
15:33:2 | [AsLt]Cicek.Abbas.(38): harbour
15:33:2 | VIPTRUCKS(8): kargo gel
15:33:2 | [CMD] DangerTr07(30) => /C dorse alamayanlar /convoyayril 
15:33:3 | cCc.Bayram.cCC(37): arac res
15:33:4 | GSLIMERT(26): bana bi týrla kasa verin la
15:33:4 | [CMD] DangerTr07(30) => /C dorse alamayanlar /convoyayril 
15:33:5 | [CMD] BeylerBeyi(27) => /akilitle
15:33:5 | Hic(31): Buyur kanka ?
15:33:6 | [CMD] GSLIMERT(26) => /convoy
15:33:6 | [CMD] HeRquL(20) => /goto 26
15:33:7 | [CMD] Konyali42(14) => /rescue
15:33:8 | [CMD] Sparta298(9) => /respawncars
15:33:9 | [CMD] ArdaBey(32) => /c danger burdakiler dýþýndakileri at
15:33:10 | [CMD] ArdaBey(32) => /c danger burdakiler dýþýndakileri at
15:33:11 | [CMD] ArdaBey(32) => /c danger burdakiler dýþýndakileri at
15:33:11 | [CMD] RingoBamBam(13) => /c ben sirketeten aldým
15:33:12 | [CMD] HeRquL(20) => /goto 18
15:33:12 | [CMD] Younapo.(21) => /c /convoybilgi
15:33:13 | [CMD] VIPTRUCKS(8) => /rescue
15:33:14 | Hic(31): Yok knk ben þirkete kasýcam
15:33:15 | 
15:33:17 | Aleks23(6) oyuna girdi [IP: 158.181.44.89]
15:33:18 | Gazapizm_(42): ne dedim hakaret 
15:33:18 | VIPTRUCKS(8): kargocu ortak aranýr
15:33:19 | [CMD] eren1616(16) => /asay Sunucu Ýle Ýlgili Kafana Takýlan Bir Þeymi Var ? Yolunumu Kaybettin ? Yardýmamý igtiyacýn var ? /sorusor
15:33:19 | [CMD] Younapo.(21) => /c yaz alanlar yazsýn aldým diye
15:33:20 | [CMD] Hic(31) => /convoybilgi
