0:0:0 | sezzer(6): 120 mi
17:36:15 | [CMD] Jodor(8) => /work
17:36:18 | DangerTr07(27): aga 
17:36:18 | [CMD] [BBG]ArdaCetiner(7) => /as
17:36:20 | [CMD] agareis150(16) => /myskin 190
17:36:21 | agareis150(16): efm
17:36:22 | [CMD] swisskobay301(14) => /work
17:36:22 | DangerTr07(27): bekle kargo kasalim qnq :D
17:36:23 | Hic(17): Aga az bekle gelcem kargoya
17:36:25 | [CMD] DangerTr07(27) => /goreviptal
17:36:26 | [CMD] Jodor(8) => /pm 27 bizim kasada kaç m var sence :)
17:36:28 | [CMD] Jodor(8) => /work
17:36:28 | [CMD] DangerTr07(27) => /meslek
17:36:28 | [CMD] Brokoli(23) => /meslek
17:36:28 | [CMD] Yamuk(0) => /meslek
17:36:29 | [CMD] agareis150(16) => /myskin 292
17:36:30 | agareis150(16): tm
17:36:31 | [CMD] Hic(17) => /tamir
17:36:33 | 
17:36:33 | Brokoli(23) Cöpcü olarak spawn oldu.
17:36:33 | [CMD] agareis150(16) => /myskin 293
17:36:35 | Yamuk(0) Cöpcü olarak spawn oldu.
17:36:36 | [CMD] agareis150(16) => /myskin 294
17:36:38 | [CMD] agareis150(16) => /myskin 295
17:36:39 | [CMD] SucuKamil(6) => /asiriyuk
17:36:40 | [CMD] DangerTr07(27) => /pm 8 bilmem :D
17:36:40 | [CMD] agareis150(16) => /myskin 297
17:36:42 | [CMD] DangerTr07(27) => /myskin 21 
17:36:44 | [CMD] Brokoli(23) => / rescue
17:36:46 | [CMD] swisskobay301(14) => /work
17:36:46 | [CMD] DangerTr07(27) => /Goto 16
17:36:47 | [CMD] Brokoli(23) => /rescue
17:36:48 | [CMD] Hic(17) => /tamir
17:36:51 | DangerTr07(27): atla
17:36:53 | agareis150(16): iyi skin idsi versene danger bana kaç yapýyým
17:36:53 | [CMD] Jodor(8) => /pm 27 bakayým kaç olmuþ :)
17:36:54 | [CMD] DangerTr07(27) => /modifiye
17:36:55 | [CMD] Jodor(8) => /sirket
17:36:58 | Hic(17): 181 
17:37:0 | [CMD] Yamuk(0) => /work
17:37:1 | Brokoli(23): dur
17:37:2 | [CMD] Jodor(8) => /pm 27 306m :)
17:37:3 | [CMD] agareis150(16) => /myskin 181
17:37:7 | [CMD] oktayacar(10) => /asiriyuk
17:37:7 | Hic(17): Pek doðrumu hatýrlamýyom
17:37:8 | agareis150(16): tm saol
17:37:9 | [CMD] oktayacar(10) => /asiriyuk
17:37:10 | [CMD] KorkusuzKorkak(12) => /asiriyuk
17:37:11 | [CMD] DangerTr07(27) => /pm 8 omg
17:37:12 | Hic(17): öd
17:37:12 | [CMD] Brokoli(23) => /otur
17:37:13 | [CMD] DangerTr07(27) => /kemer
17:37:14 | [CMD] swisskobay301(14) => /work
17:37:18 | Brokoli(23): dur
17:37:20 | agareis150(16): baþla aga
17:37:23 | [CMD] [BBG]ArdaCetiner(7) => /asiriyuk
17:37:24 | Brokoli(23): dur
17:37:28 | [CMD] DangerTr07(27) => /pm 8 bence þirketlere fazla biþey alma olmalý besana mekan içi v.b eklentiler için
17:37:31 | [CMD] Jodor(8) => /pm 27 bizde aslan darkflow konyalý ve ben. iyi kasýyoruz. her hafta 100m geliyor
17:37:39 | [CMD] DangerTr07(27) => /pm 8 besana top10 olmalý :D 
17:37:40 | Kraply(15): hic
17:37:40 | Hic(17): Kargocu ortak olcak K a r i z ma insan aranýr
17:37:41 | [CMD] Brokoli(23) => /dans 1
17:37:41 | [CMD] DangerTr07(27) => /work
17:37:42 | [CMD] Hic(17) => /flpi
17:37:43 | [CMD] Hic(17) => /tamir
17:37:43 | Kraply(15): geliyom knk
17:37:44 | Brokoli(23): hyr
17:37:45 | [CMD] Hic(17) => /flip
17:37:46 | [CMD] Kraply(15) => /meslek
17:37:46 | [CMD] Jodor(8) => /pm 27 bence de
17:37:48 | [KAMYONCU] Jodor, San Fierro Furniture'den SF Financial Center'e Elektronik Esya tasidi. Kazanc: 7218$, 2 Skor ve 5 EXP Sure: 50 Saniye
17:37:49 | 
17:37:52 | [CMD] Kraply(15) => /rescue
17:37:53 | [CMD] Hic(17) => /meslek
17:37:54 | [CMD] DangerTr07(27) => /pm 8 1're vip ödül 2'ye para ve skor ödülü 3'e arac ödülü gibi 
17:37:55 | [CMD] Kraply(15) => /rescue
17:37:56 | [CMD] swisskobay301(14) => /work
17:37:57 | Brokoli(23): of
17:37:58 | 
17:37:58 | [CMD] Jodor(8) => /pm 27 þirket özellikleri deðiþmeli
17:38:1 | agareis150(16): hadisene lo ben kullanyým
17:38:2 | [CMD] Hic(17) => /rescue
17:38:3 | Kraply(15): hic sf gel
17:38:4 | [CMD] Kraply(15) => /kemer
17:38:6 | [CMD] Kraply(15) => /n
17:38:9 | [CMD] Kraply(15) => /modifiye
17:38:9 | Hic(17): Ok
17:38:12 | ArjinGren4152(9) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
17:38:12 | [CMD] Jodor(8) => /pm 27 þirket rütbeleri
17:38:17 | [CMD] DangerTr07(27) => /pm 8 yes
17:38:17 | [CMD] Hic(17) => /admins
17:38:17 | [CMD] Jodor(8) => /work
17:38:18 | [CMD] swisskobay301(14) => /admins
17:38:20 | [CMD] Kraply(15) => /work
17:38:21 | Hic(17): Oha
17:38:24 | swisskobay301(14): duyuru chati res
17:38:26 | [CMD] agareis150(16) => /sirket
17:38:26 | [CMD] swisskobay301(14) => /work
17:38:26 | Kraply(15): noldu
17:38:30 | [CMD] DangerTr07(27) => /pm 8 besana otobüs araclarý alýnmalý* 
17:38:31 | Hic(17): Üstünde Kurucu Admin - A7 yazýyo QWEÇqe
17:38:37 | Kraply(15): benimmi
17:38:37 | [CMD] DangerTr07(27) => /pm 8 maverick gibi 
17:38:40 | [CMD] Jodor(8) => /pm 27 aynen ya
17:38:40 | Hic(17): Evet
17:38:44 | Kraply(15): :d
17:38:48 | Kraply(15): evo yapmstýr
17:38:51 | [CMD] swisskobay301(14) => /pm 27 duyuru chatini reslermisin ?
17:38:56 | [CMD] Jodor(8) => /pm 27 yerler çok küçük maplar
17:38:56 | Hic(17): Bu Hüseyin'in bilgileri la
17:38:56 | [CMD] DangerTr07(27) => /Dtemizle
17:39:0 | [CMD] swisskobay301(14) => /work
17:39:0 | Kraply(15): xd
17:39:1 | Hic(17): Bozok Patronu
17:39:3 | [SirketCHT] agareis150(16): ! cluthesi atýyýmmý 0 katkýu yapmýþ
17:39:7 | Kraply(15): iyi iyi no relog
17:39:8 | Hic(17): 93 Level valla o la
17:39:8 | Brokoli(23): bendede gösteriyo
17:39:9 | Kraply(15): xd
17:39:12 | [SirketCHT] DangerTr07(27): ! atma 
17:39:13 | [CMD] agareis150(16) => /sirket
17:39:16 | [CMD] swisskobay301(14) => /work
17:39:17 | [SirketCHT] agareis150(16): ! niye
17:39:19 | [SirketCHT] DangerTr07(27): ! yeni o
17:39:23 | [LOCAL]Hic(17): Be nsürem
17:39:23 | [CMD] Hic(17) => /l Be nsürem
17:39:23 | [CMD] Kraply(15) => /kemer
17:39:24 | [SirketCHT] agareis150(16): ! he tm
17:39:25 | [CMD] oktayacar(10) => /asiriyuk
17:39:27 | [CMD] agareis150(16) => /sirket
17:39:27 | [CMD] Hic(17) => /kemer
17:39:31 | Kraply(15): pü
17:39:35 | [CMD] RoBoY(11) => /work
17:39:36 | [CMD] swisskobay301(14) => /work
17:39:37 | [CMD] Kraply(15) => /ise 
17:39:38 | [CMD] Kraply(15) => /31
17:39:40 | [CMD] Brokoli(23) => /dan 3
17:39:40 | DangerTr07(27): cama cýk :D 
17:39:42 | [CMD] DangerTr07(27) => /kemer
17:39:43 | [CMD] Brokoli(23) => /dans 3
17:39:45 | [CMD] DangerTr07(27) => /god
17:39:45 | [CMD] DangerTr07(27) => /god
17:39:50 | Kraply(15): qwe
17:39:53 | [CMD] Brokoli(23) => /dans 3
17:39:54 | SucuKamil(6): bu gorevler ammada uzun suruo bea 2 saat oldu bitiremedim :D
17:39:56 | [CMD] Hic(17) => /vipler
17:40:0 | [CMD] swisskobay301(14) => /work
17:40:3 | [CMD] Brokoli(23) => /dans 3
17:40:10 | [LOCAL]Brokoli(23): siren gibi :D
17:40:10 | [CMD] Brokoli(23) => /l siren gibi :D
17:40:12 | [KAMYONCU] Jodor, San Fierro Port'den SF Financial Center'e Elektronik Esya tasidi. Kazanc: 11358$, 2 Skor ve 5 EXP Sure: 38 Saniye
17:40:12 | Hic(17):  /kurallar yaz kabul et @6 
17:40:18 | [CMD] SucuKamil(6) => /kurallar
17:40:19 | [CMD] agareis150(16) => /uyeal 11
17:40:21 | [CMD] Jodor(8) => /work
17:40:23 | [CMD] swisskobay301(14) => /work
17:40:26 | [CMD] Brokoli(23) => /pm 12 id 0 ters
17:40:30 | SucuKamil(6): vay helalinden 5 skor verdiler
17:40:37 | [CMD] agareis150(16) => /uyeal 7
17:40:45 | Jodor(8): kamil
17:40:47 | [CMD] agareis150(16) => /uyeal 27
17:40:50 | Jodor(8): verirler
17:40:50 | Kraply(15): olm yaw
17:40:54 | Kraply(15): keske 1 mayýsada
17:40:54 | [CMD] DangerTr07(27) => /pm 
17:40:56 | Kraply(15): vip verseler
17:40:57 | [SirketCHT] agareis150(16): ! slor lazým þirkete
17:40:59 | [SirketCHT] agareis150(16): ! hg
17:41:0 | [CMD] swisskobay301(14) => /work
17:41:4 | [SirketCHT] DangerTr07(27): ! alýrýz 
17:41:9 | SucuKamil(6): lag girio arada bi ya
17:41:15 | Kraply(15): swde lag var lo
17:41:17 | [SirketCHT] DangerTr07(27): ! þirketin yarisi kasti 
17:41:18 | [LOCAL]Hic(17): 19 Mayýsa veriril belki
17:41:18 | [CMD] Hic(17) => /l 19 Mayýsa veriril belki
17:41:23 | Jodor(8): kamil lag girer
17:41:24 | [CMD] swisskobay301(14) => /work
17:41:25 | [SirketCHT] agareis150(16): ! ayn ben 3m kastým
17:41:26 | [LOCAL]Kraply(15): 19 mayýs genclýk spormuydu
17:41:26 | [CMD] Kraply(15) => /l 19 mayýs genclýk spormuydu
17:41:31 | [LOCAL]Hic(17): +
17:41:31 | [CMD] Hic(17) => /l +
17:41:34 | [SirketCHT] DangerTr07(27): ! 8m  
17:41:36 | [SirketCHT] DangerTr07(27): ! 8m   bende 
17:41:39 | [SirketCHT] agareis150(16): ! oo
17:41:44 | [SirketCHT] DangerTr07(27): ! beylerbeyi 15m  :D 
17:41:45 | [CMD] swisskobay301(14) => /work
17:41:52 | Jodor(8): evet patronunu benim
17:41:53 | [LOCAL]Hic(17): Bu son çýkcam
17:41:53 | [CMD] Hic(17) => /l Bu son çýkcam
17:41:54 | [CMD] Hic(17) => /work
17:41:54 | Jodor(8): :D
17:41:58 | [CMD] oktayacar(10) => /vtamir
17:42:0 | [LOCAL]Kraply(15): oke
17:42:0 | [CMD] Kraply(15) => /l oke
17:42:1 | [CMD] [BBG]ArdaCetiner(7) => /sirket
17:42:3 | [CMD] oktayacar(10) => /vtamir
17:42:4 | [KAMYONCU] Jodor, San Fierro Furniture'den SF Financial Center'e Elektronik Esya tasidi. Kazanc: 7218$, 2 Skor ve 5 EXP Sure: 25 Saniye
17:42:9 | agareis150(16): psn en güzel þirket bence
17:42:15 | Jodor(8): bence de
17:42:17 | DangerTr07(27): art'da öyle :p 
17:42:18 | [CMD] RoBoY(11) => /komutlar
17:42:23 | [CMD] KorkusuzKorkak(12) => /cevir
17:42:23 | [CMD] swisskobay301(14) => /work
17:42:26 | agareis150(16): ayn
17:42:26 | [CMD] Hic(17) => /tamir
17:42:27 | (BANKA) [BBG]ArdaCetiner(7) 2295 nolu banka hesabi olusturdu.
17:42:29 | [CMD] DangerTr07(27) => /Cantazele
17:42:32 | Jodor(8): nays
17:42:32 | [CMD] DangerTr07(27) => /Get 16
17:42:34 | Jodor(8): 21k
17:42:36 | Kraply(15): kendi þirketimi açýp kimseyi almýcm :P
17:42:37 | Jodor(8): skor
17:42:38 | [KAMYONCU] SucuKamil, LV Farm'den SF Supa Save'e Erzak tasidi. Kazanc: 23891$, 1 Skor ve 5 EXP Sure: 276 Saniye
17:42:40 | Kraply(15): :p
17:42:41 | Jodor(8): böyle kalsýn
17:42:48 | [CMD] RoBoY(11) => /gobus
17:42:49 | DangerTr07(27): atla
17:42:49 | [LOCAL]Brokoli(23): çöp arabasý çok yakýn olmýcak
17:42:49 | [CMD] Brokoli(23) => /l çöp arabasý çok yakýn olmýcak
17:42:50 | [LOCAL]Brokoli(23): çöp arabasý çok yakýn olmýcak
17:42:50 | [CMD] Brokoli(23) => /l çöp arabasý çok yakýn olmýcak
17:42:50 | [LOCAL]Brokoli(23): çöp arabasý çok yakýn olmýcak
17:42:50 | [CMD] Brokoli(23) => /l çöp arabasý çok yakýn olmýcak
17:42:50 | [CMD] DangerTr07(27) => /ATamir
17:42:54 | [CMD] KorkusuzKorkak(12) => /cevir
17:42:54 | Hic(17): 10k olam bi yaw
17:42:58 | DangerTr07(27): yess
17:42:59 | SucuKamil(6): sonunda bitti
17:43:0 | [CMD] Kraply(15) => /animlist
17:43:0 | [CMD] swisskobay301(14) => /work
17:43:1 | DangerTr07(27): yeah!
17:43:5 | [CMD] KorkusuzKorkak(12) => /tamir
17:43:5 | [CMD] Kraply(15) => /striptiz
17:43:6 | DangerTr07(27): pepe derbide yok yes
17:43:8 | [CMD] DangerTr07(27) => /work
17:43:12 | [CMD] RoBoY(11) => /gobus
17:43:12 | KorkusuzKorkak(12): danger
17:43:13 | [CMD] Kraply(15) => /striptiz a
17:43:16 | DangerTr07(27): efendim
17:43:16 | agareis150(16): þila var ama
17:43:20 | KorkusuzKorkak(12): gelir misin
17:43:20 | [CMD] Kraply(15) => /animkapat
17:43:24 | [CMD] RoBoY(11) => /gobus
17:43:24 | DangerTr07(27): gine ne olduð d
17:43:27 | [CMD] swisskobay301(14) => /work
17:43:27 | Hic(17): Danger sen GS'li deðilmisin la
17:43:28 | [CMD] Kraply(15) => /striptiz a
17:43:28 | oktayacar(10): gelll
17:43:31 | KorkusuzKorkak(12): sýkýþtým :)
17:43:32 | DangerTr07(27): gsliyim qnq
17:43:34 | [CMD] RoBoY(11) => /komutlar
17:43:35 | Kraply(15): xd
17:43:36 | DangerTr07(27): aga araci sen al
17:43:40 | agareis150(16): tm
17:43:41 | [CMD] DangerTr07(27) => /Goto 12
17:43:42 | [CMD] Kraply(15) => /animkapat
17:43:43 | Hic(17): Neden bu kadar sevindin la :D
17:43:43 | oktayacar(10): gelme
17:43:44 | [CMD] RoBoY(11) => /kill
17:43:45 | KorkusuzKorkak(12): he tamam gerek kalmadý
17:43:45 | DangerTr07(27): uyaniklar 
17:43:46 | [CMD] Kraply(15) => /animkapat
17:43:49 | Kraply(15): t
17:43:50 | oktayacar(10): :D
17:43:51 | Kraply(15): lag var
17:43:53 | KorkusuzKorkak(12): :D
17:43:53 | oktayacar(10): bedava
17:43:54 | [CMD] RoBoY(11) => /meslek
17:43:54 | DangerTr07(27): tren carpacak tren 
17:43:55 | [CMD] swisskobay301(14) => /work
17:43:56 | [CMD] Kraply(15) => /animkapa
17:43:56 | oktayacar(10): bedava
17:43:58 | [CMD] DangerTr07(27) => /Goto 
17:43:59 | oktayacar(10): bedava ama
17:44:0 | [CMD] Kraply(15) => /animkapat
17:44:1 | KorkusuzKorkak(12): çarptý zaten :d
17:44:1 | [CMD] DangerTr07(27) => /Goto  16
17:44:2 | {FFCC00}RoBoY(11) Otobus Soforu olarak spawn oldu.
17:44:4 | DangerTr07(27): xd
17:44:7 | [CMD] DangerTr07(27) => /Goto  16
17:44:9 | DangerTr07(27): aga dur xd
17:44:10 | [CMD] DangerTr07(27) => /Goto  16
17:44:13 | [CMD] swisskobay301(14) => /work
17:44:15 | [CMD] Kraply(15) => /anilist
17:44:15 | [SirketCHT] agareis150(16): ! roboy þirkete katký yap
17:44:18 | Jodor(8): tren yolunbdaki kimdi
17:44:18 | [CMD] Kraply(15) => /sabri
17:44:20 | [CMD] RoBoY(11) => /kemer
17:44:22 | KorkusuzKorkak(12): ben
17:44:22 | [CMD] Kraply(15) => /animkapat
17:44:24 | [CMD] Kraply(15) => /sabri
17:44:29 | oktayacar(10): ben
17:44:32 | [CMD] swisskobay301(14) => /work
17:44:37 | [SirketCHT] agareis150(16): ! yoksa elvedea
17:44:40 | [CMD] RoBoY(11) => /work
17:44:48 | [SirketCHT] DangerTr07(27): ! kasamayan rank alamaz :p 
17:44:51 | [CMD] swisskobay301(14) => /work
17:44:51 | Jodor(8): izliyorum sizi
17:44:56 | SucuKamil(6): bak ya work yazmamýsým
17:45:0 | [LOCAL]Brokoli(23): ben afk
17:45:0 | [CMD] Brokoli(23) => /l ben afk
17:45:4 | [CMD] Hic(17) => /adminol
17:45:5 | [CMD] swisskobay301(14) => /work
17:45:6 | Hic(17) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
17:45:6 | DangerTr07(27): bas
17:45:8 | SucuKamil(6): bb
17:45:8 | Kraply(15): bb
17:45:17 | SucuKamil(6): silah varm ýburada ya
17:45:19 | [CMD] swisskobay301(14) => /work
17:45:22 | Jodor(8): donatorluk ne kadardý agareis
17:45:23 | DangerTr07(27): cevik kuvvetde var tek 
17:45:26 | Yamuk(0): yolun ortasýnda arac var :d
17:45:26 | [SirketCHT] Kraply(15): !sezer qnq
17:45:26 | Jodor(8): 10 mu
17:45:28 | Jodor(8): 5 mi
17:45:30 | agareis150(16): 5e aldým ben
17:45:33 | DangerTr07(27): 5 tl 
17:45:37 | Brokoli(23): dur
17:45:39 | DangerTr07(27): ama 10 tl aldim bende :D 
17:45:40 | Kraply(15): sezer
17:45:42 | SucuKamil(6): gercek hayatta týrcýlar býr býrýne týrpan kemer zincirle girio ya :D
17:45:44 | agareis150(16): 10 tl o indirim olduðundandý
17:45:45 | DangerTr07(27): efendim kraply
17:45:48 | [CMD] swisskobay301(14) => /work
17:45:54 | Kraply(15): knk sirket kursm gelirmsn
17:45:57 | Jodor(8): 1 aylýk vip+þirket slotu+donatorluk
17:46:0 | [CMD] swisskobay301(14) => /work
17:46:4 | Jodor(8): böyle alacam
17:46:7 | DangerTr07(27): kur qnq ortak oluruz :D 
17:46:11 | (BANKA) [BBG]ArdaCetiner(7) 2295 nolu banka hesabina 1000000$ yatirdi.
17:46:11 | [CMD] swisskobay301(14) => /work
17:46:12 | Kraply(15): tm
17:46:16 | Kraply(15): bi para yatýrm
17:46:18 | SucuKamil(6): abi bu sv de ban affý oluomu
17:46:18 | DangerTr07(27): qnq arkada
17:46:21 | Jodor(8): ben de bi þirket kuracam
17:46:24 | DangerTr07(27): aga
17:46:24 | Jodor(8): paravan þirket
17:46:27 | DangerTr07(27): arkada kýrmýzý icon
17:46:27 | Brokoli(23): hyr baþkalar takýlmýyo
17:46:37 | DangerTr07(27): aga nereye :D
17:46:37 | [CMD] swisskobay301(14) => /work
17:46:40 | Jodor(8): kraply þirket kurmak zor
17:46:40 | Kraply(15): serverde anime izleyen varmý
17:46:42 | [CMD] DangerTr07(27) => /Slap 16
17:46:47 | Kraply(15): yok :p
17:46:48 | DangerTr07(27): arkada len
17:46:48 | Jodor(8): yanýna beþ tane saðlam týrcý alman lazým
17:46:48 | SucuKamil(6): bu sw de ban affgý oluomu aga
17:46:50 | DangerTr07(27): atla 
17:46:52 | Jodor(8): yoksa batarsýn
17:46:53 | [CMD] DangerTr07(27) => /kemer
17:46:54 | agareis150(16): naptýn len
17:46:56 | DangerTr07(27): jasjda
17:46:59 | Jodor(8): þiþkodayý battý
17:47:1 | DangerTr07(27): qnq 4/5 diyor :D
17:47:1 | [CMD] swisskobay301(14) => /work
17:47:3 | [CMD] SucuKamil(6) => /kurallar
17:47:4 | Jodor(8): kötü oldu
17:47:5 | [CMD] Brokoli(23) => /c
17:47:6 | [CMD] DangerTr07(27) => /Atamir
17:47:8 | [KAMYONCU] [BBG]ArdaCetiner, Harbour Island Warehouse'den Longway Warehouse'e Degerli Esyalar tasidi. Kazanc: 89969$, 1 Skor ve 5 EXP Sure: 521 Saniye
17:47:8 | [SirketCHT] DangerTr07(27): ! kraply 
17:47:13 | agareis150(16): aaa aynen len
17:47:13 | [CMD] Brokoli(23) => /c biliyom
17:47:14 | [SirketCHT] Kraply(15): !he
17:47:16 | [SirketCHT] DangerTr07(27): ! slot al sen buraya qnq en iyisi :D
17:47:16 | [CMD] [BBG]ArdaCetiner(7) => /rescue
17:47:22 | [CMD] Brokoli(23) => /c hala konvoy
17:47:25 | [BBG]ArdaCetiner(7): araç res
17:47:26 | [SirketCHT] Kraply(15): !knk sey yapmayý dusunuyom
17:47:30 | Jodor(8): þiþkodayýya da söyledim
17:47:31 | [SirketCHT] Kraply(15): !Akatsuki diye klan acýcam
17:47:34 | Jodor(8): sürekli kasman lazým
17:47:35 | [CMD] swisskobay301(14) => /wrok
17:47:36 | [CMD] swisskobay301(14) => /work
17:47:37 | [SirketCHT] Kraply(15): !kendim olcm sadece
17:47:38 | [SirketCHT] agareis150(16): ! slot alýrsý patron olursu
17:47:38 | Jodor(8): arkadaþlarým gelecek dedi
17:47:38 | [SirketCHT] DangerTr07(27): ! tm xD
17:47:41 | [SirketCHT] Kraply(15): !qwe
17:47:46 | [LOCAL]Brokoli(23): ben yemek yicem
17:47:46 | [CMD] Brokoli(23) => /l ben yemek yicem
17:47:46 | [SirketCHT] DangerTr07(27): ! aynen 
17:47:50 | [SirketCHT] DangerTr07(27): ! slot al patron ol :D 
17:47:51 | Jodor(8): kraply þirket aç
17:47:58 | Brokoli(23): ok
17:47:58 | Jodor(8): ama saðlam birilerini bul
17:47:58 | Kraply(15): açarm
17:47:59 | [CMD] [BBG]ArdaCetiner(7) => /admin
17:48:2 | [CMD] DangerTr07(27) => /kemer
17:48:2 | Kraply(15): olm
17:48:3 | Brokoli(23): ok
17:48:4 | [CMD] swisskobay301(14) => /work
17:48:4 | [SirketCHT] DangerTr07(27): ! yada aç qnq 
17:48:5 | [BBG]ArdaCetiner(7): admin
17:48:7 | Kraply(15): seçilmiþ kiþileri alýrm
17:48:9 | Jodor(8): sw de az þirket var zaten
17:48:10 | [SirketCHT] DangerTr07(27): ! fazla þirket olsun 
17:48:12 | [CMD] [BBG]ArdaCetiner(7) => /þirketdorse
17:48:13 | Kraply(15): Akatsuki olcak ismi
17:48:14 | Jodor(8): dangerý al
17:48:16 | [CMD] SucuKamil(6) => /pm 27 abeeey bu sw de ban affý varmý
17:48:18 | Brokoli(23): 2 skor
17:48:21 | [CMD] [BBG]ArdaCetiner(7) => /sirketdorse
17:48:23 | [CMD] swisskobay301(14) => /work
17:48:24 | [CMD] Yamuk(0) => /work
17:48:26 | [SirketCHT] agareis150(16): ! ben burda iyiyim 
17:48:29 | DangerTr07(27): ben buraya slot alcam gitmem zor :D 
17:48:29 | Kraply(15): bide vip alýrm
17:48:30 | [LOCAL]Brokoli(23): 2 skor verdi :D
17:48:30 | [CMD] Brokoli(23) => /l 2 skor verdi :D
17:48:31 | [CMD] swisskobay301(14) => /work
17:48:33 | Kraply(15): :D
17:48:38 | Jodor(8): slotu kim aldý
17:48:40 | [CMD] [BBG]ArdaCetiner(7) => /work,
17:48:41 | DangerTr07(27): ama destege adam yollarim
17:48:41 | Jodor(8): beylerbeyi mi
17:48:43 | [CMD] [BBG]ArdaCetiner(7) => /work
17:48:44 | DangerTr07(27): evt
17:48:51 | Kraply(15): sezer
17:48:51 | [CMD] agareis150(16) => /sirket
17:48:54 | [SirketCHT] DangerTr07(27): ! Destege gidersin ama: d 
17:48:56 | DangerTr07(27): ? 
17:48:57 | Kraply(15): sýnýrsýz sirket acabiliyodk demi
17:48:58 | Jodor(8): heli pisti yok bizde araç park yok
17:48:59 | agareis150(16): almadý daha 
17:48:59 | [CMD] KorkusuzKorkak(12) => /karakol
17:49:0 | [CMD] swisskobay301(14) => /work
17:49:0 | Gezegen(9) oyuna girdi [IP: 85.97.95.4]
17:49:1 | [CMD] oktayacar(10) => /karakol
17:49:7 | DangerTr07(27): kasmasan o þirket gider :D 
17:49:7 | [CMD] oktayacar(10) => /cezaode
17:49:8 | DangerTr07(27): alrýsýn qnq 
17:49:10 | [CMD] KorkusuzKorkak(12) => /cezaode
17:49:11 | Kraply(15): tm
17:49:11 | Jodor(8):  /sirketdorse yazýlý deðil
17:49:13 | DangerTr07(27): full slot + para 
17:49:14 | [LOCAL]agareis150(16): donatorler için özel arabalar fln ne zmn gelcek
17:49:14 | [CMD] agareis150(16) => /l donatorler için özel arabalar fln ne zmn gelcek
17:49:14 | Kraply(15): bakýyým
17:49:15 | SucuKamil(6): danger bu sw de ban affý varmý
17:49:15 | Kraply(15): bi
17:49:15 | [CMD] KorkusuzKorkak(12) => /meslek
17:49:17 | [CMD] agareis150(16) => /donator
17:49:17 | Gezegen(9) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
17:49:20 | Kraply(15): foruma
17:49:20 | [LOCAL]DangerTr07(27): gemez qnq :S
17:49:20 | [CMD] DangerTr07(27) => /l gemez qnq :S
17:49:22 | DangerTr07(27): var
17:49:23 | [CMD] Kraply(15) => /afk
17:49:26 | DangerTr07(27): bütün banlar affedildi 
17:49:27 | [CMD] swisskobay301(14) => /work
17:49:32 | SucuKamil(6): ne zaman oluo
17:49:35 | SucuKamil(6): aflar
17:49:36 | DangerTr07(27): bugün oldu 
17:49:39 | Jodor(8): ahmut ta mý :D
17:49:40 | Yamuk(0): karalistede dahilmi
17:49:43 | [CMD] agareis150(16) => /market
17:49:44 | [CMD] swisskobay301(14) => /work
17:49:47 | DangerTr07(27): galiba 
17:49:55 | [CMD] Jodor(8) => /balon
17:50:0 | DangerTr07(27): karalisteyi bilmiyorum hüseyine sorarsiniz 
17:50:2 | [CMD] KorkusuzKorkak(12) => /meslek
17:50:6 | SucuKamil(6): tmm
17:50:7 | Yamuk(0): tamam
17:50:8 | [CMD] oktayacar(10) => /meslek
17:50:10 | {FFCC00}oktayacar(10) {FFFFFF}Pilot olarak spawn oldu.
17:50:11 | agareis150(16): 3 aylýk vip 15mi markette öyle yazýyo
17:50:13 | KorkusuzKorkak(12) Pizzaci olarak spawn oldu.
17:50:14 | [CMD] oktayacar(10) => /rescue
17:50:16 | [CMD] swisskobay301(14) => /work
17:50:20 | DangerTr07(27): evt 15 
17:50:20 | [CMD] KorkusuzKorkak(12) => /modifiye
17:50:21 | SucuKamil(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
17:50:21 | agareis150(16): ahmutun ban kalktýmý eyüpün fln
17:50:23 | Yamuk(0): 15 tl
17:50:27 | [CMD] DangerTr07(27) => /work
17:50:27 | agareis150(16): 3 aylýk 15mi
17:50:31 | [CMD] DangerTr07(27) => /Goreviptal
17:50:33 | [CMD] DangerTr07(27) => /work
17:50:35 | Yamuk(0): evet
17:50:39 | [ANTIHACK] Þüpheli Jodor(8) => Jetpack-Hilesi
17:50:39 | [CMD] swisskobay301(14) => /work
17:50:39 | [CMD] DangerTr07(27) => /Cantazele
17:50:40 | agareis150(16): ucuzmuþ
17:50:45 | Jodor(8): 15 tl deðil
17:50:46 | DangerTr07(27): fiyatlarý iyi 
17:50:49 | Jodor(8): 50 tl
17:50:55 | Jodor(8): üç aylýk vip
17:50:58 | agareis150(16): 3 aylýk 15 tl /market
17:51:3 | [CMD] agareis150(16) => /market
17:51:5 | DangerTr07(27): market yanlýþ
17:51:6 | Jodor(8): o eski güncellenmedi
17:51:15 | DangerTr07(27): frumdaki markete bakýn 
17:51:16 | Jodor(8): trucksamp.com baka orada yazýyor
17:51:17 | [CMD] swisskobay301(14) => /work
17:51:21 | agareis150(16): he öylemi
17:51:23 | TheFlash02(6) oyuna girdi [IP: 78.190.194.0]
