0:0:0 | [CMD] TIRCI(23) => /basarimlar
17:17:45 | DaRkPLaYeR_43(16): sa
17:17:46 | [CMD] Mertaran(0) => /sirketdorse
17:17:48 | [CMD] DangerTr07(9) => /fuel 
17:17:48 | [CMD] huseyin(8) => /bangor Dark$layer
17:17:49 | DaRkPLaYeR_43(16): abi
17:17:50 | [CMD] [tr]gamgam(22) => /kemer
17:17:51 | [CMD] huseyin(8) => /as
17:17:53 | [CMD] Mertaran(0) => /Modifiye
17:17:54 | DangerTr07(9): as
17:17:57 | [CMD] Atillaxx51(14) => /work
17:18:0 | [CMD] huseyin(8) => /a sa abi diye baþladý .d
17:18:1 | DaRkPLaYeR_43(16): huseyýn abý h.o
17:18:4 | [CMD] ordulukral523152(10) => /modifiye
17:18:5 | huseyin(8): eyw
17:18:12 | [CMD] huseyin(8) => /a bu yarma kim acaba
17:18:15 | [CMD] Mertaran(0) => /Convoy
17:18:17 | [CMD] DaRkPLaYeR_43(16) => /work
17:18:17 | [CMD] DangerTr07(9) => /Aka 16
17:18:21 | [CMD] Mertaran(0) => /Work
17:18:21 | [CMD] ordulukral523152(10) => /convoy
17:18:22 | [CMD] DaRkPLaYeR_43(16) => /goreviptal
17:18:22 | oktayacar(19): H-U-S-E-Y-Ý-N---H-U-S-E-Y-Ý-N---H-U-S-E-Y-Ý-N---H-U-S-E-Y-Ý-N---H-U-S-E-Y-Ý-N---H-US-E-Y-Ý-N
17:18:22 | [CMD] testere151(12) => /a bilsem :/
17:18:23 | [CMD] huseyin(8) => /aka 16
17:18:26 | [CMD] DaRkPLaYeR_43(16) => /convoy
17:18:27 | [CMD] huseyin(8) => /uyar 19 chat kirletme 
17:18:27 | [OTOBUSCU] [tr]gamgam, Ankara Otogar'den Longway Otogar'e Yolcu tasidi. Kazanc: 28252$ ve 3 Skor Sure: 578 Saniye
17:18:29 | oktayacar(19): iyimi
17:18:29 | [CMD] Mertaran(0) => /Work
17:18:31 | [CMD] DaRkPLaYeR_43(16) => /c nerde
17:18:32 | huseyin(8): nope
17:18:32 | [CMD] [tr]gamgam(22) => /work
17:18:34 | [CMD] testere151(12) => /a huseyin siksin seni
17:18:36 | oktayacar(19): open
17:18:38 | [CMD] testere151(12) => /cevir
17:18:38 | [CMD] DangerTr07(9) => /A dead bitti oktay baþladi amk 
17:18:39 | [CMD] Mertaran(0) => /convoyat 16
17:18:41 | [CMD] Mertaran(0) => /Work
17:18:45 | [KAMYONCU] ammoti, Emkatu Sanayi'den LV Dirtring Stadium'e Kutu Bira tasidi. Kazanc: 15954$, 1 Skor ve 5 EXP Sure: 160 Saniye
17:18:46 | huseyin(8): nope = Hayýr
17:18:49 | buyukustadbitti(15): canres
17:18:51 | [CMD] huseyin(8) => /cantazele
17:18:53 | huseyin(8):  /kemer
17:18:53 | DaRkPLaYeR_43(16): convoy aççak varmý
17:18:55 | [CMD] huseyin(8) => /dtemizle 
17:18:55 | [CMD] huseyin(8) => /asay2 s  
17:18:56 | oktayacar(19): yes evet
17:18:57 | [CMD] DaRkPLaYeR_43(16) => /kemer
17:18:58 | gorkemu24(20) oyuna girdi [IP: 94.123.192.95]
17:19:0 | buyukustadbitti(15): canres
17:19:1 | buyukustad buyukustadbitti'i öldürdü. Oldurme Sekli: 50
17:19:1 | [CMD] huseyin(8) => /cantazele
17:19:3 | huseyin(8):  /kemer <<< 
17:19:4 | oktayacar(19): yes =evet
17:19:4 | dostluk(17) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
17:19:5 | 
17:19:5 | [CMD] DaRkPLaYeR_43(16) => /convoy
17:19:8 | 
17:19:8 | [CMD] Mertaran(0) => /kemer
17:19:9 | huseyin(8): Yes Yes
17:19:11 | {FFCC00}gorkemu24(20) {FFFFFF}Kamyoncu olarak spawn oldu.
17:19:17 | sezzer(11): oh sex
17:19:17 | [CMD] huseyin(8) => /dtemizle 
17:19:17 | [CMD] huseyin(8) => /asay2 s  
17:19:18 | [CMD] DaRkPLaYeR_43(16) => /convoy
17:19:19 | [CMD] gorkemu24(20) => /sa
17:19:20 | [CMD] buyukustad(13) => /rescue
17:19:21 | DangerTr07(9): as
17:19:21 | [CMD] Mertaran(0) => /as
17:19:22 | DaRkPLaYeR_43(16): convoy aççak varmý ?
17:19:22 | [CMD] sezzer(11) => /as
17:19:25 | [CMD] huseyin(8) => /as
17:19:25 | [CMD] DangerTr07(9) => /sirket
17:19:28 | fsafas(17) oyuna girdi [IP: 95.10.178.198]
17:19:33 | [CMD] huseyin(8) => /donatoryazi
17:19:34 | selviyiseviyorum(23) oyuna girdi [IP: 95.10.20.239]
17:19:35 | [CMD] huseyin(8) => /donatortex
17:19:36 | [CMD] huseyin(8) => /donatortext
17:19:36 | [CMD] gorkemu24(20) => /convoy
17:19:38 | [CMD] huseyin(8) => /komutlar
17:19:39 | 
17:19:39 | [CMD] DangerTr07(9) => /uyeal 0 
17:19:42 | [CMD] Atillaxx51(14) => /goreviptal
17:19:43 | [CMD] ordulukral523152(10) => /tamir
17:19:43 | [CMD] buyukustad(13) => /work
17:19:43 | [CMD] gorkemu24(20) => /gobus
17:19:44 | 
17:19:46 | [CMD] oktayacar(19) => /as
17:19:49 | {FFCC00}selviyiseviyorum(23) {FFFFFF}Kamyoncu olarak spawn oldu.
17:19:51 | [CMD] selviyiseviyorum(23) => /sa
17:19:52 | [CMD] buyukustad(13) => /kemer
17:19:53 | [SirketCHT] DangerTr07(9): ! 1 kiþilik yer kalsýn :D 
17:19:54 | [CMD] oktayacar(19) => /as
17:19:55 | [CMD] gorkemu24(20) => /as
17:19:57 | fsafas(17) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
17:19:57 | [CMD] DangerTr07(9) => /uyeal 23 
17:19:57 | [CMD] DaRkPLaYeR_43(16) => /kill
17:19:57 | sezzer(11): hüseyin
17:20:0 | sezzer(11): acil gel
17:20:1 | sezzer(11): sýkýþtým
17:20:2 | [CMD] DaRkPLaYeR_43(16) => /meslek
17:20:5 | {FFCC00}DaRkPLaYeR_43(16) Otobus Soforu olarak spawn oldu.
17:20:7 | [CMD] sezzer(11) => /stamir
17:20:10 | [CMD] sezzer(11) => /stamir
17:20:13 | sezzer(11): hüseyin
17:20:16 | sezzer(11): sýkýþtým
17:20:19 | sezzer(11): acil gel
17:20:19 | [CMD] huseyin(8) => /goto 11 
17:20:20 | [CMD] huseyin(8) => /fly
17:20:21 | [CMD] huseyin(8) => /goto 11 
17:20:21 | [CMD] sezzer(11) => /stamir
17:20:22 | [CMD] huseyin(8) => /balon 
17:20:23 | [CMD] testere151(12) => /goto 11
17:20:24 | [CMD] DaRkPLaYeR_43(16) => /kemer
17:20:25 | [CMD] huseyin(8) => /slap 8 
17:20:26 | [CMD] huseyin(8) => /fly
17:20:27 | [CMD] DaRkPLaYeR_43(16) => /work
17:20:28 | [CMD] testere151(12) => /goto 11
17:20:32 | [CMD] huseyin(8) => /get 11 
17:20:32 | {FFCC00}testere151(12) {FFFFFF}Kamyoncu olarak spawn oldu.
17:20:33 | DangerTr07(9): omg 
17:20:34 | [CMD] gorkemu24(20) => /sirket
17:20:34 | [CMD] testere151(12) => /goto 11
17:20:40 | huseyin(8): nasýl beceriyonuz 
17:20:44 | DangerTr07(9): :Dd
17:20:52 | [CMD] DangerTr07(9) => /Atamir
17:20:53 | [CMD] testere151(12) => /fly
17:20:58 | sezzer(11): adamsýn hüseyin saðol
17:21:0 | [CMD] sezzer(11) => /tamir
17:21:1 | huseyin(8): Rica.
17:21:4 | huseyin(8): dikkatli sürün
17:21:9 | sezzer(11): yol yüklenmedi bi an
17:21:10 | [CMD] gorkemu24(20) => /sirketdorse
17:21:13 | huseyin(8): gerçi desemde fayda etmiyorda
17:21:15 | [CMD] huseyin(8) => /dtemizle 
17:21:15 | [CMD] huseyin(8) => /asay2 s  
17:21:20 | [CMD] huseyin(8) => /komutlar
17:21:24 | ammoti(21): hüseyin denize düþtüm gel
17:21:26 | DaRkPLaYeR_43(16) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
17:21:28 | sezzer(11): ahýr üstü uðursuzluðu iþte
17:21:29 | buyukustad(13): yasak
17:21:34 | [CMD] testere151(12) => /araba
17:21:37 | H.R.N.(16) oyuna girdi [IP: 46.2.102.60]
17:21:43 | Atillaxx51(14) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
17:21:46 | huseyin(8): denize düþenleri çekemiyoruz
17:21:47 | 
17:21:50 | [CMD] testere151(12) => /a yaw benim araçler sürekli pembe oluyo 
17:21:50 | {FFCC00}H.R.N.(16) {FFFFFF}Kamyoncu olarak spawn oldu.
17:21:50 | huseyin(8): :d
17:21:53 | [CMD] huseyin(8) => /a :D
17:21:55 | [CMD] H.R.N.(16) => /sa
17:21:57 | [CMD] huseyin(8) => /as
17:21:59 | kralpop(14) oyuna girdi [IP: 95.10.20.234]
17:21:59 | kralpop(14) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
17:22:0 | [CMD] DangerTr07(9) => /As
17:22:1 | [LOCAL]testere151(12): hg
17:22:1 | [CMD] testere151(12) => /l hg
17:22:1 | [CMD] huseyin(8) => /dtemizle 
17:22:1 | [CMD] huseyin(8) => /asay2 s  
17:22:9 | [CMD] huseyin(8) => /basarimlar
17:22:13 | [CMD] H.R.N.(16) => /sac
17:22:16 | [CMD] sezzer(11) => /as
17:22:19 | [LOCAL]oktayacar(19): dur
17:22:19 | [CMD] oktayacar(19) => /l dur
17:22:23 | ammoti(21) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
17:22:32 | [LOCAL]oktayacar(19): banan inf versene
17:22:32 | [CMD] oktayacar(19) => /l banan inf versene
17:22:33 | [CMD] huseyin(8) => /dtemizle 
17:22:33 | [CMD] huseyin(8) => /asay2 s  
17:22:36 | H.R.N.(16): https://resmim.net/f/ZcCFik.png
https://resmim.net/f/UGTsYc.png
17:22:36 | [LOCAL]testere151(12): olmaz
17:22:36 | [CMD] testere151(12) => /l olmaz
17:22:36 | [CMD] huseyin(8) => /cleanupcars
17:22:39 | [CMD] huseyin(8) => /cc
17:22:40 | [LOCAL]oktayacar(19): niye
17:22:40 | [CMD] oktayacar(19) => /l niye
17:22:40 | H.R.N.(16): upss pardon
17:22:42 | DangerTr07(9): sdsada
17:22:48 | [CMD] DangerTr07(9) => /r aha bana çekmiþ biir :D 
17:22:49 | buyukustad(13): admin
17:22:50 | sezzer(11): ifþa linki sandým
17:22:51 | huseyin(8): Evet
17:22:52 | [CMD] DangerTr07(9) => /R Danger v2 
17:22:55 | huseyin(8): :D
17:22:56 | gorkemu24(20): öyle zaten
17:22:57 | [CMD] H.R.N.(16) => /r :D
17:22:58 | buyukustad(13): adam evin içinde kaldý
17:22:59 | DangerTr07(9): jajjsjdad
17:23:1 | sezzer(11): püüü
17:23:1 | [CMD] Mertaran(0) => /skapat
17:23:2 | sezzer(11): jsdhgasd
17:23:2 | [CMD] buyukustad(13) => /tamir
17:23:2 | Younapo.(14) oyuna girdi [IP: 78.184.212.192]
17:23:2 | [CMD] huseyin(8) => /goto 13 
17:23:4 | [CMD] ordulukral523152(10) => /skapat
17:23:8 | buyukustad(13): ha çýktý tamam
17:23:10 | huseyin(8): he
17:23:10 | [CMD] DangerTr07(9) => /uyeal 18 
17:23:10 | buyukustadbitti(15): CIKTIM
17:23:13 | gorkemu24(20): dur ss aldým bakým :D
17:23:14 | [CMD] huseyin(8) => /uyar 15 caps kapat
17:23:20 | [CMD] huseyin(8) => /dtemizle 
17:23:20 | [CMD] huseyin(8) => /asay2 s  
17:23:20 | sezzer(11): bida atar mýsýn hrn
17:23:24 | sezzer(11): pm den
17:23:29 | huseyin(8): chat log var ztn .d
17:23:33 | 
17:23:34 | sezzer(11): cc de siliniyo
17:23:36 | [CMD] poirini155(7) => /KEMER
17:23:38 | {FFCC00}Younapo.(14) {FFFFFF}Kamyoncu olarak spawn oldu.
17:23:39 | [CMD] ordulukral523152(10) => /tamir
17:23:39 | [CMD] H.R.N.(16) => /asay Yardým Ýstiyen? Yolu Bulamayan?
17:23:45 | Younapo.(14): Cümleten Selamun Aleyküm.
17:23:46 | buyukustad(13): ýoktay
17:23:46 | huseyin(8): sen swden cýkmadýðýn sürece chat log temizlenmiyor
17:23:47 | [CMD] huseyin(8) => /as
17:23:48 | [CMD] DangerTr07(9) => /pm 14 youporn hg 
17:23:49 | oktayacar(19): efm
17:23:52 | sezzer(11): ha iyimiþ
17:23:56 | huseyin(8): ;)
17:23:58 | buyukustad(13): sf kargocuya gel
17:23:59 | [CMD] DangerTr07(9) => /as
17:24:2 | [CMD] Younapo.(14) => /pm 9 hoþbulduk sezerim
17:24:3 | oktayacar(19): tm
17:24:3 | [CMD] H.R.N.(16) => /rescue
17:24:7 | [CMD] oktayacar(19) => /rescue
17:24:10 | [CMD] DangerTr07(9) => /pm 14 <3 
17:24:18 | [CMD] Younapo.(14) => /rescue
17:24:20 | [CMD] huseyin(8) => /meslek
17:24:20 | [CMD] testere151(12) => /a yoh serverden çýkýncada temizlenmiyo 
17:24:21 | [CMD] DangerTr07(9) => /Atamir
17:24:22 | [CMD] Younapo.(14) => /convoy
17:24:22 | {FFCC00}huseyin(8) {FFFFFF}Polis olarak spawn oldu.
17:24:22 | [CMD] DangerTr07(9) => /fuel 
17:24:28 | [CMD] huseyin(8) => /a swden cýkýnca temizleniyor
17:24:31 | [CMD] Younapo.(14) => /pm 9 nerde bitiyor söyle de bende geleyim
17:24:33 | [CMD] testere151(12) => /a yok
17:24:34 | [CMD] Younapo.(14) => /ogorev 9
17:24:34 | [CMD] huseyin(8) => /a ona dedim ki sen swden cýkmadýðýn 
17:24:35 | oktayacar(19): yoksun
17:24:36 | [CMD] DangerTr07(9) => /pm 14 docks 
17:24:41 | [CMD] H.R.N.(16) => /modifiye
17:24:42 | [CMD] huseyin(8) => /a temizlen miyormu
17:24:46 | [CMD] testere151(12) => /a hyr
17:24:48 | [CMD] Mertaran(0) => /tamir
17:24:48 | oktayacar(19): aman neyse
17:24:48 | [CMD] huseyin(8) => /a hm
17:24:49 | [CMD] ordulukral523152(10) => /asiriyuk
17:24:49 | [CMD] buyukustad(13) => /tamir
17:24:52 | Nebojsa_Savic(17) oyuna girdi [IP: 178.221.226.26]
17:24:54 | [CMD] ordulukral523152(10) => /asiriyuk
17:24:54 | [CMD] huseyin(8) => /a girince mi temizlenyor
17:24:54 | [CMD] H.R.N.(16) => /t convoy varmý
17:24:57 | [CMD] testere151(12) => /a ayn
17:25:0 | [CMD] ordulukral523152(10) => /asiriyu
17:25:0 | [CMD] huseyin(8) => /a :D
17:25:1 | [CMD] DangerTr07(9) => /t var docksa gel 
17:25:2 | buyukustad(13): gel
17:25:4 | [OTOBUSCU] [tr]gamgam, Longway Otogar'den Ankara Otogar'e Yolcu tasidi. Kazanc: 28252$ ve 3 Skor Sure: 901 Saniye
17:25:4 | [CMD] ordulukral523152(10) => /asiriyuk
17:25:6 | [CMD] H.R.N.(16) => /convoy
17:25:8 | oktayacar(19): tm
17:25:10 | [CMD] huseyin(8) => /car nrg 0 241
17:25:13 | [CMD] ordulukral523152(10) => /asiriyuk
17:25:15 | {FFCC00}Nebojsa_Savic(17) {FFFFFF}Kamyoncu olarak spawn oldu.
17:25:20 | [CMD] huseyin(8) => /rescue
17:25:21 | [CMD] buyukustad(13) => /tamir
17:25:24 | [CMD] testere151(12) => /a pembe sexy aracýmla dolaþmak isteyen :D
17:25:24 | gorkemu24(20): birþey yok sezer ben baktým
17:25:25 | [tr]gamgam(22) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
17:25:32 | [CMD] huseyin(8) => /a :D 
17:25:32 | sezzer(11): yok mu
17:25:33 | [CMD] H.R.N.(16) => /asay Sorularýnýzý /sorusor komutuyla iletebilirsiniz.
17:25:35 | [CMD] huseyin(8) => /car nrg 0 241
17:25:36 | [CMD] Younapo.(14) => /rescue
17:25:38 | gorkemu24(20): yok
17:25:38 | [CMD] huseyin(8) => /cleanupcars
17:25:38 | Nebojsa_Savic(17) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
17:25:40 | [CMD] H.R.N.(16) => /convoy
17:25:41 | sezzer(11): :(
17:25:42 | [CMD] buyukustad(13) => /cevir
17:25:44 | TIRCI(17) oyuna girdi [IP: 95.10.191.232]
17:25:46 | [CMD] DangerTr07(9) => /Sirket
17:25:46 | sezzer(11): adaþ
17:25:46 | patrik(21) oyuna girdi [IP: 78.98.96.14]
17:25:51 | [CMD] huseyin(8) => /dtemizle 
17:25:51 | [CMD] huseyin(8) => /asay2 s  
17:26:0 | sezzer(11): adaþ
17:26:1 | [CMD] Younapo.(14) => /sac
17:26:6 | 
17:26:7 | [CMD] Younapo.(14) => /kemer
17:26:7 | [CMD] ordulukral523152(10) => /cevir
17:26:8 | Ferdi(22) oyuna girdi [IP: 95.14.31.247]
17:26:9 | 
17:26:14 | [CMD] sezzer(11) => /c lan
17:26:14 | Nebojsa_Savic(24) oyuna girdi [IP: 178.221.226.26]
17:26:14 | [CMD] huseyin(8) => /a id 22 aka
17:26:17 | [CMD] DangerTr07(9) => /a Boyko ? 
17:26:19 | [CMD] sezzer(11) => /c adaþ
17:26:19 | [CMD] Younapo.(14) => /saat 5
17:26:20 | [CMD] testere151(12) => /a id 22 ne alaka
17:26:21 | [CMD] Younapo.(14) => /saat 6
17:26:21 | [CMD] huseyin(8) => /a WTF
17:26:23 | [CMD] DangerTr07(9) => /A banliyimi :XD
17:26:26 | 
17:26:26 | 
17:26:28 | [CMD] TIRCI(17) => /sa
17:26:28 | Nebojsa_Savic(24) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
17:26:30 | [CMD] TIRCI(17) => /sac
17:26:34 | [KICK] huseyin(8), Ferdi(22)'i sunucudan attý. Sebep: modem res aka kirli
17:26:34 | [CMD] huseyin(8) => /kick 22 modem res aka kirli
17:26:34 | Ferdi(22) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
17:26:35 | [CMD] Younapo.(14) => /convoty
17:26:37 | patrik(21) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
17:26:37 | [CMD] huseyin(8) => /vtamir
17:26:38 | [CMD] Younapo.(14) => /convoy
17:26:40 | [CMD] DangerTr07(9) => /A xD
17:26:40 | [CMD] sezzer(11) => /c aloo
17:26:43 | [CMD] testere151(12) => /a qWE
17:26:44 | [CMD] DangerTr07(9) => /C ? 
17:26:46 | [CMD] testere151(12) => /goto 8
17:26:50 | Younapo.(14): oo oktay
17:26:51 | [CMD] DangerTr07(9) => /C söyle porno yýldýzým 
17:26:54 | oktayacar(19): acele var
17:26:55 | [CMD] sezzer(11) => /c knk o far modunu faceden atar mýsýn
17:26:57 | [CMD] selviyiseviyorum(23) => /afk
17:26:58 | [CMD] testere151(12) => /a aa hüseyin plois miþ qW:E
17:27:0 | [CMD] TIRCI(17) => /kemer
17:27:1 | [CMD] sezzer(11) => /c yanýp sönüyo ya
17:27:2 | [CMD] DangerTr07(9) => /C tm aþqým atarim 
17:27:4 | [CMD] testere151(12) => /a polis*
17:27:4 | Younapo.(14): neyin acelesi adamlar dönmüyore ki
17:27:6 | [CMD] sezzer(11) => /c adamsýn
17:27:6 | [CMD] H.R.N.(16) => /c sezer emercny light
17:27:10 | [CMD] DangerTr07(9) => /C ama bazen crash atiyor 
17:27:13 | [LOCAL]TIRCI(17): afk mýsn beya
17:27:13 | [CMD] TIRCI(17) => /l afk mýsn beya
17:27:15 | [CMD] DangerTr07(9) => /C oda bazen 
17:27:16 | poirini155(7): PDLÝSLER X
17:27:16 | [LOCAL]TIRCI(17): afk mýsn beya
17:27:16 | [CMD] TIRCI(17) => /l afk mýsn beya
17:27:19 | [CMD] H.R.N.(16) => /c aynenn bendede crash veriyo
17:27:20 | [CMD] sezzer(11) => /c olsun biþi olmaz
17:27:21 | [CMD] DangerTr07(9) => /uyar 7 caps of
17:27:23 | DangerTr07(9): off*
17:27:25 | [CMD] testere151(12) => /aa ayný meslekleri yapa yapa sýkýldým mk
17:27:25 | [CMD] oktayacar(19) => /rescue
17:27:29 | [CMD] Younapo.(14) => /c polis geliyoer
17:27:30 | [CMD] gorkemu24(20) => /work
17:27:31 | [KAMYONCU] ronaldo561, Easter Bay Lumberyard'den Silver Warehouse(Feri'yle)'e Agac Parcalari tasidi. Kazanc: 38076$, 1 Skor ve 5 EXP Sure: 383 Saniye
17:27:32 | [CMD] huseyin(8) => /aa polis yapýyom bnde .d
17:27:35 | [CMD] huseyin(8) => /dtemizle 
17:27:37 | [CMD] ronaldo561(18) => /work
17:27:38 | [CMD] testere151(12) => /meslek
17:27:40 | {FFCC00}testere151(12) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
17:27:43 | [CMD] DangerTr07(9) => /C ama zevkli
17:27:54 | [CMD] Younapo.(14) => /djler
17:28:0 | [CMD] testere151(12) => /araba
17:28:0 | TIRCI(17): kargocu olcak varmý 
17:28:0 | huseyin(8): öh
17:28:1 | [CMD] gorkemu24(20) => /asiriyuk
17:28:3 | huseyin(8): nrg ile 250km 
17:28:8 | Younapo.(14): yokuþta :D
17:28:8 | [CMD] huseyin(8) => /vtamir
17:28:10 | gorkemu24(20): huseyýn
17:28:11 | huseyin(8): yok düz yol
17:28:11 | [CMD] DangerTr07(9) => /ogorev 18
17:28:12 | H.R.N.(16): bizde yidik
17:28:12 | huseyin(8): Evet
17:28:15 | Younapo.(14): düz yol mu
17:28:17 | gorkemu24(20): f16 kaç basýyor
17:28:19 | huseyin(8): aynn düz yol
17:28:21 | huseyin(8): 237km 
17:28:21 | Younapo.(14): what
17:28:24 | [CMD] DangerTr07(9) => /ogorev
17:28:24 | H.R.N.(16): ben 243 gördüm son 
17:28:27 | [CMD] DangerTr07(9) => /ogorev 18 
17:28:29 | [CMD] DangerTr07(9) => /ogorev 18 
17:28:31 | H.R.N.(16): huseyin þahit :Dw
17:28:37 | Younapo.(14): benim ki 180 geçmiyor düzde la 
17:28:40 | [CMD] huseyin(8) => /giveweapon 8 mp5 5000
17:28:42 | [CMD] DangerTr07(9) => /Convoylider
17:28:43 | [CMD] huseyin(8) => /silahizni 8 
17:28:44 | H.R.N.(16): ustalarýn iþi
17:28:45 | [CMD] huseyin(8) => /giveweapon 8 mp5 5000
17:28:46 | [CMD] DangerTr07(9) => /Convoylider 16 
17:28:48 | [CMD] testere151(12) => /atamir
17:28:50 | Younapo.(14): nasýl yapýyonuz üst tuþuna basýnca daha hýzlý gidiyor
17:28:51 | [CMD] testere151(12) => /kemer
17:28:52 | Younapo.(14): onu biliyorum
17:28:53 | sezzer(11): tünel varya orda inf denicem
17:28:56 | YarinGorusuruz(21) oyuna girdi [IP: 217.25.19.128]
17:28:57 | sezzer(11): bakalým kaç bascak
17:28:57 | TIRCI(17): kargocu olcka varmý 
17:28:58 | DangerTr07(9): +8 
17:29:0 | Feer(22) oyuna girdi [IP: 95.14.31.247]
17:29:4 | [KICK] DangerTr07(9), YarinGorusuruz(21)'i sunucudan attý. Sebep: Banlýsýn 
17:29:4 | [CMD] DangerTr07(9) => /kick 21 Banlýsýn 
17:29:4 | YarinGorusuruz(21) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
17:29:4 | [CMD] testere151(12) => /a malmý bu mk
17:29:7 | HeRquL(21) oyuna girdi [IP: 91.93.111.129]
17:29:8 | Younapo.(14): ziya be olum
17:29:11 | [KICK] DangerTr07(9), Feer(22)'i sunucudan attý. Sebep: modeme res at 
17:29:11 | [CMD] DangerTr07(9) => /kick 22 modeme res at 
17:29:11 | Feer(22) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
17:29:17 | Younapo.(14): yetenekmiþ külahýma anlat
17:29:19 | 
17:29:20 | [CMD] H.R.N.(16) => /c baþatýyom
17:29:23 | [CMD] TIRCI(17) => /gobus
17:29:27 | [CMD] huseyin(8) => /cantazele
17:29:27 | [CMD] H.R.N.(16) => /work
17:29:27 | [CMD] testere151(12) => /atamir
17:29:28 | HeRquL(21) Gemici olarak spawn oldu.
17:29:30 | [CMD] DangerTr07(9) => /a þu ibrahimkk'in cezasini artisana 
17:29:32 | [CMD] Younapo.(14) => /c lets go
17:29:32 | [CMD] HeRquL(21) => /admgiris
17:29:35 | [CMD] huseyin(8) => /spawn 7 
17:29:35 | poirini155(7) Yol Iscisi olarak spawn oldu.
17:29:42 | [CMD] huseyin(8) => /dtemizle 
17:29:42 | [CMD] huseyin(8) => /asay2 s  
17:29:42 | [CMD] sezzer(11) => /asiriyuk
17:29:42 | [CMD] H.R.N.(16) => /asiriyuk
17:29:45 | [CMD] HeRquL(21) => /rescue
17:29:47 | [CMD] huseyin(8) => /car nrg 0 0 
17:29:49 | [CMD] DangerTr07(9) => /asiriyuk
17:29:52 | [CMD] huseyin(8) => /kemer
17:29:55 | [CMD] poirini155(7) => /KEMERX
17:29:56 | Feer(22) oyuna girdi [IP: 95.14.31.247]
17:29:56 | ibrahimkk(24) oyuna girdi [IP: 217.25.19.128]
17:29:57 | ibrahimkk(24) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
17:30:2 | [CMD] poirini155(7) => /KEMER
17:30:4 | [CMD] DangerTr07(9) => /A banlýcam 
17:30:6 | [CMD] ordulukral523152(10) => /tamir
17:30:7 | [CMD] Mertaran(0) => /Tamir
17:30:8 | [CMD] DangerTr07(9) => /A adam anlamyor 
17:30:10 | [CMD] oktayacar(19) => /meslek
17:30:10 | [CMD] HeRquL(21) => /a feer ne iþ
17:30:10 | TIRCI(17): kargocu olcak varmý 
17:30:15 | 
17:30:16 | [CMD] DangerTr07(9) => /A atiyorum baný 
17:30:18 | 
17:30:18 | [KICK] huseyin(8), Feer(22)'i sunucudan attý. Sebep: AKA KÝRLÝ MODEM RES ACIL 
17:30:18 | [CMD] huseyin(8) => /kick 22 AKA KÝRLÝ MODEM RES ACIL 
17:30:18 | Feer(22) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
17:30:19 | oktayacar(19): ben
17:30:24 | [CMD] oktayacar(19) => /rescue
17:30:26 | [CMD] DangerTr07(9) => /A Bidaha girerse gg 
17:30:35 | [CMD] HeRquL(21) => /a boyko mu bu
17:30:37 | [CMD] huseyin(8) => /cleanupcars
17:30:38 | [CMD] huseyin(8) => /a :/
17:30:44 | [CMD] huseyin(8) => /goto 7 
17:30:44 | [LOCAL]oktayacar(19): ah
17:30:44 | [CMD] oktayacar(19) => /l ah
17:30:45 | [CMD] DangerTr07(9) => /A degil ak boyko yok 
17:30:47 | [CMD] HeRquL(21) => /boat
17:30:47 | [CMD] huseyin(8) => /car nrg 0 0 
17:30:48 | sezzer(11): fena boþladým
17:30:49 | [CMD] Younapo.(14) => /modifiye
17:30:50 | [CMD] huseyin(8) => /kemer
17:30:50 | [CMD] TIRCI(17) => /kemer
17:30:53 | [LOCAL]TIRCI(17): la 
17:30:53 | [CMD] TIRCI(17) => /l la 
17:30:53 | HeRquL(21): iyi
17:30:53 | [CMD] DangerTr07(9) => /A o okuldadir :D 
17:30:53 | [CMD] Younapo.(14) => /asiriyuk
17:30:54 | oktayacar(19): nerdesin
17:30:54 | H.R.N.(16): d:w
17:30:56 | [CMD] testere151(12) => /atamir
17:30:58 | TIRCI(17): suya sdustu 
17:30:59 | [CMD] HeRquL(21) => /work
17:30:59 | [CMD] testere151(12) => /kemer
17:31:2 | [CMD] TIRCI(17) => /rescue
17:31:6 | [CMD] gorkemu24(20) => /sac
17:31:9 | Younapo.(14): :D
17:31:9 | oktayacar(19):  /rescue cek tekrarr
17:31:10 | TIRCI(17): sduda ayakla yuryodum 
17:31:17 | Haydar(22) oyuna girdi [IP: 88.230.162.206]
17:31:19 | TIRCI(17): araba yok 
