0:0:3 | [CMD] ScrappeR(7) => /gobus
15:48:57 | sezzer(13) oyuna girdi [IP: 85.104.96.238]
15:48:59 | Necdet03(33): fazla merakk
15:49:0 | Moskova_Kurdu(30): öd
15:49:0 | [CMD] [eN]Overlord(12) => /pm 25 ordan birazcýk ateþle
15:49:1 | BaRan_ReiS(36): f16 yla beni vurdu   texast 
15:49:1 | [CMD] TheS1LKENAdam(29) => /a Beným gavat ravly oynuyucakmýs
15:49:2 | [CMD] Lucifer(22) => /a son 2 dk
15:49:3 | luplup67(32): hadi bende basam
15:49:4 | BeylerBeyi AnLBurAk'i öldürdü. Oldurme Sekli: 49
15:49:7 | [CMD] Lucifer(22) => /a son 1 dk
15:49:8 | luplup67(32): ahýrý basacam oý zman 
15:49:9 | [CMD] huseyin(15) => /a 1
15:49:11 | [CMD] L2L(28) => /work
15:49:11 | AnLBurAk(23) Mafya olarak spawn oldu.
15:49:12 | BaRan_ReiS(36): yerini söylüyimi
15:49:13 | [CMD] Moskova_Kurdu(30) => /goto 15 
15:49:15 | Muya(6): ahýrý bombaladým la ben :D
15:49:15 | [CMD] TheS1LKENAdam(29) => /vtamir
15:49:16 | BaRan_ReiS(36): luplup
15:49:16 | [CMD] HeRquL(11) => /duyuru etkinlige son 1 dakika
15:49:17 | Hz.EvoturK(25): 61 dk sonra gg
15:49:19 | AnLBurAk(23): .rescue
15:49:19 | [CMD] Gezegen(19) => /rescue
15:49:20 | [CMD] L2L(28) => /Etkkatil
15:49:22 | [CMD] Gezegen(19) => /araba
15:49:23 | BaRan_ReiS(36): noluyor
15:49:23 | [CMD] [eN]Overlord(12) => /pm 25 ordan birazcýk ateþle
15:49:24 | luplup67(32): biliom heralde 
15:49:26 | [CMD] Moskova_Kurdu(30) => /a Bende yapücüm 
15:49:27 | L2L(28): etk nasýl katýlýyor
15:49:28 | [CMD] AnLBurAk(23) => /rescue
15:49:29 | luplup67(32): etkden sonra giederiz
15:49:29 | [CMD] Gezegen(19) => /araba
15:49:30 | [CMD] Hz.EvoturK(25) => /pm 12 olm para yok
15:49:30 | [CMD] TheFireman(31) => /Work
15:49:31 | ScrappeR(14):  /etkgit
15:49:32 | Hz.EvoturK(25):  /etkgit
15:49:33 | ScrappeR(14): yazcan
15:49:34 | [CMD] Moskova_Kurdu(30) => /car NRG 4 4
15:49:36 | [CMD] HeRquL(11) => /cevir
15:49:37 | [CMD] L2L(28) => /etkgit
15:49:37 | 
15:49:37 | [CMD] [eN]Overlord(12) => /pm 25 la
15:49:37 | [CMD] Lucifer(22) => /a býrýsý orada sýraya soksun herkesýn kac hakký olacak ?
15:49:39 | [LOCAL]Gezegen(19): hrþey planlý :D
15:49:39 | [CMD] Gezegen(19) => /l hrþey planlý :D
15:49:39 | {FFCC00}sezzer(13) {FFFFFF}Kamyoncu olarak spawn oldu.
15:49:40 | [CMD] Muya(6) => /rescue
15:49:41 | [CMD] L2L(28) => /etkgit
15:49:41 | [CMD] [eN]Overlord(12) => /pm 25 hesabýný sildircenmi
15:49:44 | [CMD] huseyin(15) => /a hak deðil
15:49:46 | [CMD] CcCAtakan1907(35) => /admins
15:49:46 | L2L(28): 15 skor istiyor :/ neyse
15:49:46 | [CMD] Moskova_Kurdu(30) => /a Sýnýrsýz 
15:49:47 | Necdet03(33): imçiçi uyurmu len awqw
15:49:48 | [CMD] huseyin(15) => /a cýkan kazanýr
15:49:49 | [CMD] HeRquL(11) => /a ilk çýkan
15:49:50 | [CMD] L2L(28) => /recure
15:49:51 | [CMD] cCc.Bayram.cCC(21) => /rescue7
15:49:51 | [CMD] HeRquL(11) => /a ilk çýkan
15:49:52 | [CMD] nik0tin(10) => /a çýkana kadar 
15:49:52 | [LOCAL]Fublary3003(0): evo bikere öldürümi ?
15:49:52 | [CMD] Fublary3003(0) => /l evo bikere öldürümi ?
15:49:52 | [CMD] cCc.Bayram.cCC(21) => /rescue
15:49:54 | [CMD] Necdet03(33) => /Tamir
15:49:55 | [LOCAL]Fublary3003(0): sdlkadklja
15:49:55 | [CMD] Fublary3003(0) => /l sdlkadklja
15:49:56 | [CMD] L2L(28) => /meslek
15:49:59 | [CMD] Lucifer(22) => /a ýlk cýkan 3 kýsý olsun
15:50:1 | Necdet03(33): ben çýkar
15:50:4 | {FFCC00}L2L(28) {FFFFFF}Kamyoncu olarak spawn oldu.
15:50:6 | Necdet03(33): Size kg
15:50:7 | [CMD] HeRquL(11) => /a ayn
15:50:8 | [CMD] Necdet03(33) => /adminol
15:50:8 | Muya(6): geliyom gezegen :D
15:50:9 | [CMD] Necdet03(33) => /adminol
15:50:10 | luplup67(32): tamam kobra necdet
15:50:10 | [CMD] Necdet03(33) => /adminol
15:50:10 | [CMD] Moskova_Kurdu(30) => /slap nik0tin
15:50:10 | [CMD] Necdet03(33) => /adminol
15:50:11 | [CMD] Lucifer(22) => /a  4-3-2 seklýnde odul verek
15:50:13 | BaRan_ReiS(36): bb
15:50:14 | [LOCAL]TheS1LKENAdam(29): ee
15:50:14 | [CMD] TheS1LKENAdam(29) => /l ee
15:50:15 | ubeydo(18): HADi Etk
15:50:18 | [CMD] nik0tin(10) => /slap 30 
15:50:19 | [CMD] [eN]Overlord(12) => /c nerdesin
15:50:19 | [CMD] Gezegen(19) => /ARABA
15:50:20 | [CMD] L2L(28) => /work
15:50:21 | Necdet03(33) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
15:50:22 | [CMD] BULDOZER(06)(8) => /rescýe
15:50:22 | AnLBurAk(23): .rescue
15:50:23 | [CMD] Hz.EvoturK(25) => /etkgit
15:50:23 | [CMD] Freezer3543(24) => /rescue
15:50:23 | [CMD] huseyin(15) => /cantazele
15:50:24 | [CMD] L2L(28) => /motor
15:50:24 | [CMD] AnLBurAk(23) => /rescue
15:50:24 | [CMD] [eN]Overlord(12) => /convoyiptal
15:50:25 | [CMD] L2L(28) => /work
15:50:26 | [CMD] BULDOZER(06)(8) => /rescue
15:50:26 | luplup67(32): kobra nejdet iyi bayramlar...
15:50:26 | [CMD] HeRquL(11) => /a get ilemi çekim
15:50:27 | [CMD] L2L(28) => /motor
15:50:27 | [CMD] [eN]Overlord(12) => /work
15:50:29 | [CMD] ahmet55(20) => /c ben etk sonra afk kalcam
15:50:30 | [CMD] L2L(28) => /kemer
15:50:34 | [CMD] Lucifer(22) => /dtemizle
15:50:39 | [CMD] Freezer3543(24) => /rescue
15:50:39 | [CMD] huseyin(15) => /a etkbaslat
15:50:41 | [CMD] BeylerBeyi(9) => /asay Ýstek Þarkýnýz Çalýnýyor. Ýyi Oyunlar Dileriz...
15:50:41 | [CMD] HeRquL(11) => /etk baslat NRG ile Kýrmýzý bina çýkma
15:50:43 | [CMD] CcCAtakan1907(35) => /geldim
15:50:44 | [CMD] ScrappeR(14) => /etkgit
15:50:45 | [CMD] luplup67(32) => /etkgit
15:50:46 | [CMD] Gezegen(19) => /meslek
15:50:46 | [SirketCHT] BULDOZER(06)(8): !ben ne kadar kasmoýsým
15:50:46 | [CMD] cCc.Bayram.cCC(21) => /etkgit
15:50:46 | [CMD] Berkay08(27) => /etkgit
15:50:46 | [CMD] TheS1LKENAdam(29) => /adminol
15:50:46 | [CMD] Fublary3003(0) => /etkgit
15:50:46 | [CMD] [eN]Overlord(12) => /etkgit
15:50:47 | [CMD] TheS1LKENAdam(29) => /adminol
15:50:47 | {FFCC00}Gezegen(19) {FFFFFF}Kamyoncu olarak spawn oldu.
15:50:48 | [CMD] ubeydo(18) => /etkgit
15:50:49 | [CMD] CcCAtakan1907(35) => /musait
15:50:49 | TheS1LKENAdam(29) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
15:50:49 | BeylerBeyi(9): ßß
15:50:50 | ScrappeR(14): bb
15:50:50 | Berkay08(27): bb
15:50:50 | BaRan_ReiS(36): bb
15:50:51 | [CMD] Gezegen(19) => /etkgit
15:50:51 | [CMD] ahmet55(20) => /pm 12 ben cýkcam etk sonra 
15:50:53 | nik0tin(10):  /etkgit 
15:50:54 | [CMD] CcCAtakan1907(35) => /pm 13 face bak
15:50:54 | TheFireman(31) oyundan cIktI (Hata/Crash) (IP: 88.230.40.53)
15:50:55 | ahmet55(20): bb
15:50:56 | Muya(6): hdi etk geleyim
15:50:56 | [CMD] L2L(28) => /kemer
15:50:57 | [CMD] BULDOZER(06)(8) => /rescue
15:50:57 | [CMD] Muya(6) => /etkgit
15:50:57 | [CMD] Fublary3003(0) => /etkgit
15:51:0 | [CMD] Freezer3543(24) => /rescue
15:51:0 | [CMD] HeRquL(11) => /etk baslat NRG ile Kýrmýzý bina çýkma
15:51:3 | [CMD] [eN]Overlord(12) => /pm 20 tm
15:51:3 | [CMD] ahmet55(20) => /pm 12 yada afk kalýrým
15:51:5 | Muya(6): la asagýya düsdüm
15:51:5 | [CMD] Berkay08(27) => /etkgit
15:51:6 | [eN]Overlord(12): etkde yerdeyim
15:51:7 | [CMD] L2L(28) => /etkgit
15:51:7 | Muya(6): help
15:51:8 | [CMD] Muya(6) => /etkgit
15:51:9 | [CMD] ahmet55(20) => /etkgit
15:51:9 | [CMD] L2L(28) => /motor
15:51:11 | [CMD] Berkay08(27) => /etkgit
15:51:11 | Muya(6): ha düzeldi
15:51:12 | [CMD] ubeydo(18) => /etkgit
15:51:14 | [CMD] HeRquL(11) => /get 6
15:51:16 | [CMD] BULDOZER(06)(8) => /rescue
15:51:19 | [CMD] HeRquL(11) => /get 6
15:51:19 | [eN]Overlord(12): etkde yerdeyim helpo!
15:51:21 | [CMD] HeRquL(11) => /get 18
15:51:22 | [CMD] Hz.EvoturK(25) => /etkg't
15:51:23 | Fublary3003(0): admin yerin altýndayým
15:51:24 | [CMD] HeRquL(11) => /get 20
15:51:24 | ubeydo(18): 
15:51:25 | Hz.EvoturK(25): bida acin
15:51:25 | [CMD] Moskova_Kurdu(30) => /get 12
15:51:26 | Hz.EvoturK(25): bida acin
15:51:27 | [eN]Overlord(12): bende
15:51:28 | [CMD] L2L(28) => /motor
15:51:28 | [CMD] HeRquL(11) => /get 27
15:51:28 | [CMD] BULDOZER(06)(8) => /rescue
15:51:28 | [CMD] CcCAtakan1907(35) => /pm 13 face baksana bobregem
15:51:29 | [CMD] Fublary3003(0) => /etkde
15:51:30 | [CMD] HeRquL(11) => /get 20
15:51:30 | [eN]Overlord(12): @0 etk polis
15:51:31 | Fublary3003(0): etkde
15:51:35 | Hz.EvoturK(25): bida acin
15:51:36 | [SirketCHT] cCc.Bayram.cCC(21): ! þirket katkýsýný sýfýrlayýnca patronlar da da sýfýrlanýyormu
15:51:36 | [CMD] HeRquL(11) => /etk baslat NRG ile Kýrmýzý bina çýkma
15:51:37 | [eN]Overlord(12): @0 etk polis
15:51:37 | Gezegen(19): Suçlu Yok
15:51:38 | [eN]Overlord(12): @0 etk polis
15:51:38 | [CMD] Freezer3543(24) => /rescue
15:51:38 | Gezegen(19): Suçlu Yok
15:51:39 | Fublary3003(0): beni atýn
15:51:40 | [CMD] Hz.EvoturK(25) => /etkgit
15:51:41 | TheFireman(17) oyuna girdi [IP: 88.230.43.67]
15:51:41 | Fublary3003(0): polisim
15:51:41 | [eN]Overlord(12): ama polis
15:51:41 | [CMD] Lucifer(22) => /respawn 796
15:51:44 | ahmet55(20): lag
15:51:50 | [CMD] Moskova_Kurdu(30) => /jail 0 1 etk polis
15:51:52 | Gezegen(19): Suçlu Yok Neden Atýlsýn :D
15:51:53 | {FFCC00}Fublary3003(0) {FFFFFF}Polis olarak spawn oldu.
15:51:56 | [CMD] Fublary3003(0) => /meslek
15:51:56 | [CMD] HeRquL(11) => /etk baslat NRG ile Kýrmýzý bina çýkma Son 1
15:51:57 | [CMD] BULDOZER(06)(8) => /kemer
15:51:57 | L2L(28): admin tircilikta motor açmama raðmen haraket etmiyor
15:51:58 | {FFCC00}Fublary3003(0) {FFFFFF}Kamyoncu olarak spawn oldu.
15:51:59 | [CMD] CcCAtakan1907(35) => /afk
15:52:1 | [CMD] CcCAtakan1907(35) => /musait
15:52:1 | AnLBurAk(23): .tamir
15:52:1 | [CMD] Fublary3003(0) => /etkgit
15:52:2 | Gezegen(19): admin yer altýndayým
15:52:4 | [CMD] AnLBurAk(23) => /tamir
15:52:7 | [CMD] HeRquL(11) => /get 19
15:52:8 | [CMD] L2L(28) => /kemer
15:52:11 | Gezegen(19): he tmm
15:52:12 | [CMD] BULDOZER(06)(8) => /arac res
15:52:14 | Hz.EvoturK(25): 59 dk kalmi; beklemeside zor yaw
15:52:15 | ahmet55(20): ben havadayým 
15:52:16 | BULDOZER(06)(8): arac res
15:52:18 | [CMD] nik0tin(10) => /asay Araç Res Geliyor ...    
15:52:18 | BULDOZER(06)(8): arac res
15:52:18 | [CMD] nik0tin(10) => /asay Araç Res Geliyor ...    
15:52:19 | [eN]Overlord(12): lan
15:52:20 | [CMD] Moskova_Kurdu(30) => /get 20
15:52:22 | [CMD] nik0tin(10) => /respawncars 
15:52:23 | [CMD] nik0tin(10) => /cantazele 
15:52:23 | Hz.EvoturK(25): 59 dk kalmis beklemeside zor yaw
15:52:26 | [eN]Overlord(12): g ye bastým motora artçý olarak bindi
15:52:34 | [CMD] Lucifer(22) => /a ýlk 3 mu sýmdý ona karar verelým de soyleyelým
15:52:34 | [SirketCHT] cCc.Bayram.cCC(21): ! þirket katkýsýný sýfýrlayýnca patronlar da da sýfýrlanýyormu
15:52:36 | [CMD] HeRquL(11) => /asay Ýlk çýkan 3 kiþi 
15:52:38 | luplup67(32): neye 59 kaldi
15:52:41 | [CMD] HeRquL(11) => /asay Ýlk çýkan 3 kiþi  odul
15:52:42 | [SirketCHT] BeylerBeyi(9): ! patronlar maaþ almýyor
15:52:42 | [CMD] L2L(28) => /meslek
15:52:43 | Muya(6): nolo la
15:52:46 | Muya(6): motora bindi
15:52:48 | [CMD] L2L(28) => /meslek
15:52:48 | luplup67(32): bizi çöz
15:52:53 | [CMD] HeRquL(11) => /asay Kýrmýzý binaya Ýlk çýkan 3 kiþi  odul
15:52:54 | [CMD] HeRquL(11) => /asay Kýrmýzý binaya Ýlk çýkan 3 kiþi  odul
15:52:54 | luplup67(32): çözülmedik
15:52:55 | [CMD] BULDOZER(06)(8) => /work
15:52:55 | [LOCAL]nik0tin(10): hep çýktým çýktým nazar deydi 
15:52:55 | [CMD] nik0tin(10) => /l hep çýktým çýktým nazar deydi 
15:52:55 | Muya(6): motora bindik ynlýsýkla :D
15:52:57 | [CMD] L2L(28) => /mesleksec
15:52:58 | [eN]Overlord(12): la çözsene
15:52:58 | ahmet55(20): heryer motor :D
15:52:58 | [CMD] L2L(28) => /meslek
15:52:59 | [CMD] Freezer3543(24) => /kemer
15:53:0 | BaRan_ReiS(36): gezegen
15:53:1 | [CMD] HeRquL(11) => /etk coz
15:53:1 | [SirketCHT] Hz.EvoturK(25): ! beylerbey' bi patronunu alirim artik
15:53:2 | [CMD] Freezer3543(24) => /modifiye
15:53:2 | [CMD] HeRquL(11) => /etk coz
15:53:4 | ByMelihTR(26) oyuna girdi [IP: 78.162.41.58]
15:53:4 | [CMD] Moskova_Kurdu(30) => /slap 0
15:53:5 | [CMD] HeRquL(11) => /etk coz
15:53:5 | [CMD] Gezegen(19) => /akilitle
15:53:7 | [SirketCHT] Hz.EvoturK(25): ! seneye gircem bakalim kim burda 
15:53:7 | TheFireman(17) oyundan cIktI (Hata/Crash) (IP: 88.230.43.67)
15:53:8 | [CMD] HeRquL(11) => /etk coz
15:53:9 | [CMD] Berkay08(27) => /kemer
15:53:10 | [SirketCHT] BeylerBeyi(9): ! lolipop var sana .D
15:53:10 | {FFCC00}L2L(28) {FFFFFF}Kamyoncu olarak spawn oldu.
15:53:10 | Muya(6): baslýozmu
15:53:14 | [CMD] huseyin(15) => /d sanada üzüldüm
15:53:14 | [CMD] HeRquL(11) => /duyuru 3
15:53:15 | ahmet55(20): benýde coz
15:53:15 | [CMD] HeRquL(11) => /duyuru 2
15:53:15 | [CMD] BeylerBeyi(9) => /pm 25 knk
15:53:16 | [CMD] HeRquL(11) => /duyuru 1
15:53:17 | 
15:53:18 | [CMD] HeRquL(11) => /duyuru go
15:53:19 | [CMD] BeylerBeyi(9) => /d banamý
15:53:19 | ahmet55(20): admýn
15:53:20 | [CMD] HeRquL(11) => /fly
15:53:20 | [CMD] huseyin(15) => /d tek kaldýn 
15:53:21 | {FFCC00}ByMelihTR(26) {FFFFFF}Kamyoncu olarak spawn oldu.
15:53:22 | [CMD] huseyin(15) => /d evet
15:53:22 | [CMD] L2L(28) => /kemer
15:53:22 | luplup67(32): beni çöz
15:53:23 | Lucifer(22): Dönerken yoldan gelýn tekrar deneyýn
15:53:23 | [CMD] BeylerBeyi(9) => /d .D
15:53:25 | [CMD] huseyin(15) => /d alýmlarý açýrýyom 
15:53:25 | [CMD] BeylerBeyi(9) => /d biþe olmaz
15:53:25 | ahmet55(20): benýde coz
15:53:26 | [CMD] L2L(28) => /work
15:53:27 | Gezegen(19): 1 benim :D
15:53:27 | BaRan_ReiS(36): hatýrlýyonmu 2 gün önce sen çeviktin ben týcý beni kovalýyodun be nköprüye çarpýtm demilerin üstüne çýktým :D
15:53:28 | luplup67(32): beni çözz
15:53:30 | [CMD] BeylerBeyi(9) => /d tm
15:53:31 | [CMD] Moskova_Kurdu(30) => /goto 19
15:53:32 | [CMD] nik0tin(10) => /a 1. id 19 
15:53:33 | Gezegen(19): :D
15:53:33 | luplup67(32): yaw adnminn
15:53:33 | [CMD] Moskova_Kurdu(30) => /goto 19
15:53:33 | [CMD] huseyin(15) => /d 28 kiþiye bakmak kolay deðil 
15:53:34 | luplup67(32): çözzz
15:53:37 | [CMD] Moskova_Kurdu(30) => /goto huseyin 
15:53:37 | Lucifer(22): gezegen 1.kiþi
15:53:43 | [LOCAL]Moskova_Kurdu(30): adam tek attý ya la 
15:53:43 | [CMD] Moskova_Kurdu(30) => /l adam tek attý ya la 
15:53:43 | [CMD] BeylerBeyi(9) => /d idare ederiz ya
15:53:44 | [CMD] HeRquL(11) => /odul geze 
15:53:44 | ahmet55(20): admýn benýde coz
15:53:45 | [CMD] HeRquL(11) => /odul geze 
15:53:45 | [CMD] sezzer(13) => /sa
15:53:46 | [CMD] HeRquL(11) => /odul geze 
15:53:47 | [CMD] HeRquL(11) => /odul geze 
15:53:48 | [CMD] HeRquL(11) => /odul geze 
15:53:49 | [LOCAL]Gezegen(19): atarýz :D
15:53:49 | [CMD] Gezegen(19) => /l atarýz :D
15:53:49 | [CMD] huseyin(15) => /a :D 
15:53:50 | [CMD] ByMelihTR(26) => /stats
15:53:52 | [eN]Overlord(12): çok verdin!?
15:53:53 | [CMD] Muya(6) => /kemer
15:53:55 | Muya(6): can res
15:53:56 | [CMD] HeRquL(11) => /get 19
15:53:58 | [CMD] nik0tin(10) => /cantazele 
15:53:58 | [CMD] huseyin(15) => /cantazele
15:53:59 | Gezegen(19): iyi 
15:53:59 | [CMD] BaRan_ReiS(36) => /cevir
15:54:1 | [CMD] HeRquL(11) => /get 19
15:54:2 | [ANTIHACK] Þüpheli Gezegen(19) => Airbreak-hack
15:54:3 | [CMD] BeylerBeyi(9) => /d duyuru yapayýmmý açýldý diye
15:54:5 | sezzer(13): oha selamý alan yok lan
15:54:6 | [CMD] L2L(28) => /meslek
15:54:8 | [CMD] Berkay08(27) => /as
15:54:9 | ahmet55(20): haksýzlýk coz medý
15:54:9 | [CMD] Hz.EvoturK(25) => /as
15:54:9 | [LOCAL]ByMelihTR(26): la
15:54:9 | [CMD] ByMelihTR(26) => /l la
15:54:10 | [CMD] [eN]Overlord(12) => /as
15:54:11 | [CMD] BaRan_ReiS(36) => /tamir
15:54:12 | Gezegen(19): admþn duþtum çekermisin
15:54:12 | L2L(28) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
15:54:13 | [CMD] huseyin(15) => /d yk daha deðil
15:54:14 | [LOCAL]ByMelihTR(26): la swye ne oldu 
15:54:14 | [CMD] ByMelihTR(26) => /l la swye ne oldu 
15:54:14 | [CMD] HeRquL(11) => /get 19
15:54:14 | [CMD] Berkay08(27) => /kemer
15:54:15 | [CMD] Moskova_Kurdu(30) => /dcar
15:54:15 | [CMD] ByMelihTR(26) => /goto
15:54:17 | [CMD] ByMelihTR(26) => /gobus
15:54:20 | [CMD] huseyin(15) => /d ben yaparým açýlýnca 
15:54:20 | [CMD] Moskova_Kurdu(30) => /dcar
15:54:21 | Muya(6): :D
15:54:22 | [CMD] BeylerBeyi(9) => /d tm
15:54:22 | [CMD] HeRquL(11) => /fly
15:54:23 | [CMD] ByMelihTR(26) => /icerigir
15:54:23 | [LOCAL]Moskova_Kurdu(30): :D 
15:54:23 | [CMD] Moskova_Kurdu(30) => /l :D 
15:54:23 | Muya(6): geldim
15:54:25 | [CMD] ByMelihTR(26) => /isyerimenu
15:54:25 | HeRquL(11): kim çözülmedi
15:54:25 | Moskova_Kurdu(30) Itfaiyeci olarak spawn oldu.
15:54:27 | [CMD] nik0tin(10) => /a id 6 
15:54:28 | [CMD] Moskova_Kurdu(30) => /goto nik0tin
15:54:28 | TheFireman(17) oyuna girdi [IP: 88.230.43.67]
15:54:28 | Muya(6): hey
15:54:30 | [CMD] ByMelihTR(26) => /isyerimenu
15:54:30 | Muya(6): :D
15:54:30 | [LOCAL]Gezegen(19): iki muya
15:54:30 | [CMD] Gezegen(19) => /l iki muya
15:54:30 | Lucifer(22): muya 2.kiþi
15:54:31 | ahmet55(20): ben 
15:54:34 | Chilgin[byhack](28) oyuna girdi [IP: 95.10.237.115]
15:54:34 | [CMD] nik0tin(10) => /araba 
15:54:35 | [CMD] HeRquL(11) => /etk coz
15:54:35 | L2L(29) oyuna girdi [IP: 176.33.228.53]
15:54:35 | [LOCAL]Gezegen(19): muyacým gelemdim 
15:54:35 | [CMD] Gezegen(19) => /l muyacým gelemdim 
15:54:38 | 
15:54:38 | [CMD] HeRquL(11) => /etk coz
15:54:39 | [CMD] Freezer3543(24) => /cevir
15:54:39 | [LOCAL]Muya(6): yirim huseyin seni :D
15:54:39 | [CMD] Muya(6) => /l yirim huseyin seni :D
15:54:40 | [ANTIHACK] Þüpheli ubeydo(18) => Airbreak-hack
15:54:41 | Lucifer(22): son odul kýme gýdýyor ::D
15:54:41 | TheFireman(17) Balikci olarak spawn oldu.
15:54:41 | [CMD] Moskova_Kurdu(30) => /myskin
15:54:45 | [CMD] HeRquL(11) => /slap 20
15:54:45 | [CMD] ByMelihTR(26) => /top
15:54:45 | [CMD] Berkay08(27) => /kemer
15:54:46 | [CMD] ByMelihTR(26) => /top10
15:54:46 | [eN]Overlord(12): bana
15:54:46 | [CMD] Freezer3543(24) => /tamir
15:54:46 | [LOCAL]Gezegen(19): ben tekrar deneyebilirmþiym ?
15:54:46 | [CMD] Gezegen(19) => /l ben tekrar deneyebilirmþiym ?
15:54:47 | [CMD] ByMelihTR(26) => /top15
15:54:47 | [LOCAL]Gezegen(19): ben tekrar deneyebilirmþiym ?
15:54:47 | [CMD] Gezegen(19) => /l ben tekrar deneyebilirmþiym ?
15:54:48 | [LOCAL]Gezegen(19): ben tekrar deneyebilirmþiym ?
15:54:48 | [CMD] Gezegen(19) => /l ben tekrar deneyebilirmþiym ?
15:54:48 | [CMD] nik0tin(10) => /car nrg 6 0 
15:54:48 | [CMD] ByMelihTR(26) => /top
15:54:49 | [CMD] TheFireman(17) => /baliksat
15:54:50 | [CMD] ByMelihTR(26) => /toppara
15:54:51 | [CMD] ByMelihTR(26) => /topskor
15:54:52 | [CMD] BeylerBeyi(9) => /asay Ýstek Þarký Olmadýðý Ýçin Rastgele Açýlmýþtýr...
15:54:52 | [CMD] [HB]MENGI(7) => /etkgit
15:54:52 | L2L(29) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
15:54:53 | [CMD] HeRquL(11) => /slap 20
15:54:53 | [CMD] ByMelihTR(26) => /topscore
15:54:53 | [CMD] BeylerBeyi(9) => /asay Ýstek Þarký Ýçin " /isteksarki <id>" Komutu Ýle Bize Bildirebilirsiniz...
15:54:55 | Muya(6): bna ödül verildimi :D
15:54:55 | [CMD] HeRquL(11) => /slap 14
15:54:57 | [CMD] ByMelihTR(26) => /sorusor toppar anaýsl bakýok
15:54:58 | 
15:55:0 | [CMD] ByMelihTR(26) => /top
15:55:0 | TheFireman(17): admin
15:55:1 | [eN]Overlord(12): adam havada çarptý sayýlmýyor.
15:55:1 | BeylerBeyi(9): tabi tabi
15:55:1 | [CMD] ByMelihTR(26) => /top10
15:55:2 | Moskova_Kurdu(30): tabi tabi
15:55:4 | [CMD] BULDOZER(06)(8) => /cevir
15:55:4 | [CMD] ByMelihTR(26) => /top
15:55:5 | BeylerBeyi(9): :D
15:55:6 | [CMD] TheFireman(17) => /adminler
15:55:6 | [CMD] Moskova_Kurdu(30) => /slap muya
15:55:6 | [CMD] Freezer3543(24) => /tamir
15:55:7 | huseyin(15): evet evet 
15:55:8 | {FFCC00}Chilgin[byhack](28) {FFFFFF}Kamyoncu olarak spawn oldu.
15:55:12 | [CMD] TheFireman(17) => /yardimiste yardým edin balýklarým kayboldu
15:55:14 | [eN]Overlord(12): havada çarpan olmasaydý çýkýyodum
15:55:14 | [CMD] TheFireman(17) => /rapor
15:55:16 | [ANTIHACK] Þüpheli Gezegen(19) => Airbreak-hack
15:55:16 | [CMD] Chilgin[byhack](28) => /admgiris
15:55:17 | [CMD] TheFireman(17) => /yardim
15:55:18 | L2L(29) oyuna girdi [IP: 176.33.228.53]
15:55:19 | Muya(6): la motorumu caldýlar :D
15:55:21 | [eN]Overlord(12): siyah motorlu çarptý
15:55:21 | Moskova_Kurdu(30): :D
15:55:23 | [CMD] TheFireman(17) => /rehberler
15:55:23 | [CMD] ByMelihTR(26) => /gobus
15:55:25 | Fublary3003(0): gezenegn
15:55:25 | BaRan_ReiS(36): tabi tabi :D
15:55:25 | [CMD] ByMelihTR(26) => /rescue
15:55:27 | [CMD] ByMelihTR(26) => /rescue
15:55:27 | [CMD] HeRquL(11) => /a muya 2. mi
15:55:29 | Fublary3003(0): gezegen etk bozuyo
15:55:30 | [CMD] Moskova_Kurdu(30) => /a evet
15:55:31 | 
15:55:32 | [CMD] BULDOZER(06)(8) => /tamir
15:55:33 | [CMD] ByMelihTR(26) => /top
15:55:34 | TheFireman(17): yardýmcý olabilecek admin var mý
15:55:34 | [eN]Overlord(12): gezegen etk bozuyor!
15:55:34 | [CMD] nik0tin(10) => /a id 27 3. 
15:55:35 | [LOCAL]Gezegen(19): yine geldim :d
15:55:35 | [CMD] Gezegen(19) => /l yine geldim :d
15:55:35 | [LOCAL]Gezegen(19): yine geldim :d
15:55:35 | [CMD] Gezegen(19) => /l yine geldim :d
15:55:37 | [CMD] ByMelihTR(26) => /sorusor top para nasýl bakýok?
15:55:38 | {FFCC00}L2L(29) {FFFFFF}Kamyoncu olarak spawn oldu.
15:55:38 | [CMD] HeRquL(11) => /odul muya 
15:55:39 | Gezegen(19): NE BOZMASI LA
15:55:39 | [CMD] HeRquL(11) => /odul muya 
15:55:40 | [CMD] Chilgin[byhack](28) => /setskin 28 226
15:55:40 | [CMD] BeylerBeyi(9) => /vtamir
15:55:40 | [CMD] ByMelihTR(26) => /soruiptal
15:55:40 | [CMD] HeRquL(11) => /odul muya 
15:55:40 | [CMD] HeRquL(11) => /odul muya 
15:55:41 | [eN]Overlord(12): bana havada çarpmasaydý 3. oluyodum
15:55:41 | [CMD] ByMelihTR(26) => /sorusor top para nasýl bakýok?
15:55:43 | Fublary3003(0): gezegen etk bozuyo
15:55:45 | [CMD] ByMelihTR(26) => /yardim
15:55:47 | HeRquL(11): 3. kiþiye 3 odul
15:55:48 | [CMD] Lucifer(22) => /a 27 ye 2 tane
