0:0:2 | TunlordBeyWT(6): neyse biter þimdi
17:40:39 | [CMD] QuarryTech(17) => /meslek
17:40:40 | [CMD] luplup67(28) => /kemer
17:40:43 | [CMD] turgut06(23) => /ypm abi saðol
17:40:43 | [CMD] Hic(20) => /tamir
17:40:43 | [CMD] huso608(27) => /admins
17:40:44 | [CMD] DarkFlow(19) => /sirket
17:40:45 | [CMD] [eN]Overlord(35) => /pm 13 knk çeksene
17:40:46 | [CMD] HeRquL(8) => /pm 7 nerde bitiyor konvoy
17:40:46 | [CMD] Berkay08(14) => /d :D
17:40:48 | [CMD] ozantr12345(31) => /tamir
17:40:49 | [CMD] turgut06(23) => /ypm ben giderim gerisini 
17:40:50 | [CMD] SHiZoFReNiX(30) => /cap
17:40:50 | [CMD] Hic(20) => /ypm Önemli deðil.
17:40:50 | emirhanertem(34): gel bakam atkafasýd
17:40:51 | QuarryTech(17) Yol Iscisi olarak spawn oldu.
17:40:52 | [CMD] BeylerBeyi(33) => /d :D
17:40:53 | Jodor(7): convoy týrý hoop
17:40:55 | [CMD] Hic(20) => /ypm Ýyi oyunlar...
17:40:56 | [CMD] TunlordBeyWT(26) => /d zor ben unuturum D:
17:40:57 | [CMD] Hic(20) => /ybitir
17:40:58 | [CMD] Freezer3543(22) => /tamir
17:40:59 | SHiZoFReNiX(30): t/meslek
17:40:59 | [CMD] iYasinBey(24) => /d berkay ne oldu la orda
17:41:0 | [CMD] H.R.N.(13) => /pm 35 yetki yok ne vardý
17:41:1 | [CMD] SHiZoFReNiX(30) => /meslek
17:41:2 | Freezer3543(22): Tamam aga saldýrmýyorum
17:41:3 | [CMD] emirhanertem(34) => /work
17:41:3 | [CMD] Berkay08(14) => /d kaydet
17:41:4 | [CMD] QuarryTech(17) => /kemer
17:41:5 | [CMD] Hic(20) => /goto 31
17:41:5 | SHiZoFReNiX(30) Yol Iscisi olarak spawn oldu.
17:41:7 | [CMD] BahadrOkan12(11) => /pm 33 sa hocam alisia nýn bi þarkýsý vardý onu açarmýsýn id bulamadým 
17:41:7 | [CMD] Younapo.(18) => /tiryazi Convoy týrý
17:41:9 | [CMD] [eN]Overlord(35) => /pm 13 nerdesin foruma attýnmý ssi
17:41:9 | [CMD] TunlordBeyWT(26) => /D nereye
17:41:10 | [CMD] BeylerBeyi(33) => /d berkay heli ni yanýna ççeksene
17:41:10 | [CMD] iYasinBey(24) => /uyar 21 ters serit
17:41:12 | [CMD] Hic(20) => /tamir
17:41:15 | [CMD] iYasinBey(24) => /uyar 34 ters serit
17:41:16 | [CMD] Berkay08(14) => /d tm
17:41:18 | Jodor(7): mafyalar convoya saldýrmayýn
17:41:19 | [CMD] BeylerBeyi(33) => /pm 11 alisia ?
17:41:22 | [CMD] H.R.N.(13) => /pm 35 haa unuttum
17:41:22 | [LOCAL]Berkay08(14): dur
17:41:22 | [CMD] Berkay08(14) => /l dur
17:41:22 | Younapo.(18): @22 benim ki de týr convoyu
17:41:23 | [CMD] TunlordBeyWT(26) => /rescue
17:41:26 | Moskova_Kurdu(21): Jodor ? 
17:41:27 | Jodor(7): herkul harbour
17:41:27 | [CMD] Berkay08(14) => /araba
17:41:28 | [CMD] huso608(27) => /a yeni mi aldý
17:41:28 | [CMD] SHiZoFReNiX(30) => /kemer
17:41:29 | Hic(20): tamam
17:41:30 | [SirketCHT] gorkemu24(12): !þirket dorsesini çalan þirket üyelerini þirketten at
17:41:30 | [CMD] SHiZoFReNiX(30) => /modifiye
17:41:31 | [CMD] HeRquL(8) => /asay Polis ve Çevik dikkar ; Konvoy beklemek&takip etmek yasaktýr...
17:41:32 | Freezer3543(22): Tamam beyler sakin yav hepinizi biliyorum
17:41:32 | [CMD] huso608(27) => /a sirketi
17:41:33 | [LOCAL]Moskova_Kurdu(21): Bilmem 
17:41:33 | [CMD] Moskova_Kurdu(21) => /l Bilmem 
17:41:34 | [CMD] HeRquL(8) => /asay Polis ve Çevik dikkar ; Konvoy beklemek&takip etmek yasaktýr... 
17:41:36 | [CMD] DarkFlow(19) => /motor
17:41:37 | Madness(15): aðlama freezer
17:41:38 | Jodor(7): þirket benim :)
17:41:39 | [CMD] TunlordBeyWT(26) => /rescue
17:41:40 | Hic(20): Hadi kessene
17:41:40 | H.R.N.(13): :D
17:41:40 | [CMD] HeRquL(8) => /work
17:41:42 | [CMD] Berkay08(14) => /arab
17:41:43 | Moskova_Kurdu(21): He tamam
17:41:44 | [CMD] Berkay08(14) => /araba
17:41:44 | huso608(27): hayýrlýsý olsun baskan
17:41:49 | [CMD] Grejuva(6) => /work
17:41:49 | Moskova_Kurdu(21): Hayýrlý olsun 
17:41:51 | Madness(15): huso
17:41:52 | Jodor(7): saolasýn baþkan
17:41:52 | [ANTIHACK] Þüpheli BeylerBeyi(33) => Airbreak-hack
17:41:54 | [CMD] BahadrOkan12(11) => /pm 33 alisia iþte ya tam hatýrlamýyorum adýný 
17:41:55 | huso608(27): avrasya lojistik
17:41:57 | [CMD] testere151(32) => /atamir
17:41:57 | [CMD] huso608(27) => /spec 33
17:41:57 | turgut06(23): þirkete alým varmý
17:41:57 | Jodor(7): eyw. moskof
17:41:59 | [CMD] TunlordBeyWT(26) => /d beyler þarkýda sizde ya saat 12den belli ben yetiþiyom :D
17:42:0 | [ANTIHACK] Þüpheli BahadrOkan12(11) => Airbreak-hack
17:42:1 | Jodor(7): no
17:42:2 | [CMD] TunlordBeyWT(26) => /kemerw
17:42:3 | [CMD] BeylerBeyi(33) => /pm 11 öyle bulamamki
17:42:4 | [CMD] TunlordBeyWT(26) => /kemer
17:42:6 | [CMD] huso608(27) => /spec 11
17:42:6 | [CMD] Hic(20) => /goto 31
17:42:6 | [CMD] H.R.N.(13) => /asay Yardým Ýsteyen? Yolunu Bulamayan?
17:42:8 | [CMD] iYasinBey(24) => /a bu emirhanda biþey var aracý hep yatýyor
17:42:8 | [CMD] TunlordBeyWT(26) => /d ben alcam
17:42:8 | Jodor(7): Art Nakliyat Ltd.Þti.
17:42:9 | [CMD] Younapo.(18) => /cevir
17:42:9 | [CMD] gorkemu24(12) => /uyeal 23
17:42:11 | [CMD] [eN]Overlord(35) => /pm 7 ART Nedir
17:42:15 | [CMD] Madness(15) => /c kanka katký # kaç veriyponuz maaþ
17:42:16 | [SirketCHT] gorkemu24(12): !hg
17:42:17 | Jodor(7): sanat demek.
17:42:18 | [CMD] BahadrOkan12(11) => /pm 33 nasýl bulursun ?
17:42:18 | [CMD] ozantr12345(31) => /araba
17:42:23 | emirhanertem(34): ser3efsizler
17:42:24 | [CMD] Berkay08(14) => /d 1431 sende beylerbeyi
17:42:25 | [CMD] turgut06(23) => /pm 12 nasýl yazcaz þirketten 
17:42:25 | [CMD] huso608(27) => /spec 34
17:42:26 | [CMD] [eN]Overlord(35) => /pm 7 þirket olarak o nu bende biliyorum
17:42:28 | [CMD] BeylerBeyi(33) => /pm 11 þarký  ismin taam bilmem lazým
17:42:28 | emirhanertem(34): polis caar
17:42:28 | [CMD] Hic(20) => /tamir
17:42:29 | {FFCC00}huso608(27) {FFFFFF}Kamyoncu olarak spawn oldu.
17:42:30 | [CMD] CagatayBro(25) => /tamir
17:42:31 | [CMD] iYasinBey(24) => /uyar 34 uslüp
17:42:31 | Hic(20): ekmek parasý
17:42:32 | Jodor(7): týrcýlýk bir sanattýr þiarýyla nakliyatcýlýk yapýyoruz
17:42:32 | [CMD] TunlordBeyWT(26) => /d 22 de sende berkay
17:42:33 | [CMD] BeylerBeyi(33) => /d tamam 22 sende
17:42:35 | [CMD] BahadrOkan12(11) => /pm 33 dur ben bidaha bakýyým
17:42:35 | {FFCC00}huso608(27) {FFFFFF}Kamyoncu olarak spawn oldu.
17:42:36 | [ANTIHACK] Þüpheli luplup67(28) => Can-Hilesi
17:42:37 | [CMD] DarkFlow(19) => /sirket
17:42:37 | [CMD] Berkay08(14) => /d tm
17:42:38 | Hic(20): ekmek parasý
17:42:38 | H.R.N.(13): ehmeh
17:42:39 | [CMD] CagatayBro(25) => /tamir
17:42:40 | [CMD] gorkemu24(12) => /pm 7 adam alayým mý patron
17:42:40 | Mehmetaydin_12345(10): can res
17:42:41 | [CMD] huso608(27) => /spec 28
17:42:42 | luplup67(28) Mafya olarak spawn oldu.
17:42:43 | [CMD] Freezer3543(22) => /t Herqule dokunmayýn adam ceker dorseyi
17:42:45 | [CMD] gorkemu24(12) => /pm 23 ! konusma
17:42:46 | [CMD] iYasinBey(24) => /cantazele
17:42:46 | Hic(20): yýmah lazým
17:42:47 | [CMD] Jodor(7) => /pm 12 al al
17:42:48 | [CMD] huso608(27) => /spec 28
17:42:51 | [SirketCHT] turgut06(23): ! hb
17:42:51 | Konyali42(16): biraz pesimden gel :D
17:42:53 | [CMD] Mehmetaydin_12345(10) => /kemer
17:42:54 | [CMD] ArdaBey(29) => /tamir
17:42:54 | [CMD] Moskova_Kurdu(21) => /Araba
17:42:55 | [CMD] Freezer3543(22) => /tami
17:42:55 | [SirketCHT] turgut06(23): ! saðol
17:42:56 | [CMD] H.R.N.(13) => /r karýþma bende :D
17:42:56 | [CMD] CagatayBro(25) => /kemer
17:42:56 | [CMD] huso608(27) => /asay Arac Res Geliyor!!!
17:42:57 | testere151(32): :D
17:42:57 | [CMD] Berkay08(14) => /dtemizle
17:42:57 | [LOCAL]Madness(15): convoy týrý mal
17:42:57 | [CMD] Madness(15) => /l convoy týrý mal
17:42:57 | [CMD] Freezer3543(22) => /tamir
17:42:58 | [CMD] Jodor(7) => /pm 35 gel bizim þirkete
17:42:59 | [CMD] gorkemu24(12) => /pm 7 turgut gelmek istedý aldým
17:42:59 | [CMD] Hic(20) => /tamir
17:42:59 | [CMD] huso608(27) => /asay Arac Res Geliyor!!!
17:43:0 | [CMD] ozantr12345(31) => /tamir
17:43:1 | [CMD] huso608(27) => /asay Arac Res Geliyor!!!
17:43:2 | [A.s.i]KraL(36) oyuna girdi [IP: 88.233.145.255]
17:43:2 | [LOCAL]Madness(15): tþk ss için
17:43:2 | [CMD] Madness(15) => /l tþk ss için
17:43:3 | [CMD] huso608(27) => /respawncars
17:43:4 | [CMD] Moskova_Kurdu(21) => /a naptý bu 
17:43:4 | [CMD] QuarryTech(17) => /convoy
17:43:7 | [CMD] SHiZoFReNiX(30) => /convoy
17:43:9 | [CMD] H.R.N.(13) => /sorular
17:43:9 | [CMD] emirhanertem(34) => /motor
17:43:10 | [CMD] DarkFlow(19) => /sirket
17:43:11 | [ANTIHACK] Þüpheli BahadrOkan12(11) => Airbreak-hack
17:43:11 | Freezer3543(22): Herqul vipin sahip oldugu her seye sahip msin
17:43:11 | [CMD] [eN]Overlord(35) => /pm 7 bir þartým var
17:43:12 | Konyali42(16): tamir parami aldin :D4aw
17:43:12 | [CMD] SHiZoFReNiX(30) => /convoyayril
17:43:13 | 
17:43:14 | [CMD] SHiZoFReNiX(30) => /convoy
17:43:15 | [CMD] huso608(27) => /spec 11
17:43:16 | Konyali42(16): laaa
17:43:16 | {FFCC00}[A.s.i]KraL(36) {FFFFFF}Pilot olarak spawn oldu.
17:43:17 | testere151(32): lo
17:43:17 | [CMD] Jodor(7) => /pm 12 yüz skorun altýnda olanlarý alma 
17:43:18 | Konyali42(16): get
17:43:18 | HeRquL(8): evet 
17:43:18 | [CMD] SHiZoFReNiX(30) => /tamir
17:43:18 | [CMD] QuarryTech(17) => /convoy
17:43:19 | [CMD] H.R.N.(13) => /rescue
17:43:19 | Konyali42(16): get
17:43:20 | [CMD] SHiZoFReNiX(30) => /convoy
17:43:21 | [CMD] testere151(32) => /slap 16
17:43:21 | Konyali42(16): hayda
17:43:22 | Freezer3543(22): Tamam :D
17:43:23 | {FFCC00}Konyali42(16) {FFFFFF}Kamyoncu olarak spawn oldu.
17:43:24 | [CMD] Jodor(7) => /pm 35 evet 
17:43:25 | testere151(32): haydaa
17:43:27 | BertugBORA(9): rehper yada admin tp atýp beni burdan çýkartýr mýsýnýz
17:43:27 | [CMD] [eN]Overlord(35) => /pm 7 bu þirkete katým 1.2m sizinkine gelirsem katkým sýfýrlanýr maaþ alamam
17:43:29 | Konyali42(16): aga su bugu cekin 
17:43:30 | Freezer3543(22): Ona gore saldýrý yapacaktým :D
17:43:31 | testere151(32): nasýl öldünl o
17:43:32 | [CMD] huso608(27) => /spec 9
17:43:33 | Jodor(7): bozokla kardeþ þirketiz
17:43:35 | [CMD] H.R.N.(13) => /goto 9
17:43:35 | [CMD] iYasinBey(24) => /specoff
17:43:35 | {FFCC00}iYasinBey(24) {FFFFFF}Kamyoncu olarak spawn oldu.
17:43:36 | Sahildeniz(37) oyuna girdi [IP: 176.218.171.146]
17:43:37 | [CMD] huso608(27) => /specoff
17:43:37 | {FFCC00}huso608(27) {FFFFFF}Kamyoncu olarak spawn oldu.
17:43:38 | [CMD] gorkemu24(12) => /pm 7 tm istiyorsan atarsýn
17:43:38 | [CMD] iYasinBey(24) => /goto 9
17:43:40 | [CMD] huso608(27) => /goto 9
17:43:40 | [CMD] emirhanertem(34) => /tamir
17:43:42 | BertugBORA(9): asol
17:43:47 | [CMD] Jodor(7) => /pm 12 kalsýn. bi daha aldýðýnda öyle al
17:43:48 | [LOCAL]H.R.N.(13): cevir yaz
17:43:48 | [CMD] H.R.N.(13) => /l cevir yaz
17:43:48 | [CMD] huso608(27) => /get 9
17:43:51 | BertugBORA(9): asol
17:43:53 | [CMD] Hic(20) => /asay Yardýma ihtiyacý olan,yolunu kaybeden varmý ?  
17:43:53 | [LOCAL]BeylerBeyi(33): sür sen
17:43:53 | [CMD] BeylerBeyi(33) => /l sür sen
17:43:53 | [CMD] Hic(20) => /asay Yeni gelen oyuncularýmýz /kurallar yazýp kabul ettikten sonra 30.000$ ve 5 skor kazanabilirler... 
17:43:53 | BertugBORA(9): saol
17:43:54 | [CMD] Hic(20) => /asay Sorularýnýz var ise /sorusor komutu ile sorabilirsiniz... 
17:43:55 | ozantr12345(31): alým varmý art
17:43:55 | huso608(27): Rica Ederim
17:43:57 | ozantr12345(31): alým varmý art
17:43:57 | [CMD] BertugBORA(9) => /cevit
17:43:57 | iYasinBey(24): :)
17:44:0 | [CMD] Berkay08(14) => /kemer
17:44:2 | [CMD] BertugBORA(9) => /cevic
17:44:2 | [CMD] gorkemu24(12) => /uyeal 31
17:44:3 | [CMD] Jodor(7) => /pm 35 moskovadan iste sana maaþýný verir
17:44:4 | [CMD] BertugBORA(9) => /cevir
17:44:6 | ozantr12345(31): eyw
17:44:8 | [CMD] Hic(20) => /tamir
17:44:10 | [CMD] CagatayBro(25) => /galeir
17:44:11 | [LOCAL]huso608(27): dm yasak
17:44:11 | [CMD] huso608(27) => /l dm yasak
17:44:12 | [SirketCHT] gorkemu24(12): !hg 
17:44:12 | [CMD] CagatayBro(25) => /galeri
17:44:12 | [CMD] [eN]Overlord(35) => /Pm 7 katkým sýfýrlandý neyse
17:44:13 | (BANKA) emirhanertem(34) 2178 nolu banka hesabina 46000$ yatirdi.
17:44:15 | [CMD] Moskova_Kurdu(21) => /pm Jodor ozan ý almasaydýnýz þirkete .d 
17:44:17 | [CMD] Mehmetaydin_12345(10) => /galeri
17:44:20 | [CMD] DarkFlow(19) => /sirket
17:44:21 | [CMD] H.R.N.(13) => /araba
17:44:21 | [CMD] Jodor(7) => /sirket
17:44:21 | [CMD] BeylerBeyi(33) => /asay Ýstek þarkýnýz çalýnýyor iyi oyunlar dileriz... 
17:44:21 | [CMD] huso608(27) => /goto 8
17:44:22 | [SirketCHT] ozantr12345(31): ! bende patron olabilirmiyim?
17:44:23 | emirhanertem(34): gencler hesabýnýzda kac para var
17:44:23 | [CMD] Hic(20) => /tamir
17:44:26 | 
17:44:27 | [CMD] huso608(27) => /goto 8
17:44:27 | [CMD] Grejuva(6) => /work
17:44:31 | {FFCC00}Sahildeniz(37) {FFFFFF}Pilot olarak spawn oldu.
17:44:33 | [CMD] [A.s.i]KraL(36) => /saatr 1
17:44:34 | [CMD] Grejuva(6) => /goreviptal
17:44:34 | Hic(20): knk gel tokyo drift çalýyo
17:44:34 | [CMD] [A.s.i]KraL(36) => /saat 1
17:44:35 | [SirketCHT] DarkFlow(19): ! hg
17:44:35 | [CMD] Grejuva(6) => /work
17:44:35 | [SirketCHT] Jodor(7): ! ozaný almayýn
17:44:39 | [CMD] Moskova_Kurdu(21) => /sac
17:44:39 | [CMD] TunlordBeyWT(26) => /tamir
17:44:40 | [SirketCHT] Konyali42(16): ! la ozani almayin
17:44:42 | [CMD] iYasinBey(24) => /a 1m atabilecek cesuer yürek
17:44:42 | ozantr12345(31): jodor?
17:44:43 | [CMD] huso608(27) => /goto 21
17:44:44 | [CMD] testere151(32) => /atamir
17:44:44 | Jodor(7): ozan maalesef seni alamam
17:44:44 | [CMD] Grejuva(6) => /goreviptal
17:44:45 | [CMD] luplup67(28) => /tamir
17:44:45 | emirhanertem(34): as
17:44:45 | H.R.N.(13):  @34 saymaya ömrün yetmez ;)
17:44:46 | [CMD] Grejuva(6) => /work
17:44:48 | [CMD] [eN]Overlord(35) => /tenrcar
17:44:48 | [CMD] huso608(27) => /a hayýrdýr
17:44:49 | ozantr12345(31): n,e
17:44:49 | [CMD] [eN]Overlord(35) => /rentcar
17:44:51 | ozantr12345(31): nie
17:44:52 | emirhanertem(34): sirkete nasýl mesaj cakacaz
17:44:53 | [CMD] Madness(15) => /c duþ alýp gelsem yetýsýrmýyým
17:44:55 | [CMD] testere151(32) => /cevir
17:44:57 | DarkFlow(19):  ! msj
17:44:58 | huso608(27):   ! mesaj
17:45:2 | Jodor(7): bozoktan dolayý
17:45:3 | Hic(20): @34 ! Mesaj
17:45:3 | [CMD] QuarryTech(17) => /cevir
17:45:3 | [CMD] ArdaBey(29) => /c ben geldim hayde
17:45:3 | [CMD] SHiZoFReNiX(30) => /tamir
17:45:3 | [CMD] Konyali42(16) => /tamir
17:45:5 | BeylerBeyi(33): 7l atla
17:45:5 | [CMD] iYasinBey(24) => /jail 24 1 bug
17:45:7 | ozantr12345(31): la
17:45:8 | {FFCC00}iYasinBey(24) {FFFFFF}Kamyoncu olarak spawn oldu.
17:45:10 | [CMD] Sahildeniz(37) => /rescue
17:45:14 | [CMD] huso608(27) => /goto 7
17:45:14 | [CMD] BertugBORA(9) => /tamir
17:45:15 | [SirketCHT] emirhanertem(34): !Mesaj SA
17:45:18 | [CMD] Moskova_Kurdu(21) => /pm 7 Ha bide cmd de gördüm maaþ mý ne istiyomuþ biri kim o .d 
17:45:19 | [SirketCHT] gorkemu24(12): !as 
17:45:19 | [CMD] Berkay08(14) => /pm 7 knk sakýn freezeri alma þirketine
17:45:20 | [CMD] HeRquL(8) => /asay Polis ve Çevik dikkar ; Konvoy beklemek&takip etmek yasaktýr...
17:45:21 | [SirketCHT] turgut06(23): ! as
17:45:21 | [CMD] BahadrOkan12(11) => /tamir
17:45:24 | [CMD] Hic(20) => /tamir
17:45:24 | [CMD] CagatayBro(25) => /galeri
17:45:27 | [CMD] H.R.N.(13) => /tamir
17:45:27 | [SirketCHT] DarkFlow(19): ! ! bunu koy
17:45:27 | Freezer3543(22): 5m ev satýlýk
17:45:28 | [LOCAL]ozantr12345(31): ben týr çalacam qnq
17:45:28 | [CMD] ozantr12345(31) => /l ben týr çalacam qnq
17:45:29 | [CMD] [A.s.i]KraL(36) => /gobus
17:45:31 | [SirketCHT] emirhanertem(34): ! Bakiyenide ne kadar para var
17:45:31 | [CMD] ozantr12345(31) => /araba
17:45:31 | [CMD] huso608(27) => /kemer
17:45:31 | [CMD] huso608(27) => /atamir
17:45:31 | Hic(20): okey
17:45:32 | [CMD] huso608(27) => /fuel
17:45:33 | [CMD] Jodor(7) => /pm 21 overlord galiba :D
17:45:38 | [CMD] QuarryTech(17) => /kemer
17:45:38 | Mehmetaydin_12345(10) oyundan cIktI (Hata/Crash) (IP: 88.244.217.98)
17:45:39 | [CMD] gorkemu24(12) => /pm 7 baþka almayacaðýmýz adam varmý
17:45:39 | [CMD] ozantr12345(31) => /modifiye
17:45:39 | [CMD] iYasinBey(24) => /spec 31
17:45:40 | luplup67(28): 2,5 m  ye ev
17:45:41 | [LOCAL]Moskova_Kurdu(21): Aha bura baþgan 
17:45:41 | [CMD] Moskova_Kurdu(21) => /l Aha bura baþgan 
17:45:41 | [CMD] Jodor(7) => /pm 14 onu da almam
17:45:44 | [CMD] BertugBORA(9) => /cevir
17:45:44 | [CMD] Moskova_Kurdu(21) => /sirket
17:45:45 | [LOCAL]BeylerBeyi(33): gel bin
17:45:45 | [CMD] BeylerBeyi(33) => /l gel bin
17:45:48 | [CMD] Madness(15) => /c kanka ben duþ alýp gelýyom sýz baslayn
17:45:48 | [CMD] Jodor(7) => /pm 12 bi deadpoh alma 
17:45:48 | [CMD] iYasinBey(24) => / pm 28 aga
17:45:49 | [CMD] TunlordBeyWT(26) => /rescue
17:45:49 | BahadrOkan12(11): can res
17:45:51 | [CMD] huso608(27) => /cantazele
17:45:52 | [CMD] iYasinBey(24) => /pm 28 aga
17:45:52 | [CMD] Berkay08(14) => /kemer
17:45:52 | [CMD] DarkFlow(19) => /convoy
17:45:52 | [CMD] Konyali42(16) => /sirket
17:45:56 | [CMD] TunlordBeyWT(26) => /kemer
17:45:58 | [CMD] gorkemu24(12) => /pm 7 onu býlýyorum
17:45:58 | [CMD] iYasinBey(24) => /pm 28 sana yazmýcaktým
17:45:58 | [LOCAL]huso608(27): rakip mi
17:45:58 | [CMD] huso608(27) => /l rakip mi
17:45:59 | [CMD] Berkay08(14) => /pm 7 eyw
17:46:0 | [CMD] H.R.N.(13) => /asay Yardým Ýsteyen? Yolunu Bulamayan?
17:46:2 | [CMD] huso608(27) => /kemer
17:46:3 | Grejuva(6): 1m ev
17:46:3 | [CMD] CagatayBro(25) => /galeir
17:46:3 | [CMD] iYasinBey(24) => /uyar 31 ters serit
17:46:3 | [CMD] Hic(20) => /tamir
17:46:5 | [CMD] CagatayBro(25) => /galeri
17:46:6 | [CMD] Hic(20) => /asay Yeni gelen oyuncularýmýz /kurallar yazýp kabul ettikten sonra 30.000$ ve 5 skor kazanabilirler... 
17:46:6 | [CMD] Hic(20) => /asay Sunucuda istediðiniz þarkýnýn çalmasýný istiyorsan /isteksarki <id> þeklinde DJ'Lere iletebilirsin... 
17:46:6 | [CMD] Hic(20) => /asay Vip-donator-þirket vb. almak isteyenler forum ----> www.trucksamp.com/forum 
17:46:7 | [CMD] ArdaBey(29) => /sirket
17:46:9 | [CMD] [eN]Overlord(35) => /kemer
17:46:10 | Freezer3543(22): 5m ev satýlýk
17:46:10 | [CMD] Madness(15) => /akilitle
17:46:12 | Konyali42(16): arac res
17:46:13 | [CMD] [A.s.i]KraL(36) => /araba
17:46:14 | [CMD] huso608(27) => /asay Arac Res Geliyor!!!
17:46:16 | [CMD] huso608(27) => /asay Arac Res Geliyor!!!
17:46:18 | [CMD] huso608(27) => /asay Arac Res Geliyor!!!
17:46:20 | [CMD] huso608(27) => /respawncars
17:46:20 | [CMD] Berkay08(14) => /dtemizle
17:46:20 | [CMD] BeylerBeyi(33) => /asay Ýstek þarký için "/isteksarki <id>" yazýp bize iletebilirsiniz...  
17:46:21 | [CMD] luplup67(28) => /rescue
17:46:21 | [CMD] huso608(27) => /cantazele
17:46:23 | [CMD] CagatayBro(25) => /galeri
17:46:24 | [CMD] HeRquL(8) => /r tek tek at birden atma 1 dakka aralýkla falan at
17:46:24 | [CMD] [A.s.i]KraL(36) => /icerigir
17:46:25 | [CMD] Berkay08(14) => /asay istek þarký için /isteksarki >id> yazýp bizlere iletebilirsiniz...
17:46:28 | [CMD] Berkay08(14) => /asay forum sayfamýz:www.trucksamp.com/forum
17:46:28 | [CMD] [A.s.i]KraL(36) => /isyerimenu
17:46:32 | [CMD] Jodor(7) => /vtamir
17:46:33 | [CMD] huso608(27) => /r ne yi
17:46:34 | [CMD] CagatayBro(25) => /araba
17:46:35 | [CMD] Jodor(7) => /vbenzin
17:46:36 | [CMD] Konyali42(16) => /report 32 ters serit :d
17:46:36 | [CMD] [A.s.i]KraL(36) => /isyerimenu
17:46:39 | [CMD] BeylerBeyi(33) => /convoy
17:46:41 | iYasinBey(24): :D
17:46:42 | [CMD] H.R.N.(13) => /r hic e diyo
17:46:44 | [CMD] CagatayBro(25) => /araba
17:46:44 | [CMD] HeRquL(8) => /r bilgilendirme mesajý
17:46:44 | [CMD] QuarryTech(17) => /kemer
17:46:47 | testere151(32): kim uyaracak beni QW:E
17:46:49 | iYasinBey(24): konyalý
17:46:50 | huso608(27): ben
17:46:50 | [CMD] Hic(20) => /r Tamam
17:46:51 | Jodor(7): Art Nakliyat'a Alýmlarýmýz sürüyor...
17:46:51 | [CMD] SHiZoFReNiX(30) => /tamir
17:46:54 | Jodor(7): Art Nakliyat'a Alýmlarýmýz sürüyor...
17:46:54 | iYasinBey(24): gereksiz þikayet atma
17:46:55 | Konyali42(16): efndim
17:47:0 | [CMD] iYasinBey(24) => /uyar 32 ters serit
17:47:0 | gorkemu24(12): ART Nakliyat Alýmlarýmýz vardýr...
17:47:1 | [CMD] [A.s.i]KraL(36) => /icerigir
17:47:1 | [CMD] Jodor(7) => /kemer
17:47:4 | [CMD] SHiZoFReNiX(30) => /modifiye
17:47:4 | [CMD] QuarryTech(17) => /modifiye
17:47:5 | [CMD] [eN]Overlord(35) => /kemer
17:47:6 | [CMD] [A.s.i]KraL(36) => /isyerimenu
17:47:6 | testere151(32): yok doru attýda uyaracak admin yok qWE:
17:47:7 | Konyali42(16): yoo kendisi de biliyor tersden geldi
17:47:8 | [CMD] HeRquL(8) => /a ss varsa gereksiz rapor uyarýsý at
17:47:11 | [SirketCHT] emirhanertem(34): ! Bakiyenide ne kadar para var
17:47:12 | mami6034(10) oyuna girdi [IP: 88.237.145.11]
17:47:14 | huso608(27): Kadir Baba Ters Serit Ýhlali Yapma
17:47:15 | Konyali42(16): ben gereksiz atmam
17:47:15 | [CMD] Freezer3543(22) => /tamir
17:47:16 | [CMD] [A.s.i]KraL(36) => /isyerimenu
17:47:18 | [LOCAL]BahadrOkan12(11): nabýyon hacý
17:47:18 | [CMD] BahadrOkan12(11) => /l nabýyon hacý
17:47:18 | [CMD] Jodor(7) => /sirket
17:47:20 | [CMD] Younapo.(18) => /tamir
17:47:23 | [CMD] Konyali42(16) => /afk
17:47:23 | [LOCAL]Sahildeniz(37): iyim sen nabýyon
17:47:23 | [CMD] Sahildeniz(37) => /L iyim sen nabýyon
17:47:24 | [CMD] turgut06(23) => /modifiye
17:47:24 | [CMD] testere151(32) => /meslek
17:47:27 | [CMD] H.R.N.(13) => /t giþedeki kim lvde
17:47:27 | [CMD] testere151(32) => /meslek
17:47:29 | [CMD] CagatayBro(25) => /tamir
17:47:30 | {FFCC00}testere151(32) {FFFFFF}Kamyoncu olarak spawn oldu.
17:47:30 | [SirketCHT] Jodor(7): ! emirhan -18k kasýn
17:47:31 | [CMD] [A.s.i]KraL(36) => /isyerimenu
17:47:32 | CagatayBro(25): karavaný araca nasýl takýyo
17:47:36 | [CMD] Freezer3543(22) => /t Convoy týrý saldýrmayýn
17:47:38 | [CMD] BertugBORA(9) => /tmairs
17:47:38 | [CMD] iYasinBey(24) => /specoff
17:47:39 | {FFCC00}iYasinBey(24) {FFFFFF}Kamyoncu olarak spawn oldu.
17:47:39 | HeRquL(8):  /karavan
17:47:39 | huso608(27):   Y tusu ile
17:47:40 | Hic(20): @25 /karavan
17:47:40 | [CMD] iYasinBey(24) => /goto 25
17:47:40 | [CMD] BertugBORA(9) => /tmair
17:47:41 | [LOCAL]BahadrOkan12(11): iyi nereye gidiyon?
17:47:41 | [CMD] BahadrOkan12(11) => /l iyi nereye gidiyon?
17:47:43 | [CMD] testere151(32) => /jail 32 120 ters þerit
