0:0:16 | [CMD] TIRCI(16) => /araba
17:11:44 | [CMD] TIRCI(10) => /as
17:11:44 | DeathStroke(16): as
17:11:45 | Younapo.(21): minik ev 10m nasýl oluyor o ya :D
17:11:45 | Ninja_Goulding(9): as
17:11:45 | [CMD] testere151(12) => /as
17:11:46 | [CMD] prokadir6181(23) => /tamir
17:11:46 | Konyali42(7): senin msj i bambaska okudum sparta :DD
17:11:47 | Sparta298(14): Aleyküm Selam.
17:11:47 | [CMD] ASLANBEY(20) => /as
17:11:50 | [CMD] DeathStroke(16) => /pm 13 abi bakarmýsýn
17:11:51 | [CMD] Sparta298(14) => /a Hüseyin gf
17:11:52 | [CMD] Younapo.(21) => /as
17:11:52 | TIRCI(10): gel 
17:11:54 | [CMD] Sparta298(14) => /a hg
17:11:54 | [CMD] iYasinBey(19) => /d huseyin yanýma ýþýnlansana
17:11:56 | [CMD] huseyin(13) => /pm 16 Buyrun
17:11:57 | [LOCAL]TIRCI(10): evýn cýn egýrdý 
17:11:57 | [CMD] TIRCI(10) => /l evýn cýn egýrdý 
17:11:58 | [CMD] huseyin(13) => /a hb
17:12:1 | [CMD] testere151(12) => /a bu frezer farklý isim le gelmeyi çalýþtý kickledim
17:12:1 | [CMD] huseyin(13) => /sac
17:12:4 | {FFCC00}DeathStroke(16) {FFFFFF}Pilot olarak spawn oldu.
17:12:10 | [CMD] DeathStroke(16) => /pm 13 ya bi 5-6 m paran varmý
17:12:10 | Younapo.(21): minik ev adýyla alakasýz mý küçük mü yoksa trol mu
17:12:15 | [CMD] DeathStroke(16) => /pm 13 nolur iþyeri alcam
17:12:18 | [CMD] DeathStroke(16) => /basarimlarým
17:12:19 | [CMD] iYasinBey(19) => /d polis tip tip bakýyor gelemiyor
17:12:21 | [CMD] huseyin(13) => /pm 16 Yetkiliden para istemek yasak malesef 
17:12:25 | TIRCI(10): kuuck mýnnak
17:12:28 | [CMD] Sparta298(14) => /d asdadada
17:12:29 | Younapo.(21): 10m diyor
17:12:32 | [CMD] iYasinBey(19) => /d ASD:ASd
17:12:35 | [CMD] DeathStroke(16) => /basarim
17:12:36 | [LOCAL]TIRCI(10): 20k ya aldým 10m ye satýyom :D
17:12:36 | [CMD] TIRCI(10) => /l 20k ya aldým 10m ye satýyom :D
17:12:37 | Younapo.(21): tekno ev 15m deil mi
17:12:39 | [CMD] huseyin(13) => /a bi keybindi açam
17:12:40 | [LOCAL]Sparta298(14): motor sesi geliyo :d
17:12:40 | [CMD] Sparta298(14) => /l motor sesi geliyo :d
17:12:44 | [CMD] DeathStroke(16) => /pm 13 versen olmazmý biracýk noluýr
17:12:48 | [CMD] TIRCI(10) => /kemer
17:12:51 | [CMD] DeathStroke(16) => /pm 13 isteðimle verdim dersin
17:13:2 | [CMD] DeathStroke(16) => /pm 13 bikaç m nolur
17:13:5 | [CMD] huseyin(13) => /pm 16 olmaz.
17:13:10 | [CMD] testere151(12) => /cleanupcars
17:13:11 | [CMD] huseyin(13) => /cantazele
17:13:12 | [CMD] huseyin(13) => /asay VIP-SIRKET-DONATOR-GISE-Vb.Ürünlerimizden Satýn Almak Ýsterseniz.Facebook: Truck Samp Sayfasýna Mesaj Atabilirsiniz. 
17:13:13 | [CMD] iYasinBey(19) => /d arac res
17:13:14 | [CMD] testere151(12) => /car inf . .
17:13:16 | {FFCC00}[pG]aLcAtRaZ(6) {FFFFFF}Polis olarak spawn oldu.
17:13:16 | Sparta298(14):  Araç res geliyor!!
17:13:17 | Sparta298(14): Araç res geliyor!!
17:13:17 | [KAMYONCU] prokadir6181, Quarry Top'den Blueberry Truck Terminal'e Komur tasidi. Kazanc: 10036$, 2 Skor ve 5 EXP Sure: 118 Saniye
17:13:18 | [CMD] DeathStroke(16) => /pm 13 hepiniz cimrisiniz be anca kendinizi düþünün
17:13:19 | [CMD] Sparta298(14) => /respawncars
17:13:20 | [CMD] testere151(12) => /kemer
17:13:23 | [CMD] iYasinBey(19) => /d niko
17:13:24 | [CMD] testere151(12) => /god
17:13:25 | [CMD] Younapo.(21) => /sorusor Minik ev ne ?
17:13:25 | [CMD] testere151(12) => /god
17:13:28 | [CMD] Sparta298(14) => /kemer
17:13:29 | [CMD] huseyin(13) => /pm 16 Söylediklerine Dikkat et 
17:13:30 | [CMD] Sparta298(14) => /sorular
17:13:32 | [CMD] iYasinBey(19) => /d polis ceza kescekti sana kesemedi
17:13:33 | [CMD] [pG]aLcAtRaZ(6) => /pm 8 uldum ya soyun altinda -_- nasil oraya gitdin :D
17:13:33 | [CMD] huseyin(13) => /pm 16 Yetkili ile konuþuyorsun
17:13:34 | [CMD] Sparta298(14) => /sorukabul 21
17:13:38 | BULDOZER(06)(15) oyuna girdi [IP: 88.255.151.58]
17:13:38 | [CMD] [pG]aLcAtRaZ(6) => /kemer
17:13:39 | [CMD] Sparta298(14) => /ypm Merhabalar.
17:13:40 | [CMD] DeathStroke(16) => /pm 13 napýcaksýn dövücekmisin?
17:13:40 | [CMD] Younapo.(21) => /ypm sa
17:13:40 | [CMD] huseyin(13) => /pm 16 Burasý Emek Sunucusu 
17:13:41 | [CMD] iYasinBey(19) => /d geberdi
17:13:46 | [CMD] Sparta298(14) => /ypm Aleyküm selam.
17:13:47 | [ANTIHACK] Þüpheli Sparta298(14) => Hiz-Hilesi
17:13:47 | [ANTIHACK] Þüpheli testere151(12) => Hiz-Hilesi
17:13:47 | [LOCAL]TIRCI(10): aha býrý beným evý almýs 15m var :D
17:13:47 | [CMD] TIRCI(10) => /l aha býrý beným evý almýs 15m var :D
17:13:48 | [CMD] huseyin(13) => /pm 16 Hayýr Uyarýyorum seni.
17:13:48 | [CMD] Younapo.(21) => /ypm bu minik ev nedir 10m diyor
17:13:49 | [CMD] DeathStroke(16) => /pm 13 kardeþim senden ne istedimki
17:13:49 | [CMD] prokadir6181(23) => /meslek
17:13:51 | Freezer3543(22) oyuna girdi [IP: 88.245.160.208]
17:13:53 | {FFCC00}prokadir6181(23) Otobus Soforu olarak spawn oldu.
17:13:56 | [CMD] huseyin(13) => /pm 16 Para istiyorsun
17:13:56 | [CMD] testere151(12) => /a id 22 :/
17:13:57 | [CMD] Sparta298(14) => /ypm Bir dakika gleiyorum
17:13:57 | [LOCAL]TIRCI(10): 5m vardý 
17:13:57 | [CMD] TIRCI(10) => /l 5m vardý 
17:13:59 | [CMD] DeathStroke(16) => /pm 13  birkaç m at dedim
17:13:59 | [CMD] Younapo.(21) => /ypm teknoloji ev 15m
17:14:2 | 
17:14:2 | [CMD] DeathStroke(16) => /pm 13 çokmu?
17:14:4 | [LOCAL]Sparta298(14): bi bekle kadir
17:14:4 | [CMD] Sparta298(14) => /l bi bekle kadir
17:14:6 | [CMD] Younapo.(21) => /ypm þuan orda deilim ama
17:14:7 | [CMD] huseyin(13) => /pm 16 Yasak diyorum Yasak
17:14:11 | [CMD] Sparta298(14) => /ypm Hmm.
17:14:12 | [CMD] Younapo.(21) => /ypm calton heightsa
17:14:14 | [CMD] huseyin(13) => /dtemizle
17:14:15 | 
17:14:17 | [CMD] DeathStroke(16) => /pm 13 olmasa atcakdýnda sanki
17:14:18 | iYasinBey(19): polis
17:14:19 | [CMD] prokadir6181(23) => /kemer
17:14:19 | {FFCC00}BULDOZER(06)(15) {FFFFFF}Kamyoncu olarak spawn oldu.
17:14:20 | {FFCC00}Freezer3543(22) Otobus Soforu olarak spawn oldu.
17:14:20 | [CMD] Sparta298(14) => /ypm Oyunmu satýyor yoksa birimi satýyor.
17:14:21 | [CMD] BULDOZER(06)(15) => /sa
17:14:24 | Sparta298(14): tAleyküm Selam.
17:14:24 | [CMD] [pG]aLcAtRaZ(6) => /as
17:14:25 | [CMD] DeathStroke(16) => /as
17:14:25 | [CMD] ASLANBEY(20) => /as
17:14:25 | [CMD] iYasinBey(19) => /as
17:14:25 | [CMD] huseyin(13) => /pmoff
17:14:26 | [CMD] Freezer3543(22) => /sa
17:14:27 | iYasinBey(19): polis
17:14:29 | [CMD] Younapo.(21) => /ypm bakmadým :D
17:14:29 | [CMD] huseyin(13) => /vipgor 16 
17:14:30 | iYasinBey(19): alcatraz
17:14:30 | BULDOZER(06)(15): admin
17:14:33 | BULDOZER(06)(15): admin
17:14:33 | [KICK] testere151(12), Freezer3543(22)'i sunucudan attý. Sebep: .
17:14:33 | [CMD] testere151(12) => /kick 22 .
17:14:33 | Freezer3543(22) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
17:14:33 | [CMD] huseyin(13) => /pmon
17:14:34 | [LOCAL]TIRCI(10): o mýnýk ev varya ben onlarý 20k ye aldým 10m ye satýyom merak eden alsýn dýye :D
17:14:34 | [CMD] TIRCI(10) => /l o mýnýk ev varya ben onlarý 20k ye aldým 10m ye satýyom merak eden alsýn dýye :D
17:14:35 | [pG]aLcAtRaZ(6): s
17:14:35 | [CMD] TIRCI(10) => /as
17:14:36 | BULDOZER(06)(15): admin
17:14:37 | [CMD] prokadir6181(23) => /modifiye
17:14:39 | BULDOZER(06)(15): admin
17:14:41 | testere151(12): evet
17:14:42 | [CMD] Sparta298(14) => /ypm Bakmak lazým :D
17:14:45 | testere151(12): floodlama
17:14:46 | iYasinBey(19): boþuna uðraþma kesemezsýn o cezayý nikoya
17:14:47 | [CMD] huseyin(13) => /myskin 285
17:14:51 | (BANKA) DeathStroke(16) 2045 nolu banka hesabina 205068$ yatirdi.
17:14:51 | [CMD] huseyin(13) => /car Lspd 0 1 
17:14:51 | BULDOZER(06)(15): öbür sürümden neden girilimiyor
17:14:52 | [LOCAL]TIRCI(10): sen bugun bana sesýzýn 
17:14:52 | [CMD] TIRCI(10) => /l sen bugun bana sesýzýn 
17:14:55 | [CMD] huseyin(13) => /kemer
17:14:59 | [CMD] prokadir6181(23) => /work
17:14:59 | [LOCAL]Younapo.(21): aynn
17:14:59 | [CMD] Younapo.(21) => /l aynn
17:15:0 | [CMD] [pG]aLcAtRaZ(6) => /kemer
17:15:2 | [CMD] testere151(12) => /uyar 15 flood
17:15:2 | [CMD] huseyin(13) => /saat 24  
17:15:5 | [ANTIHACK] Þüpheli testere151(12) => Airbreak-hack
17:15:8 | [LOCAL]Younapo.(21): moralim bozuk kusura bakma
17:15:8 | [CMD] Younapo.(21) => /l moralim bozuk kusura bakma
17:15:9 | testere151(12): eski sürüme geçtik ondan
17:15:10 | [CMD] Younapo.(21) => /stamir
17:15:13 | [CMD] Younapo.(21) => /work
17:15:15 | Freezer3543(22) oyuna girdi [IP: 88.245.160.208]
17:15:15 | BULDOZER(06)(15): tm
17:15:17 | DeathStroke(16): içinde para olan banka heabaýmý silsem paralar gidermi
17:15:18 | [CMD] huseyin(13) => /hava 14 
17:15:18 | [LOCAL]TIRCI(10): manýtýne noldu dýyodun atarým onu eve falan he :D
17:15:18 | [CMD] TIRCI(10) => /l manýtýne noldu dýyodun atarým onu eve falan he :D
17:15:22 | [CMD] huseyin(13) => /saat 22 
17:15:23 | 
17:15:23 | ahmet41(18) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
17:15:24 | DeathStroke(16): yoksa nakit olarak gelirmi
17:15:25 | {FFCC00}Freezer3543(22) Otobus Soforu olarak spawn oldu.
17:15:25 | [LOCAL]Younapo.(21): :D
17:15:25 | [CMD] Younapo.(21) => /l :D
17:15:28 | Freezer3543(22): Gerçek benim bu
17:15:29 | [BAN] testere151(12) Freezer3543(22)'i 9999 gün 9999 saat banladý. Sebep: .
17:15:29 | [CMD] testere151(12) => /ban 22 9999 9999 .
17:15:29 | Freezer3543(22) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
17:15:33 | [CMD] DeathStroke(16) => /meslek
17:15:40 | 
17:15:40 | Younapo.(21): naptý o ?
17:15:41 | [CMD] huseyin(13) => /a Sahtemi hesap
17:15:44 | [SWAT]DeaD[POH](18) oyuna girdi [IP: 158.181.40.29]
17:15:46 | DeathStroke(16): neden öyle yapýyosun
17:15:50 | iYasinBey(19): freezer çalýndý
17:15:53 | iYasinBey(19): ondan
17:15:53 | [CMD] BULDOZER(06)(15) => /pm 22 nbr knka
17:15:54 | 
17:15:57 | ahmet41(22) oyuna girdi [IP: 178.243.88.109]
17:15:58 | iYasinBey(19): gelemezsýn polis
17:15:59 | [CMD] DeathStroke(16) => /kemer
17:16:0 | [SWAT]DeaD[POH](18) Gemici olarak spawn oldu.
17:16:3 | [CMD] Sparta298(14) => /dtemizle
17:16:4 | [CMD] testere151(12) => /a olabilir akada freezer35 yazýyo
17:16:7 | DeathStroke(16): yeni hesapamý gelcek artýk
17:16:10 | iYasinBey(19): dead poh
17:16:13 | [SWAT]DeaD[POH](18): Buyur
17:16:16 | ahmet41(22) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
17:16:16 | [CMD] Sparta298(14) => /a Hüseyin Allah yardýmcýn olsun seninki geldi
17:16:21 | BULDOZER(06)(15) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
17:16:21 | [CMD] testere151(12) => /a QW:E
17:16:23 | iYasinBey(19): o ev ne öyle 8m e satýyon orta ev 2 yi
17:16:25 | [CMD] DeathStroke(16) => /kemer
17:16:26 | [CMD] huseyin(13) => /a pff
17:16:26 | [CMD] DeathStroke(16) => /work
17:16:28 | [CMD] DeathStroke(16) => /kemer
17:16:29 | [CMD] ASLANBEY(20) => /work
17:16:33 | [CMD] huseyin(13) => /saat 17 
17:16:35 | [CMD] huseyin(13) => /saat 20
17:16:38 | [SWAT]DeaD[POH](18): yasin
17:16:39 | [CMD] huseyin(13) => /giseparacek
17:16:40 | [LOCAL]TIRCI(10): manýtý derslerde kesýyonmu soledýnmý sevdýgýný 
17:16:40 | [CMD] TIRCI(10) => /l manýtý derslerde kesýyonmu soledýnmý sevdýgýný 
17:16:41 | iYasinBey(19): efm
17:16:47 | [SWAT]DeaD[POH](18): ben onu 5 m aldim
17:16:47 | [CMD] Sparta298(14) => /isteksarki 989
17:16:49 | [CMD] ASLANBEY(20) => /asiriyuk
17:16:50 | iYasinBey(19): ee
17:16:51 | [CMD] ASLANBEY(20) => /asiriyuk
17:16:51 | [LOCAL]Younapo.(21): çoktan :d
17:16:51 | [CMD] Younapo.(21) => /l çoktan :d
17:16:52 | [CMD] Sparta298(14) => /d Speedy yaz çýkar
17:16:53 | [CMD] iYasinBey(19) => /asay Ýstek Þarkýnýz Sýraya Eklenmiþtir... Ýyi Oyunlar... 
17:16:55 | [SWAT]DeaD[POH](18): isterseniz 6 m satarim
17:16:57 | [CMD] DeathStroke(16) => /pm 18 dostum selam
17:16:57 | [LOCAL]TIRCI(10): nededý 
17:16:57 | [CMD] TIRCI(10) => /l nededý 
17:17:1 | [CMD] iYasinBey(19) => /asay Ýstek sarkinýz çalýyor... Ýyi Oyunlar...  
17:17:1 | [SWAT]DeaD[POH](18): 8 m olesine koydum
17:17:6 | [LOCAL]Younapo.(21): kabul etti
17:17:6 | [CMD] Younapo.(21) => /l kabul etti
17:17:6 | [LOCAL]TIRCI(10): ev bossa tm mý dedý :D
17:17:6 | [CMD] TIRCI(10) => /l ev bossa tm mý dedý :D
17:17:10 | [CMD] [SWAT]DeaD[POH](18) => /pm 16 taniyamadim,
17:17:16 | [CMD] huseyin(13) => /vtamir
17:17:17 | [CMD] TIRCI(10) => /kemer
17:17:18 | [LOCAL]Younapo.(21): eve atamazsýn ki,
17:17:18 | [CMD] Younapo.(21) => /l eve atamazsýn ki,
17:17:19 | iYasinBey(19): :D
17:17:19 | [CMD] DeathStroke(16) => /pm 18 yo biþey isticektim
17:17:19 | [LOCAL]Sparta298(14): bu DeaD a acýyorum
17:17:19 | [CMD] Sparta298(14) => /l bu DeaD a acýyorum
17:17:24 | [CMD] huseyin(13) => /dtemizle
17:17:24 | [LOCAL]testere151(12): bende 
17:17:24 | [CMD] testere151(12) => /l bende 
17:17:25 | iYasinBey(19): polis
17:17:26 | [LOCAL]Younapo.(21): arkadaþýn binasý var
17:17:26 | [CMD] Younapo.(21) => /l arkadaþýn binasý var
17:17:29 | iYasinBey(19): gelemezsýn
17:17:31 | iYasinBey(19): ugraþma
17:17:33 | Freezer35(15) oyuna girdi [IP: 158.181.40.26]
17:17:33 | Freezer35(15) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
17:17:34 | [LOCAL]Younapo.(21): bodrum katlarý ev gibi koltuk felan var
17:17:34 | [CMD] Younapo.(21) => /l bodrum katlarý ev gibi koltuk felan var
17:17:36 | [LOCAL]TIRCI(10): atýlmaz saten yas kucuk beya 
17:17:36 | [CMD] TIRCI(10) => /l atýlmaz saten yas kucuk beya 
17:17:39 | [CMD] huseyin(13) => /saat 0 
17:17:40 | [CMD] DeathStroke(16) => /pm 18 kumarhanemi yükseltmek istiyorum paraya çok ihtiyacým var bana 5-6m atarmýsýn lütfenü
17:17:41 | [CMD] prokadir6181(23) => /sac
17:17:42 | [CMD] DeathStroke(16) => /pm 18 kumarhanemi yükseltmek istiyorum paraya çok ihtiyacým var bana 5-6m atarmýsýn lütfen
17:17:44 | [LOCAL]Younapo.(21): arkadaþýmdan parayla kiraladým oranýn anahtarýný aldým
17:17:44 | [CMD] Younapo.(21) => /l arkadaþýmdan parayla kiraladým oranýn anahtarýný aldým
17:17:47 | [LOCAL]Younapo.(21): birde kitledim oh
17:17:47 | [CMD] Younapo.(21) => /l birde kitledim oh
17:17:49 | [LOCAL]Sparta298(14): inþ bigün ilk etkmi yaparým
17:17:49 | [CMD] Sparta298(14) => /l inþ bigün ilk etkmi yaparým
17:17:49 | [CMD] DeathStroke(16) => /pm 18 ihtiyacým olmasa istemem
17:17:53 | [CMD] [SWAT]DeaD[POH](18) => /pm 16 malasef yok
17:18:1 | [LOCAL]Younapo.(21): tabi daha yapmadým :D
17:18:1 | [CMD] Younapo.(21) => /l tabi daha yapmadým :D
17:18:3 | [CMD] DeathStroke(16) => /pm 18 ne kadarýn varsa oda olur
17:18:4 | [LOCAL]TIRCI(10): evlencek zaman olunca catur cutur :D
17:18:4 | [CMD] TIRCI(10) => /l evlencek zaman olunca catur cutur :D
17:18:8 | [LOCAL]Sparta298(14): bu cmd nasýl doldu bi an
17:18:8 | [CMD] Sparta298(14) => /l bu cmd nasýl doldu bi an
17:18:10 | [CMD] Grejuva(17) => /geldim
17:18:14 | [CMD] Konyali42(7) => /basarimlar
17:18:16 | [CMD] DeathStroke(16) => /tamir
17:18:19 | [LOCAL]testere151(12): aynn lo
17:18:19 | [CMD] testere151(12) => /l aynn lo
17:18:20 | [CMD] ASLANBEY(20) => /basarimlar
17:18:22 | [SWAT]DeaD[POH](18) DeathStroke(16)'a 100000$ para gönderdi
17:18:22 | [CMD] [SWAT]DeaD[POH](18) => /paragonder 16 100000
17:18:26 | [LOCAL]Younapo.(21): istanbulda heryer onlardan dolu zatn :D
17:18:26 | [CMD] Younapo.(21) => /l istanbulda heryer onlardan dolu zatn :D
17:18:27 | iYasinBey(19): niko
17:18:27 | DeathStroke(16): aracý niye tamir edemiyom la
17:18:27 | [CMD] Grejuva(17) => /sorusor foruma ss yükleyemiyorum
17:18:28 | [LOCAL]Sparta298(14): yolu göremedim
17:18:28 | [CMD] Sparta298(14) => /l yolu göremedim
17:18:31 | iYasinBey(19): yanýma iþinlan
17:18:32 | [CMD] Sparta298(14) => /sorular
17:18:34 | [CMD] Konyali42(7) => /basarimlar
17:18:35 | [LOCAL]TIRCI(10): ah ladýmý cok :D
17:18:35 | [CMD] TIRCI(10) => /l ah ladýmý cok :D
17:18:35 | sezzer(15) oyuna girdi [IP: 85.102.7.149]
17:18:36 | [CMD] huseyin(13) => /sorular
17:18:36 | [CMD] [pG]aLcAtRaZ(6) => /kemer
17:18:38 | [CMD] Sparta298(14) => /sorukabul 17
17:18:39 | [CMD] huseyin(13) => /sorular
17:18:41 | [CMD] DeathStroke(16) => /pm 18 saolasýn
17:18:42 | [CMD] Sparta298(14) => /ybitir
17:18:43 | [CMD] huseyin(13) => /sorukabul 17
17:18:43 | [CMD] Younapo.(21) => /work
17:18:44 | [CMD] Sparta298(14) => /sorukabul 17
17:18:45 | 
17:18:47 | [LOCAL]Younapo.(21): nabýcan olum :D
17:18:47 | [CMD] Younapo.(21) => /l nabýcan olum :D
17:18:48 | [CMD] Konyali42(7) => /stats
17:18:49 | [CMD] Sparta298(14) => /a Aa son anda
17:18:51 | {FFCC00}sezzer(15) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
17:18:53 | [CMD] huseyin(13) => /ypm ilk önce hizliresim.com dan yükleyin
17:18:54 | [CMD] Younapo.(21) => /kemer
17:18:55 | [CMD] sezzer(15) => /sa
17:18:55 | [CMD] Konyali42(7) => /stats
17:18:57 | [CMD] iYasinBey(19) => /as
17:18:57 | [CMD] ASLANBEY(20) => /as
17:18:57 | [CMD] [pG]aLcAtRaZ(6) => /as
17:18:58 | [CMD] [SWAT]DeaD[POH](18) => /pm 16 onemli digil
17:18:59 | Sparta298(14): Aleyküm Selam.
17:18:59 | [CMD] sezzer(15) => /araba
17:19:0 | (BANKA) DeathStroke(16) 2045 nolu banka hesabina 100000$ yatirdi.
17:19:0 | [LOCAL]TIRCI(10): konusman ýýcn dýyom konus be 
17:19:0 | [CMD] TIRCI(10) => /l konusman ýýcn dýyom konus be 
17:19:1 | [CMD] huseyin(13) => /ypm linki yapýþtýrýn konuya 
17:19:3 | Sparta298(14): hg bebeyim.
17:19:8 | [LOCAL]Younapo.(21): ahladý
17:19:8 | [CMD] Younapo.(21) => /l ahladý
17:19:9 | DeathStroke(16): 3m kastýk kaldýk 6,5m
17:19:9 | [CMD] Grejuva(17) => /ypm tmm 
17:19:10 | [LOCAL]TIRCI(10): olesýne konua ctým konus dýye :D
17:19:10 | [CMD] TIRCI(10) => /l olesýne konua ctým konus dýye :D
17:19:11 | [CMD] iYasinBey(19) => /d hueyim
17:19:13 | [CMD] huseyin(13) => /ypm iyi oyunlar
17:19:14 | [CMD] Grejuva(17) => /afk
17:19:14 | [CMD] huseyin(13) => /ybitir
17:19:15 | [CMD] iYasinBey(19) => /d huseyiþn
17:19:16 | [CMD] Sparta298(14) => /d Hüseyin *
17:19:18 | [CMD] huseyin(13) => /d hee
17:19:18 | [CMD] DeathStroke(16) => /as
17:19:22 | [CMD] iYasinBey(19) => /d yanýma gel
17:19:25 | [CMD] huseyin(13) => /d ne oldu
17:19:26 | [LOCAL]Younapo.(21): seviyom seni lan :D
17:19:26 | [CMD] Younapo.(21) => /l seviyom seni lan :D
17:19:26 | [LOCAL]Sparta298(14): hüeyim :
17:19:26 | [CMD] Sparta298(14) => /l hüeyim :
17:19:29 | [CMD] iYasinBey(19) => /d gel bi
17:19:32 | [LOCAL]Younapo.(21): kardeþim
17:19:32 | [CMD] Younapo.(21) => /l kardeþim
17:19:34 | [CMD] huseyin(13) => /goto iyasin 
17:19:35 | [CMD] testere151(12) => /a neyse ben çýkýyorum sw sizde
17:19:39 | iYasinBey(19): kndiým
17:19:41 | [CMD] huseyin(13) => /d deniz bura
17:19:41 | [CMD] Sparta298(14) => /a Çýkmaa
17:19:45 | [CMD] iYasinBey(19) => /d kendimekaným
17:19:47 | [CMD] iYasinBey(19) => /d bura
17:19:48 | [CMD] testere151(12) => /a 1 saate gelirim
17:19:51 | [CMD] Sparta298(14) => /a :(
17:19:52 | xqHost(11): kargocu olan var mý
17:19:58 | [CMD] Sparta298(14) => /a özletme kendimi
17:20:0 | [CMD] iYasinBey(19) => /asay Ýstek sarkinýz çalýyor... Ýyi Oyunlar...  
17:20:1 | [CMD] huseyin(13) => /car lspd 0 1 
17:20:1 | prokadir6181(23): ben
17:20:2 | [CMD] Sparta298(14) => /a kendini 0
17:20:2 | [CMD] testere151(12) => /a nende ç.ýkmayým
17:20:5 | [CMD] huseyin(13) => /cleanupcars
17:20:7 | xqHost(11): :D
17:20:9 | prokadir6181(23): deermiþim
17:20:9 | [CMD] Konyali42(7) => /stats
17:20:11 | [LOCAL]TIRCI(10): senýn arkadasýn bodrum burdaký ahýr gýbý dýmý :D
17:20:11 | [CMD] TIRCI(10) => /l senýn arkadasýn bodrum burdaký ahýr gýbý dýmý :D
17:20:11 | [CMD] [SWAT]DeaD[POH](18) => /pm 6 merhaba knk
17:20:16 | [LOCAL]testere151(12): veya sen sür ben afk kalýyým
17:20:16 | [CMD] testere151(12) => /l veya sen sür ben afk kalýyým
17:20:25 | [LOCAL]Sparta298(14): usta driftçi iþ baþýnda
17:20:25 | [CMD] Sparta298(14) => /l usta driftçi iþ baþýnda
17:20:26 | [CMD] huseyin(13) => /d nere bura
17:20:27 | [CMD] DeathStroke(16) => /pm 15 kanka selam
17:20:27 | [CMD] xqHost(11) => /rescue
17:20:28 | [LOCAL]Younapo.(21): ahýr neresi la :D
17:20:28 | [CMD] Younapo.(21) => /l ahýr neresi la :D
17:20:29 | [CMD] testere151(12) => /afk
17:20:30 | [CMD] xqHost(11) => /rescue
17:20:30 | [CMD] [SWAT]DeaD[POH](18) => /pm 6 gemini versene
17:20:31 | prokadir6181(23): :D
17:20:31 | [CMD] testere151(12) => /musait
17:20:32 | [LOCAL]Younapo.(21): hiç gitmedim ki
17:20:32 | [CMD] Younapo.(21) => /l hiç gitmedim ki
17:20:35 | [CMD] testere151(12) => /kemer
17:20:35 | [CMD] xqHost(11) => /rescue
17:20:36 | [CMD] [pG]aLcAtRaZ(6) => /pm 18 selam
17:20:36 | [CMD] Sparta298(14) => /kemer
17:20:36 | [LOCAL]TIRCI(10): he he 
17:20:36 | [CMD] TIRCI(10) => /l he he 
17:20:37 | [CMD] Sparta298(14) => /atamir
17:20:40 | [CMD] sezzer(15) => /pm 16 as kanka
17:20:42 | [CMD] huseyin(13) => /goto 13  
17:20:46 | [CMD] DeathStroke(16) => /pm 15 ya biþey dicem
17:20:51 | [CMD] sezzer(15) => /pm 16 de knk
17:20:51 | [CMD] [SWAT]DeaD[POH](18) => /pm 6 gemiyi versene para veririm
17:20:51 | [LOCAL]Konyali42(7): geldinmi
17:20:51 | [CMD] Konyali42(7) => /l geldinmi
17:20:52 | [LOCAL]TIRCI(10): gýtme namus gg olur :D
17:20:52 | [CMD] TIRCI(10) => /l gýtme namus gg olur :D
17:20:53 | [CMD] iYasinBey(19) => /tamir
17:20:56 | [CMD] Sparta298(14) => /modifiye
17:20:56 | [LOCAL]Younapo.(21): 4dnin orda evo saksofona yatýrdý o kadar
17:20:56 | [CMD] Younapo.(21) => /l 4dnin orda evo saksofona yatýrdý o kadar
17:20:57 | [CMD] huseyin(13) => /gobus
17:20:59 | Ninja_Goulding(9): sa
17:21:0 | [CMD] huseyin(13) => /cleanupcars
17:21:1 | [CMD] xqHost(11) => /as
17:21:1 | [CMD] iYasinBey(19) => /tamir
17:21:4 | [CMD] TIRCI(10) => /as
17:21:4 | [CMD] Ninja_Goulding(9) => /basarimlar
17:21:5 | sezzer(15): niko
17:21:5 | [CMD] huseyin(13) => /cantazele
17:21:6 | [CMD] huseyin(13) => /asay VIP-SIRKET-DONATOR-GISE-Vb.Ürünlerimizden Satýn Almak Ýsterseniz.Facebook: Truck Samp Sayfasýna Mesaj Atabilirsiniz. 
17:21:7 | [CMD] Sparta298(14) => /atamir
17:21:8 | Ninja_Goulding(9): geldim
17:21:9 | [CMD] [pG]aLcAtRaZ(6) => /pm 18 verma para 
17:21:10 | [CMD] DeathStroke(16) => /pm 15 þöyle bi 5-6m paran varmý iþyerimi yükseltcem kanka nolur ihtiyacým olmasa istemem
17:21:10 | [CMD] huseyin(13) => /g
17:21:11 | [CMD] [SWAT]DeaD[POH](18) => /pm 10 tirci
17:21:13 | [CMD] huseyin(13) => /grup
17:21:13 | [CMD] DeathStroke(16) => /pm 15 nolurrr
17:21:16 | [LOCAL]Konyali42(7): ninja /stats yap bi
