0:0:0 | Kraply(13): -_-
17:29:28 | [CMD] [eN]Overlord(12) => /l deðilim
17:29:32 | [CMD] huseyin(8) => /cleanupcars
17:29:33 | [CMD] HeRquL(16) => /a ya dursanýza
17:29:34 | Fublary3003(13): hömm
17:29:35 | [CMD] Muya(26) => /tamir
17:29:36 | [CMD] HeRquL(16) => /atamir
17:29:37 | [CMD] Muya(26) => /tamir
17:29:38 | huseyin(8): bom
17:29:39 | Muya(26): oha
17:29:39 | agareis150(21): kargoculukda
17:29:40 | {FFCC00}Muya(26) {FFFFFF}Pilot olarak spawn oldu.
17:29:42 | [CMD] UgurBey(10) => /car bus 0 0 
17:29:44 | [CMD] HeRquL(16) => /atamir
17:29:45 | [CMD] swisskobay301(20) => /rescue
17:29:46 | [CMD] Moskova_Kurdu(15) => /fly
17:29:47 | [CMD] UgurBey(10) => /cleanupcars
17:29:47 | Muya(26): minigun ka çtaner kulalnýyonuz :D
17:29:48 | [CMD] iYasinBey(9) => /goto 8
17:29:49 | [CMD] UgurBey(10) => /car bus 0 0 
17:29:49 | [CMD] swisskobay301(20) => /odunsat
17:29:49 | [CMD] HeRquL(16) => /atamir
17:29:51 | [CMD] iYasinBey(9) => /atamir
17:29:53 | [LOCAL]emre_cool(17): nerde la bu kargocu yeri
17:29:53 | [CMD] emre_cool(17) => /l nerde la bu kargocu yeri
17:29:53 | huseyin(8): bi ben vurdum 
17:29:54 | [CMD] iYasinBey(9) => /a bugda kaldým
17:29:55 | Muya(26): huseyin nere saklandýnýz gözükmüyonuz orda :D
17:29:59 | Moskova_Kurdu(15): ben de sýkýyodum .d
17:29:59 | [LOCAL][eN]Overlord(12): dur
17:29:59 | [CMD] [eN]Overlord(12) => /l dur
17:30:0 | [CMD] Muya(26) => /kemer
17:30:2 | [CMD] UgurBey(10) => /car bus 0 0 
17:30:2 | Arda[TC](25): beni hatýrlayan varmý la
17:30:2 | [CMD] iYasinBey(9) => /goto 18
17:30:3 | [LOCAL][eN]Overlord(12): takip et
17:30:3 | [CMD] [eN]Overlord(12) => /L takip et
17:30:4 | huseyin(8): asfaf
17:30:4 | [CMD] ahmet55(19) => /meslek
17:30:5 | [CMD] iYasinBey(9) => /atamir
17:30:6 | agareis150(21): baþkomutaným
17:30:7 | [CMD] [eN]Overlord(12) => /araba
17:30:7 | [CMD] iYasinBey(9) => /a yavaþ
17:30:7 | [CMD] swisskobay301(20) => /work
17:30:10 | [CMD] swisskobay301(20) => /work
17:30:11 | [CMD] UgurBey(10) => /delvehicle 731
17:30:12 | [CMD] iYasinBey(9) => /a sil þu yýldýzlarý la
17:30:12 | [CMD] huseyin(8) => /dtemizle 
17:30:12 | [CMD] huseyin(8) => /asay2 s  
17:30:14 | [CMD] iYasinBey(9) => /a :d
17:30:15 | xSamet(27) 60 saniye içinde giriþ yapmadýðý için tekmelendi
17:30:15 | xSamet(27) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
17:30:15 | [CMD] HeRquL(16) => /atamir
17:30:21 | [CMD] Muya(26) => /tamir
17:30:21 | [CMD] UgurBey(10) => /a /clean çekmeyin
17:30:23 | agareis150(21): huseyin çok yaþa
17:30:24 | [CMD] HeRquL(16) => /atamir
17:30:26 | [CMD] iYasinBey(9) => /a sil þu yýldýzlarý la
17:30:28 | [CMD] UgurBey(10) => /a bura da tamam
17:30:31 | {FFCC00}Muya(26) {FFFFFF}Pilot olarak spawn oldu.
17:30:31 | [CMD] iYasinBey(9) => /a yýldýz power oldu
17:30:31 | [CMD] DarkFlow(7) => /sirket
17:30:31 | Muya(26): herqul S:Dsd
17:30:31 | [CMD] Konyali42(0) => /sirket
17:30:32 | [CMD] Grejuva(14) => /rescue
17:30:33 | [CMD] ubeydo(11) => /c ben kaçr 
17:30:36 | emre_cool(17): can res
17:30:36 | [CMD] ubeydo(11) => /convoyayril
17:30:38 | [CMD] DarkFlow(7) => /c tmm
17:30:38 | [CMD] huseyin(8) => /cantazele
17:30:38 | [CMD] Moskova_Kurdu(15) => /Fly
17:30:39 | [CMD] iYasinBey(9) => /cantazele
17:30:39 | [CMD] HeRquL(16) => /a o uçaðý kim attý 
17:30:41 | Muya(26): yasýyonmu :D
17:30:41 | bilal7345(27) oyuna girdi [IP: 31.223.30.96]
17:30:42 | [CMD] Moskova_Kurdu(15) => /a muya
17:30:42 | [LOCAL]Konyali42(0): bb
17:30:42 | [CMD] Konyali42(0) => /l bb
17:30:43 | [CMD] ubeydo(11) => /sirket
17:30:43 | [CMD] Muya(26) => /kemer
17:30:43 | [CMD] huseyin(8) => /a muya
17:30:43 | [CMD] iYasinBey(9) => /a muya
17:30:44 | [CMD] Arda[TC](25) => /rescýe
17:30:46 | [LOCAL]ubeydo(11): bb
17:30:46 | [CMD] ubeydo(11) => /L bb
17:30:46 | [CMD] agareis150(21) => /setlevel 7
17:30:46 | [CMD] Arda[TC](25) => /rescue
17:30:46 | [CMD] Berkay08(22) => /modifiye
17:30:48 | [CMD] Konyali42(0) => /c baslayalimmi
17:30:48 | [CMD] ubeydo(11) => /sirket
17:30:48 | [CMD] HeRquL(16) => /a atýn þunu bi hapse
17:30:48 | [CMD] Arda[TC](25) => /rescue
17:30:50 | [CMD] Moskova_Kurdu(15) => /a :D 
17:30:51 | [CMD] agareis150(21) => /setlevel 21
17:30:53 | [CMD] Muya(26) => /yerbul 8
17:30:53 | 
17:30:55 | [SirketCHT] DarkFlow(7): ! baþlat
17:30:56 | {FFCC00}bilal7345(27) {FFFFFF}Kamyoncu olarak spawn oldu.
17:30:57 | [CMD] iYasinBey(9) => /a /jail 26 250 etk engelleme
17:30:58 | Muya(26): huseyin yerbul kalktýmý
17:30:58 | [CMD] Konyali42(0) => /work
17:30:59 | [CMD] HeRquL(16) => /a uuðr destekliyici radar koy arkasýna 
17:30:59 | [CMD] agareis150(21) => /setlevel 7 21
17:31:0 | [CMD] iYasinBey(9) => /a uygun mu?
17:31:2 | Arda[TC](25) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
17:31:2 | [CMD] UgurBey(10) => /cleanupcars
17:31:2 | [CMD] bilal7345(27) => /sa
17:31:2 | huseyin(8): +
17:31:4 | [CMD] huseyin(8) => /as
17:31:4 | [CMD] emre_cool(17) => /as
17:31:5 | [CMD] UgurBey(10) => /createcamera  1
17:31:6 | Muya(26): niye
17:31:6 | [CMD] bilal7345(27) => /rescue
17:31:6 | [CMD] Berkay08(22) => /as
17:31:7 | [CMD] huseyin(8) => /yerbul
17:31:7 | [CMD] UgurBey(10) => /createcamera  1
17:31:7 | xSamet(25) oyuna girdi [IP: 78.172.187.143]
17:31:9 | [CMD] agareis150(21) => /yerbul
17:31:9 | emre_cool(17): @26 kalkmadý
17:31:9 | huseyin(8): :/
17:31:10 | [CMD] UgurBey(10) => /createcamera  1
17:31:12 | [CMD] UgurBey(10) => /createcamera  10
17:31:12 | [CMD] huseyin(8) => /yerbul 
17:31:13 | Muya(26): calýsmýyo bnde
17:31:14 | [CMD] UgurBey(10) => /createcamera  10
17:31:14 | [CMD] Grejuva(14) => /rescue
17:31:14 | [CMD] HeRquL(16) => /atamir
17:31:17 | [CMD] UgurBey(10) => /createcamera  100
17:31:20 | [CMD] iYasinBey(9) => /jail 26 250 oyuncu rahatsýz etme
17:31:21 | [CMD] UgurBey(10) => /delcamera
17:31:21 | [CMD] UgurBey(10) => /delcamera
17:31:22 | [CMD] UgurBey(10) => /delcamera
17:31:22 | [CMD] Berkay08(22) => /araba
17:31:22 | [CMD] UgurBey(10) => /delcamera
17:31:22 | [CMD] bilal7345(27) => /convoy
17:31:23 | emre_cool(17): relog at
17:31:23 | [CMD] UgurBey(10) => /delcamera
17:31:23 | 
17:31:23 | ubeydo(11): araç res
17:31:23 | [CMD] UgurBey(10) => /delcamera
17:31:23 | [SirketCHT] DarkFlow(7): ! :D
17:31:24 | {FFCC00}Muya(26) {FFFFFF}Pilot olarak spawn oldu.
17:31:27 | [CMD] DarkFlow(7) => /tamir
17:31:28 | Muya(26): yasin :(
17:31:28 | HeRquL(16): muya eðer ki bir daha yaprsan hapse atarým
17:31:29 | [CMD] UgurBey(10) => /a yok koymuyo
17:31:31 | iYasinBey(9): adminleri rahatsýz etytin
17:31:32 | [CMD] Berkay08(22) => /kemer
17:31:32 | [CMD] HeRquL(16) => /atamir
17:31:33 | [CMD] UgurBey(10) => /createcamera  1 
17:31:33 | iYasinBey(9): hay
17:31:34 | [CMD] Konyali42(0) => /c gicik bariyerler :D
17:31:35 | [CMD] iYasinBey(9) => /cantazele
17:31:35 | [CMD] bilal7345(27) => /djler
17:31:37 | 
17:31:37 | {FFCC00}iYasinBey(9) {FFFFFF}Kamyoncu olarak spawn oldu.
17:31:38 | [CMD] xSamet(25) => /sac
17:31:38 | ubeydo(11): araç ress
17:31:38 | Fublary3003(13): @11 noldu ?
17:31:39 | [CMD] UgurBey(10) => /createcamera  1 
17:31:40 | [CMD] HeRquL(16) => /gotý yasin
17:31:40 | Muya(26): la huseyinlere atmaya calýsýyodum
17:31:42 | [CMD] iYasinBey(9) => /goto 18
17:31:44 | [CMD] UgurBey(10) => /delcamea
17:31:44 | [CMD] HeRquL(16) => /goto yasin
17:31:44 | Muya(26): huseyin
17:31:45 | [CMD] UgurBey(10) => /delcamera
17:31:45 | xSamet(25): kargocu olan
17:31:46 | [CMD] UgurBey(10) => /delcamera
17:31:48 | DarkFlow(7): arac res
17:31:48 | [CMD] HeRquL(16) => /goto yas
17:31:49 | [CMD] UgurBey(10) => /createcamera  1 
17:31:49 | Muya(26): ayrýlýn sunlarýn ynýndan
17:31:49 | ubeydo(11): ne noldu
17:31:50 | Fublary3003(13): @11 hani atacalþardý hemen 
17:31:50 | [CMD] UgurBey(10) => /createcamera  1 
17:31:51 | [CMD] UgurBey(10) => /createcamera  1 
17:31:52 | [CMD] UgurBey(10) => /createcamera  1 
17:31:52 | [CMD] huseyin(8) => /afk
17:31:52 | [CMD] UgurBey(10) => /createcamera  1 
17:31:53 | [CMD] UgurBey(10) => /createcamera  1 
17:31:53 | [CMD] UgurBey(10) => /createcamera  1 
17:31:54 | [CMD] xSamet(25) => /modifiye
17:31:54 | HeRquL(16): @26 atma yasak atma 
17:31:55 | [CMD] huseyin(8) => /asay Arac Res Geliyor!  
17:31:55 | [CMD] Berkay08(22) => /modifiye
17:31:55 | [CMD] huseyin(8) => /asay Arac Res Geliyor!  
17:31:56 | ubeydo(11): ya kes bebe
17:31:56 | [CMD] iYasinBey(9) => /asay Arac Res Geliyor... Ýyi Oyunlar...
17:31:56 | [CMD] UgurBey(10) => /delcamera
17:31:56 | [CMD] UgurBey(10) => /delcamera
17:31:57 | [CMD] huseyin(8) => /cantazele
17:31:57 | [CMD] UgurBey(10) => /delcamera
17:31:57 | [CMD] iYasinBey(9) => /asay Arac Res Geliyor... Ýyi Oyunlar...
17:31:57 | [CMD] UgurBey(10) => /delcamera
17:31:58 | [CMD] UgurBey(10) => /delcamera
17:31:58 | [CMD] UgurBey(10) => /delcamera
17:31:58 | [CMD] UgurBey(10) => /delcamera
17:31:59 | [CMD] bilal7345(27) => /kemer
17:31:59 | [CMD] huseyin(8) => /respawncars 
17:32:1 | [eN]Overlord(12): hakar@
17:32:2 | [CMD] huseyin(8) => /musait
17:32:2 | [CMD] iYasinBey(9) => /respawncars
17:32:2 | [CMD] iYasinBey(9) => /cantazele
17:32:4 | [CMD] UgurBey(10) => /createcamera 1
17:32:5 | [eN]Overlord(12): .
17:32:6 | Muya(26): istemedikleri zmn atmýyorum zti herqul
17:32:6 | Fublary3003(13): olay yaratma
17:32:6 | [CMD] UgurBey(10) => /delcamera
17:32:7 | xSamet(25): kargocu olan
17:32:8 | [CMD] Konyali42(0) => /asay Istek Sarki Olmadigi Için Rastgele Açilmistir...     
17:32:8 | xSamet(25): kargocu olan
17:32:9 | [CMD] UgurBey(10) => /createcamera 1
17:32:9 | ubeydo(11): illa susman için konumu açak foruma
17:32:11 | [CMD] xSamet(25) => /kemer
17:32:12 | [CMD] UgurBey(10) => /delcamera
17:32:12 | [CMD] agareis150(21) => /admins
17:32:13 | NeroBey(28) oyuna girdi [IP: 95.8.231.66]
17:32:16 | [CMD] xSamet(25) => /kemer
17:32:16 | Fublary3003(13): bence sus
17:32:17 | [LOCAL]emre_cool(17): 1 dk afkyým
17:32:17 | [CMD] emre_cool(17) => /l 1 dk afkyým
17:32:17 | [CMD] xSamet(25) => /kemer
17:32:18 | [CMD] HeRquL(16) => /goto iyas
17:32:18 | [ANTIHACK] Þüpheli HeRquL(16) => Airbreak-hack
17:32:18 | [CMD] UgurBey(10) => /car andromada 1 
17:32:20 | [CMD] UgurBey(10) => /car andromada 1  1 
17:32:20 | [CMD] ahmet55(19) => /meslek
17:32:20 | [LOCAL][eN]Overlord(12): bende.
17:32:20 | [CMD] [eN]Overlord(12) => /l bende.
17:32:21 | xSamet(25): kargocu olan
17:32:21 | [CMD] Moskova_Kurdu(15) => /bangor Candravero
17:32:21 | ubeydo(11): gelen geçenle tartýþýyon
17:32:22 | [CMD] emre_cool(17) => /afk
17:32:23 | [CMD] HeRquL(16) => /atamir
17:32:24 | Fublary3003(13): konuþma benimle muhatap olma
17:32:25 | [CMD] Chilgin[byhack](18) => /a uður o radar aþada gecnce de cekcek ha :D
17:32:26 | [CMD] UgurBey(10) => /a tmam galiba
17:32:27 | 
17:32:28 | bilal7345(27): naber beyler
17:32:29 | [CMD] iYasinBey(9) => /a olum ne radar olcak burada
17:32:30 | {FFCC00}NeroBey(28) {FFFFFF}Kamyoncu olarak spawn oldu.
17:32:30 | [CMD] agareis150(21) => /asiriyuk
17:32:30 | [CMD] xSamet(25) => /tamir
17:32:30 | [CMD] iYasinBey(9) => /a ASD:Asd:ASd
17:32:31 | [SirketCHT] Muya(26): ! huseyin ahýrýn oraya geçin
17:32:31 | [CMD] UgurBey(10) => /fly
17:32:31 | [CMD] NeroBey(28) => /sa
17:32:32 | [CMD] agareis150(21) => /bonus
17:32:32 | [CMD] ahmet55(19) => /rescue
17:32:35 | [CMD] Konyali42(0) => /as
17:32:35 | ubeydo(11): tamam bakarsýn yarým saat sonra foruma
17:32:35 | Fublary3003(13): þuan uzatýðýnýn farkýndamýsýn
17:32:36 | [CMD] bilal7345(27) => /as
17:32:36 | [CMD] Chilgin[byhack](18) => /a uður o radar aþada gecnce de cekcek ha :D
17:32:37 | [SirketCHT] Muya(26): ! orda vururum :D
17:32:37 | [CMD] Fublary3003(13) => /As
17:32:39 | [SirketCHT] Moskova_Kurdu(15): ! iþimiz var 
17:32:40 | [CMD] Grejuva(14) => /rescue
17:32:41 | agareis150(21): rehber
17:32:41 | xSamet(25): kargocu olan
17:32:41 | xSamet(25): kargocu olan
17:32:43 | [SirketCHT] Muya(26): ! pü
17:32:44 | agareis150(21): verona mall nerde
17:32:46 | Fublary3003(13): çok korktum
17:32:46 | [CMD] Moskova_Kurdu(15) => /Fly
17:32:47 | [CMD] swisskobay301(20) => /work
17:32:49 | [CMD] HeRquL(16) => /a uður o radar 150 mi olsaydý 
17:32:50 | [CMD] xSamet(25) => /work
17:32:53 | [CMD] Fublary3003(13) => /tamir
17:32:53 | [CMD] iYasinBey(9) => /a AS:DAD:S
17:32:55 | [CMD] Grejuva(14) => /rescue
17:32:57 | [CMD] xSamet(25) => /goreviptal
17:32:58 | [CMD] xSamet(25) => /work
17:33:2 | [CMD] xSamet(25) => /goreviptal
17:33:2 | bilal7345(27): kimse kargocu olmýcakmýs samet
17:33:2 | [CMD] xSamet(25) => /work
17:33:5 | [CMD] NeroBey(28) => /sorusor ehliyyet kaç para týr ehliyetti
17:33:6 | [eN]Overlord(12): @21 LS'de
17:33:7 | agareis150(21): hüseyin beni verona mall götürsene
17:33:11 | Ismailcan_Kya(29) oyuna girdi [IP: 78.172.126.132]
17:33:13 | [CMD] huseyin(8) => /aa mq bi etk yapacaz neler yapýyoz
17:33:13 | KaanPro02020(30) oyuna girdi [IP: 88.231.130.129]
17:33:14 | [CMD] iYasinBey(9) => /a herqul radar kaç yýldýz oldu
17:33:14 | [CMD] Grejuva(14) => /rescue
17:33:14 | [CMD] NeroBey(28) => /sorusor týr ehliyeti kaça
17:33:15 | [eN]Overlord(12): @21 LS Sahilinin ilerisinde
17:33:15 | [CMD] iYasinBey(9) => /a ASDA:D:asd
17:33:17 | [CMD] UgurBey(10) => /a bura tm
17:33:21 | agareis150(21): tm
17:33:21 | [CMD] UgurBey(10) => /aa :d
17:33:21 | [CMD] NeroBey(28) => /work
17:33:22 | [CMD] Moskova_Kurdu(15) => /aka 30 
17:33:22 | agareis150(21): saol
17:33:23 | [CMD] HeRquL(16) => /atamir
17:33:23 | [CMD] [eN]Overlord(12) => /bonus
17:33:25 | [eN]Overlord(12): np
17:33:27 | 
17:33:28 | [CMD] UgurBey(10) => /Aa etk ney daha anlamadým amk :D
17:33:28 | [CMD] [eN]Overlord(12) => /bonus
17:33:30 | [CMD] ahmet55(19) => /kemer
17:33:30 | [CMD] UgurBey(10) => /aa safasfsaas
17:33:31 | [CMD] xSamet(25) => /tamir
17:33:32 | 
17:33:32 | [ANTIHACK] Þüpheli HeRquL(16) => Airbreak-hack
17:33:32 | berat7345(31) oyuna girdi [IP: 31.223.30.96]
17:33:36 | [CMD] HeRquL(16) => /a minigunlar vurma alo
17:33:37 | [CMD] huseyin(8) => /aa bnde anlamadým
17:33:38 | [eN]Overlord(12): d ekraný temizleyin
17:33:38 | agareis150(21): 26 kiþiyiz
17:33:39 | [CMD] huseyin(8) => /myskin 294
17:33:40 | [CMD] HeRquL(16) => /atamir
17:33:41 | [CMD] bilal7345(27) => /isteksarki 1060
17:33:41 | {FFCC00}KaanPro02020(30) {FFFFFF}Kamyoncu olarak spawn oldu.
17:33:42 | [SirketCHT] Muya(26): ! herqul ve yasinbey siz oldugunuz sürece dahga shamal atmam bn
17:33:45 | KaanPro02020(30): Sa
17:33:47 | [CMD] HeRquL(16) => /atamir
17:33:47 | [CMD] Konyali42(0) => /asay Istek Sarkiniz Siraya Alinmistir. Iyi Oyunlar Dileriz...    
17:33:47 | [CMD] iYasinBey(9) => /as
17:33:47 | [CMD] ubeydo(11) => /as
17:33:48 | [CMD] [eN]Overlord(12) => /as
17:33:48 | [CMD] UgurBey(10) => /a þimdi radara kim  giriyo
17:33:49 | [CMD] Berkay08(22) => /as
17:33:51 | [SirketCHT] HeRquL(16): ! gerekn o zaten
17:33:51 | 
17:33:51 | [CMD] UgurBey(10) => /as
17:33:51 | [CMD] DarkFlow(7) => /as
17:33:52 | [CMD] Moskova_Kurdu(15) => /giveweapon 15 rocket 55555555
17:33:53 | {FFCC00}berat7345(31) {FFFFFF}Kamyoncu olarak spawn oldu.
17:33:54 | agareis150(21): 26 kiþiyiz
17:33:54 | [CMD] KaanPro02020(30) => /convoy
17:33:56 | [CMD] [eN]Overlord(12) => /isteksarki 333
17:33:57 | agareis150(21): uður
17:33:58 | [CMD] [eN]Overlord(12) => /isteksarki 332
17:33:59 | UgurBey(10): evet
17:33:59 | [SirketCHT] Muya(26): ! bn istemedikleri sürecea tmýyorum
17:34:0 | [CMD] Moskova_Kurdu(15) => /a ben girem 
17:34:0 | [CMD] berat7345(31) => /sa
17:34:1 | [CMD] Konyali42(0) => /c ben bi hemen afk
17:34:1 | [CMD] berat7345(31) => /asay Ýsteðiniz Sýraya Alýnmýþtýr. 
17:34:2 | [CMD] ubeydo(11) => /as
17:34:3 | agareis150(21): etk gelsin 26 kiþiyiz
17:34:3 | [CMD] Moskova_Kurdu(15) => /a nasýl olcak 
17:34:5 | [CMD] Berkay08(22) => /araba
17:34:6 | [CMD] berat7345(31) => /d overlod 
17:34:6 | [CMD] UgurBey(10) => /a ne ara 26 kiþi
17:34:6 | [CMD] Fublary3003(13) => /As
17:34:6 | Ismailcan_Kya(29) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
17:34:7 | [SirketCHT] DarkFlow(7): ! ok
17:34:8 | Konyali42(0): t/asay Istek Sarkiniz Siraya Alinmistir. Iyi Oyunlar Dileriz...    
17:34:8 | [CMD] agareis150(21) => /admins
17:34:8 | [CMD] berat7345(31) => /djler
17:34:10 | [CMD] Moskova_Kurdu(15) => /cc
17:34:11 | [CMD] Moskova_Kurdu(15) => /a Oha 
17:34:12 | [CMD] huseyin(8) => /cc
17:34:12 | [CMD] huseyin(8) => /dtemizle 
17:34:12 | [CMD] huseyin(8) => /asay2 s  
17:34:13 | [CMD] Moskova_Kurdu(15) => /a Q:WEq 
17:34:13 | [SirketCHT] Muya(26): ! size denk geldi sizi görmodum yukardan düserken
17:34:13 | agareis150(21): 6sý admin
17:34:14 | [eN]Overlord(12):  Duyuru ekranýný temizleyin meslek ekranýndakiler meslek skorlarýný göremiyecek..
17:34:14 | [CMD] Berkay08(22) => /kemer
17:34:15 | [SirketCHT] HeRquL(16): ! tek baþýnaysa at atýcaðýn kiþinin çevresinide düþün
17:34:16 | [SirketCHT] DarkFlow(7): ! ok
17:34:17 | [CMD] Konyali42(0) => /afk
17:34:17 | [SirketCHT] KaanPro02020(30): ! konvoy yapacak var mý
17:34:18 | berat7345(31): overlord
17:34:20 | [CMD] Moskova_Kurdu(15) => /a Yarým saattir bunla uðraþýyoz Q:We q
17:34:20 | agareis150(21): 20 kiþiyiz
17:34:21 | [CMD] Berkay08(22) => /modifiye
17:34:22 | [CMD] berat7345(31) => /sac
17:34:23 | [CMD] huseyin(8) => /giveweapon 8 heat 5000 
17:34:24 | [CMD] Moskova_Kurdu(15) => /car infernus 1 1
17:34:24 | [eN]Overlord(12): efendim Berat
17:34:27 | [SirketCHT] Muya(26): ! izin veren 7lþvl olunca düsdüh
17:34:27 | [CMD] ahmet55(19) => /pcc
17:34:28 | [CMD] HeRquL(16) => /a hadir baþlat etk 
17:34:30 | berat7345(31): niye j ayrýldýn
17:34:32 | [CMD] iYasinBey(9) => /a araba
17:34:33 | [CMD] Moskova_Kurdu(15) => /a Yetkimi alýn radara gierm 
17:34:34 | berat7345(31): dj*
17:34:34 | [eN]Overlord(12): istifa ettim
17:34:35 | [SirketCHT] KaanPro02020(30): ! konvoy yapacak var mý
17:34:35 | (BANKA) NeroBey(28) 2265 nolu banka hesabindan 5000$ cekti.
17:34:40 | [CMD] KaanPro02020(30) => /renk
17:34:40 | berat7345(31): :/ 
17:34:41 | [CMD] iYasinBey(9) => /admins
17:34:43 | [CMD] berat7345(31) => /rescu
17:34:44 | [CMD] KaanPro02020(30) => /renk 01
17:34:44 | [CMD] Grejuva(14) => /meslek
17:34:45 | [CMD] berat7345(31) => /rescue
17:34:46 | {FFCC00}Grejuva(14) {FFFFFF}Kamyoncu olarak spawn oldu.
17:34:46 | [CMD] Berkay08(22) => /araba
17:34:47 | [ANTIHACK] Þüpheli HeRquL(16) => Airbreak-hack
17:34:49 | [CMD] HeRquL(16) => /a a1 yapýn
17:34:51 | [CMD] Grejuva(14) => /rescue
17:34:51 | NeroBey(28): beni bozok nakliyatta alabilirmisiniz
17:34:52 | [CMD] UgurBey(10) => /a userler mi radara giricek
17:34:53 | [CMD] berat7345(31) => /convoy
17:34:54 | [CMD] Berkay08(22) => /kemer
17:34:56 | [CMD] UgurBey(10) => /A biz ceza kesicez
17:34:59 | [CMD] [eN]Overlord(12) => /uyeal 28
17:34:59 | [CMD] huseyin(8) => /uyeal 28
17:34:59 | [CMD] KaanPro02020(30) => /renk 0 1
17:35:1 | agareis150(21): istifa eden bidaha dj rehber admin olabiliyomu
17:35:1 | [SirketCHT] KaanPro02020(30): ! konvoy yapacak var mý
17:35:4 | [CMD] bilal7345(27) => /sirket
17:35:5 | [CMD] berat7345(31) => /sirket
17:35:5 | huseyin(8): olamaz
17:35:7 | [CMD] agareis150(21) => /uyeal 28
17:35:8 | [SirketCHT] [eN]Overlord(12): ! HG Nero
17:35:8 | [CMD] HeRquL(16) => /a ama etk sonunda cebimden çýkan parayý sterim 
17:35:8 | [CMD] HeRquL(16) => /a ama etk sonunda cebimden çýkan parayý sterim 
17:35:9 | [CMD] iYasinBey(9) => /a biz grcez onlar ceza kescek
17:35:9 | [CMD] UgurBey(10) => /a yoksa adminlere mi userlar ceza kesicek
17:35:9 | [CMD] HLorex(23) => /convoyayrýl
17:35:13 | agareis150(21): tm
17:35:15 | [CMD] HeRquL(16) => /a radara biz gircez
17:35:15 | [CMD] HeRquL(16) => /a radara biz gircez
17:35:15 | [CMD] HLorex(23) => /convou
17:35:17 | [CMD] NeroBey(28) => /s hosbulduk
17:35:17 | [CMD] Hargosh(24) => /convoyuye
17:35:18 | [CMD] HeRquL(16) => /a ama etk sonunda cebimden çýkan parayý sterim 
17:35:18 | [CMD] iYasinBey(9) => /a biz grcez onlar ceza kescek
17:35:19 | [CMD] Grejuva(14) => /icerigir
17:35:20 | [CMD] HLorex(23) => /convoy
17:35:23 | [CMD] Grejuva(14) => /isyerimenu
17:35:25 | [CMD] Moskova_Kurdu(15) => /sirket
17:35:25 | agareis150(21): görevinden alýnan
17:35:26 | [CMD] berat7345(31) => /kemer
17:35:26 | [SirketCHT] ubeydo(11): ! hüseyin
17:35:28 | [CMD] berat7345(31) => /work
17:35:29 | [CMD] Hargosh(24) => /convoyat 28
17:35:29 | NeroBey(28): þirkette nasýl yazarým
17:35:29 | [CMD] Grejuva(14) => /isyerimenu
17:35:32 | [CMD] huseyin(8) => /giveweapon 8 satch 5000 
17:35:33 | [CMD] KaanPro02020(30) => /rescue
17:35:33 | bilal7345(27): huseyin abi
17:35:33 | [SirketCHT] huseyin(8): ! evet
17:35:34 | [CMD] UgurBey(10) => /a iyi de ceza kesen mi kazanýyo etk yi
17:35:37 | huseyin(8): Evet
17:35:37 | [SirketCHT] Moskova_Kurdu(15): ! len adamýn 5 skoru var almayýn 
17:35:38 | [SirketCHT] ubeydo(11): ! benim maaþý haftaya versen olurmu
17:35:39 | [CMD] iYasinBey(9) => /a arabalara 2 þer kiþi binek
17:35:40 | [SirketCHT] berat7345(31): ! <mesaj>
17:35:40 | [CMD] Grejuva(14) => /icerigir
17:35:40 | [CMD] HeRquL(16) => /a bak þmdi
17:35:41 | [SirketCHT] huseyin(8): ! olur
17:35:43 | [CMD] HeRquL(16) => /a bak þmdi
17:35:43 | [CMD] Grejuva(14) => /isyerimenu
17:35:45 | [SirketCHT] berat7345(31): ! :/
17:35:45 | [CMD] Hargosh(24) => /convo yuye
17:35:46 | bilal7345(27): benim konvoya gelsene
17:35:46 | [CMD] Moskova_Kurdu(15) => /atamir
17:35:47 | [SirketCHT] ubeydo(11): ! tamam eyw
17:35:47 | huseyin(8): asfasfasf
17:35:47 | [CMD] iYasinBey(9) => /a aSD:ASD:
17:35:49 | (BANKA) xSamet(25) 1920 nolu banka hesabina 1000010$ yatirdi.
17:35:50 | [CMD] Grejuva(14) => /isyerimenu
17:35:51 | [CMD] HLorex(23) => /convoyiptal
17:35:51 | {FFCC00}Moskova_Kurdu(15) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
17:35:51 | [CMD] NeroBey(28) => /sorusor týr ehliyeti kaça
17:35:52 | [CMD] Hargosh(24) => /convoyuye
17:35:53 | [CMD] Moskova_Kurdu(15) => /a Kim attý onu 
17:35:57 | [CMD] huseyin(8) => /a bün
17:35:57 | [CMD] Moskova_Kurdu(15) => /a Kafasýna at atýcam 
17:35:58 | [SirketCHT] Fublary3003(13): ! huseyin
17:35:58 | [CMD] HeRquL(16) => /a 15 dakka falan ceza kescekler ne kadar kesebilirse userler 15 dakka sonudna etk biter 
17:35:58 | Muya(26): ugurcugum
17:36:0 | [CMD] HeRquL(16) => /a 15 dakka falan ceza kescekler ne kadar kesebilirse userler 15 dakka sonudna etk biter 
17:36:0 | [CMD] HLorex(23) => /convoy
