0:0:2 | [CMD] huso608(12) => /admins
19:53:30 | [CMD] BoykoXD(6) => /uyar 23 Caps of
19:53:31 | luplup67(23): görevlerdeki
19:53:31 | VIPTRUCKS(8): buraya bin
19:53:31 | [CMD] testere151(24) => /admins
19:53:34 | [CMD] [eN]Overlord(25) => /pm 22 kanka ev aldým
19:53:38 | [LOCAL]Hic(20): Bütün yönetim gelin beyler :D
19:53:38 | [CMD] Hic(20) => /l Bütün yönetim gelin beyler :D
19:53:39 | [CMD] Mehmetaydin_12345(17) => /work
19:53:39 | [CMD] TheS1LKENAdam(22) => /goto 25
19:53:42 | [CMD] TheS1LKENAdam(22) => /goto 25
19:53:43 | [CMD] testere151(24) => /odulall
19:53:44 | [CMD] testere151(24) => /odulall
19:53:44 | [CMD] TheS1LKENAdam(22) => /goto 25
19:53:45 | [CMD] testere151(24) => /odulall
19:53:46 | [CMD] testere151(24) => /odulall
19:53:47 | [CMD] testere151(24) => /odulall
19:53:48 | [CMD] iYasinBey(14) => /a gencler adminlere görev fazla para veriyor mu?
19:53:51 | [CMD] iYasinBey(14) => /a gencler adminlere görev fazla para veriyor mu?
19:53:51 | [CMD] buyukustadbitti(11) => /akilitle
19:53:52 | ArdaBey(10) oyuna girdi [IP: 85.104.161.254]
19:53:54 | [CMD] TheS1LKENAdam(22) => /a yok 
19:53:55 | Redfo[VAK](27) oyuna girdi [IP: 178.120.72.99]
19:53:55 | [CMD] testere151(24) => /a  hyr
19:53:57 | VIPTRUCKS(8): bereket versinde çok az 5 tane :D
19:53:58 | [CMD] TheS1LKENAdam(22) => /a para mara almýyoz
19:54:0 | agareis150(7): son 1  skor lazým
19:54:2 | 
19:54:3 | VIPTRUCKS(8): 3 tane daha
19:54:4 | .canskld.(28) oyuna girdi [IP: 176.41.253.61]
19:54:5 | [CMD] iYasinBey(14) => /a uf yav :D
19:54:6 | [CMD] cucehamster11(18) => /work
19:54:7 | {FFCC00}ArdaBey(10) {FFFFFF}Kamyoncu olarak spawn oldu.
19:54:8 | [LOCAL]TheS1LKENAdam(22): eni motormu
19:54:8 | [CMD] TheS1LKENAdam(22) => /l eni motormu
19:54:9 | agareis150(7): 7409 tane var son
19:54:10 | [CMD] ArdaBey(10) => /convoy
19:54:12 | [CMD] ArdaBey(10) => /sa
19:54:12 | [LOCAL]TheS1LKENAdam(22): yenimi
19:54:12 | [CMD] TheS1LKENAdam(22) => /l yenimi
19:54:12 | 
19:54:12 | [CMD] ekmeksevenyiyen(21) => /FPS
19:54:13 | 
19:54:13 | [CMD] iYasinBey(14) => /a araba hayalleri çöp oldu
19:54:13 | [CMD] ArdaBey(10) => /mytime 22
19:54:14 | [CMD] iYasinBey(14) => /as
19:54:14 | [CMD] TheS1LKENAdam(22) => /as
19:54:14 | Hic(20): Aleyküm Selam Hoþgeldin.
19:54:14 | [CMD] VIPTRUCKS(8) => /as
19:54:14 | [CMD] ArdaBey(10) => /hava 10
19:54:15 | [CMD] ubeydo(0) => /work
19:54:15 | [CMD] DarkFlow(12) => /as
19:54:15 | .canskld.(28) Yol Iscisi olarak spawn oldu.
19:54:17 | [CMD] ArdaBey(10) => /sirket
19:54:18 | [CMD] testere151(24) => /adminol
19:54:19 | [CMD] Hic(20) => /asay Eðer bir oyuncudan þikayetçi iseniz /sikayet <id> <sebep> þeklinde gönderebilirsiniz... 
19:54:19 | [CMD] testere151(24) => /adminol
19:54:20 | .canskld.(28): sa
19:54:20 | [CMD] VIPTRUCKS(8) => /vipol
19:54:20 | [CMD] Hic(20) => /asay Sunucuda istediðiniz þarkýnýn çalmasýný istiyorsan /isteksarki <id> þeklinde DJ'Lere iletebilirsin... 
19:54:21 | BoykoXD(6): bb
19:54:22 | TheS1LKENAdam(22): Bb
19:54:22 | Hic(20): ßß
19:54:23 | .canskld.(28): sa
19:54:23 | [CMD] agareis150(7) => /pm 14 ev istermisin
19:54:23 | testere151(24): ßß
19:54:24 | [CMD] BoykoXD(6) => /admins
19:54:24 | [CMD] VIPTRUCKS(8) => /vipol
19:54:25 | testere151(24) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
19:54:25 | Redfo[VAK](27) Yol Iscisi olarak spawn oldu.
19:54:26 | .canskld.(28): sa
19:54:26 | [CMD] BoykoXD(6) => /admins
19:54:29 | Karpuzlupasta(19): araç res
19:54:30 | [CMD] [eN]Overlord(25) => /as
19:54:31 | Karpuzlupasta(19): araç res
19:54:31 | [CMD] iYasinBey(14) => /pm 7 slotlar dolu
19:54:31 | [CMD] VIPTRUCKS(8) => /as
19:54:32 | [CMD] Fublary3003(9) => /tamir
19:54:33 | VIPTRUCKS(8):  /sa /as
19:54:34 | [CMD] DarkFlow(12) => /as
19:54:35 | [CMD] emirhanertem(26) => /modifiye
19:54:37 | BoykoXD(6): Arac res geliyor!!!
19:54:38 | Hic(20): Aleyküm Selam Hoþgeldin.
19:54:39 | BoykoXD(6): Arac res geliyor!!!
19:54:41 | [CMD] VIPTRUCKS(8) => /asay Yeni gelen oyuncularýmýz /kurallar kabul ederek 30.000$ ve 5 skor kazanabilirler. 
19:54:41 | [LOCAL][eN]Overlord(25): knk sen neden görevi býraktýn
19:54:41 | [CMD] [eN]Overlord(25) => /L knk sen neden görevi býraktýn
19:54:41 | [CMD] BoykoXD(6) => /respawncars
19:54:41 | [SirketCHT] ArdaBey(10): ! Þirket konvoyu yapsam kim gelir ?
19:54:42 | [CMD] BoykoXD(6) => /cantazele
19:54:42 | [CMD] ubeydo(0) => /as
19:54:46 | [CMD] iYasinBey(14) => /modifiye
19:54:47 | [CMD] agareis150(7) => /pm 14 evde slot yok iþyerinde var tek
19:54:47 | [LOCAL]TheS1LKENAdam(22): negörevi 
19:54:47 | [CMD] TheS1LKENAdam(22) => /l negörevi 
19:54:48 | [CMD] Fublary3003(9) => /meslek
19:54:49 | [LOCAL][eN]Overlord(25): týr görevini, býrakýp neden ýþýnlandýn
19:54:49 | [CMD] [eN]Overlord(25) => /l týr görevini, býrakýp neden ýþýnlandýn
19:54:50 | [CMD] .canskld.(28) => /work
19:54:51 | Fublary3003(9) Gemici olarak spawn oldu.
19:54:57 | Redfo[VAK](27): ïðèâåò
19:55:2 | agareis150(7): ev alma sýnýrý kaç
19:55:2 | [LOCAL]TheS1LKENAdam(22): grevde deðilimki
19:55:2 | [CMD] TheS1LKENAdam(22) => /l grevde deðilimki
19:55:3 | iYasinBey(14): :D
19:55:6 | [CMD] sezzer(33) => /adminol
19:55:6 | [CMD] BoykoXD(6) => /a 3 a1 ler iþ basýnda
19:55:6 | [CMD] sezzer(33) => /adminol
19:55:8 | BoykoXD(6): bb
19:55:8 | VIPTRUCKS(8): bb
19:55:9 | sezzer(33) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
19:55:10 | agareis150(7): en fazla kaç ev alabiliriz
19:55:10 | [CMD] Karpuzlupasta(19) => /gobus
19:55:11 | [CMD] Hic(20) => /tamir
19:55:11 | .canskld.(28): ßß
19:55:12 | VIPTRUCKS(8): asdas
19:55:12 | Hic(20): bb
19:55:13 | [CMD] Karpuzlupasta(19) => /gobus
19:55:13 | [CMD] [eN]Overlord(25) => /ev
19:55:18 | Hic(20): olum sende çok lag var
19:55:22 | agareis150(7): en fazla kaç ev alabiliriz
19:55:22 | [CMD] ubeydo(0) => /work
19:55:24 | [CMD] Hic(20) => /tamir
19:55:25 | VIPTRUCKS(8): 75 ping olm
19:55:25 | [CMD] iYasinBey(14) => /sikayetler
19:55:26 | [CMD] ArdaBey(10) => /convoy
19:55:27 | [CMD] Karpuzlupasta(19) => /araba
19:55:28 | [LOCAL]BoykoXD(6): yok normal lo
19:55:28 | [CMD] BoykoXD(6) => /l yok normal lo
19:55:34 | [CMD] ekmeksevenyiyen(21) => /FPS
19:55:34 | [CMD] VIPTRUCKS(8) => /asay Rehber & Adminlerimize soru sormak için /sorusor komutunu kullanabilirsiniz. 
19:55:34 | [CMD] Karpuzlupasta(19) => /araba
19:55:35 | Hic(20): Bendemi sorun var ?
19:55:36 | [eN]Overlord(25): hanzozozo
19:55:37 | [CMD] agareis150(7) => /pm 14 evde slot yok iþyerinde var tek
19:55:38 | [CMD] agareis150(7) => /pm 14 evde slot yok iþyerinde var tek
19:55:39 | [CMD] agareis150(7) => /pm 14 evde slot yok iþyerinde var tek
19:55:40 | [ARAC] Karpuzlupasta(19), 424 ID'li Luggage model araci 900000$'a satin aldi.
19:55:41 | [CMD] Hic(20) => /goto 8
19:55:41 | Redfo[VAK](27): êàê èãðàòü?
19:55:43 | [LOCAL]TheS1LKENAdam(22): Güzel valla
19:55:43 | [CMD] TheS1LKENAdam(22) => /l Güzel valla
19:55:44 | VIPTRUCKS(8): 181 pingin
19:55:44 | ArdaBey(10): Longway dock-Harbour island warehouse konvoyu bol para gelecekler /convoy>>>ArdaBey
19:55:45 | [eN]Overlord(25) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
19:55:46 | [CMD] Hic(20) => /tamir
19:55:46 | VIPTRUCKS(8): 181 pingin
19:55:47 | [CMD] emirhanertem(26) => /konvoy
19:55:47 | [CMD] .canskld.(28) => /admins
19:55:48 | ArdaBey(10): Longway dock-Harbour island warehouse konvoyu bol para gelecekler /convoy>>>ArdaBey
19:55:49 | [CMD] BoykoXD(6) => /atamir
19:55:49 | [CMD] ArdaBey(10) => /rescue
19:55:52 | [CMD] BoykoXD(6) => /fuel
19:55:59 | [CMD] .canskld.(28) => /rehber
19:56:0 | [CMD] agareis150(7) => /basarimlar
19:56:1 | [CMD] .canskld.(28) => /rehbers
19:56:3 | [CMD] .canskld.(28) => /rehberler
19:56:8 | [CMD] ArdaBey(10) => /rescue
19:56:8 | [KAMYONCU] DarkFlow, Longway Docks'den Harbour Island Warehouse'e Silah tasidi. Kazanc: 281352$, 1 Skor ve 5 EXP Sure: 572 Saniye
19:56:10 | ArdaBey(10): Longway dock-Harbour island warehouse konvoyu bol para gelecekler /convoy>>>ArdaBey
19:56:11 | [CMD] DarkFlow(12) => /work
19:56:12 | [CMD] agareis150(7) => /basarimlar
19:56:12 | [LOCAL]BoykoXD(6): hadi beyler convoya ne dersiniz
19:56:12 | [CMD] BoykoXD(6) => /l hadi beyler convoya ne dersiniz
19:56:15 | [CMD] agareis150(7) => /stats
19:56:16 | [LOCAL]BoykoXD(6): hadi beyler convoya ne dersiniz
19:56:16 | [CMD] BoykoXD(6) => /l hadi beyler convoya ne dersiniz
19:56:17 | [CMD] ArdaBey(10) => /modifiye
19:56:18 | [LOCAL]Hic(20): olur 
19:56:18 | [CMD] Hic(20) => /l olur 
19:56:19 | [CMD] iYasinBey(14) => /fuel
19:56:19 | thunder(13): docksdanmý baþlýcaksýn
19:56:20 | Strike(TR)(24) oyuna girdi [IP: 95.15.110.69]
19:56:21 | Karpuzlupasta(19) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
19:56:21 | [CMD] TheS1LKENAdam(22) => /a id 10 spam
19:56:21 | [CMD] ubeydo(0) => /work
19:56:21 | [CMD] VIPTRUCKS(8) => /r hic gusül al gel
19:56:21 | [eN]Overlord(19) oyuna girdi [IP: 85.108.18.183]
19:56:25 | [CMD] DarkFlow(12) => /asiriyuk
19:56:25 | [CMD] Hic(20) => /tamir
19:56:25 | ArdaBey(10): evt
19:56:25 | [CMD] BoykoXD(6) => /a tm
19:56:26 | [ANTIHACK] Þüpheli DarkFlow(12) => Airbreak-hack
19:56:26 | [CMD] ArdaBey(10) => /modifiye
19:56:28 | [CMD] iYasinBey(14) => / tm
19:56:31 | [CMD] BoykoXD(6) => /a atýyorum
19:56:32 | 
19:56:32 | thunder(13): ben docksdayým gel
19:56:34 | 
19:56:34 | {FFCC00}[eN]Overlord(19) {FFFFFF}Kamyoncu olarak spawn oldu.
19:56:36 | [CMD] iYasinBey(14) => /a tm at
19:56:36 | {FFCC00}Strike(TR)(24) {FFFFFF}Kamyoncu olarak spawn oldu.
19:56:37 | [CMD] agareis150(7) => /stats
19:56:38 | VIPTRUCKS(8): yolu kapattým darbe var :D
19:56:38 | [CMD] DarkFlow(12) => /sirket
19:56:38 | [LOCAL]Hic(20): olum ani fren tapma
19:56:38 | [CMD] Hic(20) => /l olum ani fren tapma
19:56:38 | .canskld.(28): arda baþlatma þu hurdayý götirim hurdalýða 2 dk
19:56:39 | [CMD] Strike(TR)(24) => /admgiris
19:56:40 | VIPTRUCKS(8): yolu kapattým darbe var :D
19:56:41 | [CMD] BoykoXD(6) => /uyar 10 Spam
19:56:43 | [CMD] Strike(TR)(24) => /sa
19:56:43 | [CMD] agareis150(7) => /admins
19:56:45 | Hic(20): Aleyküm Selam Hoþgeldin.
19:56:45 | [CMD] Strike(TR)(24) => /admins
19:56:45 | [CMD] TheS1LKENAdam(22) => /as
19:56:45 | .canskld.(28): as
19:56:45 | [CMD] ubeydo(0) => /as
19:56:45 | [CMD] VIPTRUCKS(8) => /as
19:56:45 | [CMD] BoykoXD(6) => /as
19:56:45 | [CMD] iYasinBey(14) => /as
19:56:46 | iYasinBey(14): Can Res Geliyor... Ýyi Oyunlar...
19:56:46 | VIPTRUCKS(8): yolu kapattým darbe var :D
19:56:46 | [CMD] agareis150(7) => /As
19:56:46 | [CMD] ArdaBey(10) => /as
19:56:47 | [CMD] thunder(13) => /as
19:56:47 | iYasinBey(14): Can Res Geliyor... Ýyi Oyunlar...
19:56:48 | [CMD] iYasinBey(14) => /cantazele
19:56:51 | VIPTRUCKS(8): hg
19:56:53 | [LOCAL]Hic(20): beyler ben konvoya gidiyom
19:56:53 | [CMD] Hic(20) => /l beyler ben konvoya gidiyom
19:56:53 | agareis150(7): ev isteyen
19:56:53 | agareis150(7): ev isteyen
19:56:54 | [CMD] [eN]Overlord(19) => /pm 22 knk baþýma çok saçma bi olay geldi serverde
19:56:54 | agareis150(7): ev isteyen
19:56:55 | .canskld.(28): hb
19:56:58 | emirhanertem(26) oyundan cIktI (Hata/Crash) (IP: 81.214.208.144)
19:56:58 | [CMD] Strike(TR)(24) => /A can resi direk at biþe olmaz
19:56:59 | agareis150(7): ev isteyen
19:57:1 | [CMD] TheS1LKENAdam(22) => /pm 19 anlat kanka :D
19:57:1 | [CMD] [eN]Overlord(19) => /pm 22 çeksene bi
19:57:2 | agareis150(7): ev isteyen
19:57:4 | [CMD] TheS1LKENAdam(22) => /goto 19
19:57:4 | agareis150(7): ev isteyen
19:57:4 | [CMD] iYasinBey(14) => /a tm
19:57:4 | [CMD] BoykoXD(6) => /uyar 7 Flood yapmayýnýz
19:57:8 | [CMD] ubeydo(0) => /sirket
19:57:10 | [CMD] Strike(TR)(24) => /admins
19:57:11 | [CMD] iYasinBey(14) => /a ama ben yapayým yinede
19:57:11 | [CMD] thunder(13) => /convoyiptal
19:57:12 | [LOCAL][eN]Overlord(19): knk 
19:57:12 | [CMD] [eN]Overlord(19) => /L knk 
19:57:12 | [CMD] TheS1LKENAdam(22) => /araba
19:57:15 | buyukustadbitti(11): AGA
19:57:18 | [CMD] BoykoXD(6) => /a gerek yok
19:57:18 | [LOCAL][eN]Overlord(19): 3.5m para kastým caným çýktý
19:57:18 | [CMD] [eN]Overlord(19) => /l 3.5m para kastým caným çýktý
19:57:20 | [CMD] Strike(TR)(24) => /rehberler
19:57:20 | VIPTRUCKS(8): caps off
19:57:20 | luplup67(23): 3.5 m ye ev alýnýr
19:57:21 | buyukustadbitti(11): capss
19:57:22 | [CMD] iYasinBey(14) => /sikayetler
19:57:23 | Hic(20): caps kapa @11 bey
19:57:23 | [CMD] TheS1LKENAdam(22) => /uyar 11 Caps Off
19:57:24 | [CMD] BoykoXD(6) => /uyar 11 Caps of
19:57:27 | [CMD] BoykoXD(6) => /a .d
19:57:27 | [CMD] TheS1LKENAdam(22) => /a :d
19:57:35 | Hic(20): Ben konvoydayým beler
19:57:36 | [CMD] Strike(TR)(24) => /djler
19:57:37 | [CMD] agareis150(7) => /meslek
19:57:37 | [CMD] Hic(20) => /rescue
19:57:40 | {FFCC00}agareis150(7) {FFFFFF}Polis olarak spawn oldu.
19:57:40 | [CMD] iYasinBey(14) => /a :ASD:Asd
19:57:41 | VIPTRUCKS(8): gaçak geçecedin dimi çakal :D
19:57:41 | [LOCAL][eN]Overlord(19): 3.5m para kastým caným çýktý lag girdi relog attým param 165k oldu
19:57:41 | [CMD] [eN]Overlord(19) => /l 3.5m para kastým caným çýktý lag girdi relog attým param 165k oldu
19:57:42 | [CMD] ArdaBey(10) => /convoy
19:57:42 | [CMD] Hic(20) => /convoy
19:57:45 | [CMD] agareis150(7) => /rescue
19:57:45 | [CMD] cucehamster11(18) => /tamir
19:57:46 | [CMD] BoykoXD(6) => /goto 24
19:57:49 | [CMD] agareis150(7) => /araba
19:57:50 | [CMD] ekmeksevenyiyen(21) => /FPS
19:57:51 | [CMD] ArdaBey(10) => /c dock
19:57:51 | [LOCAL]TheS1LKENAdam(22): :/
19:57:51 | [CMD] TheS1LKENAdam(22) => /l :/
19:57:53 | [CMD] thunder(13) => /kemer
19:57:54 | [CMD] Strike(TR)(24) => /sirket
19:57:54 | [CMD] ubeydo(0) => /work
19:57:55 | iYasinBey(14): kaçak yasakki acýmam uyarýrdým
19:57:56 | [LOCAL]TheS1LKENAdam(22): ss olsaydý keþke
19:57:56 | [CMD] TheS1LKENAdam(22) => /l ss olsaydý keþke
19:57:57 | [LOCAL][eN]Overlord(19): bi tarafmý yýrttým
19:57:57 | [CMD] [eN]Overlord(19) => /L bi tarafmý yýrttým
19:57:58 | [CMD] ekmeksevenyiyen(21) => /FPS
19:57:59 | [CMD] BoykoXD(6) => /rescue
19:57:59 | [LOCAL]Hic(20): Dock damýsýn
19:57:59 | [CMD] Hic(20) => /l Dock damýsýn
19:57:59 | [CMD] Adem32(15) => /araba
19:58:0 | [CMD] Strike(TR)(24) => /sirket
19:58:0 | [CMD] ubeydo(0) => /tamir
19:58:2 | [CMD] cucehamster11(18) => /work
19:58:3 | [LOCAL][eN]Overlord(19): aklýma gelmedi ki paramýn gideceði
19:58:3 | [CMD] [eN]Overlord(19) => /L aklýma gelmedi ki paramýn gideceði
19:58:4 | [CMD] Strike(TR)(24) => /convoy
19:58:6 | [CMD] cucehamster11(18) => /l 
19:58:9 | [LOCAL]TheS1LKENAdam(22): yani haklýsýn
19:58:9 | [CMD] TheS1LKENAdam(22) => /l yani haklýsýn
19:58:12 | ArdaBey(10): thunder katýl konvoya
19:58:12 | [CMD] Fublary3003(9) => /work
19:58:15 | VIPTRUCKS(8): hic goto ol giþeye para verme olm
19:58:16 | Hic(20): Ben ordan arkadan gaz verip havaya uçup beleþe geçicektim
19:58:17 | [LOCAL][eN]Overlord(19): ne yapacaðým þimdi
19:58:17 | [CMD] [eN]Overlord(19) => /L ne yapacaðým þimdi
19:58:17 | [CMD] BoykoXD(6) => /a enes knk
19:58:19 | [CMD] Fublary3003(9) => /kemer
19:58:20 | VIPTRUCKS(8): hic goto ol giþeye para verme olm
19:58:20 | [CMD] BoykoXD(6) => /goto 24
19:58:21 | [CMD] Strike(TR)(24) => /a evet
19:58:24 | [LOCAL]TheS1LKENAdam(22): kanka yapcak biþey yok
19:58:24 | [CMD] TheS1LKENAdam(22) => /l kanka yapcak biþey yok
19:58:25 | [CMD] thunder(13) => /convoy
19:58:26 | Hic(20): Uçacaktým
19:58:27 | Hic(20): olmadý
19:58:28 | [CMD] BoykoXD(6) => /a motor versen ngr
19:58:28 | [LOCAL][eN]Overlord(19): ne demek yok
19:58:28 | [CMD] [eN]Overlord(19) => /L ne demek yok
19:58:30 | [CMD] Hic(20) => /kemer
19:58:31 | VIPTRUCKS(8): :D
19:58:33 | [CMD] Hic(20) => /c dock demi ?
19:58:36 | [CMD] ArdaBey(10) => /c vet
19:58:40 | VIPTRUCKS(8): goto ol
19:58:42 | [CMD] Strike(TR)(24) => /car nrg 0 6
19:58:44 | [CMD] BoykoXD(6) => /a saðol
19:58:47 | [CMD] Hic(20) => /goto 10
19:58:48 | [CMD] BoykoXD(6) => /kemer
19:58:48 | [CMD] [eN]Overlord(19) => /kemer
19:58:48 | [CMD] ubeydo(0) => /work
19:58:49 | buyukustadbitti(11): agareis bnim ev nerde
19:58:50 | [CMD] Strike(TR)(24) => /a öd
19:58:50 | [CMD] iYasinBey(14) => /a arac yaratma kodumz yoh mu bizimö
19:58:52 | [LOCAL]VIPTRUCKS(8): knka chat silsene
19:58:52 | [CMD] VIPTRUCKS(8) => /l knka chat silsene
19:58:53 | [CMD] ubeydo(0) => /work
19:58:55 | [LOCAL][eN]Overlord(19): aga
19:58:55 | [CMD] [eN]Overlord(19) => /l aga
19:58:58 | [CMD] BoykoXD(6) => /a no
19:58:58 | luplup67(23): aga reis bi ev yap hadi ya 
19:58:59 | [LOCAL][eN]Overlord(19): ne yapacam
19:58:59 | [CMD] [eN]Overlord(19) => /L ne yapacam
19:59:1 | [LOCAL]iYasinBey(14): bekle
19:59:1 | [CMD] iYasinBey(14) => /l bekle
19:59:1 | agareis150(7): ls 
19:59:1 | [CMD] BoykoXD(6) => /goto 14
19:59:1 | [LOCAL][eN]Overlord(19): 3.5m
19:59:1 | [CMD] [eN]Overlord(19) => /L 3.5m
19:59:2 | [CMD] buyukustadbitti(11) => /tamir
19:59:4 | [LOCAL][eN]Overlord(19): az deðil
19:59:4 | [CMD] [eN]Overlord(19) => /l az deðil
19:59:6 | Hic(20): Olum kasa yok lo
19:59:9 | [CMD] iYasinBey(14) => /a chat temizliyorum goto filan dediler
19:59:10 | [CMD] BoykoXD(6) => /kemer
19:59:10 | [CMD] Hic(20) => /asay Sunucumuzu Favorilerinize Eklemeyi Unutmayýn... 
19:59:11 | [CMD] Hic(20) => /asay Yeni gelen oyuncularýmýz /kurallar yazýp kabul ettikten sonra 30.000$ ve 5 skor kazanabilirler... 
19:59:11 | [LOCAL]TheS1LKENAdam(22): Söylersin a7 lere
19:59:11 | [CMD] TheS1LKENAdam(22) => /l Söylersin a7 lere
19:59:12 | [LOCAL][eN]Overlord(19): paramýn gideceði aklýmda bile yoktu
19:59:12 | [CMD] [eN]Overlord(19) => /L paramýn gideceði aklýmda bile yoktu
19:59:14 | [CMD] iYasinBey(14) => /dtemizle
19:59:18 | [CMD] iYasinBey(14) => /cc
19:59:21 | [LOCAL][eN]Overlord(19): a7ler birþey yapamaz bence
19:59:21 | [CMD] [eN]Overlord(19) => /L a7ler birþey yapamaz bence
19:59:22 | [CMD] VIPTRUCKS(8) => /uyar 14 chat sil olm :D
19:59:22 | Hic(20): araç res
19:59:26 | agareis150(7): luplup
19:59:28 | [LOCAL][eN]Overlord(19): çünkü ss im yok
19:59:28 | [CMD] [eN]Overlord(19) => /l çünkü ss im yok
19:59:31 | [CMD] VIPTRUCKS(8) => /asay Hile kullananlarý bildirmek için /rapor <id> <sebep> komutunu kullanabilirsiniz.  
19:59:33 | TheS1LKENAdam(22): Araç Res Geliyor
19:59:34 | BoykoXD(6): Arac res geliyor!!!
19:59:34 | [LOCAL][eN]Overlord(19): aklýma gelmedi yani paramýn gideceð falan
19:59:34 | [CMD] [eN]Overlord(19) => /L aklýma gelmedi yani paramýn gideceð falan
19:59:35 | agareis150(7): 3m 500 ev istermisin
19:59:35 | TheS1LKENAdam(22): Araç Res Geliyor
19:59:35 | luplup67(23): iþyerleri kaç m den baþilio
19:59:35 | [CMD] VIPTRUCKS(8) => /asay VIP-Donator-Ýþyeri-Para-Giþe v.b ürünlerimizi satýn almak için www.trucksamp.com/forum 
19:59:37 | cucehamster11(18): dur
19:59:40 | [CMD] TheS1LKENAdam(22) => /a atma
19:59:43 | [CMD] VIPTRUCKS(8) => /asay Rehber & Adminlerimize soru sormak için /sorusor komutunu kullanabilirsiniz. 
19:59:44 | cucehamster11(18): tamam 
19:59:46 | [LOCAL]iYasinBey(14): oanelde neler görüyorum viptrucks beni uyarýyon
19:59:46 | [CMD] iYasinBey(14) => /l oanelde neler görüyorum viptrucks beni uyarýyon
19:59:46 | [CMD] [eN]Overlord(19) => /admins
19:59:48 | TheS1LKENAdam(22): Araç Res Geliyor
19:59:48 | [CMD] Hic(20) => /r knk bundan sonra ikimiz konvoy yapaq ?
19:59:49 | TheS1LKENAdam(22): Araç Res Geliyor
19:59:52 | [CMD] TheS1LKENAdam(22) => /respawncars
19:59:54 | [CMD] Hic(20) => /araba
19:59:54 | [CMD] [eN]Overlord(19) => /pm 24 Selamýn aleyküm
19:59:56 | [LOCAL]VIPTRUCKS(8): :D gör diye yapýyom knka :D
19:59:56 | [CMD] VIPTRUCKS(8) => /l :D gör diye yapýyom knka :D
19:59:57 | [CMD] BoykoXD(6) => /cantazele
19:59:57 | Adnan_Cappone(25) oyuna girdi [IP: 89.146.156.19]
19:59:58 | [CMD] TheS1LKENAdam(22) => /cantazele
19:59:59 | [CMD] luplup67(23) => /sorusor iþ yerleri kaç m den baþlat
20:0:2 | [CMD] BoykoXD(6) => /sorular
20:0:2 | [CMD] VIPTRUCKS(8) => /sorular
20:0:2 | [CMD] Hic(20) => /sorular
20:0:4 | [CMD] TheS1LKENAdam(22) => /r sende
20:0:4 | [CMD] Strike(TR)(24) => /pm 19 Aleyküm Selam
20:0:7 | [CMD] BoykoXD(6) => /sorukabul 23
20:0:7 | [CMD] Hic(20) => /sorukabul 23
20:0:8 | [CMD] [eN]Overlord(19) => /pm oyunda beklenmedik bir durum ile karþýlaþtým
20:0:8 | [CMD] VIPTRUCKS(8) => /sorular
20:0:12 | [CMD] BoykoXD(6) => /ypm Buyrun
20:0:12 | [CMD] ekmeksevenyiyen(21) => /PCC
20:0:12 | [CMD] ubeydo(0) => /work
20:0:15 | TheS1LKENAdam(22): Rehber bey
20:0:15 | [CMD] agareis150(7) => /pm 23 3m 600 e orta ev istermisin
20:0:15 | [CMD] iYasinBey(14) => /sorular
20:0:16 | [CMD] VIPTRUCKS(8) => /r boyko bendeydi olm
20:0:16 | [CMD] [eN]Overlord(19) => /pm 24 oyunda beklenmedik bir durum ile karþýlaþtým
20:0:16 | [CMD] Hic(20) => /r Ben cevaplicaktým ama yha
20:0:17 | [CMD] Strike(TR)(24) => /vipler
20:0:21 | VIPTRUCKS(8): efm
20:0:23 | buyukustadbitti(11): eve nasýl bulabilirim
20:0:24 | Hic(20): ?
20:0:24 | VIPTRUCKS(8): a1 bey
20:0:24 | thunder(13): docksda bi kaç tane dorseyler 1 týr var gitmiyo resleseniz bile
20:0:25 | [CMD] luplup67(23) => /pm 7 isterim
20:0:25 | [CMD] Strike(TR)(24) => /pm 19 nolduki_
20:0:27 | [CMD] .canskld.(28) => /konvoy
20:0:29 | [CMD] .canskld.(28) => /convoy
20:0:30 | [CMD] BoykoXD(6) => /ypm Buyrun 
20:0:31 | [CMD] agareis150(7) => /pm 23 tm bi dk ama
20:0:31 | [CMD] TheS1LKENAdam(22) => /pm 8 Sorularla ilgilen puþt :D
20:0:31 | Hic(20): 13 dur
20:0:33 | [CMD] agareis150(7) => /rescue
20:0:34 | [CMD] Hic(20) => /goto 13
20:0:35 | [CMD] .canskld.(28) => /meslek
20:0:37 | Hic(20): Nerde ?
20:0:38 | [CMD] .canskld.(28) => /meslek
20:0:39 | [CMD] [eN]Overlord(19) => /pm 24 3.5m deðerinde paramý kasmýþtým sonra lag girmiþti relog attýðýmda param 165k olmuþtu
20:0:41 | [CMD] agareis150(7) => /mesçeö
20:0:42 | [CMD] VIPTRUCKS(8) => /pm 22 tam sorukabul yazarken cevaplamaya baþladý :D
20:0:43 | Hic(20): ben alýrým
20:0:43 | [CMD] agareis150(7) => /meslek
20:0:48 | [CMD] TheS1LKENAdam(22) => /pm 8 .dWDQ
20:0:49 | {FFCC00}agareis150(7) Otobus Soforu olarak spawn oldu.
