0:0:4 | [CMD] GeneralRookie(8) => /work
18:45:29 | DeathStroke(20): jsjsjsj
18:45:30 | TEXAST5(15): bu saatte malesef 
18:45:32 | TEXAST5(15): çalýþýyorlar 
18:45:33 | [LOCAL]Selimdemote(6): ben bunu satam sana atam parayý sen bundan al geldimi alýrým bu kamyonu
18:45:33 | [CMD] Selimdemote(6) => /l ben bunu satam sana atam parayý sen bundan al geldimi alýrým bu kamyonu
18:45:34 | Grejuva(16): evi satan senmiydin?
18:45:35 | [LOCAL]Selimdemote(6): ben bunu satam sana atam parayý sen bundan al geldimi alýrým bu kamyonu
18:45:35 | [CMD] Selimdemote(6) => /l ben bunu satam sana atam parayý sen bundan al geldimi alýrým bu kamyonu
18:45:37 | Gezegen(19): evet
18:45:40 | TEXAST5(15): ama sorununz varsa bildirebiliriz 
18:45:41 | AsosyalAlbay(18): Ne Zaman Girerler
18:45:44 | [KGT]Ruhatcan(11): gelmedikmi
18:45:48 | [LOCAL]BoykoXD(12): iþte satýlmýyor
18:45:48 | [CMD] BoykoXD(12) => /l iþte satýlmýyor
18:45:49 | DarkFlow(24): 8 - 9 gibi gel sunucuya
18:45:51 | TEXAST5(15): degiþir 
18:45:51 | [LOCAL]BoykoXD(12): knk
18:45:51 | [CMD] BoykoXD(12) => /l knk
18:45:52 | Grejuva(16): nerde ev  
18:45:59 | [CMD] ozantr12345(22) => /otorenkoff
18:46:3 | [LOCAL]AsosyalAlbay(18): gezegen dayeni bir galeriya gitmiþtik
18:46:3 | [CMD] AsosyalAlbay(18) => /l gezegen dayeni bir galeriya gitmiþtik
18:46:7 | [LOCAL]AsosyalAlbay(18): oraya gotursene
18:46:7 | [CMD] AsosyalAlbay(18) => /l oraya gotursene
18:46:8 | [LOCAL]Gezegen(19): hm
18:46:8 | [CMD] Gezegen(19) => /l hm
18:46:8 | [LOCAL]Selimdemote(6): hayýr ben bunu sisteme satcam parayý sana atacam
18:46:8 | [CMD] Selimdemote(6) => /l hayýr ben bunu sisteme satcam parayý sana atacam
18:46:9 | [LOCAL]BoykoXD(12): a dur tm sen çýk
18:46:9 | [CMD] BoykoXD(12) => /l a dur tm sen çýk
18:46:10 | [CMD] BULDOZER(06)(21) => /pm 15 danger ne zmngirer biliyomsuun
18:46:11 | [CMD] Grejuva(16) => /rescue
18:46:13 | [CMD] [S]eas(7) => /rescue
18:46:13 | [LOCAL]Selimdemote(6): hayýr ben bunu sisteme satcam parayý sana atacam
18:46:13 | [CMD] Selimdemote(6) => /l hayýr ben bunu sisteme satcam parayý sana atacam
18:46:14 | [LOCAL]Gezegen(19): tmm götürüm bi sanie
18:46:14 | [CMD] Gezegen(19) => /l tmm götürüm bi sanie
18:46:15 | [LOCAL]BoykoXD(12): yok ya
18:46:15 | [CMD] BoykoXD(12) => /l yok ya
18:46:16 | [LOCAL][KGT]Ruhatcan(11): boyko aranýyor boykoya ateþ etmek serbest kafasýna bile sýkarýz
18:46:16 | [CMD] [KGT]Ruhatcan(11) => /l boyko aranýyor boykoya ateþ etmek serbest kafasýna bile sýkarýz
18:46:22 | [CMD] Selimdemote(6) => /adminol
18:46:22 | [LOCAL]ozantr12345(22): gebertirizz
18:46:22 | [CMD] ozantr12345(22) => /l gebertirizz
18:46:24 | [LOCAL]BoykoXD(12): knk araclarýmý sattýn alcam bunu
18:46:24 | [CMD] BoykoXD(12) => /l knk araclarýmý sattýn alcam bunu
18:46:29 | [LOCAL][KGT]Ruhatcan(11): ss alamaz
18:46:29 | [CMD] [KGT]Ruhatcan(11) => /l ss alamaz
18:46:30 | [CMD] ozantr12345(22) => /stamir
18:46:31 | [CMD] BULDOZER(06)(21) => /pm 15 danger ne zmn girer biliyomsuun
18:46:32 | [CMD] BoykoXD(12) => /pm 6 bb
18:46:33 | [CMD] TEXAST5(15) => /pm 21 malesef 
18:46:35 | [CMD] DeathStroke(20) => /tamir
18:46:35 | Selimdemote(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
18:46:36 | ozantr12345(22): boykoyu yakalayacaz
18:46:39 | [CMD] DarkFlow(24) => /BB
18:46:39 | [S]eas(7): ev satan varmý
18:46:40 | ozantr12345(22): kafasýna sýkacaz
18:46:41 | [CMD] Grejuva(16) => /cevir
18:46:41 | [CMD] BULDOZER(06)(21) => /pm 15 tm dsol
18:46:42 | [CMD] BoykoXD(12) => /araba
18:46:46 | DeathStroke(20): aracým bugta kaldý bi yardým edin ya
18:46:46 | [KGT]Ruhatcan(11): gebertecez
18:46:46 | [CMD] BULDOZER(06)(21) => /pm 15 tm saol
18:46:49 | ozantr12345(22): hici çaldý
18:46:52 | [ARAC] BoykoXD(12), 399 ID'li Stallion model araci 10800000$'a satin aldi.
18:46:54 | ozantr12345(22): kan davasý
18:46:58 | [CMD] BULDOZER(06)(21) => /araba
18:47:2 | AsosyalAlbay(18): tamam gir
18:47:2 | DeathStroke(20): aracým bugta kaldý bi yardým et admin
18:47:3 | [S]eas(7): ozan gelim bende
18:47:4 | [CMD] [eN]Overlord(9) => /tamir
18:47:6 | ozantr12345(22): gelme
18:47:7 | [S]eas(7): ozan gelim bende rp ye
18:47:7 | [LOCAL]Gezegen(19): bura
18:47:7 | [CMD] Gezegen(19) => /l bura
18:47:8 | [KGT]Ruhatcan(11): boyko ölürse kýz ortada kalýr bu sefer gene birbirimize girecez :D
18:47:10 | ozantr12345(22): gelme
18:47:11 | [LOCAL]Gezegen(19): bura deil ev
18:47:11 | [CMD] Gezegen(19) => /l bura deil ev
18:47:12 | DeathStroke(20): aracým bugta kaldý bi yardým et admin
18:47:13 | [CMD] BULDOZER(06)(21) => /araba
18:47:13 | [S]eas(7): :(
18:47:18 | [CMD] Gezegen(19) => /pm 16 bi sniae götürücem
18:47:20 | ozantr12345(22): gelirsen sanada sýkarýz
18:47:24 | [CMD] Grejuva(16) => /pm 19 ok
18:47:24 | [CMD] [S]eas(7) => /tamir
18:47:26 | [KGT]Ruhatcan(11): :D
18:47:28 | [CMD] Gezegen(19) => /pm 16 gel
18:47:30 | [CMD] BoykoXD(12) => /gobus
18:47:32 | [S]eas(7): silah nerden alýyoz
18:47:34 | [CMD] BoykoXD(12) => /goreviptal
18:47:37 | [CMD] BoykoXD(12) => /gobus
18:47:39 | [KGT]Ruhatcan(11):  /deagle
18:47:41 | [CMD] ozantr12345(22) => /yerbul 12
18:47:43 | [CMD] AsosyalAlbay(18) => /deagle
18:47:44 | [CMD] BoykoXD(12) => /icerigir
18:47:44 | BULDOZER(06)(21): su radyoda calmasýný istedimiz müzikleri hangi dosyadan siliyoduk
18:47:45 | DeathStroke(20): Bu Adminlerin Hiçbiri Neden Bakmýyor?
18:47:47 | [CMD] DeathStroke(20) => /deagle
18:47:47 | [CMD] [KGT]Ruhatcan(11) => /deagle
18:47:48 | [CMD] [S]eas(7) => /deagle
18:47:48 | [CMD] BoykoXD(12) => /isyerimenu
18:47:49 | BULDOZER(06)(21): su radyoda calmasýný istedimiz müzikleri hangi dosyadan siliyoduk!
18:47:53 | [CMD] [S]eas(7) => /deagle
18:47:54 | [KGT]Ruhatcan(11): aa öyle bi komut yokmuydu
18:47:56 | DeathStroke(20): Bu Adminlerin Hiçbiri Neden Bakmýyor?
18:48:0 | [CMD] [eN]Overlord(9) => /tamir
18:48:7 | [CMD] [S]eas(7) => /tamir
18:48:10 | AsosyalAlbay(18): Adminler A7 Lerdne 1 ine Ulaþma Ýmkanýnýz Varmý?
18:48:11 | ozantr12345(22):  /tabanca var herhalde.
18:48:12 | [LOCAL][eN]Overlord(9): ne yapalým
18:48:12 | [CMD] [eN]Overlord(9) => /l ne yapalým
18:48:13 | [CMD] [eN]Overlord(9) => /tabanca
18:48:14 | [CMD] DeathStroke(20) => /admins
18:48:14 | [CMD] AsosyalAlbay(18) => /tabanca
18:48:15 | [CMD] BoykoXD(12) => /gobus
18:48:16 | [CMD] [KGT]Ruhatcan(11) => /tabanca
18:48:18 | [KGT]Ruhatcan(11): oda yoh :D
18:48:19 | [CMD] DeathStroke(20) => /tabanca
18:48:19 | [CMD] Gezegen(19) => /pm 16 þirkete katýlmak istermisin ?
18:48:19 | [CMD] TEXAST5(15) => /musait 
18:48:22 | [CMD] BoykoXD(12) => /icerigr
18:48:23 | [CMD] BoykoXD(12) => /icerigir
18:48:24 | [CMD] Lolery71(23) => /work
18:48:25 | [LOCAL]SpecialForces(14): az bkle
18:48:25 | [CMD] SpecialForces(14) => /l az bkle
18:48:25 | [CMD] ozantr12345(22) => /degle
18:48:27 | [CMD] BoykoXD(12) => /isyerimenu
18:48:28 | [CMD] ozantr12345(22) => /deagle
18:48:29 | [CMD] DeathStroke(20) => /admins
18:48:30 | [CMD] ozantr12345(22) => /deagle
18:48:31 | [CMD] [KGT]Ruhatcan(11) => /animlist
18:48:33 | [CMD] ozantr12345(22) => /tabanca
18:48:34 | [CMD] Gezegen(19) => /sirket
18:48:34 | [CMD] DeathStroke(20) => /pm 12 aga baksana
18:48:35 | [CMD] Grejuva(16) => /pm 19 þirket ne
18:48:36 | [LOCAL]ozantr12345(22): yoðmuþ la
18:48:36 | [CMD] ozantr12345(22) => /l yoðmuþ la
18:48:37 | [SirketCHT] DarkFlow(24): ! nasýlsýn 
18:48:39 | [CMD] BoykoXD(12) => /goto 20
18:48:41 | [CMD] Gezegen(19) => /pm 16 BOZOK 
18:48:42 | [CMD] DarkFlow(24) => /meslek
18:48:43 | [CMD] [KGT]Ruhatcan(11) => /sarjor
18:48:43 | [CMD] oktayacar(0) => /rehberler
18:48:43 | [CMD] Lolery71(23) => /asiriyuk
18:48:44 | [CMD] BoykoXD(12) => /goto 20
18:48:45 | DarkFlow(24) Pizzaci olarak spawn oldu.
18:48:46 | [CMD] [KGT]Ruhatcan(11) => /sarjor deagle
18:48:46 | [LOCAL]DeathStroke(20): þu karavan duvara takýldý
18:48:46 | [CMD] DeathStroke(20) => /l þu karavan duvara takýldý
18:48:48 | [CMD] [KGT]Ruhatcan(11) => /sarjor deagle
18:48:49 | [CMD] DarkFlow(24) => /rescue
18:48:51 | [CMD] Gezegen(19) => /uyeal 16
18:48:51 | [LOCAL]DeathStroke(20): y basýnca ters takla atýyor
18:48:51 | [CMD] DeathStroke(20) => /l y basýnca ters takla atýyor
18:48:59 | [CMD] [S]eas(7) => /tamir
18:49:7 | [CMD] TEXAST5(15) => /adminol 
18:49:9 | [CMD] TEXAST5(15) => /Bb 
18:49:10 | [LOCAL][KGT]Ruhatcan(11): bu aracýn önüne kuru kafayý nasýl taktýn
18:49:10 | [CMD] [KGT]Ruhatcan(11) => /l bu aracýn önüne kuru kafayý nasýl taktýn
18:49:11 | [LOCAL]Gezegen(19): Fiyatý Ýndirirz 
18:49:11 | [CMD] Gezegen(19) => /l Fiyatý Ýndirirz 
18:49:11 | [LOCAL]DeathStroke(20): heh tamam geldi
18:49:11 | [CMD] DeathStroke(20) => /l heh tamam geldi
18:49:14 | [LOCAL]BoykoXD(12): ok
18:49:14 | [CMD] BoykoXD(12) => /l ok
18:49:16 | [CMD] DarkFlow(24) => /bb
18:49:16 | [LOCAL]DeathStroke(20): demin gelmeþti
18:49:16 | [CMD] DeathStroke(20) => /l demin gelmeþti
18:49:17 | [LOCAL]ozantr12345(22): çaldým la aracý
18:49:17 | [CMD] ozantr12345(22) => /l çaldým la aracý
18:49:18 | [LOCAL]Gezegen(19): 200k falan
18:49:18 | [CMD] Gezegen(19) => /l 200k falan
18:49:21 | [CMD] Lolery71(23) => /gg
18:49:21 | TEXAST5(15) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
18:49:21 | [ANTIHACK] Þüpheli ozantr12345(22) => Airbreak-hack
18:49:22 | oguzbey(6) oyuna girdi [IP: 178.170.158.226]
18:49:22 | [LOCAL]DeathStroke(20): neyse saol tþk
18:49:22 | [CMD] DeathStroke(20) => /l neyse saol tþk
18:49:24 | [LOCAL]BoykoXD(12): ok iyi oyunlar
18:49:24 | [CMD] BoykoXD(12) => /l ok iyi oyunlar
18:49:25 | [CMD] DeathStroke(20) => /tamir
18:49:25 | [LOCAL][KGT]Ruhatcan(11): kimden
18:49:25 | [CMD] [KGT]Ruhatcan(11) => /l kimden
18:49:25 | [CMD] Lolery71(23) => /tamir
18:49:27 | [LOCAL]DeathStroke(20): atlasana
18:49:27 | [CMD] DeathStroke(20) => /l atlasana
18:49:27 | [LOCAL]BoykoXD(12): rica
18:49:27 | [CMD] BoykoXD(12) => /l rica
18:49:31 | [LOCAL]DeathStroke(20): pikniðe gidiyom
18:49:31 | [CMD] DeathStroke(20) => /l pikniðe gidiyom
18:49:32 | [LOCAL]ozantr12345(22): yoldaydý boþdtu la
18:49:32 | [CMD] ozantr12345(22) => /l yoldaydý boþdtu la
18:49:34 | [LOCAL]Gezegen(19): bak arakda adamlar 5m ve 10m ye satýyorlar
18:49:34 | [CMD] Gezegen(19) => /l bak arakda adamlar 5m ve 10m ye satýyorlar
18:49:35 | [LOCAL]Grejuva(16): baþka evin varmý  
18:49:35 | [CMD] Grejuva(16) => /l baþka evin varmý  
18:49:35 | [LOCAL][KGT]Ruhatcan(11): :D
18:49:35 | [CMD] [KGT]Ruhatcan(11) => /l :D
18:49:36 | [LOCAL]Gezegen(19): ben 2m
18:49:36 | [CMD] Gezegen(19) => /l ben 2m
18:49:39 | [LOCAL]ozantr12345(22): aldým bende
18:49:39 | [CMD] ozantr12345(22) => /l aldým bende
18:49:42 | [LOCAL]BoykoXD(12): rica etcem bni gaelriye getirim misin
18:49:42 | [CMD] BoykoXD(12) => /l rica etcem bni gaelriye getirim misin
18:49:49 | [LOCAL]DeathStroke(20): hangisiw
18:49:49 | [CMD] DeathStroke(20) => /l hangisiw
18:49:49 | [CMD] BULDOZER(06)(21) => /adminol
18:49:49 | 
18:49:50 | [CMD] BULDOZER(06)(21) => /adminol
18:49:52 | [CMD] DarkFlow(24) => /geldim
18:49:52 | [LOCAL]BoykoXD(12): ls
18:49:52 | [CMD] BoykoXD(12) => /l ls
18:49:54 | ozantr12345(22): sea
18:49:54 | [CMD] [KGT]Ruhatcan(11) => /gg
18:49:55 | ozantr12345(22): seas
18:49:56 | [CMD] [KGT]Ruhatcan(11) => /bb
18:49:56 | [LOCAL]DeathStroke(20): tm
18:49:56 | [CMD] DeathStroke(20) => /l tm
18:49:56 | [CMD] BoykoXD(12) => /dtemizle
18:49:57 | [CMD] ozantr12345(22) => /stamir
18:49:57 | [CMD] BoykoXD(12) => /cantazele
18:49:59 | [S]eas(7): he
18:49:59 | [CMD] DarkFlow(24) => /work
18:50:0 | [CMD] BoykoXD(12) => /kemer
18:50:3 | ozantr12345(22): sf gel
18:50:3 | [CMD] Grejuva(16) => /gg
18:50:4 | [LOCAL]BoykoXD(12): tþk knk
18:50:4 | [CMD] BoykoXD(12) => /l tþk knk
18:50:4 | [LOCAL]DeathStroke(20): o nerdeydi la
18:50:4 | [CMD] DeathStroke(20) => /l o nerdeydi la
18:50:5 | BULDOZER(06)(21) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
18:50:6 | [CMD] DeathStroke(20) => /kemer
18:50:8 | [CMD] DeathStroke(20) => /kemer
18:50:9 | [LOCAL]BoykoXD(12): ver bana
18:50:9 | [CMD] BoykoXD(12) => /l ver bana
18:50:9 | [CMD] [S]eas(7) => /rescue
18:50:15 | [LOCAL]ozantr12345(22): buraya gel
18:50:15 | [CMD] ozantr12345(22) => /l buraya gel
18:50:16 | [LOCAL]ozantr12345(22): buraya gel
18:50:16 | [CMD] ozantr12345(22) => /l buraya gel
18:50:17 | [CMD] DeathStroke(20) => /tamir
18:50:22 | [LOCAL]Grejuva(16): 1 den fazla ev alabiliyozmmu
18:50:22 | [CMD] Grejuva(16) => /l 1 den fazla ev alabiliyozmmu
18:50:25 | [CMD] BoykoXD(12) => /kemer
18:50:26 | [LOCAL]ozantr12345(22): eller havaya
18:50:26 | [CMD] ozantr12345(22) => /l eller havaya
18:50:27 | [CMD] BoykoXD(12) => /kemer
18:50:28 | [LOCAL]Gezegen(19): TABÝKÝ
18:50:28 | [CMD] Gezegen(19) => /l TABÝKÝ
18:50:29 | [CMD] DarkFlow(24) => /work
18:50:32 | [LOCAL]Gezegen(19): sýnýr 3
18:50:32 | [CMD] Gezegen(19) => /L sýnýr 3
18:50:32 | [LOCAL][KGT]Ruhatcan(11): tm serverine darbe yapýyoz
18:50:32 | [CMD] [KGT]Ruhatcan(11) => /l tm serverine darbe yapýyoz
18:50:35 | [CMD] ozantr12345(22) => /ellerhavaya
18:50:37 | BULDOZER(06)(15) oyuna girdi [IP: 88.255.151.58]
18:50:37 | ozantr12345(22): f
18:50:38 | [LOCAL]DeathStroke(20): karavnda ne yazýyo bak
18:50:38 | [CMD] DeathStroke(20) => /l karavnda ne yazýyo bak
18:50:43 | oguzbey(6) Yol Iscisi olarak spawn oldu.
18:50:44 | [LOCAL]SpecialForces(14): heh þimdi gelelim sana :D
18:50:44 | [CMD] SpecialForces(14) => /l heh þimdi gelelim sana :D
18:50:52 | [LOCAL]BoykoXD(12): knk bu sirketin
18:50:52 | [CMD] BoykoXD(12) => /l knk bu sirketin
18:50:55 | [CMD] [eN]Overlord(9) => /tamir
18:50:57 | [LOCAL]DeathStroke(20): ayn
18:50:57 | [CMD] DeathStroke(20) => /l ayn
18:50:58 | [LOCAL][eN]Overlord(9): oh
18:50:58 | [CMD] [eN]Overlord(9) => /l oh
18:51:2 | 
18:51:2 | [LOCAL]BoykoXD(12): tmnsern sür
18:51:2 | [CMD] BoykoXD(12) => /l tmnsern sür
18:51:2 | [CMD] DarkFlow(24) => /work
18:51:4 | BULDOZER(06)(15) Mafya olarak spawn oldu.
18:51:6 | [CMD] BULDOZER(06)(15) => /sa
18:51:7 | [LOCAL]Grejuva(16): ne kadar indirirsin
18:51:7 | [CMD] Grejuva(16) => /l ne kadar indirirsin
18:51:8 | Grejuva(16): as
18:51:9 | [CMD] [eN]Overlord(9) => /as
18:51:10 | [LOCAL]SpecialForces(14): bu arac kaç  m ye satabiliyorsun
18:51:10 | [CMD] SpecialForces(14) => /l bu arac kaç  m ye satabiliyorsun
18:51:10 | [CMD] Grejuva(16) => /as
18:51:10 | [KGT]Ruhatcan [S]eas'i öldürdü. Oldurme Sekli: 24
18:51:11 | [LOCAL]DeathStroke(20): ok
18:51:11 | [CMD] DeathStroke(20) => /l ok
18:51:12 | [LOCAL]BoykoXD(12): bn  tarýf etcem
18:51:12 | [CMD] BoykoXD(12) => /l bn  tarýf etcem
18:51:12 | Furkangz(21) oyuna girdi [IP: 78.182.139.61]
18:51:14 | {FFCC00}[S]eas(7) Otobus Soforu olarak spawn oldu.
18:51:14 | [CMD] BULDOZER(06)(15) => /ogorev 23
18:51:15 | [S]eas(7): yav tm
18:51:18 | ozantr12345(22): düzgün dur seas
18:51:19 | [S]eas(7): yav tm öldürme
18:51:20 | [LOCAL]Gezegen(19): arkada adamlar 5 m 10m satýyorlar
18:51:20 | [CMD] Gezegen(19) => /l arkada adamlar 5 m 10m satýyorlar
18:51:20 | [LOCAL]DeathStroke(20): gitmiyor bu
18:51:20 | [CMD] DeathStroke(20) => /l gitmiyor bu
18:51:22 | 
18:51:22 | [LOCAL][eN]Overlord(9): 14m
18:51:22 | [CMD] [eN]Overlord(9) => /l 14m
18:51:24 | [CMD] [S]eas(7) => /rescue
18:51:24 | oguzbey(6): slm
18:51:25 | TheFlash02(25): admin hýrsýz meslegi eklenicekmi :D
18:51:26 | ahmut(27) oyuna girdi [IP: 78.175.178.103]
18:51:26 | [LOCAL][eN]Overlord(9): 14m400k
18:51:26 | [CMD] [eN]Overlord(9) => /l 14m400k
18:51:27 | [CMD] BULDOZER(06)(15) => /rescue
18:51:27 | [CMD] BoykoXD(12) => /kemer
18:51:27 | [LOCAL]SpecialForces(14): diðerleri
18:51:27 | [CMD] SpecialForces(14) => /l diðerleri
18:51:28 | {FFCC00}Furkangz(21) {FFFFFF}Kamyoncu olarak spawn oldu.
18:51:28 | ozantr12345(22): sf gel gel /ellerhavaya yaz
18:51:29 | [LOCAL]Gezegen(19): en fazla 100k 
18:51:29 | [CMD] Gezegen(19) => /l en fazla 100k 
18:51:32 | [LOCAL]BoykoXD(12): dümdüz
18:51:32 | [CMD] BoykoXD(12) => /l dümdüz
18:51:32 | [CMD] Furkangz(21) => /admgiris
18:51:33 | [LOCAL]DeathStroke(20): tm devam
18:51:33 | [CMD] DeathStroke(20) => /l tm devam
18:51:34 | [LOCAL][eN]Overlord(9): zr350 36m
18:51:34 | [CMD] [eN]Overlord(9) => /l zr350 36m
18:51:35 | [CMD] [S]eas(7) => /ellerhavaya
18:51:37 | [CMD] DarkFlow(24) => /work
18:51:38 | [CMD] DeathStroke(20) => /kemer
18:51:39 | [CMD] BULDOZER(06)(15) => /ellerhava
18:51:41 | [CMD] BULDOZER(06)(15) => /ellerhavaya
18:51:44 | [LOCAL]ozantr12345(22): otobüse bincez
18:51:44 | [CMD] ozantr12345(22) => /l otobüse bincez
18:51:45 | [CMD] BULDOZER(06)(15) => /animkapat
18:51:46 | [CMD] KorkusuzKorkak(17) => /kemer
18:51:49 | [CMD] [S]eas(7) => /ellerhavaya
18:51:50 | [CMD] Furkangz(21) => /sa
18:51:52 | [CMD] KorkusuzKorkak(17) => /as
18:51:53 | [CMD] Gezegen(19) => /as
18:51:53 | [CMD] DeathStroke(20) => /as
18:51:55 | [CMD] ozantr12345(22) => /as
18:51:56 | [CMD] TheFlash02(25) => /vtamir
18:51:58 | [CMD] [S]eas(7) => /animkapat
18:51:58 | [LOCAL]SpecialForces(14): hmm
18:51:58 | [CMD] SpecialForces(14) => /l hmm
18:51:58 | [CMD] TheFlash02(25) => /tamir
18:51:58 | [CMD] ozantr12345(22) => /araba
18:52:1 | [LOCAL][eN]Overlord(9): Satýþlar: ZR350: 36M Sentinel 14M400K Wayfarer: 18M
18:52:1 | [CMD] [eN]Overlord(9) => /l Satýþlar: ZR350: 36M Sentinel 14M400K Wayfarer: 18M
18:52:2 | [LOCAL]Grejuva(16): kardeþ bana biraz zaman ver düþüneyim aklýma yatarsa rahatsýz ederim seni
18:52:2 | [CMD] Grejuva(16) => /l kardeþ bana biraz zaman ver düþüneyim aklýma yatarsa rahatsýz ederim seni
18:52:2 | [CMD] Furkangz(21) => /admins
18:52:2 | [CMD] BULDOZER(06)(15) => /akilitle
18:52:5 | 
18:52:6 | [LOCAL]Grejuva(16): sorun olurmu
18:52:6 | [CMD] Grejuva(16) => /l sorun olurmu
18:52:6 | [LOCAL]ozantr12345(22): dur
18:52:6 | [CMD] ozantr12345(22) => /l dur
18:52:7 | [LOCAL][KGT]Ruhatcan(11): seas f7 bas chatý kapat f8 le ss al beni sana niþan alýrken faceden atarsýn bana
18:52:7 | [CMD] [KGT]Ruhatcan(11) => /l seas f7 bas chatý kapat f8 le ss al beni sana niþan alýrken faceden atarsýn bana
18:52:7 | [LOCAL]Gezegen(19): tmm 
18:52:7 | [CMD] Gezegen(19) => /l tmm 
18:52:8 | [CMD] [eN]Overlord(9) => /Kemer
18:52:8 | [LOCAL][KGT]Ruhatcan(11): seas f7 bas chatý kapat f8 le ss al beni sana niþan alýrken faceden atarsýn bana
18:52:8 | [CMD] [KGT]Ruhatcan(11) => /l seas f7 bas chatý kapat f8 le ss al beni sana niþan alýrken faceden atarsýn bana
18:52:9 | [CMD] DarkFlow(24) => /hg
18:52:9 | [LOCAL]Gezegen(19): yok 
18:52:9 | [CMD] Gezegen(19) => /l yok 
18:52:11 | [CMD] Furkangz(21) => /asay VÝP-ÞÝRKET-GÝÞE-VB. þeyler Almak mý istiyorsun? www.facebook.com/trucksamp/ girerek alabilirsin.   
18:52:11 | [LOCAL]Gezegen(19): eyw
18:52:11 | [CMD] Gezegen(19) => /l eyw
18:52:11 | {FFCC00}ahmut(27) {FFFFFF}Pilot olarak spawn oldu.
18:52:14 | Furkangz(21): HOþbuldum
18:52:15 | [CMD] Furkangz(21) => /gohome
18:52:17 | [CMD] ozantr12345(22) => /araba
18:52:20 | [LOCAL]Grejuva(16): kolay gelsin sana
18:52:20 | [CMD] Grejuva(16) => /l kolay gelsin sana
18:52:20 | [CMD] [S]eas(7) => /ellerhavaya
18:52:22 | [CMD] Furkangz(21) => /gohome
18:52:22 | [CMD] ahmut(27) => /meslek
18:52:22 | [CMD] BULDOZER(06)(15) => /bul 23
18:52:24 | [LOCAL]Gezegen(19): iyi günler
18:52:24 | [CMD] Gezegen(19) => /l iyi günler
18:52:25 | [CMD] DarkFlow(24) => /hg
18:52:27 | [LOCAL]DeathStroke(20): doðrumu?
18:52:27 | [CMD] DeathStroke(20) => /l doðrumu?
18:52:28 | [LOCAL]BoykoXD(12): fgeri
18:52:28 | [CMD] BoykoXD(12) => /l fgeri
18:52:28 | [CMD] DarkFlow(24) => /work
18:52:28 | [CMD] BULDOZER(06)(15) => /hg
18:52:29 | [CMD] [S]eas(7) => /ellerhavaya
18:52:31 | [CMD] [S]eas(7) => /ellerhavaya
18:52:34 | [LOCAL]BoykoXD(12): þag
18:52:34 | [CMD] BoykoXD(12) => /l þag
18:52:37 | [LOCAL]DeathStroke(20): dur ilerden döneyim
18:52:37 | [CMD] DeathStroke(20) => /l dur ilerden döneyim
18:52:38 | [S]eas(7): aldým
18:52:41 | [CMD] Grejuva(16) => /rescue
18:52:44 | Gezegen(19): Ruhat Skoru Bol Buldu Herhalde
18:52:46 | [CMD] ahmut(27) => /rescue
18:52:46 | [CMD] Furkangz(21) => /goto [KGT
18:52:47 | ozantr12345(22): arkaya otur la
18:52:50 | [LOCAL][eN]Overlord(9): ne yapacaz
18:52:50 | [CMD] [eN]Overlord(9) => /L ne yapacaz
18:52:53 | Lolery71(23): korkusuzkorkak konvoy nerde
18:52:55 | [LOCAL]DeathStroke(20): böle oluyo iþte
18:52:55 | [CMD] DeathStroke(20) => /l böle oluyo iþte
18:52:57 | [CMD] Grejuva(16) => /kemer
18:52:57 | [CMD] DarkFlow(24) => /work
18:52:57 | [LOCAL]SpecialForces(14): toplam 68 m oluyo sende
18:52:57 | [CMD] SpecialForces(14) => /l toplam 68 m oluyo sende
18:52:57 | [CMD] TheFlash02(25) => /profil
18:52:58 | ozantr12345(22): seas esir alýndý
18:52:59 | [CMD] KorkusuzKorkak(17) => /convoyiptal
18:52:59 | [LOCAL]Furkangz(21): napýonsun sen
18:52:59 | [CMD] Furkangz(21) => /l napýonsun sen
18:53:4 | [LOCAL]Furkangz(21): sucsuza sýkma
18:53:4 | [CMD] Furkangz(21) => /l sucsuza sýkma
18:53:4 | [LOCAL][KGT]Ruhatcan(11): napýyorum ben
18:53:4 | [CMD] [KGT]Ruhatcan(11) => /l napýyorum ben
18:53:5 | [LOCAL]SpecialForces(14): hepsini satarsan
18:53:5 | [CMD] SpecialForces(14) => /l hepsini satarsan
18:53:9 | [CMD] Furkangz(21) => /fly
18:53:9 | [LOCAL][eN]Overlord(9): bende þöyle bir düþünce var
18:53:9 | [CMD] [eN]Overlord(9) => /l bende þöyle bir düþünce var
18:53:10 | [LOCAL]BoykoXD(12): kb ya
18:53:10 | [CMD] BoykoXD(12) => /l kb ya
18:53:14 | [LOCAL]DeathStroke(20): res at yoksa gelmiyo
18:53:14 | [CMD] DeathStroke(20) => /l res at yoksa gelmiyo
18:53:14 | [CMD] Gezegen(19) => /cevir
18:53:16 | [CMD] Furkangz(21) => /asilah
18:53:17 | [CMD] ozantr12345(22) => /stamir
18:53:17 | [LOCAL]BoykoXD(12): bnmi sucum
18:53:17 | [CMD] BoykoXD(12) => /l bnmi sucum
18:53:20 | [CMD] KorkusuzKorkak(17) => /convoy
18:53:20 | [CMD] ozantr12345(22) => /araba
18:53:23 | [LOCAL]DeathStroke(20): la yok siktir et
