0:0:5 | [CMD] Freezer3543(6) => /tamir
20:15:4 | Muya(12): öyle duydum testere :D
20:15:10 | Muya(12): atimmi bi shamal kafaya
20:15:11 | [CMD] MaMiklc13(8) => /work
20:15:14 | [CMD] Kronax(7) => /work
20:15:15 | testere151(15): gel gel süprüzüm var sana QW:E
20:15:16 | [CMD] ScrappeR(6) => /kemer
20:15:18 | [CMD] ScrappeR(6) => /fps
20:15:19 | [CMD] CcCAtakan1907(11) => /goto 20
20:15:19 | [LOCAL]Gezegen(9): atlýyomuyuz bende paraþut var sende varmý olcen buyuk ihtimal D
20:15:19 | [CMD] Gezegen(9) => /l atlýyomuyuz bende paraþut var sende varmý olcen buyuk ihtimal D
20:15:21 | [CMD] Muya(12) => /yerbul 15
20:15:23 | [CMD] testere151(15) => /asailah
20:15:24 | Muya(12): geliyem
20:15:24 | [CMD] ScrappeR(6) => /fps
20:15:26 | [CMD] Lolery71(16) => /meslek
20:15:27 | [CMD] testere151(15) => /asilah
20:15:28 | [LOCAL]ScrappeR(6): asdsa atlayak
20:15:28 | [CMD] ScrappeR(6) => /l asdsa atlayak
20:15:30 | 
20:15:33 | {FFCC00}Lolery71(16) {FFFFFF}Kamyoncu olarak spawn oldu.
20:15:35 | [CMD] testere151(15) => /giveweapon 15 mini 1000000
20:15:35 | CcCAtakan1907(11) oyundan cIktI (Hata/Crash) (IP: 78.190.162.193)
20:15:37 | {FFCC00}ASLANBEY(10) {FFFFFF}Kamyoncu olarak spawn oldu.
20:15:37 | [CMD] Muya(12) => /yerbul 15
20:15:37 | [CMD] Gezegen(9) => /kemer
20:15:38 | [ANTIHACK] Þüpheli ScrappeR(6) => Hiz-Hilesi
20:15:38 | [ANTIHACK] Þüpheli Gezegen(9) => Hiz-Hilesi
20:15:42 | Lolery71(16): harbour convoy yapacak varmý
20:15:44 | [CMD] Gezegen(9) => /tamir
20:15:46 | [LOCAL]ScrappeR(6): olmedik :d
20:15:46 | [CMD] ScrappeR(6) => /l olmedik :d
20:15:51 | DangerTr07(20): oha
20:15:54 | DangerTr07(20): deprem oldu 
20:16:1 | DangerTr07(20): antalya salandi 
20:16:5 | testere151(15): :QWE
20:16:7 | Lolery71(16): geçmiþ olsun danger
20:16:10 | testere151(15): g.o
20:16:11 | [CMD] ASLANBEY(10) => /sa
20:16:12 | Muya(12): suriyeye bomba atmýslardýr :D
20:16:12 | [LOCAL]Gezegen(9): al sen sur 
20:16:12 | [CMD] Gezegen(9) => /l al sen sur 
20:16:13 | [CMD] testere151(15) => /as
20:16:13 | DangerTr07(20): saolun qnq 
20:16:14 | [CMD] Gezegen(9) => /arana
20:16:14 | [CMD] ScrappeR(6) => /as
20:16:16 | Muya(12): suriyeye bomba atmýslardýr :D
20:16:20 | [CMD] Lolery71(16) => /kemer
20:16:24 | [CMD] ScrappeR(6) => /kemer
20:16:24 | [CMD] DarkFlow(0) => /as
20:16:25 | [CMD] ScrappeR(6) => /tamir
20:16:27 | [SirketCHT] DarkFlow(0): ! hg
20:16:36 | [CMD] Lolery71(16) => /sirketdorse
20:16:38 | [SirketCHT] ASLANBEY(10): !hb
20:16:51 | [SirketCHT] DarkFlow(0): ! nbr 
20:16:59 | testere151(15): ee nerdesin seni bekliyorum 
20:17:0 | [CMD] Muya(12) => /tamir
20:17:7 | [SirketCHT] ASLANBEY(10): !iyidir sende
20:17:7 | [CMD] Gezegen(9) => /pm 6 ben radara giriyim sen beni yakala olurmu ?  
20:17:16 | Muya(12): yanýna incem simdi
20:17:21 | [CMD] ASLANBEY(10) => /sirketdorse
20:17:24 | [SirketCHT] DarkFlow(0): ! iyidir yuvarlanýp gidiyoz 
20:17:25 | [CMD] ScrappeR(6) => /pm 9 oyle ban felan yermýyýz
20:17:25 | [SirketCHT] DarkFlow(0): ! :D
20:17:34 | [CMD] Gezegen(9) => /pm 6 ne biliyim ben
20:17:39 | [SirketCHT] ASLANBEY(10): !benim sýnavlar bitti rahatladým
20:17:42 | [SirketCHT] ASLANBEY(10): !;:D
20:17:45 | [SirketCHT] DarkFlow(0): ! :D
20:17:45 | [CMD] Gezegen(9) => /pm 6 ban ne alaka :D
20:17:54 | [CMD] ScrappeR(6) => /pm 9 :D tm o zaman olur
20:18:6 | [eN]Overlord(11) oyuna girdi [IP: 178.245.47.147]
20:18:6 | [CMD] HeRquL(14) => /asay Betül Demir - Meþgul  adlý þarký eklendi..!! 
20:18:7 | [CMD] HeRquL(14) => /asay Betül Demir - Meþgul  adlý þarký eklendi..!!  
20:18:10 | [CMD] testere151(15) => /god
20:18:11 | [CMD] testere151(15) => /god
20:18:13 | Muya(12): 1dk afk
20:18:14 | [CMD] testere151(15) => /admins
20:18:15 | [LOCAL]Gezegen(9): ama yakalayabilirsen 
20:18:15 | [CMD] Gezegen(9) => /l ama yakalayabilirsen 
20:18:21 | [LOCAL]Gezegen(9): yani ben sana direkman vermicem
20:18:21 | [CMD] Gezegen(9) => /l yani ben sana direkman vermicem
20:18:24 | 
20:18:24 | [LOCAL]Gezegen(9): sen beni yakala oyle
20:18:24 | [CMD] Gezegen(9) => /l sen beni yakala oyle
20:18:25 | [LOCAL]ScrappeR(6): tm
20:18:25 | [CMD] ScrappeR(6) => /l tm
20:18:25 | [CMD] DarkFlow(0) => /tamir
20:18:28 | [LOCAL]Gezegen(9): kaçýcam
20:18:28 | [CMD] Gezegen(9) => /l kaçýcam
20:18:28 | {FFCC00}[eN]Overlord(11) {FFFFFF}Kamyoncu olarak spawn oldu.
20:18:28 | [CMD] DarkFlow(0) => /afk
20:18:32 | [eN]Overlord(11): dün kantinden
20:18:33 | [LOCAL]Gezegen(9): lv gel
20:18:33 | [CMD] Gezegen(9) => /l lv gel
20:18:34 | [eN]Overlord(11): didi alcaktým
20:18:36 | DangerTr07(20): ödüm koptu la
20:18:36 | [CMD] Gezegen(9) => /meslek
20:18:37 | [eN]Overlord(11): hoca
20:18:38 | [CMD] ScrappeR(6) => /rescue
20:18:40 | Gezegen(9) Mafya olarak spawn oldu.
20:18:40 | [eN]Overlord(11): köz getir kardeþim hýzlý dedi
20:18:42 | [CMD] Gezegen(9) => /araba
20:18:47 | [eN]Overlord(11): kantinci nabýcaðýný þaþýrdý
20:18:51 | [CMD] [eN]Overlord(11) => /sirket
20:18:56 | [eN]Overlord(11): 100 kerçek
20:18:57 | DangerTr07(20): antalya sokaða döküldü deprem sonrasi. 
20:18:58 | Muya(12): danger
20:19:0 | [CMD] testere151(15) => /setskin 15 10
20:19:1 | DangerTr07(20): ? 
20:19:1 | [CMD] ScrappeR(6) => /modifiye
20:19:1 | [CMD] [eN]Overlord(11) => /sirketdorse
20:19:4 | Muya(12): beni dogramaya calýsiyler
20:19:8 | [eN]Overlord(11): danger gemiþ olsun
20:19:8 | [SirketCHT] ASLANBEY(10): !dark araç res yapma ha :d
20:19:12 | Kronax(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
20:19:12 | DangerTr07(20): saolun kanka 
20:19:17 | [CMD] HeRquL(14) => /a valla mý
20:19:18 | Muya(12): geçirenler sagolsun
20:19:21 | [CMD] [eN]Overlord(11) => /kemer
20:19:23 | [CMD] DangerTr07(20) => /A evet kanka cok salandi 
20:19:24 | [CMD] [eN]Overlord(11) => /modifiye
20:19:28 | [CMD] DangerTr07(20) => /A bina kütür kütür etti la 
20:19:39 | [CMD] DangerTr07(20) => /A yýkýlcak sandým bi an
20:19:40 | [CMD] HeRquL(14) => /a sen hala oynuyon pc baþýnda gebrcen mk
20:19:43 | Muya(12): danger en fazla ölürsün bisi olmaz :D
20:19:44 | [CMD] [eN]Overlord(11) => /modifiye
20:19:47 | [CMD] DarkFlow(0) => /geldim
20:19:49 | [eN]Overlord(11): töbe de lan
20:19:50 | [CMD] DangerTr07(20) => /a jasjda 
20:19:51 | [SirketCHT] DarkFlow(0): ! tmm 
20:20:0 | [CMD] DangerTr07(20) => /a esc bastim výnlýyordm jqewjq
20:20:1 | Muya(12): en fazla olucak seyi diyom ögüs :D
20:20:3 | [CMD] DangerTr07(20) => /Cevir
20:20:6 | Gezegen(9): wfjýdlshfýsjhv
20:20:8 | (BANKA) ASLANBEY(10) 2258 nolu banka hesabi olusturdu.
20:20:8 | DangerTr07(20): muya 
20:20:10 | DangerTr07(20): karadamisin 
20:20:11 | [CMD] [eN]Overlord(11) => /kemer
20:20:11 | Gezegen(9): zorr
20:20:12 | Lolery71(16): convoy yapcak varmý
20:20:12 | [CMD] [eN]Overlord(11) => /tamir
20:20:14 | Muya(12): 100 katlý bina üstüne cökücek mi yazýyom :D
20:20:15 | [CMD] [eN]Overlord(11) => /work
20:20:15 | [CMD] DangerTr07(20) => /goto 12
20:20:15 | [ANTIHACK] Þüpheli DangerTr07(20) => Airbreak-hack
20:20:20 | [LOCAL]DangerTr07(20): QÇWEQÇE 
20:20:20 | [CMD] DangerTr07(20) => /l QÇWEQÇE 
20:20:22 | [LOCAL]DangerTr07(20): QÇWEQÇE 
20:20:22 | [CMD] DangerTr07(20) => /l QÇWEQÇE 
20:20:30 | DangerTr07(20): ben kaçar 
20:20:31 | [CMD] Lolery71(16) => /work
20:20:31 | (BANKA) ASLANBEY(10) 809 nolu banka hesabindan 10000000$ cekti.
20:20:34 | [eN]Overlord(11): danger
20:20:38 | [CMD] DangerTr07(20) => /A 
20:20:39 | DangerTr07(20): omg 
20:20:41 | DangerTr07(20) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
20:20:41 | [eN]Overlord(11): kb ama ben kaþar diye okudum affet bro askdsaj
20:20:42 | [CMD] ASLANBEY(10) => /ev
20:20:44 | testere151(15): kaçtý
20:20:50 | [CMD] testere151(15) => /wanted 15 0
20:20:53 | [CMD] ScrappeR(6) => /tamir
20:20:55 | [CMD] HeRquL(14) => /asay Jeris - Get Lost  adlý þarký eklendi..!!  
20:20:56 | [CMD] HeRquL(14) => /asay Jeris - Get Lost  adlý þarký eklendi..!!  
20:20:57 | [ANTIHACK] Þüpheli Muya(12) => Can-Hilesi
20:21:2 | Muya(12): ögü
20:21:3 | [CMD] [eN]Overlord(11) => /pm 14 slm közcü
20:21:3 | {FFCC00}Muya(12) {FFFFFF}Pilot olarak spawn oldu.
20:21:6 | [CMD] Muya(12) => /rescue
20:21:6 | [eN]Overlord(11): herkül
20:21:7 | [eN]Overlord(11): pm a
20:21:7 | [CMD] Gezegen(9) => /tamir
20:21:8 | HeRquL(14): ?
20:21:9 | [eN]Overlord(11): ç
20:21:10 | [CMD] Lolery71(16) => /asiriyuk
20:21:18 | [CMD] [eN]Overlord(11) => /pm 14.
20:21:19 | [CMD] [eN]Overlord(11) => /pm 14 .
20:21:23 | [SirketCHT] [eN]Overlord(11): ! sunucuya
20:21:26 | EmirEUEU(7) oyuna girdi [IP: 176.88.7.0]
20:21:27 | [CMD] HeRquL(14) => /djler
20:21:33 | [CMD] ASLANBEY(10) => /gobus
20:21:36 | 
20:21:37 | [SirketCHT] [eN]Overlord(11): ! Tuð Kaldýrýp Yürüyecek Bozkurtum ekle
20:21:38 | HeRquL(14): bugun eklediðim yeter sonra devam
20:21:39 | {FFCC00}EmirEUEU(7) {FFFFFF}Kamyoncu olarak spawn oldu.
20:21:40 | [CMD] [eN]Overlord(11) => /isteksarki 1556
20:21:41 | EmirEUEU(7): sa desem
20:21:42 | [CMD] ASLANBEY(10) => /sirket
20:21:43 | EmirEUEU(7): kac as gelmez
20:21:46 | [CMD] ScrappeR(6) => /yerbul
20:21:49 | EmirEUEU(7): :D
20:21:51 | [eN]Overlord(11): lan
20:21:54 | [CMD] ScrappeR(6) => /yerbul 16
20:21:55 | [eN]Overlord(11): asenayý kim kaldýrdý
20:21:55 | [CMD] HeRquL(14) => /asc
20:21:57 | [CMD] HeRquL(14) => /sac
20:22:0 | EmirEUEU(7): lan deme lan :D
20:22:4 | [CMD] Muya(12) => /tamir
20:22:10 | Muya(12): demiyoki yazýyo
20:22:14 | [eN]Overlord(11): :/
20:22:30 | MaMiklc13(8) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
20:22:38 | [CMD] EmirEUEU(7) => /kemer
20:22:41 | [CMD] EmirEUEU(7) => /modifiye
20:22:46 | Gezegen(9): asaadsdf
20:22:47 | [CMD] Muya(12) => /tamir
20:22:47 | EmirEUEU(7): beyler
20:22:50 | [CMD] HeRquL(14) => /asay Yeni Þarkýlarý Hep Birlikte Dinliyoruz Katýlmak Ýstersen "/sac"
20:22:51 | [eN]Overlord(11): gezegen.polisle.bogusuyor.avi
20:22:53 | Muya(12): nen miniguýn kullanma :D
20:22:55 | EmirEUEU(7): kýtap okuyuyanlar varmý
20:22:57 | testere151(15): qW:E
20:23:1 | EmirEUEU(7): testere
20:23:1 | Gezegen(9): sen daha aceisin :D
20:23:3 | EmirEUEU(7): minigunmu
20:23:5 | Muya(12): roket kullan kullancaksan :D
20:23:7 | TheS1LKENAdam(8) oyuna girdi [IP: 46.2.9.126]
20:23:9 | testere151(15): QW:E
20:23:11 | EmirEUEU(7): bana roket erýn
20:23:13 | EmirEUEU(7): verýn
20:23:13 | Gezegen(9): bi dahakine ben seni yakalýyým tmmý
20:23:14 | testere151(15): rocket sevmiyim 
20:23:15 | 
20:23:16 | EmirEUEU(7): havaya ucar bura :D
20:23:16 | {FFCC00}TheS1LKENAdam(8) {FFFFFF}Kamyoncu olarak spawn oldu.
20:23:18 | [CMD] HeRquL(14) => /duyuru ~r~DJ herqul mixer basinda
20:23:20 | [CMD] TheS1LKENAdam(8) => /admgiris
20:23:22 | [CMD] TheS1LKENAdam(8) => /sa
20:23:23 | [eN]Overlord(11): @7 közde ister misin
20:23:23 | [CMD] TheS1LKENAdam(8) => /sac
20:23:24 | [CMD] EmirEUEU(7) => /sirket dorse
20:23:24 | [CMD] DarkFlow(0) => /kemer
20:23:24 | [CMD] [eN]Overlord(11) => /as
20:23:28 | EmirEUEU(7): eevet
20:23:29 | [CMD] ASLANBEY(10) => /as
20:23:30 | [CMD] EmirEUEU(7) => /sirketdorse
20:23:34 | [CMD] HeRquL(14) => /musait
20:23:34 | [ANTIHACK] Þüpheli Muya(12) => Can-Hilesi
20:23:37 | Muya(12): abidin
20:23:37 | {FFCC00}Muya(12) {FFFFFF}Pilot olarak spawn oldu.
20:23:37 | [CMD] EmirEUEU(7) => /work
20:23:37 | [CMD] HeRquL(14) => /geldim
20:23:38 | [CMD] TheS1LKENAdam(8) => /spec 12
20:23:41 | [CMD] HeRquL(14) => /rescue
20:23:41 | [CMD] Muya(12) => /rescue
20:23:45 | testere151(15): uçak çarptý bana Q:We
20:23:49 | [eN]Overlord(11): g.o
20:23:51 | [CMD] Muya(12) => /kemer
20:23:53 | [CMD] TheS1LKENAdam(8) => /specoff
20:23:53 | {FFCC00}TheS1LKENAdam(8) {FFFFFF}Kamyoncu olarak spawn oldu.
20:23:53 | [CMD] HeRquL(14) => /dondur 14 bug
20:23:56 | [CMD] HeRquL(14) => /dondur 14  1 bug
20:23:56 | [CMD] TheS1LKENAdam(8) => /sac
20:23:58 | [CMD] ASLANBEY(10) => /work
20:24:2 | Muya(12): o ucaga muya bindi
20:24:8 | Muya(12): yan etkileri var
20:24:14 | [CMD] Gezegen(9) => /pm 6 gel kestircem sonra ben seni kovalýycam tmmý
20:24:16 | TheS1LKENAdam(8): Yardýma ihtiyacý olan var mý?
20:24:21 | EmirEUEU(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
20:24:27 | [CMD] ASLANBEY(10) => /asiriyuk
20:24:31 | [CMD] Gezegen(9) => /pm 6 10 yýldýz
20:24:32 | [CMD] Muya(12) => /tamir
20:24:39 | [CMD] Muya(12) => /rescue
20:24:46 | Muya(12): minigun kullanma abidin
20:24:46 | [CMD] TheS1LKENAdam(8) => /a Gezegen in @6 ya attýgý pm ye bi bakalým 
20:24:48 | [ANTIHACK] Þüpheli Muya(12) => Airbreak-hack
20:24:52 | [CMD] Gezegen(9) => /pm 6 gel kestircem sonra ben seni kovalýycam tmmý
20:24:53 | [CMD] Muya(12) => /kemer
20:24:56 | [CMD] TheS1LKENAdam(8) => /a adamlar skor kasýyorlar galiba
20:24:59 | [CMD] ScrappeR(6) => /pm 9 tm hapse girdin :d
20:24:59 | HeRquL(14): Eðleniyomuyuz gençler
20:25:1 | Gezegen(9): +
20:25:11 | [CMD] ScrappeR(6) => /pm 9 ben polis mi olim 
20:25:14 | [CMD] ScrappeR(6) => /yerbul
20:25:14 | [CMD] Gezegen(9) => /pm 6 çýkýnca sen mafya geç eðlenelim az
20:25:15 | [CMD] TheS1LKENAdam(8) => /araba
20:25:18 | [eN]Overlord(11): herkül
20:25:20 | [eN]Overlord(11): dj satýn al
20:25:22 | [CMD] ScrappeR(6) => /pm 9 tm
20:25:23 | [CMD] Gezegen(9) => /pm 6 mafya
20:25:23 | [CMD] TheS1LKENAdam(8) => /araba
20:25:27 | Gezegen(9): can ress
20:25:32 | [CMD] ScrappeR(6) => /tamir
20:25:33 | [CMD] TheS1LKENAdam(8) => /cantazele
20:25:35 | ByAdam(7) oyuna girdi [IP: 88.243.22.57]
20:25:43 | [CMD] testere151(15) => /car nrg . .
20:25:45 | 
20:25:46 | {FFCC00}Muya(12) {FFFFFF}Pilot olarak spawn oldu.
20:25:47 | {FFCC00}ByAdam(7) {FFFFFF}Kamyoncu olarak spawn oldu.
20:25:49 | HeRquL(14): baba varya bi pioneer mixer 2000 tl civarýndan baþlýyo fiyatr
20:25:50 | [CMD] Muya(12) => /rescue
20:25:52 | [CMD] ByAdam(7) => /gobus
20:25:54 | [CMD] ByAdam(7) => /icerigir
20:25:56 | [CMD] ByAdam(7) => /ise
20:25:58 | [eN]Overlord(11): sunucudan biri
20:25:59 | [eN]Overlord(11): beni
20:26:5 | [CMD] ByAdam(7) => /isyerimenu
20:26:7 | [eN]Overlord(11): ahýr sever07 diye kaydetmiþ
20:26:8 | [CMD] ByAdam(7) => /gobus
20:26:11 | [CMD] ByAdam(7) => /icerigir
20:26:13 | [CMD] ByAdam(7) => /isyerimenu
20:26:16 | TheS1LKENAdam(8): Araç res geliyor
20:26:16 | [CMD] testere151(15) => /giveweapon 15 seeke . .
20:26:17 | [CMD] ByAdam(7) => /gobus
20:26:18 | TheS1LKENAdam(8): Araç res geliyor
20:26:19 | Muya(12): evodur blki :d
20:26:20 | [eN]Overlord(11): onu bulursma
20:26:20 | [CMD] ByAdam(7) => /icerigir
20:26:23 | [CMD] testere151(15) => /giveweapon 15 heart 1000000
20:26:23 | [CMD] ByAdam(7) => /isyerimenu
20:26:24 | [eN]Overlord(11): öpcem
20:26:25 | [CMD] TheS1LKENAdam(8) => /respawncars
20:26:36 | [CMD] DarkFlow(0) => /tamir
20:26:37 | (BANKA) ByAdam(7) 812 nolu banka hesabindan 1200000$ cekti.
20:26:38 | [eN]Overlord(11): ula
20:26:41 | [CMD] BrownCute(13) => /madifiye
20:26:42 | testere151(15): qwE:
20:26:42 | [CMD] ByAdam(7) => /gobus
20:26:42 | [CMD] TheS1LKENAdam(8) => /vtamir
20:26:43 | {FFCC00}Muya(12) {FFFFFF}Pilot olarak spawn oldu.
20:26:45 | [CMD] BrownCute(13) => /modifiye
20:26:45 | [eN]Overlord(11): okulda risk 2.0 da acý çýkmýyor
20:26:46 | [CMD] Muya(12) => /rescue
20:26:47 | [eN]Overlord(11): eve alýyým dedim
20:26:50 | [CMD] HeRquL(14) => /a benim skinimi kim böyle yaptý
20:26:51 | [eN]Overlord(11): boðazýmda savaþ var
20:26:53 | [CMD] Lolery71(16) => /fps
20:26:53 | [CMD] ByAdam(7) => /icerigir
20:26:54 | [CMD] TheS1LKENAdam(8) => /vtamir
20:26:56 | ByAdam(7): s
20:26:57 | [CMD] testere151(15) => /a ben deðil
20:26:57 | [CMD] [eN]Overlord(11) => /tamir
20:26:59 | [CMD] ByAdam(7) => /icerigir
20:27:1 | [CMD] ByAdam(7) => /isyerimenu
20:27:1 | [CMD] ScrappeR(6) => /stats
20:27:8 | ByAdam(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
20:27:9 | [CMD] TheS1LKENAdam(8) => /a benim yetki yok :D
20:27:10 | [CMD] HeRquL(14) => /a setskin 281 yaparmýsýn bana
20:27:13 | ScrappeR(6): polis baþarýmý kaçta oluyor
20:27:15 | [eN]Overlord(11): danger
20:27:18 | [CMD] testere151(15) => /setskin 14 281
20:27:19 | Gezegen(9) Mafya olarak spawn oldu.
20:27:20 | [CMD] Gezegen(9) => /pm 6 çýktým ben þimdi sen mafya geç araba al kaç ben seni yakalýycam 
20:27:24 | [eN]Overlord(11): herkül
20:27:26 | [CMD] HeRquL(14) => /veh
20:27:27 | [CMD] ScrappeR(6) => /pm 9 tm
20:27:28 | [CMD] Gezegen(9) => /pm 6 polis baþarýmý yok
20:27:29 | [eN]Overlord(11): sunucuya niloya ekle asljdaskdsanhjdls
20:27:30 | [CMD] Gezegen(9) => /meslek
20:27:32 | [CMD] ScrappeR(6) => /basarimlar
20:27:33 | {FFCC00}Gezegen(9) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
20:27:34 | [CMD] Gezegen(9) => /rescue
20:27:40 | [CMD] [eN]Overlord(11) => /isteksarki 1618
20:27:41 | [CMD] ScrappeR(6) => /pm 9 baþarýmda var
20:27:42 | HeRquL(14): kayu daha iyi
20:27:43 | [CMD] Gezegen(9) => /araba
20:27:43 | [CMD] ScrappeR(6) => /meslek
20:27:45 | HeRquL(14): kel kafalý kayý
20:27:47 | HeRquL(14): kayu
20:27:49 | ScrappeR(6) Mafya olarak spawn oldu.
20:27:49 | [CMD] TheS1LKENAdam(8) => /cantazele
20:27:54 | [CMD] Gezegen(9) => /pm 6 çevikte var poliste yok
20:27:56 | [eN]Overlord(11): pepe gg
20:27:58 | [CMD] HeRquL(14) => /modifiye
20:28:0 | [CMD] ScrappeR(6) => /pm 9 iyi bak basarimlara
20:28:0 | Muya(12): pepe ödü
20:28:1 | [CMD] TheS1LKENAdam(8) => /meslek
20:28:3 | [CMD] ScrappeR(6) => /basarimlar
20:28:5 | HeRquL(14): pepe wefad
20:28:13 | [eN]Overlord(11): rip (12832183021-209138129038219)
20:28:16 | [CMD] Gezegen(9) => /pm 6 yazýyor olabilir ama baþarým vermiyor
20:28:17 | {FFCC00}Muya(12) {FFFFFF}Pilot olarak spawn oldu.
20:28:20 | [CMD] Muya(12) => /rescue
20:28:27 | Muya(12): 
20:28:29 | [CMD] Gezegen(9) => /pm 6 lv gel
20:28:31 | [eN]Overlord(11): 
20:28:32 | testere151(15): qwe
20:28:41 | Muya(12): Muya
20:28:47 | [eN]Overlord(11): mUdAa
20:28:48 | Muya(12): testere D:
20:28:49 | [CMD] testere151(15) => /clenupcars
20:28:52 | TheS1LKENAdam(8) Mafya olarak spawn oldu.
20:28:53 | [CMD] testere151(15) => /cleanupcars
20:28:53 | [CMD] Gezegen(9) => /pm 6 lv gel lv de kovalayalým
20:28:55 | testere151(15): :D
20:28:57 | [CMD] HeRquL(14) => /a nerde bu halk kimse yok
20:28:58 | Muya(12): nere saklandýn öle :D
20:28:59 | [CMD] ScrappeR(6) => /rescuer
20:29:1 | [CMD] ScrappeR(6) => /rescue
20:29:1 | [eN]Overlord(11): QWERTY klavye kullanmayan yok mu moruq
20:29:6 | testere151(15): gel görürsün Q:WE
20:29:6 | [eN]Overlord(11): var mý*
20:29:10 | [CMD] ScrappeR(6) => /kemer
20:29:14 | [CMD] ScrappeR(6) => /pm 9 geldim
20:29:21 | Berkay08(7) oyuna girdi [IP: 178.170.157.100]
20:29:21 | Muya(12): testere ahýra girmis glba :D
20:29:22 | [CMD] Gezegen(9) => /pm 6 tmm araba al kaç þimdi bende
20:29:25 | [CMD] TheS1LKENAdam(8) => /meslek
20:29:27 | {FFCC00}TheS1LKENAdam(8) {FFFFFF}Pilot olarak spawn oldu.
20:29:28 | [eN]Overlord(11): ðþt
20:29:28 | [CMD] Gezegen(9) => /pm 6 radara gir tabi
20:29:30 | Muya(12): saldýrýn
20:29:31 | 
20:29:34 | [eN]Overlord(11): silken
20:29:35 | {FFCC00}Berkay08(7) {FFFFFF}Kamyoncu olarak spawn oldu.
20:29:37 | [eN]Overlord(11): komutanmý oldun
20:29:37 | {FFCC00}Muya(12) {FFFFFF}Pilot olarak spawn oldu.
20:29:38 | TheS1LKENAdam(8): Evet
20:29:42 | [CMD] Muya(12) => /rescue
20:29:42 | [CMD] Berkay08(7) => /sa
20:29:44 | TheS1LKENAdam(8): Eevet
20:29:45 | [CMD] TheS1LKENAdam(8) => /as
20:29:47 | [CMD] DarkFlow(0) => /as
20:29:49 | testere151(15): her seferinde ölüyosun yahu :d
20:29:52 | [CMD] DarkFlow(0) => /geldmi
20:29:53 | [CMD] TheS1LKENAdam(8) => /work
20:29:56 | [eN]Overlord(11): EzHeL
20:29:56 | [CMD] DarkFlow(0) => /geldim
20:29:59 | [eN]Overlord(11): uhue
20:30:0 | Muya(12): patlayýpda ölmeyen insan sölesene
20:30:5 | [eN]Overlord(11): evo
20:30:7 | [CMD] Muya(12) => /tamir
20:30:12 | Berkay08(7): nasýlsýnýz beyler
20:30:16 | Muya(12): yo oda ölüyo :D
20:30:19 | [eN]Overlord(11): iyiyiz seni sormalý
20:30:29 | [CMD] [eN]Overlord(11) => /pm 7 Kandilin müberk olsun
20:30:33 | Berkay08(7): çok þükür bende iyiyim
20:30:37 | [CMD] [eN]Overlord(11) => /pm 7 Mübarek*
20:30:43 | [CMD] testere151(15) => /giveweapon 15 heat 1000000
20:30:44 | [CMD] Lolery71(16) => /fps
20:30:46 | [CMD] Berkay08(7) => /pm 11 seninde kardeþim saðol
20:30:49 | [eN]Overlord(11): Kandiliniz mübörek olsun beyler
20:30:51 | [CMD] Gezegen(9) => /pm 6 radara girmeden olmaski sen gir ben arkadan yetiþcem
20:30:53 | [CMD] Berkay08(7) => /sac
20:31:0 | [CMD] testere151(15) => /slap 15
20:31:0 | TheS1LKENAdam(8): Eyvallah
20:31:0 | [CMD] testere151(15) => /slap 15
20:31:0 | testere151(15): a
20:31:0 | [ANTIHACK] Þüpheli HeRquL(14) => Airbreak-hack
20:31:0 | testere151(15): lagg
20:31:3 | [eN]Overlord(11): "börek" askldjas
20:31:6 | TheS1LKENAdam(8): Seninde
20:31:8 | [CMD] DarkFlow(0) => /rescue
20:31:9 | [CMD] BrownCute(13) => /afk
20:31:10 | Muya(12) oyundan cIktI (Hata/Crash) (IP: 78.191.94.144)
20:31:10 | [KAMYONCU] Lolery71, Harbour Island Warehouse'den Longway Warehouse'e Degerli Esyalar tasidi. Kazanc: 179939$, 1 Skor ve 5 EXP Sure: 478 Saniye
20:31:14 | [eN]Overlord(11): saðolasýn
20:31:17 | [CMD] Lolery71(16) => /work
20:31:17 | [CMD] Berkay08(7) => /dtemizle
20:31:25 | Muya(12) oyuna girdi [IP: 78.191.94.144]
20:31:30 | [eN]Overlord(11): yýl olmuþ 2018 hala ahýr sevmeyen var mý
20:31:32 | [CMD] Berkay08(7) => /gobus
20:31:36 | [CMD] Gezegen(9) => /pm 6 kaç dkkda yakalýyým seni ?
20:31:36 | 
20:31:39 | {FFCC00}Muya(12) {FFFFFF}Pilot olarak spawn oldu.
20:31:41 | [CMD] Lolery71(16) => /fps
20:31:42 | [CMD] ScrappeR(6) => /pm 9 10 sanye
20:31:43 | Muya(12): crash yedim
20:31:43 | ByAdam(17) oyuna girdi [IP: 88.243.22.57]
20:31:45 | [CMD] Muya(12) => /rescue
20:31:54 | 
20:31:55 | testere151(15): :d
20:31:56 | {FFCC00}ByAdam(17) {FFFFFF}Kamyoncu olarak spawn oldu.
20:32:0 | [SirketCHT] DarkFlow(0): ! aslan
20:32:3 | [eN]Overlord(11): *çarpýldý*
